iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4],gamma[5],beta[5],gamma[6],beta[6],gamma[7],beta[7],gamma[8],beta[8],gamma[9],beta[9],gamma[10],beta[10],gamma[11],beta[11],gamma[12],beta[12],gamma[13],beta[13]
1,-5.29183553904295,0.5516722956468487,0.6322184695687675,0.5516722956468487,0.6322184695687675,0.5516722956468487,0.6225460098171396,0.6322184695687675,0.6322184695687675,0.5516722956468487,0.5516722956468487,0.6322184695687675,0.6322184695687675,0.5516722956468487,0.5516722956468487,0.6322184695687675,0.5516722956468487,0.6322184695687675,0.6227937681667786,0.6322184695687675,0.5516722956468487,0.6322184695687675,0.5516722956468487,0.6322184695687675,0.5516722956468487,0.6322184695687675,0.5516722956468487,0.6322184695687675,0.5516722956468487
2,-7.74306783080101,0.5677980739974715,0.6164424592257045,0.5718140676394954,0.6218831576952158,0.5722012980360371,0.6181391471030772,0.6250843239393077,0.6224719204188817,0.5830558541445655,0.5782021909669299,0.623623205507647,0.6229776003054677,0.5812744063019428,0.569818734182145,0.6148820397810609,0.5806331116167045,0.6179809146189722,0.6121531754178782,0.6157500434498023,0.5668089591029711,0.6203574453554586,0.565039000365796,0.6124873737930263,0.5521786402358577,0.6236192032002351,0.5740968111509848,0.6067392422143402,0.5621175916317469
3,-8.957015939056873,0.5592073072745953,0.6054410973171698,0.5873159399182625,0.6304489810337174,0.5767632734605445,0.6291966721384549,0.6285922884786083,0.6261796511530251,0.6118484346942697,0.6008551817040533,0.625463948529796,0.6264487162006027,0.6133364044095342,0.5766146474333371,0.5985520504282237,0.5996662349386118,0.6066769496607192,0.5927942009727287,0.6006041966975272,0.5677845369500075,0.607499695883473,0.5477174253938637,0.5998415324948724,0.5240436636923514,0.6182668705353231,0.5774026974421045,0.5835418817272384,0.5429779990492442
4,-11.12551249563694,0.526046575900141,0.6036055970157232,0.5892384160768943,0.6611604116275736,0.5607854474198798,0.65536885760346,0.6381918974160316,0.6465371269745905,0.6264095647557382,0.6138762410256433,0.6339665246959498,0.6479457961126618,0.6392469550153512,0.5644960847994961,0.582402766613579,0.6129659136910207,0.5938665872794275,0.5784443312479121,0.5891281115018303,0.5564938702498858,0.5994140949458867,0.5148336375798436,0.6015415916187542,0.46329174598070677,0.617805830839916,0.5737899918956507,0.5702955319181682,0.4952188193242161
5,-11.892758011817932,0.49221252131667725,0.6020016570201604,0.5949624098354555,0.702063254938964,0.5525709685074868,0.6598933000563799,0.6384120884403636,0.6626550607203828,0.628804757728715,0.6193802500175725,0.6323002921236088,0.6625470103908824,0.662491937573415,0.558319839100738,0.5791767053080303,0.6046107033424405,0.5550392830265641,0.5720146153647384,0.5834434192580797,0.5501681056126185,0.6077841460347568,0.47189172682592734,0.581284815302268,0.41326196089680145,0.6287426220896982,0.5782309743656459,0.5627815425008986,0.4567940353023059
6,-12.606130242347717,0.5003263674653482,0.6007006352745943,0.5949328857372737,0.6917697542662007,0.5562492883448239,0.649827086835862,0.6384094815177426,0.6524460717893349,0.6155405890074803,0.6098955626932145,0.6284718105590467,0.6690140834468778,0.65325875841454,0.563395080892803,0.593694455890789,0.5924562632077476,0.5607300277209895,0.582849298195744,0.5898376568280004,0.5516766431805809,0.6092213396118691,0.4889071725983342,0.5715101910969616,0.437270396653809,0.6221504496432179,0.5689849113784097,0.5723015604027389,0.469821290532033
7,-12.887192726135254,0.4904111343498731,0.5980409541069335,0.5975872890440455,0.6975161343733225,0.5581717504849837,0.6486921542384035,0.6395055127078464,0.647506142884554,0.6084191737534437,0.6094265794484296,0.6270210286708214,0.678298762681114,0.6472828557744434,0.567980367321134,0.6031781635515642,0.5913025418999933,0.5560538960453879,0.5833771432211057,0.5893434603211986,0.5540234777831525,0.6154617674836954,0.4881072335314774,0.5565584029850782,0.4325267027720562,0.6199129087358253,0.5638806926431106,0.5805490662827428,0.4650647809203945
8,-13.055723369121552,0.4794514186012599,0.5973025755476703,0.595110900895399,0.7003992526884032,0.5584500075734963,0.648845593390969,0.6402427129806159,0.6443340292055344,0.5982379853879671,0.60167893598502,0.6277127972127761,0.6793754642490951,0.6304740636351281,0.5726276886760527,0.6154714465570668,0.5898685304091507,0.5522700876037541,0.5876868535198287,0.5952970564085971,0.5540365239053852,0.6192196795429775,0.49108145915085233,0.5442422357084551,0.43969040565867157,0.619085109641756,0.5594630423464261,0.5954337794995552,0.46137521444841434
9,-13.11680543422699,0.4652394908044771,0.5968746888316414,0.5930168686680602,0.7038161612506587,0.5577400617886281,0.6511688011611827,0.643037299701559,0.6453190530910402,0.5927748557373598,0.5903340655753907,0.6281753819255212,0.6825237175693032,0.6215301720344766,0.5711409506889239,0.6234162330108425,0.5849628948754274,0.5550245092132104,0.5876411716194517,0.6018248017349961,0.5511403990015079,0.620558621302896,0.48538117268300485,0.531607034383461,0.4459315371340289,0.6197201991913336,0.5594753495722936,0.5996772464351071,0.45216002646805276
10,-13.179691940546036,0.46322290957457146,0.5970836866174588,0.5917115730810234,0.7024572530544225,0.558249699981641,0.6564904569652124,0.642972673026796,0.6459807696452726,0.5929849676513257,0.5878197978776172,0.6295952677507127,0.6815379936524251,0.6165995909477447,0.5691710433394129,0.6206961918244779,0.5857331539931032,0.5610456781443052,0.5863444390979344,0.5996895586234074,0.548018186052116,0.6180556807120818,0.48685362275504257,0.5287687857447513,0.44885961928202905,0.6186033854938103,0.5624175128728027,0.6008177722868979,0.44879690919351034
11,-13.224336445331573,0.4605929240001021,0.5956074669273693,0.5912581533503485,0.702911084157449,0.5581606427778572,0.66395884854265,0.6423711801806958,0.6477241539603884,0.5938128270296339,0.5855364453175278,0.6303826381537909,0.6833070111410704,0.6126100208410278,0.5652126432999255,0.61556688167947,0.5857156368982989,0.566485959348693,0.5840779087906939,0.5948053465718611,0.5436297362904137,0.6112031398803413,0.48801168189906136,0.5230014574308535,0.4501575206240187,0.6167786319182035,0.5671290412237713,0.6002453779007841,0.44056712930802516
