iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4],gamma[5],beta[5]
1,-2.9902233630418777,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2,-6.413356624543667,0.0,0.13029090671198218,1.0,1.0,0.19850787388071056,0.20633026467610255,1.0,0.0,1.0,0.0,0.0,0.0
3,-7.164902498945594,0.0,0.12411475922337825,1.0,0.9896262279064325,0.13622042730183306,0.14213214508241603,1.0,0.0,1.0,0.0,0.0,0.013108805643728025
4,-7.686494359746575,0.0,0.175794788077034,1.0,0.9791105781154663,0.16745222688963854,0.17461208479439755,1.0,0.0,1.0,0.0,0.0,0.02759257611213381
5,-12.623912237584591,0.0,0.5880153039771222,1.0,0.879804077936218,0.3635879506213496,0.3719012643931012,1.0,0.0,1.0,0.0,0.0,0.2126755354279982
6,-12.711538597941399,0.0,0.6210813319483807,0.9987489482159885,0.8552254280287772,0.4146665922047539,0.4223126766634649,1.0,0.0,0.9988010760135393,0.0,0.0,0.26071487838190666
7,-12.78860741853714,0.0,0.6022130757969876,0.9987869547769735,0.8482520470654389,0.43153432295799987,0.4381073102615522,1.0,0.0,0.9988374989483771,0.0,0.0,0.27570689510561236
8,-12.892182752490044,0.0,0.5207567735225741,0.9989510332108876,0.8687777174976233,0.37316430134043366,0.3788482158852528,1.0,0.0,0.9989947406969559,0.0,0.0,0.23841434021191288
9,-13.145462095737457,0.0,0.4658828615289865,0.9972067335205239,0.8442209557893152,0.4245273375431189,0.42974581688242597,1.0,0.0,1.0,0.0,0.0,0.28571571351402414
10,-13.304069489240646,0.0,0.5118668602671886,1.0,0.8396241228664405,0.4334491879048676,0.43872582346515276,1.0,0.0,1.0,0.01608956607070297,0.0,0.29457077821858474
11,-13.34581607580185,0.0,0.4942497834214381,1.0,0.8399422038041273,0.4261670233080748,0.43105616322320145,1.0,0.0,1.0,0.022177459465902265,0.0,0.2907844769664226
12,-13.366099208593369,0.0,0.48953341017849583,1.0,0.8296639908161898,0.4390717192373179,0.4449330105777326,1.0,0.0,1.0,0.04271298783881586,0.0,0.3172612443133289
13,-13.374593645334244,0.0,0.4775357862718116,1.0,0.831503320468357,0.43630836708472315,0.44265616646330724,1.0,0.0,1.0,0.04304203474658814,0.0,0.31760192497281914
14,-13.374638438224792,0.0,0.4767427583096027,1.0,0.8314536024179786,0.4363662106375737,0.4427349417680212,1.0,0.0,1.0,0.04322597857739238,0.0,0.31795229901128613
15,-13.374698400497437,0.0,0.47756680663332346,0.9998175321568904,0.8296348100463545,0.43689006992908186,0.4440678893966276,1.0,0.0,1.0,0.04355559790687954,0.0,0.31958371991629275
16,-13.375061452388763,0.0,0.47724436422904565,0.99965775485148,0.8293721063042544,0.4372292846858347,0.4443994690481862,1.0,0.0,1.0,0.04348484527086299,0.0,0.3192417117431819
17,-13.375365614891052,0.0,0.4771361780670207,0.9993525542719777,0.8289188099411269,0.4376836111897132,0.44495554444033175,1.0,0.0,1.0,0.04333124036959476,0.0,0.3192804186661417
18,-13.375693887472153,0.0,0.4769822021924617,0.99854493777968,0.8273531543227574,0.4389963174276137,0.4466940349200943,1.0,0.0,1.0,0.042971056887303474,0.0,0.3196709901567012
19,-13.375697791576385,0.0,0.4769779593168354,0.9987391387524833,0.8275953154880731,0.43874563971932795,0.4464400680655368,1.0,0.0,1.0,0.042953526481561734,0.0,0.3195008487995148
20,-13.375703781843185,0.0,0.47698290766977713,0.9987505104202365,0.8277742995144571,0.43856567881153313,0.4462513444257162,1.0,0.0,1.0,0.042946707215069456,0.0,0.31939469515481955
21,-13.37571206688881,0.0,0.47697893165030386,0.9988281285506283,0.8277781976083312,0.438563012285099,0.4462441904857598,1.0,0.0,1.0,0.042936920597283115,0.0,0.3193820132892214
22,-13.375762820243835,0.0,0.4768967397601846,0.9989855962316327,0.8277243655720253,0.4386061077182279,0.4462359833899666,1.0,0.0,1.0,0.042722323053346514,0.0,0.3191720190951732
23,-13.375780194997787,0.0,0.4767183997296298,0.999248065980372,0.8279651736247394,0.43838824624377565,0.4459040060154294,1.0,0.0,1.0,0.04219672114243161,0.0,0.3185021744426794
24,-13.375787526369095,0.0,0.4767636252640191,0.9992582226969732,0.8280140667944893,0.43832161902464956,0.4458788908261927,1.0,0.0,1.0,0.042157751610542964,0.0,0.318443401553361
25,-13.375797867774963,0.0,0.47676417233297125,0.9992582197888056,0.8280149093341587,0.4383205773039179,0.4458783614600653,1.0,0.0,1.0,0.04215737532455172,0.0,0.3184426315755704
26,-13.375797867774963,0.0,0.47676417233390284,0.9992582197884586,0.8280149093348519,0.4383205773028958,0.44587836145991727,1.0,0.0,1.0,0.04215737532465617,0.0,0.31844263157543
