iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4],gamma[5],beta[5],gamma[6],beta[6],gamma[7],beta[7]
1,-11.835774078965187,0.5658290227494183,0.6227806515003877,0.6227806515003877,0.5658290227494183,0.5658290227494183,0.6227806515003877,0.6227806515003877,0.5658290227494183,0.6227806515003877,0.6227806515003877,0.6227806515003877,0.6227806515003877,0.6227806515003877,0.6227806515003877,0.6227806515003877,0.6227806515003877
2,-12.65104442089796,0.5823647235946228,0.6232498813361695,0.6251680750954545,0.5624059932705815,0.5833023184364705,0.6215493299868418,0.6217645123749193,0.5615661543385533,0.6081514693699399,0.6238091737411637,0.6180603806602158,0.6118080079488255,0.6160569313006691,0.6278498672082591,0.6192146781297688,0.6075717726007838
3,-13.084816485643387,0.6007993050858871,0.6313710263153585,0.6363647351425207,0.5419730504162088,0.601660170065921,0.6271925321790891,0.6251617192022231,0.5407948613955879,0.5901886207734361,0.6263590787728877,0.624281948610428,0.6004036238566347,0.6120601050876522,0.6395724671763291,0.6284112570739951,0.5872273040787482
4,-13.183976128697395,0.6006413574066901,0.6295001549440751,0.6348245132299332,0.5418334789536842,0.602011237880989,0.6262733323592102,0.6243383703893974,0.5386830481345478,0.5910026370109881,0.6209858289892972,0.6338896773015101,0.602218926622203,0.6160251100237887,0.6337085110889145,0.6374134986650065,0.5881707350058765
5,-13.201632559299469,0.599520760277411,0.6313298983236854,0.6351741457023206,0.54082439968051,0.6009209342436362,0.6278747780143141,0.6244225653622036,0.536522051736738,0.5884035183384161,0.6219032581428436,0.6376246107068212,0.6023866877278223,0.6160222590228343,0.635344627243703,0.6402236478020148,0.5867229002847257
6,-13.219581574201584,0.5963243607617916,0.6330065592706742,0.6341117730187468,0.5425100882879956,0.5978683141960154,0.6294253221836781,0.6228609252966245,0.5365420448186354,0.5840104945038126,0.6217516143136331,0.6429582899549038,0.6016500129901021,0.6167570141406927,0.6368762056350222,0.6430228232295987,0.5835350248319249
7,-13.236774682998657,0.591943733641222,0.6376113366144438,0.6331234999761585,0.5447918582239121,0.5959594699131033,0.6305734344593864,0.6216050735292353,0.5386031993754338,0.5777452478212931,0.6212298127785967,0.6469188615096392,0.6004550504386357,0.6173553611033846,0.6371615384959026,0.6436339113763883,0.5813402836516728
8,-13.253158330917358,0.5867760554900967,0.6425024872483215,0.6314303529807419,0.5468887279977483,0.5951640334948144,0.6299474192794653,0.6180496427087491,0.5410842091110697,0.5684539736427561,0.6203696851667617,0.6546605408161982,0.5986389856302997,0.619851924709181,0.6364197530317863,0.6459062239602632,0.5763575788233148
9,-13.26979586482048,0.5868692406764376,0.6448413276363031,0.6298837012280618,0.5488598393408288,0.5968741694027089,0.6259449755019093,0.6136003651051195,0.5430587327319634,0.5681413749469472,0.6216273757334411,0.6552858376143867,0.5972253280166523,0.623945808648534,0.6357234551397827,0.6432577919538977,0.5720751989464925
10,-13.277650386095047,0.5831086915757444,0.6520194192579172,0.6275883598215464,0.5529053821618187,0.5974350118442809,0.6215357481793904,0.6067120099418878,0.546145779886072,0.5630346307174475,0.6221719049319439,0.6615335477275112,0.5935233312395939,0.6338946313493607,0.6341911672332228,0.6408904449248397,0.5639260420688738
11,-13.291149944067001,0.5782174404818613,0.6568290176623622,0.6273173871082042,0.557083613182856,0.5956247537809203,0.6194905924694494,0.6048422124042367,0.5479328463138126,0.5584575063384418,0.6207292791987493,0.6687394987915687,0.593646291810712,0.6410346522196784,0.6335444655821786,0.6378621334565425,0.5571177157073882
12,-13.313479661941528,0.575078319833046,0.6583801340628459,0.6286658806558626,0.5599308481249858,0.5908982916600409,0.6199405787682182,0.6083127942032702,0.551672933003116,0.5571554531698386,0.6196836168740315,0.6774079830433003,0.5970438938880758,0.6471542692097403,0.6361632745185949,0.6326789618249871,0.5544077133904568
13,-13.329917699098587,0.5779306644408359,0.654041626140292,0.6297177690676719,0.5571986489857357,0.5913484479107786,0.622340807152456,0.6134281305439551,0.5515307629084613,0.5573938991315944,0.6177398026091081,0.6819579757470637,0.5989128649335883,0.6460468190436178,0.63929269031971,0.6302542045045973,0.5546759588158827
14,-13.330576211214066,0.5805437902554483,0.6482729030542609,0.628510512124402,0.554731413642881,0.5921130206571737,0.6241012604927153,0.6154805394169292,0.5512072620811042,0.5604407799009887,0.6186525777246307,0.6797799772386502,0.6002326978169922,0.6438929127913194,0.6424429263289806,0.6255984733162027,0.5592092219889293
15,-13.342793703079224,0.5799344265630336,0.6494250225731614,0.6256970734981732,0.5559975884850864,0.5926474208388025,0.6227895621634241,0.6124476534747746,0.5541226299620171,0.5585785777984573,0.6199103799444826,0.6845679808949621,0.5998013434083321,0.6496742219534435,0.6432391293431715,0.6194085581757707,0.5539574699874269
