iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4],gamma[5],beta[5],gamma[6],beta[6],gamma[7],beta[7],gamma[8],beta[8],gamma[9],beta[9],gamma[10],beta[10],gamma[11],beta[11]
1,-4.49337550252676,0.5985369727581195,0.6110619132922676,0.7229180773788103,0.5883992739199053,0.5883992739199053,0.5883992739199053,0.5883992739199053,0.5883992739199053,0.7915138343212913,1.1170017120484497,0.5883992739199053,0.5883992739199053,0.5883992739199053,0.6216896762241397,0.6285825566035689,0.8781773829744761,0.5883992739199053,1.3100202044680977,0.5883992739199053,0.5883992739199053,0.5883992739199053,0.5883992739199053,0.5883992739199053,0.9100249881788272
2,-8.628662168979645,0.5979810308918715,0.6165200227860564,0.7362620770963377,0.573733606263779,0.5811850222600753,0.590702692288674,0.591122742498299,0.6109800207528866,0.8285623857975837,1.2012050284333755,0.5925715254479095,0.5992960418947239,0.5946460281605714,0.6403224928077381,0.641565497506372,0.9511782896681231,0.5784846243250913,1.4264880754277227,0.5732721137216361,0.585558642961756,0.5772013771235762,0.5812478877245831,0.5804325048472375,0.9561960094178669
3,-9.604743719100952,0.5978528976015043,0.6142418042802428,0.7397212359916029,0.5741846452525837,0.5763833947958985,0.5897589078995694,0.5927535786507624,0.6088060764398483,0.840421531300701,1.218886718699206,0.5913579383951635,0.6013030897293966,0.5991649458771617,0.6420693512142804,0.6468318428113484,0.969572206559857,0.5789900504326576,1.4632897432259817,0.5729003886356864,0.5857656063558171,0.5806906152805634,0.5845628918292082,0.5798018513625229,0.974142597076062
4,-11.489028990268707,0.5975826523755162,0.6063762480848992,0.7301210834152728,0.5818085524396049,0.5603192307521391,0.5903335602751801,0.6039168783669443,0.604862841166356,0.8541827948668707,1.2041743555308477,0.5886541294144283,0.6090358873106732,0.6168265822689181,0.6437291894722578,0.6605100776069388,0.9876958054468602,0.5821272113184462,1.4832739797324088,0.5694699449927285,0.5832704662602494,0.5894481331841777,0.5956216260382388,0.5810406299167116,0.988638844299029
5,-11.79377318918705,0.5979047065488484,0.5892292186032848,0.717781622072303,0.5847581188962205,0.5487653656837205,0.5938792398711117,0.6187673720074175,0.6029448810156154,0.8442544467813029,1.1130927957590964,0.5876005685871911,0.6185458028844207,0.634398479404562,0.6377688051262878,0.6656653526978519,0.9665998590367336,0.5897177264298753,1.4010182202708719,0.571190722714738,0.5855553254832973,0.600021157018295,0.5996996226343981,0.5820671103346178,0.965118233387504
6,-12.913395717740059,0.5981103692474977,0.5933366750804939,0.7265042546346827,0.5835541978409445,0.5535810200008849,0.5955978923492482,0.6162004622901059,0.60593927872657,0.8533115995316322,1.1451220393153,0.5905056440480212,0.6149071388154654,0.6280941308470264,0.6405741178870307,0.6610698619039691,0.9786896782989741,0.5898934206716588,1.4347250590454037,0.5702339447827655,0.5910375562998313,0.5945349817230439,0.5921740527037028,0.5855562682020539,0.9765510457577431
7,-13.422989934682846,0.598937308360098,0.5935194435460459,0.7371313642109353,0.5875762309012058,0.5578710575399896,0.598587200836399,0.6226822703847621,0.6080511539592957,0.8657208278235365,1.1690118827588827,0.5969128548789606,0.6091594602529884,0.6287881669952824,0.6467509160472087,0.6551624685688329,0.9977526952550363,0.5905971949904466,1.475668537153036,0.5716111643461694,0.6049875501134192,0.5893196469031189,0.5786098565053831,0.5965576984138601,0.9954558534470742
8,-13.923591285943985,0.5985784996928277,0.5880100285847689,0.738017510518673,0.5880196043752318,0.5559266518836183,0.6020252274624268,0.6298419470948498,0.6104071677891035,0.8689681248739389,1.1527600090740953,0.5990912461958191,0.6072452956291446,0.6328094847565434,0.649794547289327,0.6528163467168197,1.0027848226900526,0.5945902270254758,1.4672888226183651,0.5715390085075389,0.61343610999189,0.5895548342938814,0.5704862276705117,0.6053288234151134,0.9942186317389837
9,-14.259928524494171,0.599487953831032,0.5816230762094652,0.7371492226681765,0.5936954486319533,0.5484629863129312,0.6078583247141351,0.6414370139117637,0.615468229803013,0.8719792661188845,1.1355807805376186,0.5968722905202222,0.6037067968626263,0.6400462910948966,0.6553900383520803,0.648532833848481,1.016819559258793,0.6013099358757223,1.4682845752183817,0.5698210380871013,0.6255371506697419,0.5890593089509664,0.5513023113551833,0.6241559268321382,0.9946369838940996
10,-14.4027538895607,0.5978304993184954,0.5798728219572254,0.7394607009292175,0.5966267794439762,0.5461916767652375,0.6099314018913917,0.6451105817274718,0.621976400442703,0.8737445815456152,1.1478546568396275,0.594431122708254,0.5993130000760846,0.6397549031068798,0.6568929196663627,0.6463441449615195,1.0230530952446062,0.6041489443951347,1.4843939113225273,0.5710078478719156,0.6250391370138769,0.5876889162782709,0.5428559246275146,0.631494197829318,1.0009808646136802
