iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4],gamma[5],beta[5],gamma[6],beta[6],gamma[7],beta[7],gamma[8],beta[8],gamma[9],beta[9],gamma[10],beta[10],gamma[11],beta[11]
1,-4.550946727395058,0.5984721680449524,0.6122464351260621,0.7239386793728849,0.5884039432438121,0.5884039432438121,0.5884039432438121,0.5884039432438121,0.5884039432438121,0.7919896225224154,1.1174832225331692,0.5884039432438121,0.5884039432438121,0.5884039432438121,0.6218592922128788,0.6285829417893721,0.879188996517114,0.5884039432438121,1.3088664681707023,0.5884039432438121,0.5884039432438121,0.5884039432438121,0.5884039432438121,0.5884039432438121,0.910197445846017
2,-8.554096430540085,0.5980730187389364,0.6181416733119548,0.7381398628416748,0.5733344472131162,0.5809135265499087,0.590902491054418,0.5912177607896666,0.6120827650083414,0.830498134162889,1.2043456508188655,0.5926742106725142,0.5997118911369873,0.5951122060376985,0.6406682114312029,0.6420149813316175,0.9546176350626243,0.5781998649136945,1.4286380042170306,0.5727481388024064,0.5852154533860482,0.5765958842656926,0.5811041810407189,0.5799678361610764,0.9579971266581141
3,-9.511768117547035,0.5979271952623549,0.6158879849127691,0.7414666393581161,0.574265841235059,0.5761518861974534,0.5898472565607866,0.5932199315598795,0.6097708650197756,0.8425994603861899,1.2225050485196773,0.5910748556607315,0.6017547574561749,0.5996887769712549,0.6422733424225134,0.6471712333831889,0.9728805827378563,0.5787958364506464,1.4659392371553013,0.5724196872996814,0.5852023028932066,0.5797237640114457,0.5846268157584287,0.5796998711011759,0.9759452995902745
4,-11.393325477838516,0.5978494895716622,0.608503493492203,0.732044966641629,0.5823890575814963,0.5610814151440318,0.5901221050822094,0.6047068139323103,0.6059775683708025,0.8558927749098286,1.2097106466503422,0.587571334861291,0.6095771130379114,0.6163813927569759,0.6437678952643777,0.6602433587628093,0.9901194670630642,0.5815590744530286,1.4863680934869632,0.5691186719420417,0.5824141316198387,0.5873072822498773,0.5957592859668194,0.5814156865269768,0.9896862588348881
5,-11.954060167074203,0.5973752041966727,0.5919792156249206,0.7218285664350256,0.5879227609792167,0.5503364964378921,0.5937606264770336,0.6204678975476287,0.602580410265914,0.8492323035355039,1.1303707469743942,0.584874798058417,0.6182189324052488,0.6329379074994825,0.6367706994357447,0.6643028121328798,0.9715286405938034,0.5891961352923905,1.416236433787082,0.5709734557445028,0.5834655689862452,0.5962439719775346,0.5999644623116015,0.5840783667137183,0.9700344827729321
6,-12.901553511619568,0.5975780029765905,0.595270766516165,0.7290605039079827,0.5857978960775964,0.5541382213305265,0.5954522359832825,0.6183438723796596,0.6059845613004681,0.8554324454760115,1.153405812138872,0.5895839951144578,0.6154308360784028,0.6284750080900017,0.6406243440860412,0.6607818164575827,0.9821410746229385,0.5877461769717737,1.44043675810669,0.5698836611987591,0.5891957425557605,0.5919288488299387,0.5935884347674375,0.5862022627289168,0.9788492359910399
7,-13.445359647274017,0.5974567579080435,0.5948085750319668,0.7385281950571986,0.5891674274017342,0.5562577398247261,0.5993969666582162,0.6243461810023817,0.6088381403392172,0.8675742101169694,1.1714909517939218,0.5953890833815876,0.6111596460323692,0.6294311711423805,0.6453894779632007,0.656073259340331,0.999523365727726,0.5884337497633618,1.473688731552583,0.5708672764869179,0.6011512202206559,0.587054210057202,0.5819785765155596,0.5952664520697918,0.9951732954381488
8,-13.944762259721756,0.5977938943357023,0.5891811841642516,0.74112934494981,0.5904224601394098,0.5541158356991045,0.6038884871732524,0.6326790857186043,0.6112825295245826,0.8718813344455193,1.1551959607500826,0.5990563519699403,0.6088095717834338,0.634589944426956,0.6492492232808463,0.6518153148583359,1.0070156946458602,0.591568020327063,1.4675145792404942,0.5710426565553137,0.6121698145890305,0.586555748728179,0.5724711150729423,0.6052759340266217,0.995878977271549
9,-14.255486726760864,0.5992550840094168,0.5816073775282782,0.7437821639369862,0.5970402648829035,0.5469889222046957,0.6109282599237797,0.648907160448858,0.6162341088065293,0.8789387727180057,1.14768143571736,0.5939550274384796,0.6049772241927933,0.6422499127448453,0.6541387737709574,0.6460903700228169,1.0262780926282244,0.6021953035040963,1.4807379737225308,0.569450189537943,0.6261255400063026,0.5834472905229747,0.5475192504037979,0.6275422465569916,1.001212957301615
10,-14.383402943611145,0.5998349753362067,0.583685586536125,0.7424670079033135,0.5977990275190121,0.5466998508295253,0.6088833334375203,0.6452793435317562,0.6205148606289453,0.8704914798775895,1.151408054310417,0.5938410485133628,0.6015247819864669,0.6412615755854665,0.65407272363567,0.6456763042771698,1.022721594616543,0.599379565380905,1.4804474231562648,0.5713152349037449,0.6258930791218477,0.5844220338976969,0.5460129982960792,0.6269611636143995,0.9976103995434363
