iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4],gamma[5],beta[5],gamma[6],beta[6],gamma[7],beta[7],gamma[8],beta[8],gamma[9],beta[9],gamma[10],beta[10],gamma[11],beta[11],gamma[12],beta[12],gamma[13],beta[13],gamma[14],beta[14],gamma[15],beta[15]
1,-8.139771744608879,0.5998655114046022,0.7792156596957385,0.5937539704594075,0.64788754628984,0.6685667688869505,0.6303848162316478,0.5937539704594075,0.6850736429173166,0.5937539704594075,0.7169762590113105,0.5937539704594075,1.106026148621674,0.7542808336871136,0.9023239582353032,0.905935937654557,0.8156524627202848,0.5937539704594075,0.9366986027970841,0.5937539704594075,0.9113250877987095,0.6951955107757042,0.7412930779029885,0.6684931203704232,0.8376061248642596,0.8904153133237743,0.5937539704594075,0.7988381861861523,0.5937539704594075,0.5937539704594075,0.5937539704594075,0.6539011077697678,0.5937539704594075
2,-11.820114761590958,0.5994603873363519,0.7791229935975778,0.5880643680880934,0.6354864492070365,0.6578155532859196,0.6124457219681819,0.6019968695894757,0.6559904097884847,0.5913449642330502,0.7027358061216409,0.5928756126328033,1.1103436154806094,0.7537442617036759,0.9002406152300153,0.9075903715657276,0.8039780937572051,0.5786062127985105,0.9210691340268592,0.6038864962169461,0.9324896803864541,0.6990268213154651,0.7559901649424268,0.6766270829617581,0.8223715627243775,0.903944109172541,0.5860828686699837,0.8127371160146172,0.5831012313779256,0.5993600470574888,0.5897982633571236,0.63962149836358,0.6015401130600251
3,-12.83714410662651,0.6000372244813714,0.7551576157708666,0.5931130317464259,0.6313834204851514,0.6522378372453339,0.6149820010607596,0.6030062102049629,0.6481882641041699,0.5964916097060705,0.6908281052309255,0.5946778187730253,1.0570416331999577,0.7310051465134662,0.8629311217686123,0.8660308463180033,0.7778493135931112,0.5746958933239554,0.884085813266806,0.6013335611152925,0.9055174072393769,0.6807842443785642,0.7446637114568921,0.6585610315008031,0.8035086879121754,0.8678347675672086,0.5863032181038909,0.7776688652827802,0.5792331588738391,0.6007060197973775,0.5885127682151241,0.6315192144475021,0.6055428610001724
4,-13.802184820175171,0.6008403787496076,0.765454534053676,0.5923142238167216,0.6276555340526937,0.656632024945472,0.6179633360911596,0.6073556569629961,0.6441704633034884,0.5990209318561817,0.6818306823120218,0.597934137699073,1.0863552901119597,0.7358240309763615,0.8642275287905953,0.8834299767278119,0.780803882936369,0.5603087212105947,0.896823825170513,0.6008940286897998,0.9387306666838688,0.679543427233737,0.7614278511010525,0.6614822159644341,0.8170220780156462,0.8931701399480366,0.5818739278257902,0.7769723866760647,0.5712545555536742,0.5996733514829438,0.5910884628464647,0.6250738027910351,0.6122358344755242
5,-14.340384304523468,0.6012050678903345,0.7685559757521652,0.595056923880384,0.6272047485086885,0.659260193146681,0.6175706616553643,0.6035375574178091,0.6473817376071315,0.6003418432168268,0.6834399414392698,0.5998705851456149,1.0981120059186469,0.7435956019708135,0.8724884862445227,0.8950801144779692,0.7910477477453158,0.5642572767223357,0.9096236047700139,0.5999408702107571,0.9376250800384172,0.6881909687885882,0.762883873246066,0.6657406197108977,0.8238721374589535,0.893533656922556,0.584201795811047,0.7752428949346287,0.5705601015038675,0.5977424631636985,0.5932744176417423,0.6257156926945118,0.6119122765634207
6,-14.523311257362366,0.6020234543867463,0.7642229937676007,0.5971969954861507,0.6219728126902703,0.6594509104379502,0.6153782900959189,0.6028392635113418,0.6439888031000796,0.6030489437703465,0.6776923986525297,0.6004326870793308,1.0894134599666496,0.7424269133116776,0.8670712026763443,0.8924497714299308,0.7902570098618612,0.5645142987892712,0.9045143262281867,0.5979244999104973,0.9299732521142164,0.6896589633770919,0.7629595761191095,0.6648509743081107,0.8205307352250722,0.8856422317387491,0.5853929126350308,0.7627257078151963,0.5674682629890472,0.5966557938149639,0.5950501958793429,0.6213416690672906,0.6154591372217142
7,-14.56171303987503,0.6021593627704256,0.7656984817834104,0.597450050429935,0.6182086439289127,0.6622093522685725,0.6125131922888081,0.6050338912173889,0.64253750188807,0.6036462565339402,0.6784718069519481,0.5996586359978431,1.0951764815678624,0.742995966285137,0.8722442535287318,0.8962651418338065,0.7947037043206954,0.5635225250253807,0.9069758519249858,0.5965729999863186,0.9332868936504722,0.6909768991328095,0.7672542591954744,0.6657272421003588,0.8212124290137766,0.8890046193638605,0.5861123240204107,0.7614094067277325,0.5672240224490966,0.5970684378055252,0.5963557981917894,0.6209464331863663,0.6184063488049121
8,-14.569263637065887,0.6023411278923965,0.7650660441192547,0.597658550550399,0.616830275012134,0.6629779917600592,0.6132888716096766,0.6041840787109909,0.643053710024472,0.6036689514626769,0.6771019654585709,0.5983749112731135,1.0930295727102972,0.7411142008002202,0.8721960078172474,0.8957097917222746,0.7956787515294258,0.5636506968321762,0.9056729606427837,0.594315858528188,0.9319012037932278,0.6905341875907282,0.768164624607033,0.6669437494908974,0.8195504941917917,0.8889083727267655,0.5873764220205429,0.7601959539621818,0.5694346023570508,0.5965790369617046,0.599345552661215,0.6215562660906369,0.62142377780212
9,-14.586928725242615,0.6024051384675184,0.7648071073678868,0.5972254866515518,0.617005228379597,0.6621608334479684,0.6131924441445948,0.6045042925565717,0.6425467506581308,0.6040938605998005,0.6773790809299001,0.5985939997031178,1.0939868070862984,0.7410611579462827,0.8717771340516008,0.8950466470169394,0.7948716214757788,0.5637500267806355,0.9055560027835743,0.5950700794549981,0.9323447963065961,0.6904556011518578,0.7682314688534684,0.6661111861973933,0.81907076315587,0.888634304064045,0.5865405824002939,0.7605708182931088,0.5691168616153566,0.5970679992379034,0.5987503925216004,0.621506439078491,0.6213344019945761
10,-14.590511083602905,0.6025225974382802,0.7643419293450862,0.596825455867344,0.6167785588220845,0.661973572141245,0.6131901403558446,0.604362611784576,0.6426425425413977,0.6042054641750013,0.677518438133234,0.5983836223894451,1.09392320640839,0.740699017406476,0.8717439736136495,0.8945327671715534,0.7944896126277008,0.5640425967234898,0.9048535660769574,0.5949626922426694,0.9320033756547261,0.6902148042481531,0.7684143074017312,0.6657556113501227,0.8182098939018307,0.8882678024676991,0.5863724741630335,0.7607172294785353,0.5696142528238376,0.5972767667772215,0.5988403230492262,0.6218554568059338,0.6218035420696094
11,-14.591692447662354,0.6028320126060656,0.7637368196203331,0.5964955587266407,0.616484112113734,0.6618262961934056,0.6132536284064791,0.604310420604113,0.6427697413631646,0.6044078845975066,0.6776926499954041,0.5982091609319968,1.0938485479281599,0.7404662106398691,0.8717931342283209,0.894064226813337,0.7942578148816419,0.5643712736006262,0.9042083858863933,0.5946091958356919,0.9314551345040266,0.6900750310685546,0.7685886597922278,0.6655201680082187,0.8172855549496143,0.8877322356798133,0.5862183680400392,0.7607444541457399,0.5702949142750442,0.5973689634030614,0.5990990887785416,0.622206026834676,0.6223341104429045
12,-14.59224671125412,0.6031022047607554,0.763245159142821,0.5963383154456778,0.616337776089617,0.6617796443619395,0.6134097246161789,0.6041083480146942,0.6429226125826173,0.6045962536084437,0.6776339418557212,0.5981485944473082,1.0940866759796148,0.7403705435503815,0.8716824376136819,0.8939052341945661,0.7940965637395576,0.5646002199378458,0.9037881954041481,0.5942434812145414,0.9310765817114914,0.6899280157736497,0.7688501796274148,0.6653902111758853,0.8168195029549628,0.8873878693551948,0.586096270451299,0.7604478662776293,0.5706954825465361,0.5974309481239791,0.5993085800202985,0.6223426636123989,0.6227385673143484
