iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3]
1,-9.192259311676025,0.5994072373602911,0.6472617615123131,0.5987673327674781,0.5987673327674781,0.612254640841402,0.5987673327674781,0.6588768759236667,0.5987673327674781
2,-10.986210942268372,0.5991619901767546,0.6499599850212684,0.5077385964528196,0.58156683067952,0.6212785954934309,0.570312372560944,0.6511478622662613,0.5848038826920605
3,-11.842254862189293,0.5982961134057017,0.6312199566518624,0.5136337725989555,0.5876074422678961,0.6149861699921594,0.5445988858399644,0.6561123143742205,0.582583672204205
4,-11.89821170270443,0.5985185354203733,0.6184300409631065,0.5081855224222399,0.5857171260978752,0.6129392554621969,0.5399773274455256,0.6464997378616725,0.5794061158431492
5,-11.9831001162529,0.5997440411213885,0.6082456823162934,0.5079273061370786,0.5764430144091232,0.6079777307621493,0.5404310962549904,0.6460777852254304,0.5689357103498952
6,-12.098415911197662,0.6032799971376083,0.5921978412883976,0.5027333106102894,0.5631437310928047,0.5986645707979698,0.5456194871923705,0.6512000470867019,0.5395803103237518
7,-12.167669981718063,0.6063062608036829,0.5834617813974311,0.5067406053290062,0.5549302342454474,0.5858254332125112,0.5497047771198849,0.6474872794780168,0.5184804170625461
8,-12.21012482047081,0.6149726247298463,0.5681515785997857,0.5047915355960075,0.5361328523849127,0.5517451838192787,0.5443596289973148,0.6336315326735706,0.4661544673645302
9,-12.33439564704895,0.6194843583473141,0.5750078892874265,0.499863686034873,0.5417545091197082,0.5370169226262788,0.539809084235395,0.6244313278814984,0.4759957468979929
10,-12.350174903869629,0.6195903271971542,0.5752847674237672,0.49772233674468525,0.5442277183186759,0.5309030495312076,0.5398202218910073,0.6187793313502815,0.4802682392455647
11,-12.353903353214264,0.619785295163844,0.5757925955780651,0.4980324221622339,0.5442484328689107,0.529987927939275,0.538260827803708,0.6150885019346047,0.4780692425598088
12,-12.353975147008896,0.6198131093761302,0.5758220693067375,0.49805210642283754,0.5442324944010329,0.5298642102948327,0.5381401446110291,0.614783887813053,0.47784276293418154
13,-12.353975147008896,0.6198131093757093,0.5758220693067087,0.4980521064235705,0.5442324944009681,0.5298642102962197,0.5381401446115608,0.6147838878127588,0.47784276293359834
