iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4],gamma[5],beta[5],gamma[6],beta[6],gamma[7],beta[7]
1,-10.388584107160568,0.5965222255500269,0.5951266226136944,0.6491285609082407,0.5951266226136944,0.5951266226136944,0.6785497332666338,0.5951266226136944,0.5951266226136944,0.5951266226136944,0.8723357228052211,0.5951266226136944,0.5951266226136944,0.6485988998569516,0.6524064632633877,0.5951266226136944,0.616079710028755
2,-12.19381308555603,0.5967249495562663,0.6044352029195581,0.6533768884492609,0.5834783972649215,0.569630938089591,0.6695823874248082,0.5881576735205393,0.58323978999343,0.5859817545869115,0.8955023869826217,0.6056573550621748,0.5999795115593908,0.6735214002549308,0.6695275473474311,0.5973944709940064,0.6070261040973427
3,-13.30263938009739,0.5972163449111586,0.6072312177975371,0.6465950253011241,0.5783166616662265,0.5618779161324094,0.65138067285916,0.5881551898618372,0.5784434023085084,0.5823839056062489,0.861534024281941,0.6111887218675266,0.6013274304429066,0.6774467124688933,0.6660617214962935,0.5999246041923766,0.599872628918721
4,-13.62309530377388,0.5974441603192997,0.6075889247300114,0.6461006884298847,0.5762611835628995,0.5612857838613629,0.6510715281756028,0.5959812783289004,0.5752467415645075,0.5788114566811339,0.8663771300994607,0.6206391707121224,0.5970186434111173,0.6870987360521418,0.6634682870922681,0.5997021730639498,0.5917913654207921
5,-13.871343225240707,0.5957255906279778,0.6028452959100508,0.642621517115859,0.5752059701085892,0.5635793539530852,0.6585654628869652,0.6030473304841766,0.5729570957326015,0.5687408706967186,0.8653202497677382,0.6265575056130032,0.5915100216113401,0.6986778715516672,0.659194600202762,0.5997964596066758,0.581100506803247
6,-14.046909511089325,0.5946704606178145,0.6028073173317673,0.6318108482041344,0.5760266464885664,0.5651660665264472,0.6727979052606123,0.6123323058644299,0.570598824566521,0.5511083711042281,0.8608305388878484,0.6305021696786459,0.590748614519836,0.7082505413735747,0.6544837582100342,0.597598262471809,0.5695005240111636
7,-14.157742381095886,0.5947297957297951,0.6103491484057455,0.6185207589715307,0.5745834942222641,0.5721441109264147,0.685840750622561,0.6178161118195478,0.5699745752742735,0.5317673579666335,0.869248639981613,0.6265275031013883,0.5911925548907767,0.7208154182592612,0.6532917848330398,0.6004106363129734,0.5712890465167125
8,-14.291453450918198,0.5956538081521374,0.6139646265403274,0.6140490863227738,0.5747241640088303,0.5742786130360458,0.692106684509708,0.6190801715978597,0.5722443130704574,0.5260378314126593,0.8645584425279776,0.6282759188147738,0.5943536879597868,0.717596655534346,0.6527563249990253,0.594949069980073,0.5771004314400419
9,-14.389256328344345,0.5957390830141522,0.622227586883939,0.6046208740649662,0.5718218829399041,0.5774018790805149,0.7001859347408762,0.6207287664357853,0.5737087997982583,0.5152976320475438,0.8613811482328513,0.6320509584239212,0.5982889919523687,0.7190818814702968,0.6522655311955166,0.5904663822943248,0.5873157324172649
10,-14.454460740089417,0.5963389249379811,0.6330031442164965,0.5929174632515595,0.5645268274448848,0.5858374828996865,0.7137321305526833,0.6245748883435882,0.5753953197367321,0.4966475268602033,0.8555813722493625,0.6410925674988379,0.6013175503831995,0.7246186406740206,0.6509581221584082,0.5854031408697621,0.6047832200642183
