iter,energy,gamma[0],beta[0],phi[0],gamma[1],beta[1],phi[1],gamma[2],beta[2],phi[2],gamma[3],beta[3],phi[3],gamma[4],beta[4],phi[4],gamma[5],beta[5],phi[5],gamma[6],beta[6],phi[6],gamma[7],beta[7],phi[7],gamma[8],beta[8],phi[8],gamma[9],beta[9],phi[9],gamma[10],beta[10],phi[10],gamma[11],beta[11],phi[11]
1,-6.634594172239304,0.793525029116392,0.18542248567602218,0.9573015873881201,1.021140779028753,0.25366007712004734,1.2286284883230048,0.7876791082367544,1.081677048895837,1.48057775567541,0.0991688680047783,0.8898240709450901,0.43182412415373994,0.7498895731074325,0.1266268266805277,0.2866264739655608,0.9510086242644313,0.0868731103387055,0.9275007711024257,0.8488280132922245,1.0546999517893274,0.30908041833770733,0.8961625211401408,0.8193827773508706,0.5718932778979255,0.9590861320035781,0.0919086833223139,0.44465916938455735,0.20169157548542363,0.1377210946712765,0.4281362314059821,0.1595048299960363,0.935367973383274,0.07713688824649435,0.2673466138801802,0.9098408014445746,0.23845484483789975
2,-8.185195617377758,0.7936549378755327,0.185484434962144,0.9685349501567089,1.0430276462140318,0.25437243508838076,1.2417403827211357,0.7843202734247189,1.113542149413235,1.5253705304779364,0.10491215823713003,0.8892021128535001,0.42634383440562235,0.7485628835518308,0.12095343214953991,0.28126090579945556,0.9505228343019825,0.0918941049471727,0.9350696827116385,0.8483629393266575,1.0548916479540433,0.30597425485333846,0.8945014539165881,0.8232349599448985,0.571652430641706,0.9891292580236897,0.09889908057809718,0.4490792576646494,0.20355427901716885,0.1484343431215867,0.41989702161971854,0.15388096671907417,0.9339853239630211,0.08159612546320248,0.2788066337106159,0.9134122674587226,0.25144473467585216
3,-11.363715022802353,0.7943873874129058,0.18290241350140665,0.9604008492193712,1.0012614330076222,0.23022701427344516,1.196520575624623,0.7711947048789793,1.0818415232489778,1.4583375647018741,0.10132724786480654,0.8936490288270142,0.41833252913197605,0.7467337866416812,0.10426105097509934,0.26979422881015075,0.9471669631691885,0.10223251881583605,0.9493773140514191,0.8485657772107424,1.0360472299767365,0.29615288100997966,0.8931636992064969,0.8434433811101176,0.5757901268809489,0.9444107641244328,0.11672136157873547,0.46635801333571314,0.20200221661403128,0.1666596994595439,0.3918312309960965,0.13348902094586704,0.9368289019299054,0.09194969479455166,0.2748524498178807,0.9192355328976684,0.24075816907836076
4,-12.831902638077736,0.7958272372010459,0.17809031746277892,0.9587568369355142,0.9903410084584637,0.2322238826348839,1.1862657905616572,0.7665120964433534,1.065654996056154,1.450636018581352,0.1054289171844681,0.8887787676133224,0.40972724131302296,0.7437721411114765,0.10371901793560696,0.27034314901553186,0.9318803480313489,0.10557258110674837,0.9522580141405989,0.827746102804617,1.0283091423678905,0.2958582796627524,0.8976306437312387,0.8633040616122735,0.584520604369999,0.9372059790532316,0.13262916795073612,0.4845346637411445,0.20182829301199928,0.1664990381782533,0.37929388197721386,0.12632116605414587,0.9366166012351445,0.10682992429261294,0.288890923173417,0.9280051148894759,0.2521143242614977
5,-13.052001476287842,0.7969918874375509,0.16484044972344825,0.9591930430175762,1.0145305001161766,0.27140860444935566,1.2223989149237366,0.7624436090320909,1.0791892147821893,1.532392151441932,0.12911509784731026,0.8800569126796047,0.40413070385535144,0.7346332165859795,0.11525991400606672,0.278713027150163,0.888234457976213,0.10172090519703877,0.9545012357658513,0.7718275831715983,1.0256768872997584,0.304352047631273,0.9076897047087786,0.9016716605916448,0.6050168869899188,0.9741362511459767,0.15777932769083533,0.5142893218239858,0.20265810983913204,0.14407026628654226,0.37633333872408437,0.13461327338448106,0.9215082045584059,0.12855343674551387,0.32988082819224757,0.9394847512738558,0.3050534388405505
6,-15.956269234418869,0.7982254572130834,0.1659551233995726,0.9528944902914117,0.9861661358398738,0.2471551975043255,1.2022855510165895,0.7739166160067215,1.0455183898015885,1.4661706839118736,0.12368910843514165,0.8929013121033361,0.40339736092826983,0.7379754033391616,0.11384257635474716,0.266156341075888,0.8886924444712689,0.10467706727619816,0.9460445976791868,0.7778434935951937,1.0291402827642655,0.31132389272122163,0.9068571456441966,0.8915406862209531,0.6061217095563568,0.9228889515632288,0.14674932311784344,0.5090851647524645,0.22239234655789017,0.14384309152276462,0.38592902092440357,0.1412288389913159,0.9041883575150393,0.12771905943935208,0.3133543370986934,0.933271037905809,0.2903004992164308
7,-16.43882641196251,0.7986049111048866,0.16519649419906166,0.9529395473008565,0.9833064752682192,0.24425977894126985,1.2090510976221827,0.7734710137479298,1.0524951573901125,1.4669735429682105,0.12628159250501858,0.8918188080005797,0.40649427692472095,0.7398909048347082,0.1158802214268978,0.2627594220158248,0.894479994223621,0.10725787124820277,0.9479927063372361,0.7848037929427443,1.0286633161709156,0.3100105508481262,0.9043316570484057,0.8869897967498747,0.607302923048659,0.9151730488526175,0.1397975144903215,0.5113709264830315,0.2275361402942741,0.14589019340012604,0.38283617014688487,0.13680846729437987,0.9014290518345,0.12113157899737212,0.3105300168359114,0.9339448194740199,0.29073191627497774
8,-16.698592364788055,0.799117633992549,0.16438135513708382,0.9560488720093104,0.9877473156955952,0.24992332077953758,1.2197142743821285,0.775318744348888,1.0556518012984593,1.4789875826606373,0.12779838537302504,0.8881774232418186,0.4081867250314861,0.7399996083677564,0.11892523983559106,0.26148040036020376,0.8938274504267091,0.10716165995388965,0.95094680703845,0.7854822860692757,1.02920006803997,0.3090157689403812,0.9036702911628434,0.885810936661896,0.6094107349514029,0.9169493045458926,0.13589041315871697,0.5108880546179115,0.2278673359983908,0.14035398144265765,0.3815284688949,0.135133629501624,0.9017565459913371,0.11990031501202843,0.3126027314483482,0.9366650326687894,0.29633329470045217
9,-17.039478331804276,0.7989204517012628,0.16344305164674283,0.9640509290796356,0.9937608938502842,0.25095426646109126,1.2344435875884279,0.7823457034290718,1.0533829931685477,1.4859858382908704,0.13138252813758222,0.8827838662985835,0.4133615166212841,0.7405853480418982,0.12375385644278805,0.25325220381788355,0.8882042479421528,0.10926007765083574,0.9589410926838664,0.7844441697577096,1.0290510566466802,0.30417896855207044,0.8986815797560855,0.8893954428514852,0.6164927448839082,0.9125341747731014,0.13449275809417272,0.5112003886393225,0.2362472813441031,0.12879565347577948,0.37804548546201605,0.1314719619798675,0.8960851855192554,0.11880220078375102,0.3157325377190266,0.9442892038490792,0.3059481371617697
10,-17.062974363565445,0.7995447928146122,0.16268571319841302,0.9692897947119405,0.9934429651396144,0.25098110072255436,1.2476445879114424,0.7921261500436224,1.051857706161569,1.483872282194645,0.13113410578441215,0.8753103596911787,0.4144908867071896,0.7419174825988076,0.1290146613106497,0.2435551329385645,0.8863853988005882,0.10822299738025891,0.9661211855968984,0.7866811616049022,1.0307036695135907,0.3030505959160726,0.8962460479052039,0.8906963300999279,0.6220933064884976,0.9011569990373762,0.1299485849931946,0.506651763009386,0.24697884884597673,0.12321351751496314,0.3763743563589759,0.12630990767792336,0.8948079633037843,0.11847277731758579,0.31895607137530657,0.951918070458205,0.30985221032477844
