iter,energy,gamma[0],beta[0],phi[0],gamma[1],beta[1],phi[1],gamma[2],beta[2],phi[2],gamma[3],beta[3],phi[3],gamma[4],beta[4],phi[4],gamma[5],beta[5],phi[5],gamma[6],beta[6],phi[6],gamma[7],beta[7],phi[7],gamma[8],beta[8],phi[8],gamma[9],beta[9],phi[9],gamma[10],beta[10],phi[10],gamma[11],beta[11],phi[11]
1,-11.198745220899582,0.7650007141355689,0.31520725114042425,0.9798658464322035,0.611253731066519,0.0010981156114106625,0.006891229095508241,0.3829570998528519,0.38538061301794424,0.9216243651883959,0.1574604702361282,0.556916469222058,1.1375784008535474,0.11503000638825371,0.9756213329101638,0.5851124357549781,1.3328113377312274,0.31462645399856964,0.927149368667873,1.1902512602105801,0.5954472907562911,0.6963197590969171,1.2842640640001097,0.3922616538753898,0.2843374474256306,0.5026093421130909,0.3030475937223391,0.9490089204658675,0.46927678825399327,0.6932254522048454,1.1596282833013103,0.3758984597032331,0.35728143810075347,1.1965963033278124,0.0828274531817798,0.7947327543595651,0.7353150063065623
2,-16.11552530527115,0.7650919526136251,0.3254923475308202,0.9700704975827014,0.6072422571652734,0.005945443798169702,0.005288967290251436,0.4020780784659182,0.3803773207143621,0.8939186068924787,0.1551262578468582,0.5395414424514767,1.169603815618152,0.09564218581399336,0.9525465124202908,0.5753438334787675,1.3566064264691489,0.30699269631514475,0.9233125992666709,1.1813620023894333,0.6091024750937046,0.7238947655139919,1.2984786496215732,0.400993434045455,0.2759697398611998,0.49764470682408496,0.3332452784199725,0.9519498831358311,0.46119785932578883,0.733167684679238,1.1806959632713758,0.3754561412576182,0.36061794961338645,1.184583955642968,0.10914011867090855,0.7763070926565869,0.7289490753472426
3,-18.44328510761261,0.7650891075650122,0.3303368668582542,0.9661211413627162,0.5967944590575394,0.006468303824722805,0.005072999228443988,0.40486926201379597,0.37935973511792415,0.8844862176417673,0.14364423474741955,0.5347473396242339,1.157231410222794,0.08976503590644135,0.9276531717429207,0.5716023754692315,1.3337533694086963,0.30383557642728615,0.9217209357857833,1.1682234983993154,0.6039788938427502,0.7225687384199427,1.2851223084222403,0.4050342777410139,0.27514672134322066,0.49507142864042786,0.3398700676271792,0.9535718601498082,0.4576096591119127,0.7160089206557434,1.1706177018080333,0.37284988327910645,0.3593164670222694,1.165651535881307,0.11443470665664555,0.7738789695499583,0.7265265312602898
4,-23.17110386490822,0.7649482702598136,0.335739303190558,0.9641776383276951,0.5814283365518105,0.0024123907804159076,7.243969513240963e-05,0.394020864630738,0.3825553125002497,0.880677934296079,0.12794022482284315,0.5305012519787665,1.131500657372297,0.0969767174224998,0.9092302930157072,0.5765986455475206,1.3057172840942621,0.3002013460421073,0.9199394304258969,1.1658881396032683,0.6022680092203807,0.7045724911098,1.2729203810862437,0.41531458972203966,0.27602702499201903,0.49646198126950675,0.325640135492215,0.9572673611677208,0.4556535889224789,0.6959133021822819,1.1616020256500115,0.37667594936557736,0.345320320491108,1.1405537554749976,0.10935913140719601,0.7789961383521484,0.7265676000064447
5,-25.33542050421238,0.7651106985162457,0.34731342956113365,0.9690329396547005,0.5739873782896724,0.004490788982466285,0.0,0.3866063965771841,0.378286654418767,0.8788582469116348,0.10287260321813547,0.5216658424978781,1.1195868629404768,0.10969765315173233,0.8921986633967162,0.5795767860656234,1.2928161408065575,0.29000585752918906,0.909933886117803,1.164765458864489,0.6130506653124506,0.698228716652254,1.27246334176006,0.42009223434517445,0.2720994529393896,0.49802343855130066,0.3096888328766961,0.9576848043045516,0.4545065660550438,0.7041213178361305,1.1675088673693015,0.3902292233460817,0.331583121844176,1.1218729067565028,0.11731932688392434,0.7796509165383199,0.7328503101399193
6,-26.17006677389145,0.7652716043284963,0.3451457687740638,0.9815040222723844,0.5856237746930926,0.004406921042435126,0.0004060192530883215,0.38521283567328396,0.3816903998999,0.8941702760395666,0.09882730017320063,0.5309489181856312,1.1193802797308954,0.12242370773367055,0.8993040526017115,0.5773800233588732,1.2970159252353488,0.29419023951609513,0.9114594385436868,1.1639759155357852,0.6146831775851322,0.6950868966423458,1.272499231457353,0.41332575473875216,0.27680143117365796,0.5012000010820205,0.29934105318100884,0.951181968397669,0.4547691294543472,0.7057954061848527,1.1670757786705113,0.3956566073260394,0.3335986337689202,1.1319366750885445,0.11263764782134954,0.7788403488052213,0.7354339910353093
7,-27.195790469646454,0.7650955543301652,0.34606273235527135,0.9792087890995114,0.5830040935224908,0.0042210340687066986,0.0,0.38712487460912043,0.3801487593368404,0.8885550648807161,0.0970367652356205,0.5275291500090826,1.1187119933801217,0.12038891625399176,0.8907460930705785,0.5771915542846204,1.2932575796753125,0.2944873932149887,0.9108232815935369,1.1586529394372451,0.6131689019301276,0.6955964638647436,1.270976178562318,0.4164228500470735,0.2771546708633059,0.49930290529029014,0.3080857867067993,0.952180172003312,0.4548609609165735,0.7060521681652906,1.166000233363464,0.3929392806954255,0.3346752409921388,1.1281620849810066,0.11298497173714692,0.771452364134542,0.7342028541122168
8,-27.5102316737175,0.7639754805082448,0.3482656095893787,0.9810891935491536,0.5829354314625426,0.003933479740412243,0.0011881791264854232,0.38582376573759136,0.37970350594849817,0.8887384155223403,0.08994188870065853,0.5260663705530034,1.1164473426825825,0.1250882596166964,0.8809715783924458,0.5774224650363697,1.2876045180438374,0.2959822030166564,0.9101579766675657,1.1529758363383895,0.6144517296317827,0.693034832720846,1.2695702449159159,0.4180051887423265,0.2792684655027143,0.5000795957523447,0.3105411089177221,0.951600184453991,0.45572075199429646,0.7073962788978737,1.164534145433617,0.39377147719160027,0.3331286940612854,1.1239065510412531,0.11216311020870207,0.7652612731025131,0.7353753823938558
9,-27.629055440425873,0.7633772803576934,0.34811338661034075,0.9817749550096605,0.5861223396373211,0.006844226554881442,0.003931752303618237,0.3843156511381429,0.37993199883304046,0.8911269565214501,0.08657528154114086,0.5251118919889699,1.1174342886980622,0.13071210447730322,0.873901165576945,0.5765194895209884,1.2838062792866267,0.300806569546356,0.9107660507802438,1.1475865904687077,0.6175029797310616,0.6906000256516922,1.2706850829780683,0.41896761138424427,0.28054644377319743,0.4998829045831007,0.3149181362287728,0.9482395641219354,0.45828464209590675,0.7104537629009319,1.1622164108154562,0.39469779519362846,0.33119208067580835,1.1230678510189578,0.10724565563082888,0.7598578542013702,0.7366166796851521
10,-27.688003718852997,0.7643220907723264,0.34760360739757107,0.9812855772784499,0.5878783383420625,0.006099152458448849,0.003926940274952518,0.3843512752101677,0.3803417328554959,0.8908037395747741,0.08632947697056784,0.5241487168473339,1.1184466517180092,0.13194147443902798,0.8740705960122463,0.575394333495266,1.2831650526277756,0.3012324856441004,0.9103040931772987,1.1496424103869134,0.6183378614692427,0.6902744508250632,1.2711738858537818,0.4194206811865425,0.2788770779763621,0.5001515834066402,0.313682935207446,0.9471012069836459,0.458497042954391,0.7097675358638964,1.1614156334167145,0.3949917883995521,0.3306528977039738,1.1213116519005077,0.10818898866535971,0.7615860310807793,0.7371367840024345
