iter,energy,gamma[0],beta[0],phi[0],theta[0],gamma[1],beta[1],phi[1],theta[1],gamma[2],beta[2],phi[2],theta[2],gamma[3],beta[3],phi[3],theta[3],gamma[4],beta[4],phi[4],theta[4],gamma[5],beta[5],phi[5],theta[5],gamma[6],beta[6],phi[6],theta[6],gamma[7],beta[7],phi[7],theta[7],gamma[8],beta[8],phi[8],theta[8],gamma[9],beta[9],phi[9],theta[9],gamma[10],beta[10],phi[10],theta[10],gamma[11],beta[11],phi[11],theta[11]
1,-21.985998064279556,0.5986921447525908,0.5981881389420478,0.6077598172846987,0.5981881389420478,0.5981881389420478,0.5981881389420478,0.6448962184149665,0.5981881389420478,0.5981881389420478,0.5981881389420478,0.5981881389420478,0.5981881389420478,0.7320915222393911,0.6095581182498863,0.5981881389420478,0.6038956995082627,0.5981881389420478,0.5981881389420478,0.6018893306628055,0.6220626263043051,0.6247749397435343,0.6039644362187089,0.6123781811271123,0.63209261278266,0.6728274735922339,0.5981881389420478,0.6159562055681775,0.6151295072938919,0.6310206916494853,0.5981881389420478,0.5981881389420478,0.6053224506872544,0.660856139481006,0.6477181390411234,0.6296645349298707,0.6029798292852901,0.7108258702264758,0.6668938235066874,0.6539638909470744,0.6246356085737109,0.6221165010233035,0.6758574620986605,0.5981881389420478,0.5981881389420478,0.5981881389420478,0.5981881389420478,0.6417157522451307,0.6622438779324472
2,-23.717317268252373,0.5991151989951533,0.5940778677553847,0.6117041592126866,0.5984129246948704,0.5935346499403023,0.5981823830453397,0.6561394902023779,0.600575486561386,0.5987552564351333,0.5968741291736487,0.6011669970634103,0.6029937924596054,0.7585499851496866,0.6150097259983138,0.6023523462890263,0.611441125495392,0.597627967120681,0.5958789925250328,0.601079426913361,0.6272745787645835,0.6338898726998837,0.6047317299004791,0.6136509289642538,0.6397829312231362,0.691064829722857,0.5985643291819526,0.6186531077599937,0.6218288924046751,0.6425579717454902,0.6006704819031023,0.6003232442989376,0.6069177375525666,0.6768079318801673,0.6581125221348622,0.6337555023158574,0.6074680280886626,0.7408037674078036,0.6822269123564466,0.6608969063560833,0.6326495371406664,0.6299021618797284,0.6923745756201845,0.600812432557067,0.5937347519210878,0.5982948612607832,0.6037515241916384,0.6464627358220348,0.6771636720944841
3,-28.42932003736496,0.6008283502197301,0.5766924311801281,0.6092754069624042,0.6001527646147778,0.5874188368460734,0.5963935424626489,0.6436843533814903,0.6012935953549162,0.6002445893722307,0.593020289818347,0.607449496979169,0.6091840726341723,0.7355441863202649,0.6206653814169061,0.6072529155431493,0.6195983885117624,0.5945421850709578,0.5950461096910294,0.597387967812019,0.6201906647937506,0.6381552124930956,0.6057713090786911,0.6092930707713042,0.6416625225596042,0.6862997938253756,0.6018652791128866,0.6143810033699427,0.6256931695804508,0.6424955945477492,0.6054189841049628,0.6106479029015611,0.6097077861385282,0.672120919265741,0.6486669229006429,0.6268693718790048,0.6154450926313128,0.7442742992601725,0.6834575729055165,0.6480691537285644,0.6366877588754448,0.6337439632660032,0.6843308207688771,0.605291740595714,0.5866221750067798,0.5991734673564559,0.6125220374355285,0.631460131036743,0.67384351293707
4,-31.815505772829056,0.6008165405031922,0.5498807651696775,0.6026871534051595,0.6033142759570806,0.5796129725722822,0.5926043950564455,0.6255468258166188,0.5969477870741973,0.6025129994706876,0.5918747990774539,0.6166853577638816,0.6194045753410595,0.7062632348376813,0.6332704200579126,0.6179313020603103,0.6282219464701874,0.594071624034806,0.5921876508228882,0.5993780086045116,0.6105100688274472,0.6395433701984381,0.6035737901262969,0.601328979534678,0.6473588089963346,0.685188036576938,0.6044634814256462,0.6081664191702488,0.6308153747688591,0.6399641914979057,0.6099567503535502,0.6202345229088347,0.6124315529846877,0.6706005602911217,0.6448845408744249,0.6148715363350356,0.6265247949384019,0.7605929536463021,0.6931391769396358,0.6341613589240724,0.6401653702877873,0.6386333926626045,0.6791162414414745,0.6196524189500506,0.5860540885830018,0.5999227878967875,0.6261884805415414,0.6209424207517769,0.6730154102865926
5,-33.20747244358063,0.60396073873754,0.5374909941814215,0.5969149107722617,0.599214022534894,0.5793971070970935,0.5915739720845683,0.6164513218799674,0.5920376248066248,0.5981940205195915,0.5939343389952244,0.6209996749124481,0.6307922475808015,0.6917269047987374,0.6275943926795594,0.6232764769952138,0.6328812577988422,0.5976262328123224,0.5913550959520232,0.602069113971347,0.6122110425681001,0.636533983528141,0.5981389599550705,0.5891431667650575,0.6499563601988386,0.6870094231580629,0.6069441246160626,0.6068157752366595,0.6289436096511481,0.6352070036194892,0.6128122426217578,0.622000171198597,0.6181073379405021,0.668847193671229,0.6503239117938359,0.6095399950126275,0.628366055384357,0.7783547881484144,0.6993650177124608,0.6339531719203494,0.6437243130092665,0.6419422272629052,0.6698541075288585,0.6224169429237263,0.5988812033755329,0.6066172498492123,0.6352779982684956,0.6275673447938691,0.6753508951379816
6,-34.284085631370544,0.6056938678529924,0.5313528420586103,0.5931828998639995,0.5914382837471068,0.5767451462986803,0.5909732538272491,0.613156263103598,0.5941608541016624,0.5974482205599483,0.5969253779516621,0.6218535601143903,0.6386654677048167,0.6944502718755883,0.6251197935405611,0.626685728247257,0.6347383895728119,0.598065212353044,0.5852628198779485,0.6028112790330108,0.6156538566935157,0.6317836880647918,0.5968003479884839,0.583393085371936,0.6501773098601247,0.691410614726696,0.6043642949531702,0.6133226167935877,0.6303547195988329,0.6329799968456684,0.6150704540167291,0.6194288682307687,0.6221474672955525,0.66401066739189,0.6557786591164215,0.6108814314866944,0.6301457814475268,0.7907912204878413,0.7064553350408447,0.6388851297544451,0.6464531661165573,0.652748367874888,0.6708922785007624,0.6255428173191767,0.6121886444899912,0.6130162626496581,0.6386988129755119,0.6375610471325979,0.6793212029379575
7,-34.82169350981712,0.6098543115640165,0.5187928825496843,0.5870600184049362,0.584299662624924,0.5719038950783434,0.5886369625553864,0.6036720222373929,0.5974021108858404,0.5955171860650296,0.6009335560179555,0.6215514948487635,0.654487672526461,0.6949120620462527,0.6209857022808647,0.6267530868174804,0.6402906989893664,0.6014698516020128,0.5764460589712163,0.600143311156413,0.6190214593001866,0.6211806692617317,0.5917204185247775,0.5780063135861861,0.6505540288241259,0.6973015745851028,0.6028564860762015,0.6206621278481164,0.6330190810374069,0.6308934742565385,0.6169118032287313,0.618245142312083,0.6293746229870285,0.6578250245576971,0.6592988216153264,0.6173426863776159,0.633797418999959,0.8061919355030261,0.7192403784518032,0.6467009771404856,0.6459819958348313,0.6709236258779679,0.6774194381278492,0.6361232247015379,0.6325246330115848,0.6267934736295198,0.6447550960489844,0.6508100577488529,0.6876216654380257
8,-35.886966437101364,0.6110002223159947,0.5126502101672905,0.5884115544966582,0.5835226564924857,0.5735647863362209,0.5899961626077078,0.6026388515250487,0.6016091687062587,0.5956770749640253,0.5994930585362561,0.6239454225115185,0.6588983144350429,0.693345405951673,0.6219207078889755,0.6226391218555721,0.6412323179610324,0.6012168707497451,0.5766596146803881,0.5944649990657289,0.6140138848464198,0.6174318010562438,0.5917782588000813,0.578226583459276,0.6459667177454325,0.6974524717782086,0.6042557809786351,0.6211498730826034,0.6324878151297012,0.6276775044935252,0.6122581724295811,0.6173798340338622,0.634151140326674,0.6579699955372995,0.6590416297277736,0.6217729840630634,0.6378659473164813,0.8009404360640353,0.7208178753135522,0.6512214235992827,0.6416676861482012,0.6736559389107243,0.6830141980395124,0.6462965052818115,0.6400561762960519,0.6319153959937625,0.6458573746427234,0.654211162192744,0.6879503188743152
9,-36.96464645862579,0.6137854323723033,0.5025586963001147,0.5912256273655067,0.5820826831213483,0.5740815237612258,0.5905631651057679,0.601594330756716,0.6063633681341185,0.5966106367229963,0.5977868494964349,0.6301597489089079,0.6671215196895077,0.691093046301726,0.6237709472159806,0.6185679978188309,0.6433027008563238,0.6007914208760833,0.5790551886781029,0.5842098999987517,0.6055858932935992,0.6120673669942672,0.589596930930787,0.5804691955391968,0.6380661291932879,0.7015342551555515,0.6068390102949789,0.6194976168849672,0.6339120539623884,0.6246099890851837,0.6016021313012108,0.6186277425185001,0.6420693869745963,0.6611807475976172,0.6589982269909125,0.6275871880071877,0.6469393336917236,0.7940019698935556,0.7252470126542976,0.6612854972642924,0.6379649789430242,0.6757743266750489,0.6943184548421757,0.6650355785179187,0.6512791831058603,0.641557980793694,0.6483697184570959,0.65709584462934,0.6897390703380322
10,-37.97114706039429,0.6155124090823304,0.498875734234472,0.5906800689583273,0.5859692534456478,0.5787132043578507,0.590432286210806,0.6055001447632887,0.602980919287513,0.5978454108584439,0.6001184300309207,0.6366600808170968,0.6731991906892786,0.6900193720536041,0.626701031270461,0.6179011468059205,0.637811722373702,0.5980545882411475,0.5836164957644346,0.5810938782979735,0.6047290575724398,0.6083412164651931,0.5884227162368726,0.5833537755837894,0.6381144937932008,0.704217738281276,0.614330169302899,0.6176466941257922,0.633794677633106,0.6249335451575841,0.5967423477164954,0.6209209208490164,0.6485547143512965,0.6642058031540813,0.658033044336707,0.6297598865707316,0.6487133232909736,0.788839607930623,0.7308944335993375,0.6667050938086039,0.6441390052460984,0.6761247853101714,0.7003662358896238,0.6756329577401787,0.6539421268234282,0.6467963559060833,0.6474489060623664,0.6568148441280259,0.6935206061000388
