iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2]
1,-9.163719333708286,0.5867491605005697,0.544295115314403,0.544295115314403,0.544295115314403,0.7326226263692975,0.544295115314403
2,-9.25620886683464,0.5862454291016397,0.5509461983894731,0.5330465079832131,0.5410875853786258,0.7369965745336584,0.5401188988867123
3,-9.32210847735405,0.5872627591621127,0.5614159359583013,0.5303241177239076,0.5455286396202663,0.7226971470217051,0.5425262506532749
4,-9.71419420838356,0.5857201012976515,0.5863023844323881,0.508337153575783,0.5682613466858216,0.6863958787658467,0.47283589785424984
5,-9.769113719463348,0.5866004504111899,0.5823968356808961,0.5123794079571543,0.5661246002440123,0.6958536287418007,0.4600549664326216
6,-9.773642808198929,0.5872345898364009,0.5845077169048973,0.5102819587016494,0.5670765896975288,0.690626621116145,0.4547734031801254
7,-9.774698048830032,0.5863639558601242,0.5847705434496757,0.5096761838032641,0.566509417870529,0.6909700402116834,0.4528953328419694
8,-9.774940460920334,0.5862682815492687,0.5846662770412603,0.5098565304155678,0.5661101394103991,0.6914314273322612,0.45339299100715275
9,-9.775104284286499,0.5861746153141735,0.584705083989436,0.5099201939519021,0.5654578934813581,0.691886510188392,0.4531439783035125
10,-9.77511402964592,0.5861229071980052,0.5846729425389149,0.5099105834329072,0.5652441818175286,0.6920376749603745,0.4531752765463049
11,-9.77513387799263,0.5856995653810225,0.5846489920213928,0.5099235050355033,0.5643739595499914,0.692255684625374,0.45320095691857326
12,-9.77520802617073,0.5856678835241222,0.5847850817977961,0.5097558171829634,0.5636242237944309,0.6920247022084419,0.45335435598718965
13,-9.775220096111298,0.5856674028450529,0.5848236655181913,0.5096916016607468,0.5633563742422214,0.6918840412481668,0.4534461400305402
14,-9.775456815958023,0.5861370747466198,0.5848996362347638,0.5095621821496508,0.5636200245721952,0.6913769749920361,0.453500752425411
15,-9.775487720966339,0.5863766684869218,0.5849643489286542,0.5093890483811803,0.5638086009376135,0.6910189045911155,0.4535528199663702
16,-9.7754947245121,0.5863812268839723,0.5849651551739711,0.5093860000309098,0.5638115676091441,0.6910123093189361,0.45355337700194376
17,-9.775699526071548,0.5867880589400664,0.5847564307308785,0.5096811601253349,0.5644672081831518,0.6905221768583478,0.45352764885410907
18,-9.775881379842758,0.5870845199083202,0.5845791692375787,0.5099827033357455,0.5642156176696119,0.6902662984736908,0.4537086197044466
19,-9.775903224945068,0.586967446822091,0.5846245870235758,0.5099116450592931,0.5641154685333518,0.6903321228573482,0.4536330305803768
20,-9.775949627161026,0.5871185947711345,0.5844879029071197,0.5101152226244677,0.564185595626164,0.690045007021879,0.45348012289007905
21,-9.775967508554459,0.5871033825517712,0.5843897223183175,0.5101461469749536,0.5642352802746842,0.6900176662112546,0.4534114328312777
22,-9.77597776055336,0.5871034117290888,0.5843896899573156,0.5101461772400826,0.564235314392579,0.6900176473331504,0.45341142921058647
23,-9.77597776055336,0.5871034117298485,0.5843896899558451,0.5101461772413438,0.5642353143898996,0.6900176473349302,0.45341142921258276
