iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3]
1,-3.0354257225990295,0.5985008343958765,1.0110984662070723,0.9848221818002552,0.5867078634194063,1.1054641265975302,0.5867078634194063,1.2077344783551842,0.840248102449883
2,-4.85289540886879,0.5958114113414383,3.969507166540091,2.8665393819780456,0.29110210623083194,3.324847249430198,0.5349479463132559,4.521332471753885,1.7733650348069094
3,-7.785057008266449,0.596382443628751,4.15712196340521,2.9068771847388644,0.31934688978010145,3.458277893912758,0.560097722737136,4.629229499847254,1.8827899930966676
4,-8.624438762664795,0.5968261880179423,4.155382549337436,2.8591275927597066,0.3263849652182138,3.4415065767660895,0.5753713429349098,4.5860118617340735,1.9106894251700346
5,-9.545801848173141,0.5969108172969882,4.182460149921258,2.8587691187361153,0.31123724613776527,3.4608089176925145,0.5897574149674741,4.6415331341382595,1.9495852292401747
6,-9.735972195863724,0.5973231577300387,4.151735493223627,2.848990588063979,0.31536930287284737,3.4533243163749696,0.5941456758370969,4.629775088081555,1.9552331946404962
7,-9.761756181716919,0.5975975408659085,4.166450267387175,2.862254982217446,0.31078751175851455,3.4669589999742474,0.5982796678921652,4.66164203369588,1.967231740649553
8,-9.780402034521103,0.597745415514894,4.161775328097999,2.859497265403786,0.3132460783295441,3.4626380152992176,0.5963840501080218,4.650925521219738,1.96129318770461
9,-9.780476450920105,0.5973900350599384,4.162368425210743,2.860073961476013,0.3129150078381757,3.4630239917696017,0.5962956037436793,4.651485653101224,1.9612646723201417
10,-9.780526995658875,0.5972848487940274,4.16236746869763,2.8598115730103575,0.31284408194824986,3.4628412529499935,0.5963541866817496,4.65117609096872,1.9612581130371736
11,-9.780543893575668,0.5973108237882625,4.162676538092111,2.8597935367971368,0.3128108569955354,3.4630240834971953,0.5964128425449143,4.6513122791814245,1.9616194871612642
12,-9.780544400215149,0.5973109809931689,4.162677113056582,2.8597934565313503,0.3128109684654712,3.463024524091846,0.5964129881154235,4.651312527700584,1.961620302285244
13,-9.780548423528671,0.5973433373758514,4.16272964049001,2.8598194069652214,0.3128157502904938,3.4630462659044055,0.5964013847349962,4.651355563882778,1.9616312654750931
14,-9.780548423528671,0.5973433373771583,4.162729640492052,2.8598194069662477,0.3128157502906752,3.4630462659052883,0.5964013847345785,4.651355563884593,1.9616312654756232
