iter,energy,gamma[0],beta[0],gamma[1],beta[1]
1,-14.850129080936313,0.5665722480761465,0.02297239078148161,0.02297239078148161,0.02297239078148161
2,-15.000014363045018,0.5505017478777015,0.03648122985831542,0.0,0.0
3,-16.281917318701744,0.5023502424156535,0.22520286237061357,0.08829858804470148,0.0
4,-16.335895359516144,0.5125102420072244,0.21316921709574121,0.09865707158457396,0.0
5,-16.347898200154305,0.5175671183705789,0.21351616319394887,0.11122500950346251,0.0003399554499978602
6,-16.348404198884964,0.5153811744493852,0.21581008116617212,0.1099297976247686,0.0027916497525206
7,-16.34843121469021,0.5146314846000939,0.21613989741845335,0.10969230200405315,0.0025725498701687126
8,-16.348432287573814,0.5146356918791694,0.21612866779436807,0.1096865608783401,0.002550266736491468
9,-16.348451182246208,0.5146357302036139,0.2161285919866178,0.10968649285150814,0.002549865643681996
10,-16.34851798415184,0.5144827150413906,0.2150145964601989,0.10847631490789071,0.0019360342847029005
11,-16.34854745864868,0.514456702268704,0.21492391809762515,0.1083776186281197,0.001830843585251875
12,-16.34854745864868,0.5144567022676428,0.21492391809594916,0.10837761862604138,0.001830843585098299
