iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4]
1,-8.36849795281887,0.599150158737117,0.6389168688658168,0.5971418982441379,0.5971418982441379,0.5971418982441379,0.5971418982441379,0.6846119544249043,0.5971418982441379,0.6308111415101806,0.5971418982441379
2,-9.870698362588882,0.5976333592821407,0.6740633682459881,0.5605495860366388,0.6019774395343724,0.5933091573180529,0.587368273567031,0.7364354504772381,0.5847734582904188,0.6824444115542581,0.5760626066867808
3,-11.563145577907562,0.593931955129269,0.6810796572144323,0.5063984343922092,0.5591587767959945,0.5682611589457526,0.5706954221802374,0.7040575712947013,0.5024721810159518,0.7483780989800533,0.5008246298210702
4,-12.225667417049408,0.5907370194527803,0.6610176269943021,0.5002040317571391,0.5489108873507069,0.5626539765759668,0.5618694486602125,0.7268463471227183,0.5210840772670498,0.787146411683539,0.4910304103239938
5,-12.786521047353745,0.5885628294984343,0.6510576254046604,0.5036683182859495,0.5322682229004039,0.5582478133628842,0.564253439982528,0.765858898802233,0.5282558725811934,0.8154056906596053,0.48853662913639745
6,-13.42846229672432,0.5812872571931946,0.6292683678017592,0.5098560059146456,0.45691053547875093,0.5533169352001593,0.5631551565240134,0.836960253294516,0.5562670163577395,0.8573406735291225,0.4904102357695587
7,-13.677376717329025,0.5949997508377934,0.6248263657310061,0.5263042193499206,0.43465338408577037,0.5830628715850666,0.5695757093321014,0.8395744445114979,0.5790900302849622,0.8149751668279042,0.5065625436575032
8,-13.98442068696022,0.5960880404710472,0.6332205088635752,0.5069578290215119,0.43300668513321794,0.5795360887326395,0.5598994355686457,0.829808599282146,0.5516279718599141,0.8269516953459044,0.48869836031326164
9,-14.00191280245781,0.5940386410212614,0.6451040445673641,0.5081731611049922,0.43695013929041526,0.5751752110644712,0.5603670967968417,0.8284915107015346,0.5500361070237021,0.8349490615912764,0.489674293414366
10,-14.013866364955902,0.5950404559385525,0.644872916212984,0.5078169012903763,0.431228224151687,0.575960792829436,0.5609471081400506,0.8277593222178988,0.5498877652575013,0.8359944385306965,0.48674707236145487
11,-14.018328756093979,0.5948316258552858,0.6414840854920821,0.5089672925360962,0.42538199922767406,0.5755223662581862,0.5617605712194252,0.8234593566426568,0.5487500246578338,0.8363985399975304,0.48738965089458647
12,-14.025227129459381,0.5932877029603709,0.6422208627218872,0.5103110244135272,0.4230792799028391,0.5758974535827784,0.562665321972052,0.8262781855131525,0.5482407394835586,0.8385357877206052,0.488671388060182
13,-14.026694655418396,0.5925088423016439,0.6434852671907912,0.5105815913394204,0.4217858588448785,0.5756849003061082,0.5630667689994435,0.8270971665234396,0.5471899786483906,0.8409047743428678,0.4886737733841405
14,-14.027446746826172,0.5921864597995621,0.6423466451485846,0.5111920082186994,0.4213429959613218,0.5748806315523511,0.5635275389658042,0.8281709447512251,0.5473784987910765,0.8433059520048962,0.48964857481723306
15,-14.029701858758926,0.5933492141656882,0.6428502946717485,0.5111259379880445,0.42323584571896034,0.5746999170335337,0.5638654327548571,0.8265826686842824,0.5470934188064132,0.8423539461709144,0.48964720188715594
16,-14.030525296926498,0.5944096959778769,0.6431722320599399,0.511188704696955,0.42469485928328293,0.5745918043943774,0.5642355216434276,0.825142718380992,0.5468787291620402,0.8414542731814804,0.4897323912578047
17,-14.030548512935638,0.5955598875880183,0.6437966885367199,0.5123703181188056,0.424694715341076,0.5735935421626662,0.5660698878163792,0.823152499699309,0.5464682528175845,0.8430646637212833,0.49061985946168846
18,-14.030595004558563,0.5955816731483805,0.6438104399659625,0.5123812300546063,0.42473198185627037,0.5735908358084784,0.5660945049384211,0.8231083866375364,0.5464481655543608,0.8430768020096201,0.4906244362112429
19,-14.03114065527916,0.5952130261701434,0.6442416149277583,0.5122759638574321,0.4247311972227199,0.5741376607164519,0.5660611833784087,0.8231000384442924,0.545794767884148,0.8432245755268643,0.4902639657278416
20,-14.031307399272919,0.594806101362146,0.6447682257819871,0.5122315060857182,0.4247649967033156,0.5747159525778784,0.566100467560648,0.8230443520141896,0.5450396668514512,0.8434200395017494,0.489965499900422
21,-14.031391233205795,0.5943044867959058,0.6447645739159712,0.5119191457767485,0.4248224862636251,0.5752907167056361,0.5657803787549668,0.8236776526204099,0.5448543757095217,0.84316096778186,0.4897085803304568
22,-14.031648218631744,0.5945126579114048,0.644516602091368,0.511886474247164,0.42468159840046704,0.5752964802959311,0.5659519405006119,0.8236418067308117,0.5452764449263237,0.8431830890183032,0.48986834350944497
23,-14.031770169734955,0.5949198166036449,0.6440620957671203,0.5118666918918402,0.4245279200788529,0.5751961538908125,0.5662585735670255,0.8235558469842669,0.5459862513455752,0.8433571701016555,0.4901918221556106
24,-14.03181791305542,0.5949310797037447,0.644069455798387,0.5118720587196866,0.42452744542480925,0.5751820533507835,0.5662590094532,0.8235536772080548,0.5459968804997263,0.8433507277058314,0.49020386687970385
25,-14.031824558973312,0.5949312044033446,0.644069477172239,0.5118721053449158,0.424527428831931,0.5751819211341473,0.5662590259567538,0.8235536371823209,0.5459970129485427,0.8433506754019513,0.49020398166557794
26,-14.031824558973312,0.5949312044037189,0.6440694771728468,0.5118721053454638,0.4245274288321072,0.5751819211332562,0.5662590259567568,0.823553637181226,0.5459970129479953,0.8433506754021435,0.49020398166565393
