iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4],gamma[5],beta[5]
1,-3.044915907084942,0.5968358033346866,0.9876396092159414,1.0036902519778943,0.5751125927712417,0.9624791421836908,0.7532849142624027,0.7259809591665527,1.1386279291244876,0.5751125927712417,0.5751125927712417,1.0596506010668651,0.7128903713495705
2,-6.0939671993255615,0.5693473422147302,4.948419243514223,5.167790142591019,0.1700972740679106,4.283315330664184,2.276846304436001,1.8334365584798427,6.546412259830415,0.5325681442898,0.44716395676550313,5.252011616489867,1.6844911753883323
3,-8.276809707283974,0.5704598249396634,4.884855994419864,5.151249755983823,0.23883903979726462,4.253929195685332,2.2931084709273035,1.8079086493443797,6.531210259005473,0.5244800441690041,0.4102522542214713,5.205549698252333,1.6518363791235202
4,-10.980215191841125,0.570780917624777,4.90794927530527,5.211427002267077,0.2816688004251412,4.291892795533883,2.331259381238916,1.8094383118799624,6.614195892426153,0.5181455311324376,0.3993870892745306,5.246996049023842,1.6457214742119985
5,-12.61007672548294,0.571107577739959,4.917186557476316,5.229065079624318,0.27680614320898195,4.313314567143139,2.340735093975953,1.8159200538371378,6.641532479295404,0.5293175727279665,0.4356106773084318,5.2708923449793845,1.651273574281559
6,-14.21720603108406,0.5723176840802771,4.9136955507771995,5.229527506882963,0.2419001383915631,4.346049359159584,2.337984041622324,1.8161583885080177,6.658439254729058,0.550818720276671,0.404627472477975,5.3053209705025175,1.6656223783414417
7,-14.408392876386642,0.5724916412794753,4.912755088489036,5.240607528214646,0.2481482855335474,4.347516065211855,2.3376960930005732,1.8115171086824366,6.675186070940769,0.5440556347493875,0.3990702511681588,5.312803774219366,1.6655815819133182
8,-14.472537338733673,0.5730692231268253,4.913011015047594,5.242559930993603,0.24685082938753483,4.34827008228909,2.334174513546743,1.8056040511335558,6.682322597560057,0.5437653302338623,0.3961726713669024,5.316706787330124,1.6645786685985187
9,-14.609429329633713,0.57134415540398,4.916569726624327,5.244495110945591,0.24445101525382626,4.348205540038301,2.3220146276020075,1.789645076947673,6.698856552491411,0.539684273204418,0.39759129656493725,5.322313401111554,1.6558359007512915
10,-14.7893236130476,0.5700462658777258,4.926996149973609,5.255801042056497,0.24110170293173072,4.352627392998461,2.3053696120910563,1.763532451877709,6.7320872061934445,0.5364391916704536,0.40479085609991977,5.330829666261479,1.6362074019250872
11,-14.932305842638016,0.5717514120159661,4.935568912695406,5.268230004141826,0.23973074521348764,4.356546957752666,2.2796414953605213,1.7320027659755959,6.762372066155755,0.5360256098281032,0.4246490141308034,5.335826035700212,1.6123112478404265
12,-15.139245331287384,0.5769708234916254,4.945815470585828,5.277495963461392,0.24144429051488195,4.355589604694875,2.2557470102948813,1.719990548191688,6.757371467459938,0.5353830100160883,0.4401530718680586,5.332108655002443,1.5930486446907184
13,-15.205598711967468,0.5794638988754067,4.9524181317892735,5.29529514192416,0.2480997262782229,4.357742494259218,2.2410330589479357,1.7084861766875152,6.770695759527085,0.5388345013080373,0.4501678643328517,5.3297893670221725,1.5726862159128163
14,-15.223499208688736,0.5800041761296663,4.95123334291142,5.295707046521369,0.24415228507047954,4.357440540747314,2.2391869843591548,1.7095126879572395,6.771876939900792,0.5375224550303145,0.45265596364137983,5.329453244991501,1.5726097235913739
15,-15.224770158529282,0.5804842559819666,4.952488266266609,5.297704516219625,0.24389163660120106,4.357866469309356,2.2370409171573415,1.7081523516019177,6.774156657271121,0.5377879401952088,0.4545437250214093,5.3288121133343855,1.5691945979439277
16,-15.227524876594543,0.5803406550954433,4.95281278800698,5.297274697882565,0.2441721583517814,4.358295822110258,2.238452980696653,1.7103168754392009,6.773788179085266,0.5377725184934238,0.4532218679142136,5.328709954331255,1.570524326522168
