iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4],gamma[5],beta[5],gamma[6],beta[6],gamma[7],beta[7],gamma[8],beta[8],gamma[9],beta[9]
1,-5.193737551569939,0.6011662896873751,0.5965530866471124,0.6439019712017392,0.7451359160659011,0.6792794250521184,0.5965530866471124,0.5965530866471124,0.70419561382786,0.7367386303168002,0.6165966556724656,0.7349149773510864,0.7069381616987784,0.5965530866471124,0.5965530866471124,0.6749606189976566,0.7449521370848602,0.6487862510440193,0.5965530866471124,0.5971443573715178,0.7259592862365148
2,-6.389350473880768,0.6011440507972949,0.5987513346520675,0.645064798330513,0.7601570649404686,0.6820358156293478,0.5937934468747406,0.5938154775035615,0.7140496999146847,0.7526301087564164,0.615753674440452,0.7468362355457123,0.7190831437815592,0.5981680609590061,0.600142041743804,0.6844298074683998,0.7605863111359916,0.6467125356388986,0.5928194857948514,0.5892607189768546,0.7368830106484848
3,-6.413592457771301,0.6013635698879565,0.5987500728419669,0.6484578858410447,0.7669297716364102,0.6871458407507802,0.5939490702967254,0.5939100449716455,0.7180364409544363,0.7574749756328347,0.6156289977273921,0.7538701410410817,0.7223179816802816,0.5955006757552851,0.5975002573745725,0.6861492478454194,0.767141727513272,0.6512675791417528,0.5953903056713862,0.5918290234510829,0.7438192410568317
4,-6.44512802362442,0.6014629455798732,0.6001598417442656,0.6453429760401872,0.7662717160999661,0.6828915335673283,0.5922556343112632,0.5925605648428119,0.7174790333415005,0.7587682644934791,0.614887911643975,0.7518008244803741,0.723897586625362,0.5983233562558374,0.6016491043225309,0.6886011102809321,0.7669201854805233,0.6449862784012637,0.5916806936144843,0.585351064249753,0.741191086511963
5,-6.462602972984314,0.601602986548388,0.5993639064451739,0.6459262373560084,0.7644169482634923,0.6836298484197286,0.593058112279623,0.5934326293757551,0.7164641738473391,0.7563791653150129,0.6155521210537783,0.7507882313678327,0.7218367935715874,0.5976892558883263,0.6003542055875304,0.6864977513226151,0.7648148558309752,0.6470564181145779,0.5929740082971515,0.5882930204494099,0.7403621127822289
6,-6.464048624038696,0.6017085573049679,0.5996322084039862,0.6462665857754024,0.7651292104461856,0.6839840246809245,0.5931232038712271,0.5934898382379057,0.7169499003906534,0.7569218996326066,0.6156770764400492,0.751584739980237,0.7224089565355337,0.5974289141664686,0.5999688678346663,0.6866398942873926,0.7653639382769789,0.6470945638820602,0.593058234746998,0.588434679455699,0.741084314989022
7,-6.46406751871109,0.601654360190296,0.5996754321765722,0.6461623045410783,0.765152229662625,0.6839987413132834,0.5930811800074336,0.5934707706672633,0.7169658056186381,0.7569511757353842,0.6156773169419092,0.7516854077724809,0.7224564713456602,0.5974793913278194,0.6000285803836101,0.6866293282610637,0.7654196894453429,0.6470495258462147,0.5929931540114588,0.5884184541939014,0.7411067230704933
8,-6.464082181453705,0.6015440785978732,0.5996531238366092,0.6459612460476077,0.76498317828938,0.6839397482049753,0.5930344247868723,0.5934419572331792,0.7168905889899092,0.7569006843479531,0.615724046844356,0.7516853082714193,0.7224410428467154,0.5975897722500148,0.6001599893283099,0.6865905809263013,0.7653701708292496,0.6470491362351217,0.5929336201343283,0.5883955293403205,0.7410165080752962
9,-6.464086621999741,0.6015258237068204,0.5996633747965945,0.6459011949896607,0.7649561974858603,0.6839243973212563,0.5930261327829435,0.5934167044752457,0.71687673764843,0.7568983293498033,0.6157461312519501,0.751709447037389,0.7224536054139605,0.597619632268593,0.6002041499020166,0.6865908651548444,0.7653813231667728,0.6470429839157988,0.5929239152177018,0.5883888689332637,0.741016930681719
10,-6.464097231626511,0.6015016834090923,0.5996787105759657,0.6457795043968747,0.764925208701857,0.6839942847658567,0.5930431187165406,0.593387017517509,0.7168686927849136,0.7568749815520771,0.6158279653468436,0.7518517683467785,0.7224779637102693,0.5976508706140057,0.6002293980107586,0.6865313098549184,0.7654342174559237,0.6471422508911767,0.5929479923121668,0.5885070623990767,0.7410890352933084
11,-6.464101791381836,0.6015050413112529,0.5996756335692353,0.6457786491193661,0.7649245413024754,0.683996746650034,0.5930458949984729,0.5933814934804558,0.7168666661593538,0.7568718869352974,0.6158285467684478,0.7518521900614181,0.722476716590336,0.5976489512380495,0.6002299362398279,0.6865270549701977,0.7654341305245279,0.6471457337412448,0.5929520678844095,0.5885134446012147,0.7410889748994977
12,-6.464104354381561,0.6015537513709143,0.5996439725087244,0.6458413881951175,0.7649439841625696,0.6839870315879855,0.5930637764602418,0.5933530131474924,0.7168584922133955,0.7568585286473788,0.6157904930286278,0.7517859698623145,0.7224550020285369,0.5976132129130984,0.6002127079072493,0.6865209614792839,0.7654098094817275,0.6471241043658196,0.5929752587432937,0.5885114856604534,0.7410574021805607
13,-6.4641076028347015,0.6015538804231374,0.599643929239324,0.6458415709939853,0.7649440794420959,0.6839870094181045,0.5930638218987847,0.5933529658501364,0.7168584995052941,0.7568585541156614,0.6157904103501586,0.7517858290771845,0.722454988609798,0.5976131082483301,0.6002126487020303,0.6865209988890033,0.765409769090619,0.6471240374666992,0.5929753071617508,0.5885114242367218,0.7410573671187265
14,-6.4641076028347015,0.6015538804242903,0.5996439292397054,0.6458415709950527,0.7649440794429633,0.6839870094182644,0.5930638218991724,0.5933529658499833,0.7168584995053866,0.7568585541151572,0.6157904103498073,0.7517858290768658,0.7224549886094551,0.5976131082476622,0.6002126487013909,0.6865209988884382,0.7654097690903003,0.6471240374659283,0.5929753071620235,0.5885114242373516,0.7410573671187409
