iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4],gamma[5],beta[5],gamma[6],beta[6],gamma[7],beta[7],gamma[8],beta[8],gamma[9],beta[9],gamma[10],beta[10],gamma[11],beta[11]
1,-12.118920043110847,0.5999096089265558,0.599183719053798,0.599183719053798,0.6033628827138767,0.6246801108677945,0.599183719053798,0.6185636482314054,0.6135402480201838,0.6197772320878318,0.6116470572041586,0.599183719053798,0.6104937340633616,0.599183719053798,0.6434998671406251,0.599183719053798,0.6150768962687347,0.6601703245560053,0.599183719053798,0.599183719053798,0.6068563303116173,0.6396080292562232,0.599183719053798,0.6301437490848646,0.599183719053798
2,-13.606781348586082,0.6004261437898952,0.5941732178844128,0.5768087775754481,0.6157042831846832,0.6470410056900759,0.6002151508449108,0.6319644991509368,0.6170784988857098,0.630147306146511,0.6130081475347554,0.6147231463696688,0.618578733293501,0.5960985068860104,0.6711981913493016,0.6120124977181393,0.6260614721211734,0.6901260240729176,0.5979198773155223,0.5925193906541492,0.6329663554126603,0.6662049608905253,0.5861467994741398,0.6497230830122948,0.5917100124361914
3,-15.16854901611805,0.5999874365606561,0.5959755492277654,0.5690779553909909,0.6195031436436798,0.6448664351210356,0.6013668327641172,0.6245723422782725,0.6040419264019266,0.6287807308358905,0.6157303446176078,0.607837807559939,0.6131073502775144,0.596208693648756,0.6603848857742701,0.6093290104674806,0.6290215999395449,0.6779141495918376,0.5988317273840752,0.5902275928210369,0.6436156956624354,0.652464895263719,0.584172390309577,0.641336962347618,0.58277241264662
4,-15.52849605679512,0.5977423580427254,0.5952915527113486,0.551334634259363,0.6283825434983227,0.6479361305187281,0.6061164797978915,0.6175180904703889,0.5758293686377474,0.6425897545668546,0.6286313365424542,0.5885601004984835,0.6045248547652798,0.6044943637214545,0.6483065567039772,0.6179379136800388,0.6398821802446367,0.6826376887675796,0.5938471696621763,0.5905480365667269,0.6720291436380518,0.6408550088008846,0.5802765249986347,0.6407176058778485,0.5596310146240676
5,-16.13133791089058,0.5980911625071648,0.5992699161872622,0.5560284859998824,0.6226523899524755,0.6378964240275026,0.605621398254247,0.6199066073843772,0.5824604248316344,0.6340395037645307,0.6213445312314748,0.5947207240736041,0.6053841628796726,0.6008396245435821,0.6454066044051201,0.6174530352202117,0.6353657267887924,0.6717584655262469,0.5937064089772045,0.5917230445162281,0.6651560130026866,0.6332615241835119,0.5764438901348846,0.6427415477598791,0.5627760659637606
6,-16.19978666305542,0.5981997619523821,0.6009051997626189,0.5554073836557714,0.6225008630006412,0.6400961456043436,0.605713422272277,0.6213837689739979,0.5842694753932557,0.6355746387672774,0.6208316580606608,0.5940370294451843,0.6067032944089896,0.6013683863075813,0.6480829639156233,0.6174962943265314,0.6365359984988783,0.6760868870504546,0.5929658981542671,0.5928429383736381,0.6644191215077142,0.6354786539185598,0.5778553195545925,0.645290061004536,0.5625509881285661
7,-16.238175839185715,0.5976632419525589,0.6041497640784093,0.5535613567632885,0.6219219276871122,0.6402490240830939,0.6057403586128031,0.6216153521027611,0.5840597257701415,0.6364043192715968,0.6198474456577708,0.5915842784383392,0.6074330965995638,0.6026601960110034,0.6480145381414599,0.6189123175041005,0.6380416994144132,0.6763513805989819,0.5907368195771381,0.5942325369803111,0.6652669770764443,0.6342084423767499,0.5772146780627765,0.6469447435115516,0.5600647143358227
8,-16.268892109394073,0.5971022407082243,0.6098679122796434,0.549304108026252,0.6209784906649597,0.6393146952289164,0.6070899093446144,0.6239734600146944,0.5841199972907776,0.6355698501752688,0.6185862130369151,0.5879771406251939,0.6088795537658259,0.6039298645001745,0.6486595082756669,0.621092413371164,0.6391945005723216,0.6780318275380962,0.5868464465616414,0.596668519198808,0.6670060147833752,0.6342943852332651,0.5761784845142701,0.6500398382654269,0.5553311254742267
9,-16.29015162587166,0.5965272078264615,0.6125392513073837,0.5451546078715757,0.6190201948411249,0.6374374455644402,0.606819084666436,0.6257971433265506,0.583263517121158,0.6345253485595513,0.6176857065883187,0.5845797047927448,0.6073594286052562,0.6048737869530137,0.6490530791087614,0.6221220820940107,0.6376713123429991,0.6770343643430287,0.5854881125257906,0.5981020831694002,0.6654941517577249,0.6339293603052129,0.5747750944184956,0.648328878889854,0.5526137639023397
10,-16.318625271320343,0.595318611884742,0.616385273680636,0.5406903702996674,0.6190904870749081,0.6353513345121976,0.6055709901457262,0.6267691152354965,0.581170547734656,0.6323134996879317,0.6164870430166534,0.5813925287199063,0.6024591800047919,0.6060186420551974,0.6485861174296549,0.6221316023285182,0.6344097410899062,0.6753400453139933,0.5852810726456937,0.5985646509110405,0.6640885053948387,0.6343094997042319,0.5723601141342426,0.6452096496961978,0.5497107965858576
