iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4],gamma[5],beta[5],gamma[6],beta[6],gamma[7],beta[7]
1,-3.556216888129711,0.5981508490115731,0.8699760443103275,0.7115448968463294,0.5799613834288317,0.5799613834288317,0.5799613834288317,0.9945677286861134,0.5799613834288317,0.5799613834288317,1.380136255895216,0.5799613834288317,0.8316369804836098,0.8499435752690361,0.7623349106617883,0.5799613834288317,0.6712744975428102
2,-4.981122896075249,0.5977279371423881,0.8926733048351067,0.6999341961678389,0.5727227413848062,0.5774790014682047,0.5879030725997362,1.04145691775921,0.5743919438488656,0.6008513465075529,1.4823029149039058,0.5948950028458893,0.8473112512187396,0.8632040702688684,0.7877090998433386,0.5774214254105047,0.6665864229550645
3,-7.0115964114665985,0.5952043710999376,0.8541707296455471,0.5808026182770247,0.519238191579917,0.6110282748688274,0.5552616609440301,1.0591992455349648,0.6245751637666593,0.6828351426637455,1.5954031515242328,0.6334088603756953,0.8255346075939439,0.8538755366441355,0.7603009671749585,0.4939877548034093,0.6016293668299256
4,-9.451425939798355,0.5943348308124092,0.795473429153997,0.5036733625973736,0.5000549097848904,0.6255868156177078,0.537916609371644,1.0085744498614089,0.6465837037511609,0.7193049792993962,1.5377626704600462,0.6417056032412992,0.7847600374855934,0.8141765908975692,0.7332225010304247,0.4580482241491013,0.5579338675068946
5,-10.32128331065178,0.5946513277011453,0.7876354125190754,0.5054514879183991,0.5111719164467206,0.6388998227769225,0.5500448542327218,1.0056328345932577,0.6449270791401408,0.7074017002169593,1.503495252525868,0.634482444823284,0.7839958362103114,0.8190128075791606,0.7256955911384784,0.4736513173891458,0.5520488207254823
6,-10.88408175110817,0.5950046216046943,0.7978737415078297,0.5342045487128775,0.5237003473058597,0.6418633167532724,0.5695364682886412,1.0179353225543575,0.6388394277095238,0.6815132147484221,1.4821157624567243,0.6284995667595007,0.7979679923870263,0.8308530505582258,0.7275551251910466,0.5003596382443687,0.5608512093413861
7,-11.8276646733284,0.5940808797700917,0.7731461455131717,0.5209557686413668,0.5206642839160593,0.6658251861026875,0.6009517925249129,1.0173723185910968,0.6615269242097269,0.670703278611481,1.421538863051218,0.6538794152483853,0.7919428678755595,0.8161539051120997,0.7120183438433219,0.5091116330087763,0.5375350091055872
8,-12.964998215436935,0.5919752529929873,0.7559709192061842,0.49760552937601765,0.5007995926226235,0.6940099926327746,0.6394530710117301,1.010890817585442,0.7123548381551322,0.6663217534998493,1.383961898692427,0.704323928859771,0.7880305257456857,0.7926833702298424,0.7073225567886158,0.4991115364838084,0.4995678170162263
9,-13.98109483718872,0.5897426028236785,0.7723459218372817,0.5110338499316361,0.4826702978550611,0.6995783022841193,0.6480754755735373,1.0001334316295867,0.7279261837292128,0.6615734581489126,1.3846188750570279,0.717478052944817,0.7823747308686972,0.7976718382505631,0.7031930969911314,0.4857184549522085,0.4940515147511685
10,-14.141830056905746,0.5896252004245248,0.775383182838399,0.5098739236079473,0.4838281261700345,0.7027009066597089,0.6408334761411884,1.0004488978593071,0.7211839584008137,0.664076964613238,1.4025002982079906,0.7069085115840582,0.7802450664708238,0.8009480107976674,0.7055476920147038,0.4760770565322668,0.4946386904165951
11,-14.44012176990509,0.5883592285800614,0.7797713838496394,0.5238805943450912,0.4883426268907106,0.7219883586669076,0.6533360507345429,0.9974105538471814,0.721819953321625,0.646150942270824,1.3919120751035516,0.7067933344905267,0.77320340150316,0.7950627338896628,0.7059562990641118,0.4680976632774316,0.49086528217323533
12,-14.621968299150467,0.5879478863888732,0.7748648781479718,0.5215054390434513,0.48195621159702157,0.747307048772126,0.6643081577052259,0.9943256490767156,0.7289667859277407,0.635915572984247,1.3828640323345882,0.7107432323195666,0.7664729737971111,0.7855324628060294,0.6979266632137806,0.45460270302460243,0.4801539462962047
13,-15.060568422079086,0.5879553431159619,0.7745303013706792,0.532138349162542,0.4818749766428956,0.8030541455192872,0.6806571542949214,1.0124964684772366,0.7366535677365887,0.5961368532700392,1.3811616397074062,0.71357541468214,0.7709304334050242,0.7774579593027621,0.6948014218037047,0.4329775603245863,0.471632392627237
14,-15.244865268468857,0.5926031320291245,0.762921031512328,0.5251697442447844,0.47557862431942244,0.8576451352580937,0.686290214666023,1.0331072985042316,0.7417247036644069,0.5630357217472195,1.3981478859238272,0.7194594374592249,0.7626706408481243,0.7627110262362841,0.6889097483749408,0.40723332055328726,0.45963520128007407
15,-15.295504540205002,0.5943013232537893,0.7636818739806605,0.5268558330206399,0.4756426273002022,0.8584844273608266,0.6844268619251074,1.0351585286731215,0.7391488299872305,0.56150993563567,1.4022598851458976,0.7138628017689084,0.7642444777793068,0.7602457303829094,0.6908191548424415,0.4086267441510798,0.46544830270945925
16,-15.359992057085037,0.5950258645933473,0.7651600498137107,0.5311170242004289,0.4724583341756473,0.8545397333996024,0.6861383276656883,1.0313286504702535,0.7377228802479028,0.5639862839715178,1.3951239724113338,0.7088341659063181,0.7658234437519914,0.7595201733317389,0.6903303781261255,0.41435242366473096,0.47258657258918685
17,-15.413666754961014,0.5938256712978146,0.7666430932919067,0.5301406195272091,0.46752852054915295,0.8348861943045949,0.6804480389360391,1.0241633363826212,0.7332670374804616,0.5798305171746658,1.3885530190172393,0.7020847419856074,0.7658332720331549,0.7612016529238902,0.6890063759308602,0.4214902091930167,0.4838547278591128
18,-15.535731673240662,0.5925698359083187,0.7648206649963382,0.5338741556537028,0.4597963315768303,0.8416836031647127,0.6725985438686167,1.027796490781587,0.7274481394917215,0.5774317762089916,1.3884858592089298,0.6971898474053901,0.7596612591661805,0.7547071909759121,0.6878929768725404,0.4161754931322732,0.4941936451832457
19,-15.613125801086426,0.5913108517860095,0.7621282661843704,0.5390654273704458,0.44783783398548227,0.8498901582383172,0.6618525569544662,1.0326149283533723,0.7189538378896386,0.575188380371043,1.3874695260418184,0.6883845168551456,0.7525172694222764,0.745815769247223,0.6859268485387737,0.41072496032601824,0.5109668193851676
20,-15.708521395921707,0.5915460889054432,0.752017080285655,0.5394012635379862,0.43414786228290264,0.8790551694889912,0.6518825970231782,1.0489796715733901,0.7137168860336707,0.5610149786194149,1.394107492254804,0.681438655049547,0.7447320327418118,0.7372413509599612,0.6818853820408007,0.3960992264961628,0.5237932190686383
21,-15.746492356061935,0.5907951450173595,0.7461042736412059,0.5426171029782684,0.4278681073704385,0.8758814954041072,0.6328409171876535,1.0600214803984502,0.703448811025732,0.5691187026543064,1.4053136263537882,0.6786100921750927,0.7360586176878445,0.7485552933819347,0.6803588143079242,0.4007989286548481,0.5325101337019206
22,-15.875931739807129,0.5916176550160307,0.7481302354733191,0.5453103373223408,0.4317006051614466,0.8778490076071592,0.6446172319355988,1.0578785364431182,0.7059683363723587,0.5656212722247439,1.3981234437850267,0.6786664433712698,0.7411198441623522,0.7456305353528736,0.6822819792459996,0.40068647528172163,0.5309002178543767
23,-15.93639349937439,0.5944756377495422,0.746507761624024,0.5461194247469652,0.42870049731633686,0.8773113439886085,0.648301822180001,1.0556621082096243,0.7060973738121398,0.5658910081095073,1.3920191726733901,0.6742470761851245,0.741426217745853,0.7430400197724673,0.6809749175711823,0.4018403811232998,0.5336592868039389
