iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4],gamma[5],beta[5],gamma[6],beta[6],gamma[7],beta[7]
1,-14.633420661091805,0.5992936423753165,0.5990073342496512,0.5990073342496512,0.6088416839850513,0.5990073342496512,0.6341402792575778,0.5990073342496512,0.5990073342496512,0.6377718124058065,0.6247988523420946,0.5990073342496512,0.5990073342496512,0.5990073342496512,0.5990073342496512,0.6158462274621002,0.6324527562867921
2,-17.67475476861,0.5983502627113291,0.5958800624611269,0.5961349537228127,0.6217484795051371,0.5979487174407678,0.678373334019862,0.5974650475785502,0.597376472252248,0.6866809773219347,0.6568432935674537,0.5973563168067874,0.5937968019642009,0.596226300262752,0.5966292049054847,0.6345883992810645,0.6770209706166929
3,-19.92495957016945,0.5978394699768897,0.5883052320298634,0.5847653548046212,0.6210303905892418,0.5972775668376,0.6956328996197124,0.6047573087799206,0.6007706357325363,0.6947934571373227,0.6707718608476544,0.6029170730554304,0.5939711198131905,0.5884590679594011,0.5843586155079685,0.6339585057070272,0.6930016898955852
4,-23.032349199056625,0.5979079436808605,0.5738408228990173,0.5666510046484219,0.6106837384261531,0.5934329770757538,0.6866915986372979,0.615584106820675,0.6035592272744356,0.6711205449232492,0.666052508837812,0.6070330658486237,0.5957870294379871,0.5765965802860034,0.5642935253941632,0.6164785118982834,0.6836690129734029
5,-24.103151947259903,0.5970681431278039,0.5661056387481908,0.5603871412681647,0.6118765001973285,0.591457894933315,0.6852052519650228,0.6190056109420707,0.6161102447826058,0.6819716803173752,0.6688182201108299,0.6036911810708053,0.5934452974659675,0.5754283219222498,0.5591181989973654,0.6060848789631812,0.6854712876162402
6,-25.326488137245178,0.6005670817342148,0.5527088495101269,0.5490845354326946,0.6117759777558723,0.5989869233030781,0.6691152519961878,0.6184250867017791,0.6444370432429504,0.7013212979141378,0.6602121655694078,0.5983598880594798,0.5843073339971868,0.5760947978053051,0.5600629678589605,0.5888586169303006,0.6788715646729436
7,-26.096287816762924,0.6012057699208675,0.5445165355085041,0.5380673349534163,0.606197992793507,0.6103083423414885,0.6598482009276717,0.6193967326930544,0.6574996779686626,0.7118241473882192,0.6583407041591223,0.6024755539512281,0.5830006503462999,0.567139764980905,0.55870350087189,0.5829194734158074,0.6815636115216859
8,-26.74046555161476,0.6029051622230645,0.5334767492919882,0.5249551305161758,0.5993434357473302,0.6231104841002547,0.6462781291187688,0.6215753327885738,0.6737179724973504,0.7249106013699584,0.655461591264027,0.6090514292107263,0.5812426786140855,0.5577194219383378,0.5588897139473273,0.5734788677045903,0.6837539681485068
9,-27.089201539754868,0.6038366816803771,0.5249352120606334,0.516414433031881,0.5935803863497366,0.6270152967126693,0.635368560428957,0.6286734031114911,0.6806316890669365,0.7324770369497055,0.6498233933330494,0.6185846039812728,0.5835348028087982,0.5496141850064513,0.5645839938924794,0.5685732147723759,0.6924900263289036
10,-27.237323611974716,0.6033381163478366,0.5232415253584118,0.5151518305487917,0.5914584186905469,0.6257005682785729,0.6291060795959519,0.6299083142119404,0.6755297961182242,0.7282668091809338,0.6521823796391053,0.6228275409896581,0.5854446004395255,0.5536375311300542,0.5622795196113239,0.5705053238021686,0.6962086888633634
11,-27.324189215898514,0.6016102521995935,0.5218587487106997,0.5170118133993512,0.5910432453620823,0.62410890133069,0.6210970938434099,0.6302928123512661,0.6718960438934864,0.7247980149420632,0.6542777687741618,0.6242279616771064,0.5862918086616232,0.5603733404941706,0.5620635390913993,0.5745435221183047,0.6990821062425511
12,-27.401463389396667,0.6002781083506084,0.5187763580288945,0.5174404757146313,0.5905813954579895,0.6245141554106712,0.6115525561447316,0.6301188256110948,0.6719168555955919,0.7258160594401522,0.6574303754700512,0.6280672527806958,0.5864719694057425,0.5636548042604114,0.5651458600182279,0.5776282579156169,0.7021273153218287
13,-27.45051646232605,0.5985499324263484,0.5203080985470783,0.5234003810149914,0.5920291847405759,0.6227216726921156,0.6055270187094647,0.6267057209852325,0.6698214982281698,0.7255356618684136,0.6614977994981404,0.6288590575860625,0.5864077056124882,0.5693917641159045,0.569131285729457,0.5835086027907508,0.7038458979895355
14,-27.464457660913467,0.5967270697897603,0.5200109481934484,0.528182799446328,0.5913309427803236,0.6200493153727085,0.5967746581414919,0.6249481083596222,0.6679300841842291,0.7239047623296754,0.663357678001382,0.6323906546672026,0.5881200274638301,0.5751236534979511,0.5734278748901876,0.5896085735210647,0.709199813991739
15,-27.532925069332123,0.5975844626975786,0.5198201039596919,0.529070808750248,0.5900109838236125,0.6187325669791409,0.5986980819323494,0.6239264066090715,0.6706848092545952,0.7215473092060842,0.6623256186465699,0.6320824756863548,0.5921186276828099,0.5733850265939049,0.5739520551479815,0.5881147667701264,0.7100387485776568
16,-27.565789878368378,0.5978405876923043,0.5213976216073155,0.5359831627826994,0.5881419003524819,0.6147007962163192,0.5974377403336497,0.6189099961246877,0.670352253890494,0.7124536204768185,0.6655548001310363,0.6336597665974901,0.6001005665424863,0.5745419318559878,0.5782984576584175,0.5937069122708932,0.7137769211058166
17,-27.59174293279648,0.5982716800772232,0.5206547258078118,0.5396513058444475,0.5877687041281514,0.6145057570170557,0.5931082565646737,0.6127713567141326,0.6713247531365857,0.7066191088750186,0.670217711329175,0.6360128114646596,0.6047221059470314,0.5768997637779807,0.5826708352688985,0.5967658071324053,0.7180013286526636
18,-27.614360809326172,0.5993715051957634,0.5186629434246229,0.5365673373054063,0.5899702458896398,0.6193497629024598,0.5917764544598909,0.6087209306779693,0.6731342151574262,0.7062737481729467,0.6733342160361697,0.636385169063241,0.59992990683673,0.5760263882460678,0.5821284217667987,0.5972289903985565,0.7194240969219571
19,-27.667139887809753,0.5990958793156302,0.5194361226421826,0.5388597117151002,0.5905716313391904,0.6167732254844535,0.5891056855462273,0.6086104551289945,0.6721484570822571,0.7057803683267431,0.67289972050727,0.6375577758019911,0.6009614420405847,0.5788223772134874,0.5842658414883708,0.598342416055115,0.7209682312147124
20,-27.670352458953857,0.5991503473543794,0.5200156471841518,0.538575073054831,0.5907942224877462,0.616113419448725,0.5894060645398914,0.6095233474839418,0.6719578560966123,0.7061551088925521,0.6719171057810489,0.6376254991140919,0.6009481625066048,0.5787801661767512,0.5838711497435137,0.5977261219762691,0.720235585022613
21,-27.673369139432907,0.5992005404430713,0.519870005131429,0.5386392559555553,0.5914352373542566,0.6153630298972258,0.5876068664424433,0.6092606598846803,0.6715239273950595,0.7048295190534453,0.6719422090382331,0.6384370992971654,0.6014952972471815,0.5797263698675574,0.5840256459756084,0.5979135738976362,0.7207369400367001
22,-27.674001216888428,0.5992249513028859,0.5192662557073232,0.5383529679163861,0.5915804390915834,0.6152273883923506,0.5867953215028713,0.6090711802018611,0.671728036892633,0.704336936749012,0.6724795556937287,0.6386618200694081,0.6018797147478546,0.5799131826742099,0.5839000400481602,0.5976492771731684,0.7208786356339344
23,-27.674222737550735,0.5992791586773922,0.5189013227744994,0.538179243450072,0.5917420949258421,0.6151794591395424,0.5862120687873625,0.6087861732949315,0.6719490887528641,0.7040004214756521,0.6729043373534567,0.6388385622387395,0.6021439276677084,0.5800709707739506,0.5839169739226396,0.5974019085317365,0.7210506048212801
24,-27.674378901720047,0.5994182348292059,0.5181929279537568,0.5377866284211026,0.5920667370910649,0.6152484182355225,0.5851439836598097,0.6082500433639444,0.6724489184360063,0.7036744683989103,0.6736959354777708,0.6391029270226072,0.6022690795761428,0.5803751703841221,0.5839150503183959,0.5970336773422722,0.7213684815288465
25,-27.675030797719955,0.5996043742119237,0.517723654148018,0.5374999580409051,0.5922196372314996,0.6152921389556311,0.5847501830685958,0.607925068201526,0.6724826493873594,0.703726802896778,0.6741426848902304,0.6391207946764434,0.6024035230406715,0.5802587312058042,0.5839738282404728,0.5972689879109695,0.7218636578498923
26,-27.67648935317993,0.5996829872540466,0.5172474603587559,0.5372195227487483,0.5924992745477772,0.6150917575222568,0.584041942824754,0.6077869758110325,0.6722465213453793,0.7040145643982679,0.6742445013601894,0.6393801636903196,0.6023588037694574,0.5805459612542799,0.5838560552558109,0.5973556653757454,0.7225204055411713
27,-27.680040061473846,0.5996985093042072,0.5165055522274146,0.5374516072235045,0.5924999713031242,0.6146939868952419,0.5834735143455084,0.6075013938826108,0.6719938681179193,0.7050442048034733,0.6743733052519051,0.6394892967332143,0.6023615423137605,0.5807910637085469,0.5838606994137886,0.5975119549775791,0.7236296808844959
28,-27.68082618713379,0.5996869570615502,0.5162733740222222,0.5375683768988218,0.5924658245821269,0.6145496089689559,0.5833545712657853,0.6074235483739049,0.671874663230708,0.7055072954568078,0.6743683071796785,0.6395037827703501,0.6023273515089197,0.5808705992358146,0.5838781453460702,0.5975970254734271,0.7240396207081522
29,-27.68141719698906,0.5996435164566855,0.5162282657010476,0.5378204124483684,0.5923772844888263,0.6143175217097901,0.5834414131684466,0.6074934141711976,0.6717190139255645,0.7060482159978877,0.6741833442775363,0.6394674706635745,0.6022997021254655,0.5809292895067869,0.5839018428741215,0.5976420192015447,0.7242802454592295
30,-27.682008236646652,0.5994887512354141,0.516138103929712,0.5382495909490879,0.5922983040226604,0.6139128378268618,0.5831682441053632,0.6075408967617404,0.6713746433517733,0.706289641799397,0.6738928064848966,0.6396021305547636,0.6023591681237545,0.5812161855076632,0.5839327276984982,0.5978517818974894,0.7247276474503532
31,-27.68406707048416,0.5995438666904763,0.5162655490769511,0.5385435014316727,0.5921599728190506,0.6138005116276978,0.5830733833756098,0.6073452147119716,0.6713832355644055,0.7057350822543058,0.673768843497264,0.6398213553526193,0.6026267049117968,0.581300624439223,0.5840936854309747,0.5980228643109095,0.72477501845592
32,-27.684367954730988,0.5998168146320731,0.5169222928920896,0.5395182049787933,0.5917839751871503,0.6135653288848245,0.5830601522900358,0.6067266299199354,0.6712540373662016,0.7040388900979949,0.6733666862810976,0.6402712041678049,0.6032308653546157,0.5814575939820734,0.5843834533735859,0.5985849033110017,0.7250018519564755
33,-27.685050517320633,0.5997251760451017,0.5175072183643752,0.5397323964736123,0.592011062791584,0.6141599284619064,0.5834068824154077,0.606461521868549,0.6714377316028527,0.7036606232552347,0.6733547930466462,0.6402607046826904,0.6031517389443772,0.5810383539232626,0.5844888743134918,0.5985963066313156,0.7246288852689114
34,-27.686221301555634,0.5995405758343538,0.5179776141906756,0.5397048831371478,0.5925168883593948,0.6148713465369308,0.5836882777789542,0.6062224733051723,0.6717256128646284,0.703872307380026,0.6733895096833674,0.6401558219103403,0.6028699201907278,0.5803454892128513,0.5846200022190166,0.5983790454363861,0.7242176592583492
35,-27.686221301555634,0.5995405758342319,0.5179776141907945,0.5397048831373982,0.5925168883594667,0.6148713465370431,0.5836882777790683,0.6062224733052061,0.6717256128644813,0.703872307380236,0.6733895096832746,0.6401558219104038,0.6028699201906975,0.5803454892127453,0.5846200022190514,0.5983790454364043,0.7242176592583205
