iter,energy,gamma[0],beta[0],phi[0],gamma[1],beta[1],phi[1],gamma[2],beta[2],phi[2],gamma[3],beta[3],phi[3],gamma[4],beta[4],phi[4],gamma[5],beta[5],phi[5],gamma[6],beta[6],phi[6],gamma[7],beta[7],phi[7],gamma[8],beta[8],phi[8],gamma[9],beta[9],phi[9],gamma[10],beta[10],phi[10],gamma[11],beta[11],phi[11]
1,-29.346850181309794,0.5998632296680526,0.599861203923438,0.6033178149963153,0.6045148709123904,0.6053722025798255,0.6256561328984442,0.599861203923438,0.599861203923438,0.599861203923438,0.599861203923438,0.623884939866807,0.6164545622780295,0.6253534677570048,0.6136467731827884,0.6148503867811029,0.6015057461364272,0.599861203923438,0.6212345697533546,0.6148148768221782,0.6050903212027547,0.6158993025329753,0.599861203923438,0.599861203923438,0.6140145202652654,0.6149711358193073,0.6002493612392908,0.6004649316929512,0.6227792455146461,0.599861203923438,0.599861203923438,0.612588019724837,0.6134591556627231,0.6083149586482798,0.6219051497805757,0.599861203923438,0.599861203923438
2,-34.46679097196962,0.6006966277104396,0.5861317640141515,0.60198791051752,0.6061241434983591,0.6043432172362758,0.6266656197504145,0.591447775343748,0.5907328269615827,0.5960014252191969,0.5991221119609593,0.6254837476389455,0.616857316591378,0.6280959838652918,0.6110570050251074,0.6162591450290176,0.6017570150227061,0.5915093158228841,0.623488679004141,0.6191382567920863,0.6037812547570486,0.6140032717739573,0.6063224174273278,0.5990289522329225,0.6172512655811236,0.6197866504273576,0.5985194349043688,0.5916086046092048,0.618095704317801,0.6031717146104788,0.5934915923428772,0.6184526042206764,0.619102558446426,0.6021155718524002,0.6186171071065149,0.5946747344503183,0.600927737177807
3,-37.56698781857155,0.6016997267302663,0.5630084009672971,0.6004086340063871,0.6031131692077111,0.6073743183012704,0.634596169135026,0.5807900739655852,0.5667211648156885,0.5856370625306071,0.6031495353015294,0.6331515743052574,0.6136786228858059,0.6359024302394221,0.6127335503150956,0.6185891706058948,0.6018384642792475,0.5829325618188467,0.6271432318939343,0.6272176186463785,0.6100991589022372,0.6124642866978909,0.6197414745686403,0.6048123437528976,0.6264459529653972,0.6294794401037211,0.5952170962050046,0.5782480067152922,0.6105842066873782,0.606134136115541,0.5866056920770374,0.6343645095264469,0.6340426451278993,0.5930726562793887,0.6071919774352798,0.5849760618274893,0.6029852140245191
4,-38.26832986777433,0.6012406106522797,0.5631414916165113,0.6049534689656171,0.6012623388123775,0.6043749650011544,0.6336342044744072,0.5840535698204968,0.5661187758024271,0.5856846758547459,0.5980764869125699,0.6309696753072017,0.6111068579151966,0.6325761388751716,0.6121034156156047,0.6162981897787262,0.6088943336341961,0.5872280096573955,0.6227516089156693,0.6239865984874922,0.6122636019621579,0.6149319825562819,0.6243896540924744,0.609803909714649,0.6211193068569963,0.6303853165435648,0.5895484750756775,0.5787942248580314,0.6058955414679272,0.6035764700282927,0.5893367681126401,0.6357448993355596,0.6324302263540229,0.5916692984281722,0.6052195889965483,0.5855977691080093,0.607910534907994
5,-38.44602736079566,0.6009568558161751,0.5619233228953454,0.6054545224587807,0.601040133573469,0.6047685011223332,0.6349586222747549,0.5836928866333502,0.5642980096155144,0.5842405167665796,0.5972919208729993,0.6326971746960243,0.6105341813571399,0.6335468526036857,0.6139718535545061,0.6159849829520649,0.6080535763745676,0.587233443450073,0.6228381911513285,0.6243850790896531,0.6133792947119968,0.6144258806214287,0.6252487049092588,0.6118768262654828,0.6206852139872269,0.6313421118039528,0.5880366098263109,0.5802857796898011,0.6061901836227369,0.6021440827941342,0.5889484806141132,0.6358816620289822,0.633496792689794,0.5915182392610739,0.6023945723690148,0.5840457620012084,0.6088643513795808
6,-38.489970335184815,0.6007066522887726,0.5607684606026107,0.6066373254244046,0.6005881727668366,0.6045584294592151,0.6358765593079045,0.583805786184226,0.5625202569487027,0.5827522523736687,0.5963696726338769,0.6343250564606862,0.6101190209858828,0.6338409286473392,0.6154872002222169,0.6159250967533585,0.6085721814558354,0.5876537295975948,0.6228275891957697,0.6244204562109145,0.6145503241684036,0.6150325751765445,0.626446048325597,0.6142882254531163,0.6199181706985962,0.6324591321142545,0.5861363373430636,0.5812270150977437,0.6061643394384494,0.6002874023757869,0.5889388277200962,0.6364016405362758,0.6341074395465844,0.5915753628168018,0.6005686811007647,0.5826083142760544,0.6103997842517068
7,-38.491932019457266,0.6006320841214198,0.560399172761414,0.6068764206129033,0.6007057730575937,0.604502674531153,0.6360589025187496,0.5837451512853226,0.562044141919432,0.5823059892109691,0.5959292302643403,0.6346414898479605,0.6097425541798694,0.6335888021372198,0.6159059014330415,0.6157413411011454,0.6087272552704153,0.5879273267165633,0.6225880267255548,0.6241977240757672,0.6147324505378033,0.6149185735648568,0.626954512864002,0.6149283366162076,0.6197014029355727,0.6325631820127549,0.5855070945258439,0.5813198840964766,0.6060625067422245,0.599802796149995,0.5890397294582403,0.6364368619040877,0.6342534872985404,0.591506975494939,0.6001242853378621,0.5823261231011061,0.6106208048824971
8,-38.49800344827355,0.600527640568052,0.5605825138439308,0.6070352374365444,0.6009937706473544,0.6044001411803792,0.6360297848246583,0.5838072295364949,0.5621600754129972,0.5821170556868943,0.5954863734429383,0.6347700217449932,0.6095055245429789,0.6331695138729674,0.6162199215957526,0.6154621571871215,0.6087646938706089,0.5883157459762366,0.6223018875617241,0.6238497307499553,0.6147061625851128,0.6147245995658892,0.626982982052736,0.6153302549278831,0.6194654023610867,0.6323693524708045,0.5850520987847929,0.5815967275682569,0.6061595677171873,0.5993391220626999,0.5892990759472713,0.6360870152809104,0.6340768281971652,0.5916875993765116,0.6000153822043287,0.5823412196461676,0.6106594508470989
9,-38.50153760518259,0.6003392537995134,0.5608427226684503,0.6072770707837334,0.6014247678514881,0.6041759636388172,0.6360525246412436,0.5839398629253486,0.5625519458900986,0.5819427988862927,0.5948192507309463,0.6349958685004158,0.6094372137836239,0.6328779235299365,0.6167294193576317,0.6153988914561337,0.6090800249961141,0.5888118560031266,0.6220808452617934,0.6234893695668778,0.6144799447305246,0.6148229418849926,0.6270415777039485,0.6155856054294895,0.6192132880724512,0.632154369805026,0.5846361837014019,0.5817590795656633,0.6066334111273859,0.5988969930618397,0.5897698787646787,0.6356883550163767,0.6339164004692858,0.5920494080732214,0.6003002805822967,0.582505466610421,0.6107651625772835
10,-38.50924390156439,0.6002248846594948,0.5608680336436729,0.6074677300495634,0.6021712555450311,0.6038465558014678,0.6359186741758615,0.5837703593491583,0.5631733792263146,0.5817964829665898,0.5940572068564992,0.6352791275786702,0.6096108723350335,0.6324951197204658,0.616824262442508,0.6155898478122346,0.609339210337818,0.5889075115523088,0.6219371852981999,0.6233156597471464,0.6138193782929466,0.6149810073860674,0.627043498520418,0.6154302573857535,0.6191107416121007,0.6317559442695901,0.5845037109349931,0.581490858505595,0.6071543122961185,0.5986037557124774,0.5901550317199536,0.6353363208736941,0.6336316475589243,0.5926828652669135,0.6008309646669475,0.5826332499962121,0.6107937583571518
