iter,energy,gamma[0],beta[0],phi[0],gamma[1],beta[1],phi[1],gamma[2],beta[2],phi[2],gamma[3],beta[3],phi[3],gamma[4],beta[4],phi[4],gamma[5],beta[5],phi[5],gamma[6],beta[6],phi[6],gamma[7],beta[7],phi[7],gamma[8],beta[8],phi[8],gamma[9],beta[9],phi[9]
1,-22.94622352719307,0.5891759931620602,0.5844297267285757,0.6103801821809495,0.6103801821809495,0.5844297267285757,0.6103801821809495,0.5844297267285757,0.5844297267285757,0.6103801821809495,0.6103801821809495,0.6103801821809495,0.6103801821809495,0.5844297267285757,0.6103801821809495,0.5844297267285757,0.5844297267285757,0.6103801821809495,0.5844297267285757,0.5844297267285757,0.5844297267285757,0.6103801821809495,0.6103801821809495,0.5844297267285757,0.6103801821809495,0.5844297267285757,0.5844297267285757,0.6103801821809495,0.5844297267285757,0.5844297267285757,0.6103801821809495
2,-26.13428109884262,0.5842339785876238,0.5642643954905109,0.5966255033072189,0.6200222283029436,0.5773191295217697,0.617956391377561,0.5908755119737057,0.5659610364528043,0.6146958356361382,0.6199322092870562,0.6059402553505729,0.6221293983710967,0.5788481059465885,0.6136203968699053,0.5801493254104095,0.5742226961532194,0.606076098997567,0.5906708485992629,0.5868975869722615,0.5738136512431997,0.6232297199489536,0.6135016757871526,0.5766584278256089,0.6072705387110284,0.5693393259870552,0.577421140301789,0.6184499031413655,0.5755828475685202,0.5766100184669246,0.6151474322236681
3,-27.339390605688095,0.5854943920835401,0.5605446839067831,0.5873912351921222,0.620325724063593,0.5785095721450395,0.6224511874192703,0.6024659948675748,0.5680251479613755,0.6159017217243233,0.616465538451062,0.6012734965063334,0.6187563104595092,0.5846935252812991,0.6125812309346576,0.577910192958909,0.5775659179083629,0.5959668640495496,0.5975645988035784,0.5976854642901515,0.5748453022290698,0.6284468529426183,0.6139055104686943,0.5787734315402621,0.6070284574074628,0.5693043226576578,0.5787710069492614,0.6164580323500574,0.5746211794876606,0.5752644461090439,0.6171131605646278
4,-27.55384188890457,0.5866166762191496,0.5588827738798001,0.5834514804046614,0.6202081972117571,0.5781534791437206,0.6260863971757563,0.6058708563213093,0.5696893749875108,0.617382706086771,0.6142429342173804,0.6009336598083275,0.6142665811648936,0.5860882053853587,0.6117625350307607,0.5747745129352336,0.57963445513225,0.5938653456582699,0.5987513470029125,0.5989809850092033,0.5752778508456271,0.6295189118400223,0.6164144204318586,0.5799844000862836,0.6064100945109809,0.5720542688744447,0.5776193023619072,0.6143527548095158,0.5763174576270176,0.5756205155825531,0.6170245071158774
5,-27.67246288061142,0.5884418081428126,0.5537756732951917,0.5768402469674907,0.618435122801165,0.5759544484454421,0.633298678282189,0.6116256815844437,0.5723349975705698,0.6219537833490829,0.6140124110470336,0.6030499166129495,0.6097576235787369,0.5900390013971949,0.613708727374355,0.5695840029733373,0.5829748800136241,0.5919481540666763,0.6005499008224922,0.599358522547728,0.5741561918693716,0.6317060156161651,0.6223079389326477,0.5828917279349605,0.6062827277959996,0.5769946059884874,0.5754670659860041,0.6128749074729396,0.5764818566565678,0.5736033845224373,0.6175360490084127
6,-27.70959496498108,0.5896220941997882,0.552369980669959,0.5770153862579028,0.6157844601631942,0.5747990941684765,0.6339070564956469,0.6112647791063912,0.5718568227139994,0.6220380570013602,0.6162895685461909,0.6031562305969517,0.6084001593015878,0.5890061983328901,0.6126895539003331,0.5698607128689058,0.5821821300492901,0.5926508095368261,0.60273679704878,0.5983122247809963,0.5754916783708833,0.6296144975897984,0.6219548496210512,0.5832414447566219,0.6053377099047152,0.5803428555789116,0.574368236391683,0.6140588544355726,0.5766027424997769,0.5725972204467074,0.6185544064005563
7,-27.72520089149475,0.5896881735900592,0.5524833675243561,0.5777239944849496,0.6153719314096449,0.5746576979208936,0.634053133504818,0.6110096185750058,0.5711054669519123,0.6221803295875742,0.617696257387284,0.6029970404035319,0.6083175459131075,0.5895463522364086,0.6129049793606905,0.5707135205167587,0.5820850924946159,0.5934559211975192,0.6031146332469742,0.5979891192195577,0.5758318819726119,0.6292585999254716,0.6211835170423411,0.5830409999229688,0.6060968961643736,0.5797391884738395,0.5737163675994622,0.6155862934765166,0.5753936655212701,0.5720521925632877,0.618805442206725
8,-27.7283755838871,0.5897067963962329,0.5528719594967665,0.5781772204175938,0.6154449021159972,0.5748192545866109,0.6337583084480704,0.6106103834845448,0.5709773322052802,0.6219264404116693,0.6183347940620362,0.6029400341264102,0.6083430875881515,0.5895746866343471,0.6128169768806282,0.5711138385208724,0.582273090781644,0.5937418073783692,0.6027779395665575,0.5977460289772341,0.5758965475521861,0.6291187645349658,0.6207056538563218,0.5828079934732404,0.6065601435349535,0.5791919227069884,0.5733410934121083,0.6162709810317518,0.574993889121669,0.5719096469353462,0.6188477189389407
9,-27.731749564409256,0.5898017764476916,0.5532862979159748,0.5776160860180597,0.6160487541671733,0.5752525508023606,0.6337786675046951,0.6106050284377,0.5709599816966693,0.621900891946918,0.6185363606061056,0.6031424601498511,0.6085281988957867,0.5899195531821372,0.6127743249682559,0.571065035561229,0.5832214248633001,0.5937748331472612,0.6024134327130356,0.5976348380426062,0.5757512157021473,0.6293844285732296,0.6207182753956854,0.5828954162164686,0.6069320031629359,0.5787977424799876,0.5729952699884775,0.6165971181167897,0.5751149219604433,0.5721606998787391,0.618673475229495
10,-27.73334014415741,0.5901169617030864,0.5533198881969852,0.5771756315845652,0.6161581357717799,0.5752158315265014,0.6335793321431982,0.6109089484012579,0.571050128812958,0.6217412666062355,0.6189061749251129,0.6030353045260526,0.6083483548598201,0.589933583330262,0.6125569787386045,0.5709333784826426,0.5837587399634816,0.5937431819520569,0.6023753426090257,0.5976983336048096,0.5759605589101559,0.629148954894188,0.6207735885866918,0.5831005670414295,0.6069996478402822,0.5790856890833129,0.5725600354302168,0.616886413253254,0.5752360351002643,0.5720100157829993,0.6186702862010542
11,-27.733499109745026,0.59029741907622,0.553730054595564,0.5769666331103688,0.6161444405879264,0.5752588982567041,0.6334729748344115,0.6111549668087701,0.5714423719344451,0.6216666170511098,0.6191471174418394,0.6029273092835125,0.6079503088402289,0.5899155249407712,0.6124728592184013,0.5708086518682179,0.5843195146959032,0.5937396168450423,0.602138522171588,0.5977884510967251,0.5761412793629405,0.628829169964342,0.6209761129118879,0.5832426901562697,0.6073645160873354,0.5794260266037997,0.5723137082297426,0.617099091223732,0.5752823173784607,0.5718614651119265,0.6184696587990366
12,-27.733614712953568,0.5904532297703291,0.5536516512103357,0.5767792865105107,0.615951201213263,0.5751856820498654,0.6336457533061906,0.6113495448939964,0.5714901518716647,0.6217233670794634,0.6193442189197247,0.6028440845612315,0.6077104422756983,0.5898834355701967,0.6124574429139573,0.570720745557219,0.5844165334478134,0.5936760179624574,0.6023037805075829,0.5978505303385618,0.5762116738644718,0.6287263256534743,0.6210693502299222,0.5833004411398234,0.6074087941582527,0.5797085045425099,0.5721854738942178,0.6172032813659547,0.5752309414680475,0.571695738695265,0.6184984938598506
13,-27.73430472612381,0.5904529597962795,0.5535950587685929,0.5769924718845724,0.615835366495947,0.5750757469283061,0.6336287448420034,0.6112074639909066,0.5713456029398469,0.6216906286741669,0.6191587314744752,0.6027684187053133,0.6077805701556924,0.5896690449118879,0.6125337078855317,0.5707028155060698,0.5840434496391032,0.5935461422881625,0.6023842323389648,0.5978718770845634,0.5760923489508264,0.6288027129526105,0.6210105552570367,0.5832110778447223,0.60716382552774,0.5796143790510846,0.572406624343179,0.616998676325958,0.5751787585294705,0.5716713063566273,0.6185134336566496
