iter,energy,gamma[0],beta[0],phi[0],gamma[1],beta[1],phi[1],gamma[2],beta[2],phi[2],gamma[3],beta[3],phi[3],gamma[4],beta[4],phi[4],gamma[5],beta[5],phi[5],gamma[6],beta[6],phi[6],gamma[7],beta[7],phi[7],gamma[8],beta[8],phi[8],gamma[9],beta[9],phi[9],gamma[10],beta[10],phi[10],gamma[11],beta[11],phi[11]
1,-15.451678097248077,0.5731011870752014,0.5294774438330038,0.6470150374446642,0.6470150374446642,0.6470150374446642,0.6470150374446642,0.5294774438330038,0.5294774438330038,0.5294774438330038,0.5294774438330038,0.6470150374446642,0.6470150374446642,0.6470150374446642,0.6470150374446642,0.6470150374446642,0.6470150374446642,0.5294774438330038,0.6470150374446642,0.6470150374446642,0.6470150374446642,0.6470150374446642,0.5294774438330038,0.5294774438330038,0.6470150374446642,0.6470150374446642,0.5294774438330038,0.6470150374446642,0.6470150374446642,0.5294774438330038,0.5294774438330038,0.6470150374446642,0.6470150374446642,0.6470150374446642,0.6470150374446642,0.5294774438330038,0.5294774438330038
2,-21.26609767228365,0.5717234105541251,0.501898656373696,0.6441414777067689,0.6858627681923423,0.678746495153708,0.6685096931912274,0.5382271097659803,0.5431006700900962,0.5567175098267351,0.5541036875740399,0.6322235180767831,0.6599272769949723,0.650240400391915,0.6527005496687617,0.669154272161305,0.645478630954026,0.49198386310249936,0.6894649006941841,0.65059762548837,0.6510954416611686,0.6180689439068113,0.5381554246114026,0.5533224293039192,0.6461667028528975,0.6754883783152339,0.546208572024912,0.6442647722708569,0.6717110491875521,0.5407451488224637,0.5310913026246988,0.6479965194187236,0.650249880180677,0.6639277688193264,0.6372258691380267,0.5097028099005338,0.546259302142913
3,-25.606808826327324,0.5739023719268972,0.5176550870325298,0.6449353675852322,0.669945214310389,0.6593224930486125,0.6579024785152783,0.5413592506711894,0.5404735762263463,0.5434116478124482,0.5490253256514507,0.6345333753577962,0.6493295335684565,0.6427020859210433,0.6408011164013645,0.6596521339870983,0.650019973026259,0.5142716373727433,0.6722804963579682,0.6421880651616282,0.6536406938674397,0.6295883339342242,0.5434448302064665,0.5498804001658671,0.6435179341050281,0.6617624867337532,0.5490840192795295,0.6366302725099303,0.6578798557706803,0.5421354761445099,0.5395192002972828,0.640925158132334,0.6494998400805855,0.6574075421910902,0.6345580448839429,0.5214703606325712,0.5499649125721767
4,-26.267730578780174,0.572500724021838,0.5101772383828772,0.6472368055376325,0.6720584731304837,0.6625914104806728,0.6607623186279935,0.5354135154165415,0.5300313033335436,0.5380662493901689,0.5442955164570604,0.6356141280955866,0.6519370838715384,0.647704924003754,0.6466871962278363,0.6626449986012611,0.6522289152699697,0.5080744422068325,0.6767523926338849,0.6446984305944856,0.6563215017834134,0.6280045665286144,0.5414731069577867,0.5429147373790193,0.6437562850235765,0.6640269880030947,0.5477825455263382,0.6427067758959493,0.664969916568072,0.5348382455124432,0.5343254334159131,0.6438591491197337,0.6535417876823989,0.6572515533373944,0.6337193257610724,0.5172708111392081,0.5476579885924396
5,-27.0696023106575,0.5741697322984844,0.508818814628199,0.6450113724415723,0.6692857536548893,0.6612841989494809,0.6606615187452405,0.5369776900553644,0.5277941570754415,0.5408760007444979,0.54721898298106,0.6315673987134764,0.6489771596331405,0.649006698992785,0.6466402621597526,0.6629986702034807,0.6536865949727534,0.5099699181863325,0.6784174255334117,0.640187671693558,0.6546008828597026,0.6223522227257222,0.548677152525824,0.5444438013931413,0.6396875383530054,0.6605105569216175,0.5584718240511851,0.642158877631674,0.6680198690459961,0.5356412377956257,0.5391482765655642,0.6419202192813441,0.6510943965294853,0.6516250166669084,0.6269645636607801,0.5191462674797391,0.5568883707381201
6,-27.576323837041855,0.5752543263719043,0.505814402499525,0.646895974961008,0.6681708749193946,0.6603732048837284,0.6602257298337789,0.5364441472949361,0.5213095336967167,0.536819715593525,0.5477112959235649,0.6284390990062576,0.6459646798032163,0.6500299992281369,0.6419839901859707,0.6656118184375335,0.6609365850976049,0.5140086641342902,0.6821505374623281,0.6346357252074684,0.6573325244409561,0.6189159256932936,0.555290890621074,0.5426267657679086,0.63596337458416,0.6584618572990673,0.5698585631747313,0.6394590665570536,0.6704031936958096,0.5332002732532953,0.5437010844330622,0.6402614238732438,0.6508254907027314,0.6477480540126391,0.6203247756724845,0.5195344163649201,0.5660957543974433
7,-27.683917105197906,0.5762138787349808,0.5054775233736286,0.6470507338165802,0.666680246854875,0.6606681661973444,0.6597642507562186,0.5355883796680069,0.5198431519344644,0.5364530282789719,0.5466211156741274,0.6290865150781664,0.6441649059736907,0.6529663132406464,0.6386937128609729,0.664698041353669,0.662352812369644,0.5153421371208762,0.680299874295947,0.6334201866509106,0.6555312795993783,0.6209944504856363,0.5567392764419908,0.5418925585135362,0.6356042939940078,0.657476429882423,0.5733182070754425,0.6404120014573831,0.6699784341795543,0.5322691653384715,0.5436775524548534,0.6415777195193553,0.6489547109616793,0.6440395915408087,0.6203244568645772,0.5209898222546623,0.5680186590895019
8,-27.713602036237717,0.5761717828690881,0.5052287101202007,0.6475697421495433,0.6670360121558987,0.6607531370585605,0.6595187157035994,0.5356075423688996,0.5197346921796957,0.536815464536354,0.5469266486249357,0.6288480186871243,0.6440073603573709,0.6540703916849876,0.6379531800237812,0.6654108287414754,0.6619291381234549,0.5149779351741923,0.6802699941397079,0.6340935875147624,0.6558027500901414,0.6209759551257517,0.5564886315124585,0.5426957329905157,0.6359785195374636,0.6591039538967335,0.5728729571254213,0.6402704972875846,0.6704921520230247,0.5329805336913229,0.5437322488790973,0.6414887802227603,0.6490859581649936,0.6432899509390035,0.6208621071244859,0.5212289623160661,0.568352640148126
9,-27.72604128718376,0.5758006060679283,0.5049417015749411,0.6485280305129152,0.6677664351240438,0.6606825549851989,0.6597711535220742,0.5355618912333993,0.5199727275474632,0.5365227991722656,0.5469238086503976,0.6287792158576051,0.6440978698029398,0.6549346123507541,0.6371403461660221,0.6660437561411927,0.6615117979610009,0.5140226441525992,0.6810478401408617,0.6349590373474868,0.6562626129958194,0.6213982411882212,0.5567809988843135,0.5436289154629115,0.636579121491036,0.6608737294541472,0.5721653613338155,0.6398979744838823,0.6709521447919405,0.5332423027724988,0.5431297751975155,0.6416341236129441,0.6498113731636067,0.6432547036082941,0.6214065832672321,0.5210184059511325,0.568258484460078
10,-27.730968445539474,0.5758939103515782,0.5046818604350262,0.6492006475662421,0.667718144235832,0.6604775702846548,0.6598922092087314,0.535796002924908,0.5191125591343915,0.5360785653382593,0.5471868178468887,0.6284804834833542,0.6431379111086761,0.65650186474514,0.6349210224186945,0.6663206306953178,0.6613769250586289,0.5140201378767651,0.6816314634925441,0.6351837525698516,0.6565045369431747,0.62123553090313,0.5579550590424778,0.5441826423023056,0.6365135222319368,0.6617340026601352,0.5731313608116934,0.639247727547298,0.671574748901792,0.5331746551099853,0.5428996956424161,0.6416924481390069,0.6502205773203429,0.6418720065142649,0.6207075747212869,0.5213948238593794,0.5694889085118031
