iter,energy,gamma[0],beta[0],phi[0],gamma[1],beta[1],phi[1],gamma[2],beta[2],phi[2],gamma[3],beta[3],phi[3],gamma[4],beta[4],phi[4],gamma[5],beta[5],phi[5],gamma[6],beta[6],phi[6],gamma[7],beta[7],phi[7],gamma[8],beta[8],phi[8],gamma[9],beta[9],phi[9],gamma[10],beta[10],phi[10],gamma[11],beta[11],phi[11],gamma[12],beta[12],phi[12],gamma[13],beta[13],phi[13]
1,-16.243355736136436,0.26041190452362506,0.0,0.0,0.7950170765688602,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
2,-20.361266881227493,0.26519445515899853,0.020429239824147294,0.0,0.780936963719637,0.021278248074899222,0.9794038367443121,0.9907323274030577,0.015187920361779975,1.0,0.0,1.0,1.0,0.02210603632455435,0.9785307002937714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9884603635603096,0.025684962117434734,1.0,1.0,0.9857215947083868,0.9908639663639456,0.9774095188890962,0.9628220631320455,0.0,0.0,1.0,1.0,1.0,0.039413841562927904,0.0,0.0,0.9806746829480053,1.0
3,-22.349730402231216,0.26574964229836784,0.021786141100946378,0.0,0.7720007595703959,0.019811665823038505,0.9703092906006879,0.9905275221316834,0.016646033566152747,1.0,0.012235706458480046,1.0,1.0,0.027323132260912857,0.9783348448640607,1.0,1.0,1.0,0.9989508715071574,1.0,1.0,0.9947039197976972,0.0,1.0,1.0,0.9904743278924037,0.029114509112454237,1.0,1.0,0.9842330901535599,0.9927876496557854,0.9847580641686658,0.9667057786048308,0.0,0.0,1.0,1.0,0.9994195826869707,0.03871937702788836,0.0028608886818366347,0.0,0.9785976720699094,0.9978688046099083
4,-24.137191355228424,0.2692695333633441,0.037048559615379485,0.0,0.7433147449959603,0.02551269464502908,0.9388084951517952,0.9845027131599641,0.022671134596006965,1.0,0.039896627690848493,1.0,1.0,0.04531827567283886,0.9683440161395668,1.0,1.0,0.994116763704736,0.9910125205221532,1.0,1.0,0.9793179340570555,0.0,1.0,1.0,0.9897195093355984,0.045660794627054226,1.0,1.0,0.9730337827384984,0.9943123049330198,0.9943359047917044,0.9622087588144049,0.0,0.0,1.0,1.0,0.9972123860573257,0.050404905005799014,0.01275827813273456,0.004053969298844077,0.9710560564323208,0.9894229359551542
5,-25.161059707403183,0.26994931996675015,0.04318968804115909,0.0,0.7371749333241693,0.027528008950626546,0.9316903365965474,0.9832840659433314,0.022763860861215363,1.0,0.03767099992034311,0.9945312760982723,0.9976089591069701,0.04574022221366295,0.9631921024766412,0.998977101237644,1.0,0.9925999883005084,0.9906949518160078,1.0,1.0,0.9746007281058712,0.0,1.0,1.0,0.9890739268657718,0.045298026118983016,0.9969713075041428,1.0,0.9699695465634128,0.9935957290667048,0.9941271834072303,0.9600090416028296,0.0,0.0,1.0,1.0,0.9997298734904242,0.051414047566507116,0.01252406704333273,0.005952298928732584,0.9739565503556756,0.9865054250459319
6,-26.060807451605797,0.2731184346746427,0.06972678003840703,0.0,0.7095390015911834,0.038779170053062764,0.9000628611892706,0.9769700355233915,0.025746765051041863,1.0,0.041000387356345244,0.9767272309747869,0.985554975778343,0.048882864466960274,0.9413628391592159,0.9920435763489768,1.0,0.9866020170382652,0.9851060290339716,0.9958070739427698,1.0,0.9520055134425335,0.0,0.9968865623371015,0.9954044721251228,0.9856774138920805,0.05170223133585767,0.9887737856199067,1.0,0.9545954226125424,0.9878187783948347,0.9935537193388839,0.9548926280104335,0.0,0.0,1.0,1.0,1.0,0.05641391538379763,0.011305595748683379,0.012316439811987268,0.9856570438753548,0.9734512181687415
7,-26.756584018468857,0.26954484541838397,0.05925256797967256,0.0,0.7179702575070852,0.03588967447280844,0.9104474243574159,0.9812685146696292,0.019991590790964506,1.0,0.03081695467187296,0.9844417409104808,0.9901335133330695,0.040712596484027544,0.9458968125970453,0.9971735246013411,1.0,0.9911064271355524,0.9896210936258262,1.0,1.0,0.9598760470317032,0.0,1.0,0.997067975265342,0.9862098985263963,0.046906727833517896,0.9953426449355399,1.0,0.9591564542957134,0.9914727639686226,0.9952522140795804,0.958772350674107,0.0,0.0,1.0,1.0,1.0,0.04707634477183746,0.0,0.004896390741544696,0.994755891637173,0.9784404192592556
8,-27.00581720471382,0.26887502013898884,0.056775370922742034,0.0,0.7169891571912623,0.037051772621747074,0.9121804012640055,0.9824613651099331,0.017346217665988584,1.0,0.030716652289441104,0.9868940293940218,0.9916483119135209,0.040167041364017296,0.9469374032507241,0.9960617181830212,1.0,0.988874133222537,0.9869576430166285,0.9999312364207535,1.0,0.9603566060820886,0.0,1.0,0.9955416180882785,0.9835479522794154,0.04512344637995915,0.9957086455283544,1.0,0.9585459816543951,0.9932020883858677,0.9990103947817731,0.9626848871761986,0.0,0.0,1.0,0.9999481270977119,0.9993577982285305,0.042197554645809876,0.0,0.004491456258088055,0.9972700586741939,0.9799504998488519
9,-27.13530172407627,0.26920011300672436,0.0592823019143179,0.0,0.7123504889874721,0.04093949761246506,0.908261660713637,0.982238840316432,0.01628301547914025,1.0,0.03080364891491872,0.9869104897798726,0.9916588537109321,0.04181277298126871,0.9430112732240646,0.9942995071755394,1.0,0.9869092229294395,0.9842037981570209,0.9997922268861713,1.0,0.9584460463904448,0.0,1.0,0.9941934872881368,0.9807896550891876,0.046651351221209544,0.9954091150214485,1.0,0.9550577799016265,0.9931261218662801,0.9996236511235951,0.9616686465689507,0.0,0.0,1.0,1.0,0.9989515657998628,0.04202997321816729,0.0,0.004072637291640841,0.998728503193381,0.9800705740626992
10,-27.201101422309875,0.268846905122018,0.06068365757260584,0.0,0.7093834524520298,0.04590373537579111,0.9072419521903683,0.983235675752876,0.013503437072007317,0.9993811174792495,0.030651822260889378,0.9865304225814876,0.9910844266549504,0.04243525997303967,0.9401433846976248,0.9920937388921385,1.0,0.9851447624717764,0.9838514465668552,1.0,1.0,0.9572076223590442,0.0,1.0,0.9929273014927732,0.9798724974903398,0.0481345828103547,0.9959330746785254,1.0,0.9530476431211333,0.9944468757714624,1.0,0.9608461710904563,0.0,0.0,1.0,1.0,0.998668618222368,0.04180759418734722,0.0,0.00246079892109381,0.9997468860871391,0.9809236669705056
