iter,energy,gamma[0],beta[0],phi[0],gamma[1],beta[1],phi[1],gamma[2],beta[2],phi[2],gamma[3],beta[3],phi[3],gamma[4],beta[4],phi[4],gamma[5],beta[5],phi[5],gamma[6],beta[6],phi[6],gamma[7],beta[7],phi[7],gamma[8],beta[8],phi[8],gamma[9],beta[9],phi[9],gamma[10],beta[10],phi[10],gamma[11],beta[11],phi[11],gamma[12],beta[12],phi[12],gamma[13],beta[13],phi[13],gamma[14],beta[14],phi[14],gamma[15],beta[15],phi[15]
1,-19.761294662952423,0.5940063652763595,0.579702822260702,0.579702822260702,0.6135314518261986,0.579702822260702,0.6135314518261986,0.579702822260702,0.579702822260702,0.6135314518261986,0.579702822260702,0.579702822260702,0.6135314518261986,0.579702822260702,0.579702822260702,0.6135314518261986,0.6135314518261986,0.6135314518261986,0.6135314518261986,0.579702822260702,0.579702822260702,0.579702822260702,0.579702822260702,0.579702822260702,0.579702822260702,0.579702822260702,0.579702822260702,0.585557005214561,0.579702822260702,0.579702822260702,0.579702822260702,0.579702822260702,0.579702822260702,0.6135314518261986,0.579702822260702,0.579702822260702,0.6135314518261986,0.579702822260702,0.579702822260702,0.6135314518261986,0.6135314518261986,0.579702822260702,0.6135314518261986,0.579702822260702,0.579702822260702,0.6135314518261986,0.579702822260702,0.579702822260702,0.6135314518261986
2,-25.68737703561783,0.5953531649817232,0.5772137917609482,0.5786945369475229,0.6102069602531697,0.5856249755759394,0.6232555172803527,0.5866834077400959,0.5809849082272619,0.6062674613089203,0.5816815570903006,0.5907959472539686,0.6130423795419321,0.5886552520226673,0.5837401710259963,0.607636955393623,0.6163129430224814,0.6181806819793262,0.6145824703952242,0.5921095116902263,0.586174460419148,0.5772810308357053,0.5874347774578158,0.5870894638333879,0.5929802114215363,0.5922956172140197,0.5833098303231123,0.5885767007482274,0.5809637526202783,0.5805528187870547,0.5923768871095768,0.5870484810459291,0.5888814405384879,0.6184140237894278,0.5847849138874791,0.5878157060650198,0.6187424110436625,0.5830103529095022,0.5812092129498382,0.6093658930597756,0.6124802035938645,0.5866527626346306,0.6102743568819509,0.5863567511808898,0.5854833667382592,0.6132756620142448,0.5808401032805537,0.5789241853057812,0.6119678314289599
3,-26.935849457979202,0.5967557428512595,0.5736987413151308,0.5737762103227809,0.6109014691722565,0.588673392267745,0.6266822970125643,0.5925157356657464,0.5825656972471344,0.6009386105772607,0.5816615138326349,0.5969810196603306,0.60742122412783,0.5998028233217162,0.589331721784282,0.6019645613850308,0.6229081782874466,0.6151935761344077,0.611523664047636,0.602997208769932,0.587100428257189,0.5721359793033803,0.5932953827197426,0.5847072706574866,0.6035305387615015,0.6031639504128452,0.5887895223579999,0.594205120191154,0.5794145588519612,0.5779107513286665,0.6018739715367725,0.5944359959873733,0.5995936931466669,0.6251053684428863,0.5853814406648038,0.5921183179400423,0.619406956529532,0.5889169452891636,0.5831734277101722,0.6052244824872309,0.610681674737266,0.5844736539568198,0.6052143431650984,0.5941994528597607,0.5868918366405265,0.6154701615186551,0.5792832011709089,0.572899727914031,0.6114333911704953
4,-27.52334415912628,0.5957736595734013,0.5698615616470295,0.5704155733060258,0.6121610874030089,0.5877716208712336,0.6277807583174951,0.5897695715370591,0.5794916584355495,0.6014641534375,0.5815667203331516,0.5951128469136027,0.6078491466824872,0.5973779767094444,0.5852428046864323,0.604015293060701,0.6244964833324975,0.6165443019033442,0.6125235500657817,0.6007444923724304,0.5839548168304475,0.5697269492006702,0.5927936244301663,0.5832548172822186,0.6016684780616652,0.5988653802498215,0.5871803004117585,0.5937473626226518,0.5777199947919348,0.5776497985412442,0.5981673059060811,0.5908074520972284,0.5985670697103932,0.6253800954469297,0.5836100652342422,0.5899749029689705,0.6183974968030043,0.586679174375824,0.5797991348523992,0.6062609964857484,0.613716311682702,0.5815425850717515,0.6040637354784205,0.5923809032667834,0.5832504955361685,0.6172844991910154,0.5809496309617931,0.5693219112795038,0.6129956381171533
5,-27.639022439718246,0.5954395447283856,0.570137976539645,0.5714231063388263,0.6110765149587628,0.5873791874949827,0.627493327013427,0.5896604482526467,0.5795968390036255,0.6027666764115666,0.5818857439818108,0.5942428491430493,0.6080469067466954,0.5968986981306195,0.5854236107571423,0.6056355768213607,0.6235647491597621,0.61550441704933,0.6110625101450462,0.6005749939424412,0.5855811989660746,0.5695830882375635,0.5929129476449303,0.5834901763059201,0.6007197210472232,0.5984753918939837,0.5896437546550302,0.5942532138123051,0.5782369471724323,0.5784574846451063,0.5964980824163435,0.5908300214357862,0.5994348344403696,0.6244593272641488,0.5840399354376051,0.5888795959155847,0.6169712881026892,0.588278369233066,0.5801928680829129,0.6072431069751427,0.6137424626891875,0.5802751369146808,0.603724920876415,0.5929353877088547,0.5834827258005316,0.6182436960358867,0.5813681398690465,0.5690454650274721,0.6123355449810861
6,-27.69019916653633,0.5957285466155745,0.5693195580438147,0.5704870277259482,0.6105091722526985,0.5871314310911474,0.628471556762476,0.5896348034762294,0.5792297710786436,0.6033044449887045,0.5818600190286038,0.5939166970843933,0.6082835399679853,0.5974464238365285,0.5852518387156103,0.6068362952089598,0.6241773300174099,0.6156079887958025,0.611176166500344,0.6013892075011813,0.5864384097371776,0.5686314879359253,0.5937113215359108,0.5835378885451007,0.6017788878091626,0.5989200567106119,0.5910173198483724,0.5949587026571372,0.5777646888850008,0.5783036787215101,0.5965543534251857,0.590378472549653,0.6008653826100419,0.6253853398581729,0.5842564044859453,0.5892957772530051,0.6173336514400274,0.5890769044302702,0.5801788065294143,0.6077711541771996,0.6135945460883998,0.5796369677591912,0.6031741949758656,0.5937282623676392,0.5835354549565627,0.6195013822853119,0.5811911610544157,0.5679273928533483,0.6117500459827465
7,-27.702843844890594,0.5960967696383511,0.5688823669002481,0.568788268843283,0.6099371711722642,0.5872648059575789,0.6305930626633909,0.5902033418842373,0.5779392724429738,0.6047893248031778,0.581924897785819,0.5929086984347848,0.6091115885051092,0.5993028925870197,0.5852361669866407,0.6093491435951242,0.6252906676710541,0.6158647904012378,0.6113933583290371,0.6020778674088052,0.5874580214902195,0.5662947901687803,0.5943437708494431,0.5839975486823472,0.6037546250565,0.5995589028281535,0.5937065200809243,0.5961121639334565,0.5775085533673339,0.5787079611126202,0.5975588354997637,0.5886379366306369,0.6031960982276321,0.627016038134869,0.5844527254051498,0.5904613682465436,0.6172027259590134,0.5903401228591947,0.5794465643847074,0.608358967520063,0.6140532643075751,0.5783118816516416,0.6023557615946069,0.5951357113002763,0.5831053590726969,0.621715526659454,0.5822426109007538,0.5664714599484186,0.6107883643396901
8,-27.72867652773857,0.5958964938521532,0.5691518350757568,0.5697817860699355,0.6099304695724272,0.5873958105067402,0.6304405771553079,0.5901217970793388,0.5784804035058715,0.6048954608453133,0.5822096169123582,0.592783474354104,0.6086261451971793,0.5990753761496228,0.5857754570600516,0.6097610705758625,0.6247209239540384,0.6160549644567416,0.610958120723723,0.6015005173066934,0.5866243812853158,0.5663946275882679,0.5946078314857557,0.5836534806476098,0.6029367195458685,0.599352858092206,0.5927561002705187,0.5959458203946656,0.5781467081650293,0.5783216266358092,0.5974062148350052,0.5883280349536258,0.6024334278045562,0.6265691443735956,0.5848185932465148,0.5904795363217078,0.6177385695400693,0.5897553882737727,0.5789913131894352,0.6082210845975532,0.6136384464357412,0.5789883863835272,0.6027775824483382,0.5950055889778236,0.5829299437682761,0.6209834786747754,0.5821433842012737,0.5670276525156249,0.6110375140220253
9,-27.73139524459839,0.5954896517750323,0.5695494786434381,0.5702972477050325,0.6095852616121693,0.587568757741821,0.62994586921881,0.5902115960003783,0.5786538905518851,0.6056425458033156,0.5829477929412995,0.5919156968150409,0.6086416186413941,0.5990238046503302,0.586493893839557,0.6111400326771413,0.6242218019495708,0.6163010971142119,0.6106222093631658,0.6007349599385957,0.5860123464699398,0.566077814993796,0.594820976858999,0.5834301832602926,0.602270781212196,0.5985317345399165,0.5920134570604,0.5957903445864167,0.5795541520734698,0.5781555625445849,0.5972671874549402,0.5870731630638957,0.6016842557823727,0.6258555271342416,0.5856091388694833,0.590711818810836,0.6183805936666943,0.5891926875139045,0.5782689905570089,0.6085026094600829,0.6130715086605599,0.5796728476790386,0.6037054023499935,0.5953248360691775,0.5824499509351666,0.620660344501145,0.5818934618882206,0.5672843190161235,0.6113547335228088
10,-27.73400068283081,0.59589253667759,0.5693728981240167,0.5705425071000372,0.6096135599630643,0.5876572622640758,0.6298508421266039,0.5906802301388271,0.578756040079132,0.6057001096576716,0.5829817779253372,0.591895107502764,0.6085103524372727,0.599486941242305,0.5865894450724569,0.6112607007047558,0.6244087070919595,0.6161927670165668,0.6104792287873674,0.6009230378875335,0.5863775503327746,0.5661347396037509,0.595118390470314,0.5837060224600722,0.6027649023046633,0.5985242705071062,0.5925556077410002,0.5962580201195158,0.5798540966188417,0.5784689359593151,0.5971081140514063,0.587113117491133,0.6021043647548752,0.6258692591772878,0.5859276220883213,0.5909333480921268,0.6179235922700461,0.5895701472751609,0.5780264488697106,0.6085584044444171,0.6129115827599015,0.579446983174409,0.6035950915571862,0.5958177348880073,0.5822647052264935,0.6207279433293463,0.581899850515947,0.5673875085806722,0.6108844225305672
