iter,energy,gamma[0],beta[0],phi[0],gamma[1],beta[1],phi[1]
1,-19.401307493448257,0.5107759335487041,0.4733330986960767,0.6844446008692822,0.6844446008692822,0.4733330986960767,0.6844446008692822
2,-22.625908851623535,0.46179471742852024,0.40405538577936506,0.7306297428137566,0.7306297428137566,0.4140375854722925,0.7242074391823606
3,-24.328510330524296,0.4249821402711922,0.3447388062432822,0.7934434018563181,0.7868240043135882,0.3548716669695926,0.7277877417081277
4,-24.702783193439245,0.43415230576538577,0.3514516898373963,0.7812248546704001,0.7674631342927707,0.37270348499219264,0.7205313007892347
5,-25.223431058228016,0.461059089153511,0.3712120687035307,0.761453904360056,0.7278686496157187,0.4127635443008412,0.6843712437540926
6,-25.434687808156013,0.4751731945767627,0.38125365883001344,0.7538817339078079,0.7092451031915172,0.4330506854234442,0.6621190839661054
7,-26.17897705733776,0.4731151810151388,0.3612850159849634,0.7695492326314535,0.7004963471904204,0.42480590450865996,0.6364455871354511
8,-27.059073701500893,0.46310932871391197,0.3355942253221191,0.7888204548222167,0.7039289696556648,0.396462683430984,0.5933243855936344
9,-27.120684757828712,0.45294664773599064,0.32173262649574585,0.7939759448967356,0.7118468797245254,0.3817577485897993,0.5869143028329051
10,-27.25025950372219,0.4563523434260561,0.324874512198254,0.7837786470290709,0.7172027085436563,0.38419099820463876,0.5778275251683778
11,-27.270677745342255,0.454719030157405,0.3269015599260805,0.7713556653422013,0.7241526618851044,0.3882693735548213,0.5643762554996768
12,-27.27985128760338,0.45166562624784456,0.32404582318910113,0.7743647943218255,0.7262669673711104,0.387633696646244,0.5742302632958243
13,-27.279918640851974,0.45166834846989934,0.32406593857725324,0.7743805982951536,0.7262558348838909,0.38763888804504343,0.574269315425731
14,-27.279918640851974,0.4516683484699235,0.3240659385778185,0.7743805982952744,0.7262558348836607,0.38763888804527546,0.5742693154261856
