iter,energy,gamma[0],beta[0],phi[0],gamma[1],beta[1],phi[1],gamma[2],beta[2],phi[2],gamma[3],beta[3],phi[3]
1,-11.46481616795063,0.5030782810477106,0.4101853904223767,0.7265430730517488,0.7265430730517488,0.7265430730517488,0.7265430730517488,0.4101853904223767,0.4101853904223767,0.7265430730517488,0.4101853904223767,0.4101853904223767,0.7265430730517488
2,-12.900687739253044,0.49085573910811947,0.4061396274810449,0.7443115088788345,0.7439825984409703,0.7444231337468696,0.7360156409578378,0.395179886349871,0.376188584342314,0.7477161198276393,0.37201301890099414,0.3771488234316617,0.7396747453957047
3,-14.55407439172268,0.4988385253141576,0.43566567399453704,0.7278238942548323,0.7324693002143059,0.7394855837090494,0.7277506457657352,0.42833241271532574,0.3796197529586167,0.7418674771467944,0.3823140730406404,0.3839969942555233,0.7363032385031928
4,-16.571340322494507,0.517709216995558,0.5231183144279157,0.6908083785383188,0.6864835044374136,0.7328882141298865,0.7201835225897215,0.5141608324504611,0.35290216794051665,0.7327692811541763,0.38239513807914455,0.3881720507195753,0.7205384313292743
5,-17.449149519205093,0.5173425171524675,0.5578702952308907,0.6936211930594672,0.6632003272653225,0.7431150578959627,0.7582975996264208,0.5315521643804032,0.34850453127887004,0.749548204329656,0.35840621997827393,0.40757372950878773,0.71041913373415
6,-18.247633308172226,0.517089705642937,0.5685606713874806,0.6977138341014049,0.6582495692955934,0.7382473762283472,0.7522535704763952,0.5201331267331414,0.3446476457387594,0.7436362830423077,0.3545253204734974,0.40555534390419157,0.7033253118547296
7,-18.97572833299637,0.5213663153486614,0.6059144955960387,0.701781350588395,0.6345960391600931,0.7242409949529237,0.7492742601372483,0.5060067432416203,0.33602741049421725,0.7404824120216905,0.3468335853177908,0.41483820001993976,0.6830324131618533
8,-20.688735842704773,0.5241750113129245,0.6792197578774701,0.6924898399235374,0.5983814592593371,0.6878043744284249,0.7509243248482582,0.4915967782140177,0.2884842813308334,0.7549676755431537,0.3214351215247455,0.45983098249701043,0.6744920747663384
9,-21.271677285432816,0.5251409041283934,0.6994936980829127,0.6864841793910855,0.5834258293327783,0.6694103113027341,0.7510113293185642,0.48471886458025004,0.2702515091650299,0.7637547505727833,0.30957689790116066,0.4821886077754299,0.6741832365202342
10,-21.786323457956314,0.5186529512494022,0.6868659893612595,0.6791840504876325,0.5780373404530882,0.661888974154032,0.7547913177514952,0.47927736523121317,0.2618763845605504,0.7714533170745431,0.3026943214751062,0.4935047227998875,0.6873644820705753
11,-21.974048227071762,0.5144849571900114,0.7181701168315897,0.6627268142391615,0.5702964110770932,0.6462964428497635,0.7503916389767625,0.4937234249283541,0.23191053394565414,0.7839528146934133,0.2948701591033869,0.4998074597244301,0.7063130741813692
12,-22.726884961128235,0.5105076573725733,0.6832754358170031,0.6651077503421464,0.6019647044034538,0.6473338968266649,0.7447055876978715,0.4890035700337786,0.24879803251419513,0.7900931490521542,0.311798828764031,0.4775957218110502,0.720367050361722
13,-22.86955752968788,0.5095794248890957,0.678898547963286,0.6646538921070058,0.6176563797446678,0.6479793661817679,0.7469815403874197,0.4943738636711099,0.24972590548177878,0.791354001408719,0.30314778213025384,0.4762770202033056,0.7265749470260143
14,-23.126244574785233,0.5111004265262793,0.6766556428040573,0.661830453591061,0.6317944758978731,0.6390315676774595,0.7414148859213591,0.49856859906585865,0.2556725636669727,0.7955581005427945,0.2887686250018159,0.48382324750453315,0.7262448620022384
15,-24.432940170168877,0.516506390129848,0.6494065168057824,0.6494556336252584,0.7300206481825631,0.5805797253188631,0.7072156460012551,0.5423220287588554,0.29032847468776474,0.8279384719221791,0.21201952627910775,0.5153331458636219,0.7169071420573989
16,-24.649073243141174,0.5190965939670916,0.636857769784247,0.648253803084964,0.753000692093574,0.5695199953922099,0.6984981943278361,0.5567613485657064,0.3029699658289615,0.8287112005373997,0.1942025485349657,0.5212622949484244,0.7117054307327926
17,-25.037567473948002,0.521723159138657,0.6074902309245136,0.6593783396533606,0.7466236091142583,0.5738335687587405,0.6953116162433673,0.570144324945779,0.32077174353334154,0.8005973477677637,0.1935532067227405,0.5178029274282946,0.6930965485874577
18,-25.511743664741516,0.5223752872153652,0.6080826045343303,0.6706168835589548,0.7528515970947106,0.5749825214624822,0.6963730730893912,0.5616289398487069,0.320687416823728,0.7969220568701224,0.1942402256492512,0.5248715914429652,0.6894844835641353
19,-26.196618407964706,0.5188352085599047,0.6071078328160057,0.7005415075942945,0.7500248262015358,0.5762096075503781,0.7015004613535523,0.5323364366118354,0.31025074561001387,0.7808106277694224,0.2031234286262991,0.5462041656123515,0.6769357408654256
20,-26.7792589366436,0.5175713892247766,0.5765220520827442,0.7341846459097153,0.765460953937284,0.5651050045001081,0.6942334594992849,0.5153904357545862,0.31961485087159874,0.7559049196224888,0.19875412067322126,0.5710208608479863,0.6577328184170487
21,-27.110941648483276,0.5127786028729963,0.5591126654362194,0.734987151507882,0.7704440533358867,0.5428402363580803,0.6893725332738457,0.5284700833846492,0.3305672822429031,0.753853661625412,0.18465415602478513,0.5894979670651251,0.6574071332063747
22,-27.21064454317093,0.5064023098206792,0.5458998737447028,0.7390193336085459,0.76591963064393,0.543312531106067,0.6875562305329483,0.527950726764501,0.33744101310968644,0.7543072418419369,0.19361882461787092,0.5852869091206945,0.6642814843178542
23,-27.26089595258236,0.5039652779848106,0.5471097061768695,0.7424713911929558,0.7595814139542194,0.5391502984867256,0.6893943263363705,0.5289392399598977,0.3389700373970803,0.7563444069339595,0.19761596113252652,0.5905892193283347,0.6649398535455069
24,-27.287027180194855,0.5054670992312392,0.5517815008629238,0.7439742108264066,0.7570415519664193,0.5398820514916676,0.6931895342428058,0.5290493382411131,0.3355440881005452,0.7582919730442961,0.19804392302196813,0.5954700321018824,0.6627616265908043
25,-27.301910549402237,0.5053625037901581,0.5517593558639068,0.7463482957410088,0.7578146812258602,0.5394613120255852,0.6949886860510917,0.530310826253947,0.33488024687138435,0.7584969887372013,0.19645664218333603,0.5997964683215636,0.6599225763055716
26,-27.336516231298447,0.5054972531593229,0.5508366571535523,0.7484021555635763,0.7607223178570357,0.5424308285908698,0.6974479029677323,0.534419567925351,0.3358343827266866,0.7599029796125492,0.19550304865267662,0.6018819407499235,0.6572784117455616
27,-27.37294977903366,0.5036491970759701,0.5447226920443585,0.755549524847561,0.7596617554217681,0.5421337361643717,0.7000746309695954,0.5362933929056934,0.33896194217666453,0.7596826571720332,0.19742843189254766,0.6090331928328451,0.6562036395144716
28,-27.41879540681839,0.5008739970693602,0.5439340678510008,0.7598790040212937,0.7523538300959114,0.5433341380169968,0.7053356149668718,0.5415525836529438,0.3402820135301366,0.7646747207845614,0.20238713059012065,0.6140406635391222,0.6566118248030867
29,-27.43595516681671,0.49790281110941087,0.5428144431321925,0.766552209228873,0.7446168837202287,0.5441192419228389,0.7112616903755117,0.5483857039839269,0.3420850817125845,0.7697078396873948,0.20837538807391282,0.6224796168851018,0.6567227502211949
