iter,energy,gamma[0],beta[0],phi[0],gamma[1],beta[1],phi[1],gamma[2],beta[2],phi[2],gamma[3],beta[3],phi[3],gamma[4],beta[4],phi[4],gamma[5],beta[5],phi[5]
1,-21.840745396912098,0.4786125521611496,0.38821273428159664,0.38821273428159664,0.7411915104789356,0.7411915104789356,0.7411915104789356,0.7411915104789356,0.7411915104789356,0.7411915104789356,0.390883520091569,0.38821273428159664,0.7411915104789356,0.7411915104789356,0.38821273428159664,0.7411915104789356,0.7411915104789356,0.38821273428159664,0.38821273428159664
2,-24.444851733744144,0.4655212710313464,0.36473907398197125,0.37336974049778876,0.7614356227107902,0.7614356227107902,0.7463753839556645,0.7480552509906617,0.7577578939518284,0.7505172128914447,0.36893338742744947,0.3650130645086353,0.7548341343336663,0.7595171795740658,0.3613154319769259,0.7515270699204774,0.7574919003097619,0.3601685038601227,0.36418618934810976
3,-25.037467814981937,0.46210708681867974,0.35868609003871366,0.36507524316670875,0.7672253224301039,0.7705909072756003,0.7515444661991983,0.7436278917946105,0.7688862788113731,0.7579404890506207,0.36904090072180845,0.3625148968546484,0.7589985153260915,0.7613945983246976,0.3526127797219635,0.7515501258441041,0.7623845607048448,0.3419119587680489,0.3540592699964717
4,-26.47501227259636,0.448738834700779,0.34213415233667055,0.32189457503573604,0.778606154465025,0.792565858602275,0.7813386262949467,0.754376405104269,0.7821617830854433,0.7736104619648861,0.3578558892491981,0.3426594381254011,0.7776278222345113,0.7563976849495023,0.3337486389047071,0.7608967422708852,0.7840607762290341,0.29439087350209553,0.3254617034949003
5,-26.778937622904778,0.44399216289680027,0.336462631446428,0.3081462750889203,0.7826490759909915,0.7998624064202742,0.7925910501359275,0.7605281299636784,0.7847037754041563,0.7807165438755106,0.355349611502788,0.3376608245850547,0.7820456061633028,0.7547317945040511,0.32775994082896526,0.7643546381099218,0.7899297678438684,0.279018404056559,0.3146931497863994
6,-27.30691549181938,0.4473496304215479,0.33818308401889835,0.28770632157397635,0.7913166825140312,0.810750420481989,0.8174349329990998,0.7772970147523949,0.7667181580606083,0.7943136477431452,0.37407936319217167,0.3470539628402905,0.7810091074727433,0.7439590456655802,0.32627895971115217,0.7566278407720377,0.790265200898543,0.2535644127438564,0.31113608460853304
7,-27.506893515586853,0.44666867148646705,0.3422992530807896,0.2962029579054585,0.7918705788591246,0.8022650366519269,0.8151496072369213,0.775782234229943,0.7666305512511711,0.7906514215384036,0.3718143844839045,0.3464751577755005,0.7814944712926822,0.7470073338270147,0.3269802382393371,0.7586809611396181,0.7906831738573297,0.263456172374912,0.3168430953762304
8,-27.55253317952156,0.44508877091227794,0.343989472261479,0.2925024873132321,0.7978839506416572,0.7962258296346612,0.8248814194692561,0.7792231497401938,0.767810891068119,0.7929077441532428,0.3678485405038263,0.34453453056026867,0.7857806366381904,0.7509696623073792,0.32311238738622794,0.7649717652946887,0.7939916299496079,0.2598597145738107,0.31846268586227205
9,-27.577497899532318,0.4439119577328937,0.3435788313997001,0.2902231608802922,0.7991772742160257,0.7943648148912125,0.8279224449349896,0.7796468408827281,0.7677817883562125,0.7944837419366697,0.3698491115007546,0.34587833575792354,0.786059579350865,0.7510345547703314,0.3242920621302072,0.7650696765994137,0.7936158446158643,0.259145888046357,0.32002900160066394
10,-27.578511893749237,0.4437379182566522,0.3441581212890832,0.2906201523096507,0.799246414212973,0.7937730053343379,0.8280061549954225,0.7794192361559881,0.7678713946908929,0.794551136104304,0.3706844513456103,0.3466935883428794,0.7857879753297646,0.7508207160357951,0.32476238782842237,0.7648704190300838,0.7934317169938625,0.2595708467958509,0.3209092850431316
11,-27.58110773563385,0.44394084782884663,0.3451575437314865,0.2901652591872243,0.8000055824753697,0.793419471841998,0.8289016880496398,0.779590130231757,0.7686255126214897,0.7951212784825136,0.3715865745478121,0.3475868644756168,0.78578716838145,0.7511263064143489,0.3245958182961773,0.7649191522112941,0.7933897389562125,0.2586554062863277,0.3212708589935193
12,-27.582370191812515,0.44397551531524054,0.3447669276998394,0.289782779803174,0.7993841760250051,0.7951156575972717,0.8276133312123765,0.7795245579439759,0.7703353851961382,0.795579990931256,0.3718735176775355,0.34773770541908666,0.7855250246846222,0.7511216505107309,0.32379581422727743,0.7643137814378647,0.7935705889289444,0.25735957236671975,0.31953356641480135
13,-27.582598388195038,0.44394047616921684,0.3446662196658244,0.2896632687274056,0.7993108382756041,0.7953052103283553,0.8274523222895651,0.7796138785623773,0.770582579107802,0.7956213907922095,0.3717822133238478,0.3476537173662402,0.7854872547920259,0.7511530885701273,0.3236127317978791,0.7642626786997881,0.7936580663967335,0.25723962957225416,0.31928785988341934
14,-27.58865198493004,0.44278896843105453,0.3440587716448442,0.2881033852062388,0.800118697066052,0.7950603672730544,0.828799173037167,0.7812501453009825,0.7721388453283158,0.7966568628183882,0.3706553539186982,0.34673830768014025,0.7860839172961641,0.7519961396658938,0.3218559438764122,0.765206025748855,0.7948867414331278,0.2559248223232844,0.3179710327991914
15,-27.59215819835663,0.4432761695949303,0.34435885562219143,0.289055244670316,0.7994066921720037,0.7942865599146991,0.8285386177584969,0.7818870865263887,0.7711195430514474,0.7961225577039177,0.3704995186355913,0.3459791189031105,0.7864366982874876,0.7517841423639807,0.3223298564465444,0.7651352447602077,0.7947058422363853,0.2577738169771367,0.3185289360422849
16,-27.59295156598091,0.4427973939148934,0.3445335433410405,0.28894813602135255,0.7992347099138494,0.7940849957951241,0.8285486024319739,0.7826126422454077,0.7711421737952141,0.7965138703098726,0.37031579613893617,0.3456444475226905,0.7864543373459727,0.7518327181526359,0.321821698319537,0.7648659522985239,0.7946947721549935,0.2579231036597381,0.31803640878528666
17,-27.59297850728035,0.4427781532625451,0.34453756754230497,0.28896583722466773,0.7992237973043861,0.794053604496105,0.8285435622091699,0.7826488687963291,0.7711504624774185,0.7965241297895653,0.37029397539470316,0.34561641713025254,0.7864613173148226,0.7518416643173569,0.3217981560323861,0.7648624221991185,0.794695637066193,0.25796220242765605,0.3180134305955451
18,-27.5936881005764,0.4426114121114371,0.3444005903128375,0.2889727679509839,0.7992539218600939,0.7938774441587366,0.8285238189169897,0.7826287703262367,0.7714484629491585,0.7965875776084678,0.3702715374850998,0.3456631239541572,0.7864319562527285,0.7518951962382449,0.32176542162823496,0.7649061813342829,0.7947500416197674,0.25808629912364484,0.31800782208905043
19,-27.595027893781662,0.44226538908245105,0.3441634250882817,0.2890464713239426,0.7993446222501207,0.7934543571868775,0.8284355010067657,0.7825930162674398,0.7723479992056294,0.7967501287919425,0.3702483067299811,0.3458162684215121,0.7863543306846934,0.7520717196808671,0.32161703967617283,0.7650273754407942,0.7949066021409318,0.2583444137271828,0.31794999459774903
20,-27.595740258693695,0.4420442706530892,0.34419516076485074,0.28921312045568803,0.7992606423802088,0.7931009194144575,0.8282110584009668,0.782597660446011,0.7730060675969116,0.7968181019205428,0.3703643137077092,0.3460472931740321,0.7861986238856821,0.7521443011865336,0.3215966075739077,0.7648934749231581,0.7949774404688156,0.2587034177713454,0.31801100956767864
21,-27.596503734588623,0.44205978571522786,0.34414862503195254,0.28903047822310457,0.7992250547826643,0.7931706201906048,0.8283720612496983,0.7828562443536072,0.7729373519495217,0.7969161978345753,0.37042494184956626,0.3459889544526826,0.786209986534694,0.7520768022869031,0.3214841566464136,0.7648424112033794,0.7949812486390444,0.25856101406372006,0.31794454378823306
22,-27.60283961892128,0.4409445395008703,0.34289564170002157,0.2863661167170579,0.7986975370476259,0.7927846017270169,0.8305669865510127,0.787080680380899,0.7740504605779497,0.7988129202356391,0.37105652369206904,0.3451523923538048,0.7863119205062195,0.7515652819091699,0.31951317207798746,0.7642535743536577,0.7956356859496706,0.2576715503298052,0.316910094245458
23,-27.605197846889496,0.44076387413737045,0.3430948642514756,0.28467585681291485,0.7986378312816589,0.7925468790961577,0.8324867203934156,0.7912786279567664,0.777100831730452,0.801357546558858,0.37061149193810816,0.34490905093667173,0.786791816355903,0.7519325360679506,0.31530164146643963,0.7633495980388437,0.7960242970281951,0.25730689330766543,0.31618905877270537
24,-27.608356088399887,0.4411374514998177,0.3434681963910052,0.2857363265594592,0.7985256380417646,0.7919130480516987,0.832472973790012,0.7892897662758017,0.7763890743466545,0.8004791513779282,0.370643960115442,0.3455288767683959,0.7862879993766142,0.7514603060271021,0.31685110679269785,0.7632787761763646,0.7947510221476245,0.25724353400210337,0.31736418466798155
25,-27.609566152095795,0.4410504396271935,0.34359380524142247,0.28553088460851866,0.7987116342740356,0.7917770863874455,0.8326677567482728,0.7896622351230906,0.7767109521244328,0.8004351900986637,0.3697570554780373,0.345061342536335,0.7863587175673884,0.7516091987317792,0.31626387167094056,0.7638136981061642,0.7950000992158212,0.25741058298705105,0.31738099219774496
26,-27.60965096950531,0.44105165729835416,0.34362007416072315,0.2855487002040719,0.7987378350487212,0.7917694008241501,0.8326509265350321,0.7896187882042073,0.7767195247732356,0.8003926531980162,0.3696581531038379,0.3450231868414447,0.7863647453023208,0.7516328570018813,0.3162479763441804,0.7638857502122752,0.7950246385111672,0.25744216872736736,0.3173910178678296
27,-27.60965096950531,0.44105165729814416,0.34362007416066215,0.2855487002038895,0.7987378350487692,0.7917694008240245,0.8326509265350825,0.7896187882044042,0.776719524773453,0.8003926531980156,0.36965815310355254,0.34502318684122,0.7863647453023377,0.7516328570019409,0.3162479763440005,0.7638857502125685,0.7950246385114093,0.2574421687274491,0.31739101786770363
