iter,energy,gamma[0],beta[0],phi[0],gamma[1],beta[1],phi[1],gamma[2],beta[2],phi[2],gamma[3],beta[3],phi[3],gamma[4],beta[4],phi[4],gamma[5],beta[5],phi[5],gamma[6],beta[6],phi[6],gamma[7],beta[7],phi[7]
1,-24.983623057603836,0.5605862806058918,0.5446107071414887,0.5446107071414887,0.6369261952390075,0.5446107071414887,0.6369261952390075,0.5446107071414887,0.5446107071414887,0.6369261952390075,0.6369261952390075,0.5446107071414887,0.6369261952390075,0.5446107071414887,0.5446107071414887,0.6369261952390075,0.6369261952390075,0.6369261952390075,0.6369261952390075,0.6369261952390075,0.5446107071414887,0.5446107071414887,0.5446107071414887,0.5446107071414887,0.6369261952390075
2,-26.07159611582756,0.5610894522398143,0.5423681188261247,0.5359492228078937,0.639492264934352,0.5486027058754451,0.6374709282589858,0.5337997295904516,0.5412342947693757,0.6372049376855652,0.6342472567703109,0.5574284449097123,0.6375816007764471,0.543039777152354,0.5539904864136815,0.6277717513353713,0.6278931071126876,0.6382719648905468,0.6399771506226912,0.6250658990884419,0.5388462778598905,0.545225706144641,0.5452532386926547,0.5434297740007007,0.6392260211714658
3,-26.456993639469147,0.5673410783724936,0.5540899404061157,0.5427186873297877,0.6299291085865314,0.5570328664749574,0.636236688937286,0.5385736120137568,0.5496778503008455,0.6304715138777726,0.6326964909834546,0.573689980487571,0.6342252572770148,0.55365417732985,0.5645772471914161,0.6231199867373988,0.617612304424899,0.6338530596659472,0.6311584780813992,0.6175591389402245,0.5526111082990711,0.5519734626004538,0.5559307703739107,0.5540770665754041,0.6335856614097689
4,-27.083975791931152,0.5651807046923649,0.5536157193795057,0.5319868920850706,0.6273479282693275,0.5589721451086275,0.6487939404041149,0.5277078249051899,0.545372971354456,0.6297427027650261,0.6419090137974357,0.5835495319146827,0.6341435680338716,0.5521917396329248,0.5676289002284858,0.62785057942407,0.6154979518935654,0.6348638970069281,0.6296333486469625,0.6151908565049089,0.5543903915794871,0.5434335763803273,0.5521226490065131,0.5515725075159472,0.6362477154389268
5,-27.28838473558426,0.5636026242344168,0.5539382788384956,0.5317239616148318,0.6256860675331637,0.5592657145463313,0.6521675580733388,0.5252212111727022,0.5446352502932474,0.6261163274937962,0.6398940715328815,0.5835069558362287,0.6314130621871558,0.5541089849926758,0.5669533273360625,0.6290086948750246,0.6165518461376108,0.6350557415737038,0.6260311313332136,0.6144156349839862,0.5513398652893678,0.5406527159326915,0.5516217887980059,0.5476612650464646,0.63653307277057
6,-27.395410656929016,0.5683957048182023,0.557804623296891,0.533174011002002,0.6207370657304061,0.5655929257460277,0.6572397563450844,0.524443881672451,0.545905719247697,0.6139709115579035,0.633849907830941,0.5888742092959258,0.6228114747204978,0.5625208750412094,0.5729061080426383,0.6310961009699549,0.6145315338683837,0.6332652385530072,0.6150493675862571,0.611023337962283,0.5512828053143555,0.5365197097051673,0.5556951991890273,0.5458657141090935,0.6344877491111545
7,-27.51544263958931,0.570007015714352,0.5585322783775738,0.5299156574610537,0.619324036613963,0.563619568838998,0.659062536083705,0.5241533017983675,0.543837639867773,0.6117862011425517,0.6329570718777825,0.5907357975331449,0.6258593496512699,0.560124055655625,0.5723675915607531,0.6343118944227878,0.613281549038006,0.6345886426152766,0.611729730604268,0.6110473160419152,0.5495237858471592,0.5356300800946225,0.554194179959704,0.5410625175794604,0.6367382730176678
8,-27.57278636097908,0.570027622318206,0.5586991183419282,0.5276434504215299,0.6195245214581693,0.5638581018733533,0.6592920683792243,0.5241576925355245,0.5421560613567752,0.6121348453997091,0.634054267048855,0.5918632242687617,0.6258426485558866,0.5599578446928123,0.5731809508526694,0.6358045988771349,0.6115071700285164,0.6350298197727153,0.6095201784161983,0.6123378948664934,0.5493947984159337,0.535374799975098,0.5542358785316186,0.5389900546290631,0.6390143916668548
9,-27.595412850379944,0.5699303775187201,0.5589630969259479,0.525223216263835,0.6202421039115673,0.5634986881246862,0.6594417196696047,0.5239816960660667,0.5399837582817136,0.6116200441105902,0.6345530360844285,0.5928122528641839,0.6258372395336125,0.5597458113647681,0.5737926916072401,0.6381661102549446,0.6100112393320279,0.6360952490187667,0.6058201852603773,0.6137304307693677,0.5486818919054975,0.5339914336321824,0.5540269330223914,0.5363073477665276,0.6411106993205272
10,-27.62062469124794,0.5709605348724739,0.5604886219138171,0.5247223792218819,0.6200689907190388,0.5640579669157624,0.6583932535415938,0.5253129395656952,0.5395665102829829,0.6103237030815821,0.6333474316568152,0.5935617055093162,0.6252189343255456,0.561018685514878,0.574974450228589,0.6397350910172916,0.6087348122053565,0.6358227735045814,0.6022716162791688,0.6144585747770895,0.5481619522014273,0.5338854414097558,0.5542103304013113,0.53461480913862,0.6424886398408415
11,-27.63537621498108,0.5740373539949435,0.5656633822431774,0.521939092347957,0.6176472993059975,0.5669850537908224,0.6589808027897043,0.525213519749682,0.537847694751436,0.6049915110614436,0.6298683524192856,0.5996033191347248,0.6229368037455214,0.5652401259330353,0.5789726501406439,0.6429147541910376,0.604517341542158,0.6341852987269456,0.5920241386615493,0.6133468497570431,0.5473307619061297,0.5322881703758866,0.5549658175527016,0.5304875317180637,0.6449880091746644
12,-27.652203917503357,0.5756088805804014,0.566811415152332,0.520614554452809,0.6161019007657769,0.5664102533535611,0.6584091396078394,0.5246055794879891,0.5360669034130393,0.6052937408153622,0.6288571179401903,0.6010183398329204,0.6229295051248938,0.5662675332541064,0.5789781604377853,0.6445242425194803,0.6027417017579777,0.6335776816890517,0.5898743722619412,0.6126522571160815,0.5460180404796029,0.5315773111003055,0.5539362314143288,0.5287706862355761,0.645438161208324
