iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4],gamma[5],beta[5],gamma[6],beta[6],gamma[7],beta[7],gamma[8],beta[8],gamma[9],beta[9]
1,-19.64548061043024,0.457231927400302,0.3946289264055025,0.7369140490629983,0.7369140490629983,0.3946289264055025,0.7369140490629983,0.3946289264055025,0.3946289264055025,0.7369140490629983,0.7369140490629983,0.7369140490629983,0.7369140490629983,0.3946289264055025,0.7369140490629983,0.3946289264055025,0.3946289264055025,0.7369140490629983,0.3946289264055025,0.3946289264055025,0.7369140490629983
2,-23.273810425773263,0.4518912747149223,0.3868942761593774,0.7413161898341483,0.7408005345275183,0.3864010907612251,0.7434876562134142,0.38599320321034597,0.38574234006133296,0.7446647435392684,0.7403243005649595,0.7337820025039895,0.7524322543652691,0.39600214966816083,0.7502740017451243,0.38540774092995983,0.3890568962182856,0.7452272325924686,0.38724552419402347,0.3896243343667162,0.7419956815015936
3,-25.025820828974247,0.4575912768453972,0.39435912580110755,0.7353576520672698,0.7361276567964717,0.3958555454044558,0.7422615184043985,0.39738226840938484,0.3954264444686657,0.7412524883334624,0.733972116220195,0.7197397934498486,0.7569507105612205,0.4142310031325076,0.7528019569757805,0.3897812486695397,0.39777651784898516,0.7428174051124169,0.3957924043182234,0.3998613947909347,0.7351211901431524
4,-25.76042364537716,0.45523361306333915,0.39026430044176913,0.7363316402707231,0.7416219006559823,0.39702471648743726,0.7498344026702586,0.39894786560103873,0.3954368148223098,0.7467140863922205,0.7347061233498465,0.7175310060090982,0.7613953365700725,0.4136427489703083,0.7549763135876607,0.3767389141680115,0.3938593476657669,0.7435971053896292,0.39465157147280605,0.3971529739824305,0.7363373197269563
5,-26.61211831867695,0.4594471073949344,0.39448936293481923,0.7321573546995096,0.7433774234366048,0.40829790380682573,0.7568872812333555,0.41085580038723646,0.40304971100328835,0.7541099468141431,0.723478700088505,0.7077449029869265,0.7594214386894971,0.4193024163281509,0.7481336523294034,0.36322768306263326,0.397021994223369,0.7329621623804343,0.406455856373493,0.4022083757741658,0.7316523177992754
6,-26.857417568564415,0.4598026940375663,0.3974735284241953,0.7339287295888428,0.7431867462567652,0.40908636073847127,0.755375359056275,0.41198420068558855,0.4008397739089691,0.7565335532453342,0.7164652784518618,0.7067606288963739,0.7560006120227925,0.41437541039690184,0.7471094976093096,0.3632156065310949,0.3946679057442443,0.7334535871043466,0.4111411997619151,0.40359560393861954,0.7319684715174551
7,-26.877765148878098,0.45855661221355914,0.39768334772024794,0.7347087755860632,0.7444740133080612,0.40924725824730424,0.755230081331709,0.4123049729152978,0.399348971705964,0.7585284432549816,0.7142659393522247,0.7072756844606862,0.7567473947602674,0.41180243943211403,0.7481900508304594,0.3599138510098719,0.3913086386417099,0.7332572746065533,0.41112609707900616,0.40275858183942553,0.732477753055592
8,-26.909056693315506,0.45793997255614666,0.39892112331556095,0.7351348527538314,0.7451929061705324,0.4087746075765776,0.7540146758866741,0.41261597294673674,0.39903460297756793,0.7584805539759092,0.7142598190592306,0.7087258569949427,0.757739802152577,0.4109320198844385,0.7504991329989443,0.3594590067158714,0.3895193478006621,0.7333829743035192,0.41081898681390233,0.40206976307832704,0.7312691762791061
9,-26.96074716746807,0.45786546121517246,0.4029252674845604,0.7362181177766297,0.7464214835492462,0.4092589539111651,0.750264076802132,0.4151121478618392,0.3990554178412198,0.7596719408296085,0.711189731054864,0.7102146240375959,0.7589873133480454,0.40902219597981687,0.7558109604568645,0.3586717957079796,0.3854033344286604,0.7323014802833522,0.4124542371080771,0.40346301508176713,0.7270579473133846
10,-27.010848611593246,0.45706379773961814,0.40586818071437036,0.7375343183470077,0.7464690424780137,0.40834018265347755,0.7470887392148167,0.41776528012866304,0.39870868536504883,0.7610951973543068,0.7086118345710727,0.7139121490485582,0.7617936921992936,0.4062152430982936,0.7611645508564705,0.35900850776134313,0.37951239106275314,0.7294832014353972,0.41300906634533385,0.4045537024070871,0.7210953546821282
11,-27.115736201405525,0.45551896344149306,0.4112727902161128,0.7414051825931668,0.7464784006252106,0.40314874932801,0.7416876265997766,0.42132174070744055,0.3971279906223598,0.7645626738831239,0.7046933418947873,0.7245597463671405,0.7683809406356024,0.39653987230203236,0.7721631742764318,0.3578806784027745,0.36686538833453364,0.7238276991238459,0.41233255159541254,0.4064796856138107,0.709108346145977
12,-27.165109619498253,0.453882144092373,0.41510159824632714,0.7451849838766529,0.7461106742942953,0.3979451840913268,0.7380347026341874,0.4239805129158022,0.3965181041987633,0.7680095591253839,0.7021417821363883,0.7338756111248952,0.7743014111801005,0.38911403886778756,0.7806182665774102,0.3574385008565786,0.357183415435638,0.718814402930617,0.4129862647314037,0.40758294422682567,0.6994626950512218
13,-27.230493038892746,0.45520010448294174,0.41487970446660416,0.7454573460843746,0.743187264714187,0.3963794265299449,0.742295367341751,0.4231610665968825,0.3958945756322266,0.7676322940220164,0.702075870651934,0.7323220411318694,0.774875176098577,0.3910115673721081,0.7780204967674452,0.35675304850553796,0.3609521662369144,0.7169944956874217,0.41349264167467004,0.4077602919060933,0.7001450329444107
14,-27.26579937338829,0.45700547339685293,0.4158752775418172,0.7450695365745676,0.7417298171858381,0.39668815580124955,0.7441259136320831,0.4229189596007478,0.39624643705295903,0.7660620108379582,0.701972890745374,0.7324000535560716,0.7753871492638276,0.391048161207365,0.776781439422785,0.35757872163951226,0.3631074905412747,0.714802759874684,0.4155030444680245,0.4076773447726617,0.6995005864845393
15,-27.308294147253036,0.45790187221943657,0.41892421964865934,0.7474511572817013,0.7391787968650255,0.394457272286314,0.7455579829602148,0.4227556840453431,0.39585919571768863,0.7640325589935265,0.7015479055243844,0.7363542849262388,0.7788582940310315,0.38730723104386344,0.7798610036303248,0.3591657688173513,0.3628746801691937,0.7103780221827293,0.41706107092522854,0.40787383641592484,0.694707301609572
16,-27.3192817568779,0.45919648392419665,0.4245968332432532,0.7515260625413887,0.7355846570091945,0.39104252771027753,0.7471674357961348,0.42301105789709015,0.394957774464583,0.7616250319183734,0.6995442016059298,0.7424987988120644,0.7851617983571324,0.38090206733977755,0.7854846983693867,0.3607772751913278,0.36129481651778644,0.7031547400873877,0.4210257351248513,0.4080673719043264,0.6869214670903441
17,-27.386184081435204,0.458571706256211,0.42348544104063,0.751081698019781,0.7368901468024873,0.39293785025454453,0.7459742901660869,0.42086611038348637,0.3940279855542104,0.7602882081930601,0.7005981240297323,0.7399387017659779,0.7842521850733677,0.382425155368074,0.7851289387847691,0.361778769219658,0.3628475096898409,0.7057473269135061,0.4204790436880799,0.40784874886947264,0.690412396239426
18,-27.417338579893112,0.4572494292973344,0.42635146077728314,0.7536715030276124,0.7382172774268937,0.3933797847581045,0.7428570402982242,0.41922867345504056,0.39158784451776063,0.7587562590103022,0.6992588481122595,0.7417390512285399,0.7873929108195342,0.37912874043405065,0.7920110617208034,0.3626109130055416,0.3589754308138475,0.7050312649342694,0.4207873608797638,0.40814220891448416,0.6887251121652794
19,-27.457340225577354,0.45778200862179325,0.42800151173541867,0.7557008206772752,0.7371892469388456,0.393752649151348,0.7436548970980361,0.4195021465427541,0.3914000909939078,0.7562046486985831,0.6977292195858465,0.7441991964422452,0.7891968793797738,0.37768978141345183,0.7947007824504158,0.3623704443929361,0.359730314859236,0.7028618624010166,0.4230399276802855,0.40841405000987796,0.6869223865683987
20,-27.49426017701626,0.45799505518062383,0.432433696403273,0.75984941603168,0.7354158625468392,0.3939793257768946,0.7449805700889279,0.41865200003837,0.3899760176043155,0.7520415413724538,0.6949814605535356,0.7475625663717439,0.7926754565333114,0.3733329016609087,0.8002072060462619,0.363292475803331,0.36038212600609554,0.6990533012021838,0.4265463366395329,0.4084322814165212,0.684632666495671
21,-27.520314916968346,0.45824115593357323,0.4343722674629308,0.7622831295702469,0.7341638740539551,0.393576321954639,0.7455599528803227,0.41804269197683847,0.38916255675529876,0.751957823302266,0.692928110926887,0.7495731957373535,0.7941252886179919,0.37086796215624585,0.8034494491721287,0.36307220509371796,0.358772286529044,0.69679877485007,0.4283283996201207,0.4099700978849106,0.6820535371843562
22,-27.520321533083916,0.45820752188606756,0.43425055781666516,0.7622043728222196,0.7341344691125408,0.3935939108111361,0.7456193899961483,0.4180253433678715,0.38918414940210955,0.7520713464364278,0.6929337905652933,0.7494977446622905,0.7940109453547712,0.37085815422470436,0.8033515117745098,0.362919187371732,0.3587402384337448,0.696841072277812,0.42831807310688397,0.4100224256033174,0.6821220257412507
23,-27.52285633981228,0.4581373465528935,0.4343261742517056,0.7625780283241069,0.7335181520298264,0.39351421518452084,0.7463056411338191,0.4179602878484857,0.38916709923584064,0.7522947832725684,0.6923516701517448,0.7499128184736508,0.7939880224817125,0.37007506836780923,0.8037735123650933,0.3620257549940419,0.3584416054628288,0.6962321169360075,0.42885290751247973,0.41049746509195495,0.6816670282129573
24,-27.5229611992836,0.4580367673877147,0.43426517785786045,0.7625963167632225,0.7335740006523102,0.39358044297414185,0.746230554419481,0.41798033171324767,0.3891598897722387,0.7523024035359127,0.6923756078619057,0.7499782642079511,0.7939119602528291,0.3700979787308745,0.8038299063966504,0.3618830819453493,0.35831267215519713,0.6963501242012693,0.42886699072366635,0.41042457942774324,0.681672725777673
25,-27.524503901600838,0.4578690329077661,0.4344030870593486,0.7629494482258773,0.7336304468620628,0.3940047893231323,0.7460958731622794,0.41763241631725007,0.38898271605449247,0.7512815226365539,0.6925931988244222,0.7501805698602161,0.7940478827452514,0.37012429680450243,0.8042492572840888,0.36218259568729394,0.3588333436640473,0.6965623955670366,0.42919249796070946,0.41005756755266015,0.6819895708288178
26,-27.53115800023079,0.4576545909812179,0.4351126827677045,0.7646496908272217,0.7328719871345419,0.3947650002440352,0.7463051282205629,0.41685516479746143,0.38827069121637847,0.7494959044099139,0.6918325746130204,0.7514901214305552,0.7947939892902725,0.3690310753098953,0.8065907950002338,0.3618982946784702,0.35895840627955883,0.6957929020798449,0.4312086363228404,0.4107420055266695,0.6813755607463822
