iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4],gamma[5],beta[5],gamma[6],beta[6],gamma[7],beta[7],gamma[8],beta[8],gamma[9],beta[9],gamma[10],beta[10],gamma[11],beta[11]
1,-7.650624595582485,0.37114715303219226,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
2,-9.974809810519218,0.4089833866983644,0.0,0.7689061519280629,0.7808945799029231,0.8133256665516445,0.9133471490900942,0.22565547888084603,0.32145901897827117,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07988618445857941,0.7969869660729243,0.9869404284081353,1.0,0.9483146117119858,0.8013176110768574,0.0,1.0
3,-15.955933302640915,0.4135154976997925,0.0,0.7341280807879024,0.7682033201407981,0.7916043857756484,0.8938660191372053,0.23288105004729592,0.3316153742001297,0.0,0.014190843121727886,1.0,1.0,1.0,1.0,1.0,1.0,0.1049867943292932,0.7975114244332314,0.9898412690648446,0.9753699706375093,0.9256985844124384,0.7712542831437639,0.0,0.9866175463405129
4,-18.483365088701248,0.41335128020286777,0.0,0.728150558672032,0.7773749668694963,0.7918339403862382,0.8871016536445462,0.2192286423209583,0.3126846330570783,0.0,0.02019072334441222,0.9983341437908814,0.9983349352448524,1.0,1.0,1.0,1.0,0.11622470255112448,0.8149431074494112,0.992055160247906,0.9620801768985209,0.9172466966063098,0.7696080286234697,0.0,0.9781233005222991
5,-21.508180290460587,0.41119605406593474,0.0,0.7326680840941706,0.7998361538964283,0.801540107116956,0.8865208636880842,0.19753562758800058,0.2825576064484991,0.0,0.015476802306217445,0.9907945562127534,0.9913643080213135,1.0,1.0,1.0,1.0,0.11908959569642293,0.8380277606956804,0.9961278909588119,0.9602727979786135,0.9216776732286365,0.7825050457918907,0.0,0.974431461846862
6,-23.69430109858513,0.4099846103097622,0.0,0.7302450494083581,0.8192929741098638,0.79936925645653,0.8849195928538235,0.1870390138155111,0.2662636114728891,0.0,0.0,0.9775154853735698,0.9780934575653383,0.9999368449733619,0.9990357355682307,1.0,1.0,0.12008257060796297,0.8461345853296587,1.0,0.9656885259508905,0.9286719078590765,0.7902893470929427,0.0,0.9798514624110003
7,-24.630086421966553,0.4125572300004466,0.003845943668040667,0.7180594570837353,0.8247963296594245,0.785697782501225,0.8775424923138294,0.19313569613072123,0.2722098409936896,0.0,0.0,0.9655685729988083,0.9663132557707607,0.9953946748937205,0.9926948981178011,1.0,1.0,0.13029352582938714,0.8420766140757221,1.0,0.9620138003341718,0.9256762934982932,0.784145710484462,0.0,0.9837305038352223
8,-25.279605075716972,0.4141180481466867,0.014711325405291357,0.7072977067606331,0.832250832236852,0.7716950063185332,0.874834008761783,0.20229444025665505,0.2791562372753427,0.0,0.0,0.9529486672677562,0.9542520740277888,0.9872125990057651,0.9808254299035594,1.0,1.0,0.14112069492954882,0.8407300918605806,1.0,0.9592949500707724,0.9231528666246291,0.7802771236944723,0.0,0.9967907696429866
9,-25.648683547973633,0.41410583250068356,0.019920119155248592,0.7062190936998016,0.8354082949791604,0.7700261814809106,0.8754867732291052,0.2020562403449581,0.27507015808139035,0.0,0.0034325151754997156,0.9521718459059964,0.9536728733652585,0.9865212775534857,0.9782361757231721,1.0,1.0,0.1450600716427257,0.8471817589981555,0.9985184855428031,0.9571953058105044,0.9197664108232899,0.7791983394223405,0.0,0.9999795476642939
10,-25.84784609079361,0.4161610293990062,0.0382479686671779,0.7048823363881506,0.8462679438760724,0.7648995061663398,0.8765441572662666,0.20146666306484734,0.26198846122343544,0.0033630015717659115,0.018848721606611545,0.9484424559186303,0.9501848571016074,0.980829008827757,0.9672673127018672,1.0,1.0,0.161434960604906,0.865815808828911,0.9890601013296022,0.9490104883013452,0.91011400531088,0.779125165430382,0.0,1.0
