iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4],gamma[5],beta[5],gamma[6],beta[6],gamma[7],beta[7],gamma[8],beta[8],gamma[9],beta[9],gamma[10],beta[10],gamma[11],beta[11],gamma[12],beta[12],gamma[13],beta[13]
1,-16.522536739706993,0.5937034851319224,0.5888750254464427,0.5888750254464427,0.6036159333572112,0.5888750254464427,0.6074166497023715,0.6074166497023715,0.5888750254464427,0.6074166497023715,0.5888750254464427,0.6074166497023715,0.6074166497023715,0.5888750254464427,0.6074166497023715,0.6074166497023715,0.6074166497023715,0.6074166497023715,0.6074166497023715,0.5888750254464427,0.6074166497023715,0.6074166497023715,0.6074166497023715,0.6074166497023715,0.6074166497023715,0.6074166497023715,0.5888750254464427,0.6074166497023715,0.6074166497023715
2,-18.952691793441772,0.5892111282694159,0.5773603091667092,0.5774224253117516,0.6062810559401819,0.5795345906404885,0.6132032385833731,0.6146517283740851,0.5755271367191854,0.610152567855944,0.5829714309352854,0.6112511614808342,0.6107175138559455,0.5800136330862998,0.6093564305589494,0.6107994182845667,0.6152440511915207,0.6074710732473245,0.6081414287177573,0.5761301604813268,0.6071967742658091,0.6098324346521063,0.6146686988796708,0.6079221343412546,0.604798663554038,0.6127630343972797,0.5763423614491452,0.6134703002243408,0.6140105898556439
3,-21.24250027537346,0.5855081670562599,0.5661412628322402,0.5674013771182259,0.6082472022410417,0.5725092935992944,0.6188449917381289,0.620445277111947,0.5627124062176291,0.6101326240024064,0.579335994935595,0.6141369902597686,0.6136218308520399,0.5730286794091811,0.6089875758082427,0.6136752419702506,0.6219924626657898,0.6050740168397996,0.6063526848316796,0.5638174911720749,0.6038555502323577,0.6119961649965451,0.6214243316575732,0.6071912099901152,0.6001496767119667,0.6149809001940629,0.5648190895316983,0.6185205203689513,0.6203593781427219
4,-23.269470155239105,0.5844121316279941,0.5558059817089676,0.560847773975467,0.6076079540880348,0.5691399225861299,0.6265132410522145,0.6262219936804134,0.5513298637586755,0.6074225517511971,0.5773154206774366,0.6160225441267978,0.615913834098884,0.5685947666222813,0.606058748408688,0.618667785672751,0.6290504049403498,0.5947662526623299,0.6041625947241145,0.5537700241297346,0.5958433748040133,0.6131505053751808,0.6223530466609728,0.6053411680548175,0.5922967942270975,0.6113537052185111,0.5533146782671429,0.620729416753585,0.6245473068519516
5,-25.53996640443802,0.5877806681569695,0.5597563353357068,0.5646100011593113,0.6016284181112121,0.5760371314383512,0.6268685883484912,0.6291610725321776,0.5528403093465108,0.6011721408835659,0.5842118359467066,0.6183327393604078,0.6129478624830467,0.5727118285568924,0.6018410620789962,0.6182911944082692,0.6303650085155765,0.5800515150113914,0.6023083023898737,0.5552594177931703,0.5853453805703915,0.6101094237990291,0.6159842895848322,0.598302464843702,0.5775759417504893,0.6041345604204622,0.5578874867282498,0.6237353886555882,0.6207853528086218
6,-26.141908019781113,0.5900709970384425,0.5656651989055583,0.5651198761768539,0.598869135882608,0.5831109102660957,0.6230705481213835,0.6307323095750844,0.5588830040712806,0.5969180256395514,0.5893334826981173,0.6234435834331745,0.6121287452601201,0.5759772472247757,0.6014660088261613,0.6156623666184177,0.6305644332244401,0.5759563361433548,0.5990525858678376,0.5588378830473578,0.581735066063328,0.6075391746318284,0.6146549348930325,0.5979338714403436,0.5693298534712247,0.5989006432957489,0.563430466604083,0.6253292926382555,0.6195725684787626
7,-26.480352580547333,0.5899028559090307,0.5682779580315643,0.5616905317146192,0.5956108294849487,0.5867995345681416,0.6220939169861083,0.634169579528261,0.5630154882058482,0.5935510703078566,0.5908757495864936,0.6312883093284474,0.6145507171367931,0.5770915168053029,0.601969183683354,0.6143432881780703,0.6282042948532847,0.5728712072151257,0.5969305128437795,0.5587610814734841,0.5770803099150896,0.6067143192851844,0.6147144366559661,0.5996756112996823,0.564686131386673,0.5938745847825218,0.5625129467792831,0.6280799514857873,0.6219527290775951
8,-26.764028698205948,0.589567323969527,0.5688278661486238,0.5578128095628676,0.5920187812132476,0.5872380186632634,0.6203142018340825,0.6366642732679128,0.5673881185022481,0.5917318310526186,0.5925498175356647,0.6364987717033559,0.6157167858625588,0.5768542184904759,0.6026687934004408,0.6143884650423577,0.6244911863801338,0.5734193529142207,0.5997011452047726,0.5573417759366136,0.5750239326982529,0.6070829047833861,0.6172642514957991,0.6017896963165928,0.5625232727321275,0.5913220484423305,0.562728808883654,0.630756517723576,0.6237715596148806
9,-26.976886749267578,0.5897872094047326,0.5689596380829052,0.5460498559893272,0.579880383295348,0.5878030357378694,0.6176383388199063,0.645389104212732,0.5777395720780099,0.5864514317914274,0.5973165901362711,0.6514746826425569,0.6185652814238999,0.5753645167033418,0.603293834185985,0.6159156942624194,0.6143345902392974,0.5701160993093533,0.6065247726220987,0.5507589402952239,0.5665446916356668,0.6063932784400755,0.620623005975728,0.6052923504987773,0.5533181897391164,0.5828357101566839,0.5604814669743534,0.639804411337776,0.6294102645416827
10,-27.21160313487053,0.5902561613760713,0.5674748922266186,0.5434493462498742,0.5782871165586563,0.5848458901290726,0.6188296086574124,0.6461062569916284,0.5776796795532199,0.5848684433959425,0.5969725289682568,0.6501921900662929,0.6154973716479908,0.5764384621193465,0.6022425355728597,0.6141399610859609,0.614985336829096,0.5685567413398365,0.6098728993119699,0.5501744459349237,0.5657757924499683,0.6036410628944106,0.6206658315320202,0.6034509057528528,0.5542597364476742,0.581994461027546,0.5602756353407973,0.6405556777532492,0.6289290135187711
