iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4],gamma[5],beta[5],gamma[6],beta[6],gamma[7],beta[7],gamma[8],beta[8],gamma[9],beta[9],gamma[10],beta[10],gamma[11],beta[11],gamma[12],beta[12],gamma[13],beta[13],gamma[14],beta[14],gamma[15],beta[15]
1,-13.513795673847198,0.5426393853613117,0.4057508266710253,0.4057508266710253,0.7294994488859832,0.4057508266710253,0.7294994488859832,0.4057508266710253,0.4057508266710253,0.7294994488859832,0.4057508266710253,0.4057508266710253,0.7294994488859832,0.4057508266710253,0.4057508266710253,0.7294994488859832,0.7294994488859832,0.7294994488859832,0.7294994488859832,0.4057508266710253,0.7294994488859832,0.4057508266710253,0.4057508266710253,0.7294994488859832,0.7294994488859832,0.4057508266710253,0.7294994488859832,0.4057508266710253,0.4057508266710253,0.7294994488859832,0.4057508266710253,0.4057508266710253,0.7294994488859832
2,-22.77864435315132,0.5389616563180676,0.3909464784167468,0.3905159830268001,0.7409143054852944,0.39338190608976004,0.7368162378660501,0.3976150170752988,0.39627967127304403,0.7476288148579497,0.38584042326681967,0.37914068704763343,0.7266534617782235,0.37164489542571033,0.37378866339436506,0.7439714788681666,0.7332293163377938,0.7384819774033226,0.7365514376856914,0.41473708911731305,0.7509955244090548,0.4091682106916935,0.39605239294657113,0.7480188852867411,0.7472051230945895,0.40506733398497197,0.7774328880837,0.4113734241385462,0.39661311855786446,0.7577152537934871,0.38156385180925023,0.41695861632975195,0.7345717654301992
3,-26.23455536365509,0.5456214660277331,0.41241726337556844,0.4115296983435089,0.7319770265088994,0.41642592016877006,0.7327515693859444,0.4286785965197391,0.42382096213642534,0.7463750171107937,0.40242368994599725,0.3945284807353547,0.7161832660587708,0.3914278810049445,0.39375139862918296,0.7363466944182384,0.721903712029014,0.7207832113546717,0.7199134189899291,0.4429315706697427,0.7360698471231405,0.42745433636852825,0.41455243283140786,0.725571941119916,0.7307291242963723,0.4341250427478415,0.7717707029740151,0.4328265761464841,0.41487319842024445,0.746874470316993,0.405325379990886,0.4387732726897786,0.717055749349178
4,-27.121089577674866,0.5444872180387017,0.4082442828467769,0.40772128892169496,0.735759543611924,0.4156176069126161,0.7369890126296599,0.43036590694813526,0.42598474528229546,0.7532090897399745,0.4001631380836478,0.3916746521462958,0.7185815740892091,0.3840199053809906,0.3861355236610636,0.7443567476013604,0.7209936535439664,0.7196592024861969,0.7233004058069178,0.4419420872621611,0.7362478475851447,0.422162015569828,0.41049848901782543,0.7250350315189577,0.7283066212526615,0.43617538594722133,0.7766489122618859,0.4273199248631552,0.41287056986261794,0.7526566231115126,0.4058669517236306,0.4366680830996164,0.7208285241149333
5,-27.31793585419655,0.5436482813647154,0.4045090104455962,0.4032651899945736,0.7372204274334159,0.41178646919084944,0.7388205455048767,0.4241467200974207,0.4204880852811426,0.7529535131796923,0.4018143866182449,0.3931129362205172,0.7204308205172569,0.38140954940305366,0.3822878272984972,0.7466677228207256,0.721613766347734,0.7229923430990624,0.723453451105867,0.437399096419272,0.7390246722339051,0.41531497070009593,0.4053737780578773,0.7302760484889101,0.7273413198197403,0.43229083435752597,0.775366192896018,0.42116133690414004,0.4098772036113832,0.7547104588028467,0.40391880003474295,0.43063609364749245,0.7247912955507877
6,-27.502505511045456,0.5440229585075856,0.4071053697089286,0.40518155050573007,0.7371078360518717,0.4160742003738559,0.7388654597869402,0.4276764761281915,0.4226904461757518,0.7520983557041049,0.4071609734529477,0.39813688096376043,0.718257130156149,0.38453509537723335,0.3847353412301946,0.7463389208519806,0.717178412019901,0.7202094756503453,0.7205935762295037,0.4410382076688892,0.7366952621174735,0.41593835350005026,0.4051785672753417,0.7298654113680643,0.7240823658900858,0.4357042640920582,0.7730585893773645,0.42287657600641987,0.41290421068230687,0.7557368957235033,0.40889388858412323,0.4334235461328597,0.7242981027472644
7,-27.57864660024643,0.5441065270094714,0.40959420286304166,0.40637179299808285,0.7385089773884785,0.42052355974465383,0.7390979022664591,0.43044910726570823,0.42307520293769435,0.7519197809557404,0.40939255790842427,0.40035610888459366,0.7163494785996664,0.38716334698000715,0.386368237599782,0.74668120287566,0.7133603741738284,0.717479539887631,0.7173912591074595,0.4444182257741919,0.735964012157222,0.41821750980417,0.40412975359743736,0.7326151640910262,0.725000148097742,0.43845330127507637,0.7742556674488152,0.4260556075174521,0.41331741573002057,0.7588967904775278,0.4116916820190755,0.4394246162580189,0.7241384574092643
8,-27.647329211235046,0.5429154283687747,0.40951421731685433,0.40478770869823005,0.7412057287663865,0.42155324776938224,0.7383697003316464,0.4291107542032306,0.42050442279600786,0.751370425629247,0.408231456065011,0.4002078086838498,0.7171096272025564,0.3883481654206596,0.38746367324848285,0.7486657315582094,0.7122952557029433,0.7156553495343146,0.7191764387485238,0.44221686514319963,0.7364123753363879,0.41813174414056387,0.4016478730624897,0.7364565574947249,0.7259941095585335,0.43704110825656817,0.7739040232830723,0.42571113561738033,0.410530487493567,0.7610748484110955,0.41189874162728507,0.4408666430860918,0.7258819209231496
9,-27.687182545661926,0.5428022351929579,0.40942618978374407,0.40492199028562553,0.7412765289882753,0.4219671032835563,0.7373594089929629,0.42840423079403683,0.4200812946279782,0.7505862678483091,0.4088943351782912,0.40162955816825435,0.717436295227471,0.3893980902394283,0.38781284254176557,0.7494371639321709,0.7120459145248602,0.7157466978853072,0.7187111528308184,0.44094950039343556,0.7370012170848366,0.4183048618694904,0.4022643531300029,0.7375811754049117,0.7248651837519839,0.43670533155220936,0.7716250381001456,0.42419526941909436,0.4097781022176054,0.7603489228087882,0.41291583475551624,0.4406735777473994,0.7266865298717251
10,-27.702873796224594,0.5433219426546128,0.40956409895224244,0.40497727729064215,0.7419378201576114,0.422812829310597,0.7359141953997893,0.4288879255037879,0.42060482318858394,0.7497045752024647,0.4095735015221429,0.4026373590788309,0.7171671338139901,0.3911039619345442,0.3888472413010173,0.7509317117819947,0.7116255409803229,0.7156240675660871,0.7173127633880333,0.44106228053463625,0.7390510145068994,0.4199027788664768,0.4026483281643424,0.7395971944465644,0.7227267778308588,0.4371386595599518,0.7691233779520728,0.42249267814114866,0.4079432236702814,0.7591544421651716,0.41431231893707954,0.4412940934621014,0.7272459479734237
11,-27.72035989165306,0.5428624008484007,0.40936240283124775,0.40472716417754384,0.743188160656764,0.4229571915110849,0.7357309221163726,0.42950843188299903,0.4210718814767631,0.750458364066122,0.409008897378738,0.4018867942065152,0.7168259925302649,0.3912801578099416,0.3884984136642325,0.7516051109937671,0.7123352225045598,0.7159987748355303,0.7174155243912607,0.44065944547155533,0.7408658363712827,0.41937036882922335,0.40253365111182526,0.7403081916862638,0.7224306908733423,0.4367981073323484,0.7679646278778263,0.4209535393123949,0.4056104984339098,0.7589451527571892,0.41407045462658476,0.44103052332876874,0.7270917030670389
12,-27.724227398633957,0.5428601429740139,0.40921738506064564,0.40428476524256923,0.7442954821396348,0.42286164162857515,0.7359972059863623,0.4298026243473183,0.4212543726008769,0.7511881308472149,0.40854209548029424,0.40127797437827156,0.7166019961311225,0.3911296205641374,0.38803725685589363,0.7518978407139932,0.7128025958850582,0.7161421795485208,0.717360306762467,0.44034597807653947,0.7418291586142813,0.4185481053226178,0.40230114412262563,0.7408521131779455,0.7222432028671716,0.4368701417686116,0.7678227891733242,0.4201167141136507,0.40436804355295647,0.7592461180555418,0.4137332667624905,0.4408852962711047,0.7274887402780525
13,-27.731347680091858,0.5426289462757288,0.40952557123713157,0.404352849637051,0.7451449449603856,0.4231123900618008,0.7362036746507621,0.43059030349443167,0.4217046759840066,0.751874837390072,0.4080407042707541,0.40089507641108674,0.7160534816059438,0.3912399836670285,0.38804282846683086,0.7513078833932941,0.7131623886734636,0.7160947963204978,0.7169117430961999,0.4403440544429044,0.7417526993185646,0.4183548465399105,0.402658387891106,0.7406782176078458,0.7223291751430204,0.43730983078464564,0.7680769669533178,0.4206835617105272,0.4039146276706676,0.7595835523813238,0.4136812617830352,0.44117785092973544,0.7277124354665179
14,-27.733152747154236,0.5425048991239186,0.4097059276479358,0.4044653099444778,0.7453287892804915,0.42306347695132174,0.7363284228027359,0.4307689275752842,0.42179060706803345,0.752072093724755,0.4077814272629983,0.4006720180971249,0.7158418944721591,0.3911858179357919,0.3880804499101694,0.7509438922877906,0.71335163529586,0.7162328591671074,0.7167313189428439,0.4403470617691863,0.7416662004903734,0.4184068759942248,0.40295741400585233,0.74049936739793,0.7226118835604219,0.4373480608400414,0.7683745107523867,0.42118795748017657,0.403930726479459,0.7595795428097294,0.4134378743565564,0.4414052433873405,0.7276865167584741
