iter,energy,gamma[0],beta[0],gamma[1],beta[1]
1,-18.06645205616951,0.5383917163294822,0.5125378309060947,0.6583081127292701,0.6583081127292701
2,-19.00239497423172,0.49515581730656893,0.4617747776632372,0.6915802459057822,0.7190584681003787
3,-20.46710142493248,0.506928301532499,0.4870678778222115,0.667738075039865,0.7235098907349731
4,-21.160781770944595,0.5137058203875581,0.5186640473725851,0.6597242506606257,0.7428550597153546
5,-21.587245404720306,0.5137721557913333,0.5392677533786292,0.670225560500894,0.7604685905721335
6,-21.706039369106293,0.5145405524026911,0.5541776389964794,0.6779129354275866,0.7787072671984355
7,-21.709460586309433,0.5160793014565425,0.5595317925356075,0.6785934556179302,0.7838712849131089
8,-21.71805515885353,0.5151168004022677,0.5581921015532433,0.6767782882369255,0.7832939428766104
9,-21.719293504953384,0.5152597179888658,0.5579956883243893,0.6761439491298074,0.7823926480829301
10,-21.719295769929886,0.5152943797517651,0.5580665488305641,0.6761426794722172,0.7823937863692179
11,-21.719714909791946,0.5158044370420654,0.5590324200027177,0.6755321829897311,0.7825043294367756
12,-21.71976599097252,0.5155602883226966,0.5585796613156827,0.6758092975231509,0.7824749626141337
13,-21.71976599097252,0.515560288323702,0.5585796613164804,0.6758092975225825,0.7824749626125457
