iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4],gamma[5],beta[5]
1,-12.104779779911041,0.25610553375206224,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
2,-16.963906589895487,0.26936199833141505,0.016681525411666336,0.0,1.0,0.9944003425998839,1.0,0.9990109564558787,0.9752681714317352,0.9592041381942078,0.9336109461788453,0.0,0.9676027897745773
3,-17.570102095603943,0.2724502858382552,0.020511769331660108,0.0,1.0,0.9945230389580761,1.0,0.9991033141068968,0.9703468937548658,0.9500923916382799,0.9162491519049053,0.0,0.9585087343167964
4,-19.822712376713753,0.27698795095400847,0.020710703023085277,0.0,1.0,1.0,1.0,1.0,0.9757048206605161,0.9502508215678688,0.8886769736818318,0.0,0.9425382530498468
5,-22.487623065710068,0.29185430520876615,0.02576690375502346,0.0,0.9949787654456392,1.0,1.0,1.0,1.0,0.97945566033275,0.8109849440390012,0.0,0.8801182102972798
6,-24.55266186594963,0.28344391140492664,0.024176400889831293,0.0,0.9952626958504558,1.0,1.0,1.0,1.0,0.9934452048096012,0.84837613526619,0.0012571898228877464,0.890075838315672
7,-25.004773646593094,0.28518610579070125,0.029584702619918506,0.0,0.9920627079422799,1.0,1.0,1.0,1.0,1.0,0.8499819750082869,0.006300200967241597,0.8748623912984035
8,-25.47937673330307,0.2897401706975861,0.039413033989285015,0.0,0.9862189429472096,1.0,1.0,0.9974356272543367,1.0,1.0,0.8568845803243093,0.013585468654317291,0.8457771091642745
9,-25.95656383037567,0.29469257500207346,0.04359996180666094,0.0,0.9775311591098695,1.0,1.0,0.9913368356133906,1.0,1.0,0.8726015930682558,0.006999779411313859,0.8108931455662238
10,-26.13557457923889,0.29829744180392564,0.044631996746069394,0.0,0.9694862406165377,1.0,1.0,0.9840911218824174,1.0,1.0,0.8849973376049803,0.0045126792979131684,0.7812040982435062
11,-26.248617380857468,0.30133350777093654,0.04318661564828703,0.0,0.9609028902669544,1.0,1.0,0.9690281034927031,1.0,1.0,0.8901487613241441,0.00875047478730033,0.7537969950099129
12,-26.286147505044937,0.30086247367308355,0.03868487613561628,0.0,0.9613570797282404,1.0,1.0,0.9633539275060744,1.0,1.0,0.8965636868958468,0.01035370590770705,0.751250781506997
13,-26.300456672906876,0.2999058007106149,0.03589819624378149,0.0,0.9629962187294029,1.0,1.0,0.961479692228483,1.0,1.0,0.8986546977531908,0.010281509393442533,0.7558477028807322
14,-26.323534429073334,0.3003176071066754,0.03629350273341149,0.0,0.9631123285437223,1.0,1.0,0.9594575125115182,1.0,1.0,0.9008186295913593,0.007794016268800886,0.7573658950738265
15,-26.338254034519196,0.30146945803236885,0.03616578924672609,0.0,0.9654773192381768,1.0,1.0,0.9582955420846369,1.0,1.0,0.904445351779475,0.0017602209366871673,0.7644117839646309
16,-26.34360381960869,0.3016885932657087,0.03669566425167111,0.0,0.9651260512465036,1.0,1.0,0.959410689774882,1.0,1.0,0.9010799902185722,0.004204320175707892,0.7621821322776875
17,-26.343624711036682,0.3016886190384978,0.03669570287716512,0.0,0.965126003735721,1.0,1.0,0.9594107681264851,1.0,1.0,0.9010797292342578,0.004204521726542019,0.7621818784087563
18,-26.344573825597763,0.30167548093525803,0.036845211797119234,0.0,0.9649683484862212,1.0,1.0,0.9596919309662312,1.0,1.0,0.9008690800675401,0.0038861678060793667,0.7621492153644489
19,-26.34485900402069,0.3016480876736813,0.03674865691746549,0.0,0.9643107152177021,1.0,1.0,0.9590380612505047,1.0,1.0,0.9007805150591426,0.0020767391268413215,0.7620751597517317
20,-26.344903737306595,0.3016552334185727,0.036757279125845935,0.0,0.9643114593307619,1.0,1.0,0.959039208218731,1.0,1.0,0.9007669208079497,0.0020593972734059816,0.7620864656938572
21,-26.344903737306595,0.30165523341878653,0.03675727912610656,0.0,0.9643114593307177,1.0,1.0,0.9590392082186769,1.0,1.0,0.9007669208075905,0.0020593972726918597,0.7620864656941742
