iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4],gamma[5],beta[5],gamma[6],beta[6],gamma[7],beta[7]
1,-18.823022931814194,0.5835107149798583,0.5768271086554058,0.5768271086554058,0.6154485942297294,0.5768271086554058,0.6154485942297294,0.5768271086554058,0.5768271086554058,0.6154485942297294,0.6154485942297294,0.5768271086554058,0.5768271086554058,0.5768271086554058,0.5768271086554058,0.6154485942297294,0.6154485942297294
2,-20.51571160554886,0.5773097508780557,0.5682291415638897,0.5678854344767712,0.6209934946762828,0.5684217913868153,0.6218429625273566,0.5682119822464252,0.5682029681243879,0.621257998291552,0.621600258663752,0.5688488426622207,0.568484996190782,0.5677754711407943,0.5678628195154922,0.6214809690189375,0.6216008265447698
3,-21.660759955644608,0.5625212614776737,0.5471461217283929,0.54539294021855,0.6239566691072852,0.5401884899943218,0.6512829122695266,0.5499740015720498,0.5455442120777172,0.6352940690013661,0.6387277284160783,0.5501239739428951,0.5685016928429486,0.5396801364134487,0.5320645701946115,0.6297753945847926,0.6335693109705157
4,-23.61726152896881,0.5708032061184933,0.5602206495026294,0.5591346729690663,0.6187696493214032,0.5529761752068978,0.6457973015426675,0.5606563762977197,0.5559455444727004,0.6329422659767204,0.6274523372615289,0.565700328832096,0.5782029566197086,0.5521582873440135,0.5470564737404728,0.6213628965230525,0.6272855434495039
5,-24.183323591947556,0.5709232353768458,0.5611919509363703,0.5590411973617344,0.6180684041814023,0.5570878847890648,0.6535809277455602,0.5608026420506713,0.5579120097743172,0.6330263758767548,0.6261873778965525,0.5713746441384099,0.5765420325536422,0.5518783242082783,0.5462946583677617,0.6163455263559132,0.626636968976117
6,-24.88436269760132,0.5683685333860624,0.5638745175246768,0.5557806484117593,0.6208734370045232,0.5697039679334395,0.6764403284656909,0.5573306534122552,0.5603713734475685,0.6414326417420114,0.6240395819384806,0.5859286486422468,0.5751697153817453,0.5554696025015061,0.5395294453633092,0.6114574615970018,0.627526603837196
7,-25.06650197505951,0.5666853013504431,0.5640910961321571,0.5555035956963601,0.6231818751811316,0.5727410650797466,0.6783189658769656,0.5575567238312783,0.5605832103651971,0.6426841449272872,0.6203231972286606,0.5843869375213743,0.5756884926907374,0.5546804198264169,0.5337333881467015,0.6082631077078836,0.6333008286107122
8,-25.355041086673737,0.5633109082810563,0.5640815056383977,0.5567048428004102,0.629541275245023,0.5837936162997384,0.6787675956632411,0.5578019795182457,0.5614615658667689,0.649782555754535,0.6097945321963064,0.58016557416865,0.5811450501928158,0.5536223328222529,0.5253015187325467,0.6009227281128173,0.6509353484332909
9,-25.591456353664398,0.5600846544508906,0.5627187025683604,0.5580118684437653,0.6391205588022155,0.6008955541577405,0.6833382806708543,0.5569044386393385,0.5637843296434126,0.6632225031880744,0.59918279944599,0.5800385716085332,0.5910996386564011,0.5577007998673029,0.5143820536397106,0.5942702575812517,0.6705802139011835
10,-25.85556933283806,0.5552047340715581,0.5532360858811222,0.5616663031846277,0.6445512615679756,0.6099977933223814,0.6799902607257523,0.5602891163892924,0.5653790524687395,0.674143413615213,0.6027906691597853,0.5742074825939004,0.5998491192416034,0.5613028657173028,0.506268497157588,0.5923279708877217,0.6761356886486153
11,-26.168108075857162,0.5506268823192346,0.5310116873266381,0.5712034792734416,0.6528076995050504,0.6252876552315121,0.6754119956318626,0.5708875423214765,0.568802885218685,0.6848166542943469,0.6117532475891727,0.5726297601672078,0.6131928569152137,0.5705375589761531,0.5022936819491506,0.5874774875525757,0.6774670767456622
12,-26.393940269947052,0.5491620058980801,0.5196128477924321,0.5773875850686573,0.654714856762001,0.641069826861344,0.6784712098196206,0.5781608336935625,0.5698292362538456,0.6932801556610151,0.6100222597790802,0.5755329552100238,0.6221277491958264,0.576946221248841,0.49474840423208,0.5819969306320967,0.6807135956117851
13,-26.745483353734016,0.5470503231225625,0.5002201778211942,0.5878553669489853,0.654344731645045,0.6642669250479323,0.6817326478291591,0.5922391759240663,0.5707964334436734,0.7032489723757911,0.6089784234252393,0.5813703397771036,0.6361712436967993,0.586463378585105,0.48461370484191757,0.5752207488760686,0.6796511294313483
14,-27.034878492355347,0.5522519250574176,0.48472059233281084,0.5980692697917679,0.6497319799538253,0.6849127253103079,0.682476339040249,0.6111484522632858,0.5725609029870107,0.7116209277378168,0.6097810881808569,0.5898572498920116,0.6434371293819136,0.5939430507463281,0.4778418245473219,0.5710056893032875,0.6719614360930241
15,-27.21730038523674,0.5598637660372852,0.4817328694131933,0.6038889894569608,0.6469884953278507,0.6980256471589193,0.6803441653686223,0.6297602910767123,0.5729448890595127,0.7158493001042083,0.6055144581264034,0.6038616582756897,0.645407835661647,0.599391480383956,0.4740323803757732,0.5621909652110202,0.6577591667073541
16,-27.254356920719147,0.5687254154260324,0.49362476243295006,0.5997541808704383,0.6480050844002867,0.6907592087958772,0.6743324598852549,0.6290544387357992,0.5741861150087241,0.7053395306500292,0.6055036244226953,0.6041602059466019,0.642499023493904,0.5987852681598183,0.47632603047871525,0.5625879864431206,0.6469647094607289
17,-27.348888278007507,0.5671990807012616,0.48806112727179224,0.6039090497174612,0.6551256986619094,0.6930818838166478,0.6688237647465728,0.6310228808560698,0.5760152894301551,0.7089568565133559,0.6078361628312451,0.5965539120067053,0.6525350663282536,0.6014369413491232,0.4723854945391508,0.5610155559862642,0.6511595736941063
18,-27.427412629127502,0.5623708624434645,0.49100300477902314,0.5998752944239292,0.6548021952616978,0.6872157977926887,0.6720274267388067,0.6247595125716437,0.5717985261536166,0.7110107522318883,0.6052768474308379,0.5935523870650468,0.6525100881105719,0.5940192627460332,0.47483293669656096,0.5653166541901073,0.6600526114189118
19,-27.462275505065918,0.5643436258970821,0.4913936857961,0.5983450582074658,0.6559773054821052,0.687377741392081,0.6709726729868057,0.6269517377753007,0.5695475973080915,0.709437133212802,0.605094094998258,0.5964232135569043,0.6536735356007051,0.5905830068921587,0.4731623242680151,0.5671157687914109,0.6602197491955131
20,-27.50981855392456,0.5682298310695812,0.48998378280009836,0.6005179469371578,0.6575845354531777,0.6919652741699991,0.6681407487683995,0.6341078996812977,0.5698194473480738,0.7107407965399831,0.6044931571804518,0.598973076749073,0.6570000204595334,0.5921893579277516,0.470434426614399,0.5647174915590468,0.654786716955017
21,-27.55358374118805,0.5729251651478222,0.4957447079046941,0.5998974919083905,0.6617382197996693,0.6867489366546577,0.6635053262759001,0.6374391370548363,0.5694860200121856,0.7111006435019611,0.6036302440150771,0.5998871970416199,0.6605495325813369,0.5922235572358855,0.46965863222447035,0.5657247205788742,0.6473914342731117
22,-27.59045135974884,0.57123658310733,0.49607583857134535,0.5984317464875735,0.6648050435644663,0.6858333805555955,0.6627294869226603,0.6389393761385253,0.5690930026400187,0.7141927611177786,0.6013774521444244,0.5986578970553591,0.665636216798975,0.592972527597528,0.46584874425021205,0.5653369850674513,0.6488426767836325
23,-27.591295033693314,0.5704509317774097,0.4956092801188396,0.5979866575645003,0.6644976942235927,0.6860120138535966,0.6633180382678797,0.638164327453769,0.569078862850997,0.7141706697961927,0.6011833521846158,0.5986576334683044,0.6653556114866369,0.5934833669268883,0.4659069876233721,0.5650896368754188,0.6493077078418209
24,-27.59369894862175,0.5694426367789102,0.495988988336359,0.5964339145765102,0.6644018710545215,0.685129779284394,0.6639600238789244,0.636532677262017,0.5687421834920645,0.7136764128267967,0.6005309389814106,0.5984639485150668,0.6650626163834231,0.5938334352130202,0.46579802715105245,0.5650460976035523,0.6498667706137419
25,-27.593720704317093,0.5692048518019046,0.49602413528109507,0.5960944661203985,0.6644406947792589,0.6850004896223637,0.6640776643894194,0.6362789259453855,0.5686710757920467,0.7136555392988352,0.6003431543880474,0.5984443283474669,0.6651189448422252,0.5939574435469879,0.4656667676374676,0.5649979854664222,0.6499821218516145
