iter,energy,gamma[0],beta[0],phi[0],gamma[1],beta[1],phi[1],gamma[2],beta[2],phi[2],gamma[3],beta[3],phi[3],gamma[4],beta[4],phi[4],gamma[5],beta[5],phi[5],gamma[6],beta[6],phi[6],gamma[7],beta[7],phi[7],gamma[8],beta[8],phi[8],gamma[9],beta[9],phi[9]
1,-17.940925881266594,0.599679995288488,0.5995396750130371,0.6079557513528699,0.6196566905904708,0.5995396750130371,0.6547250535187005,0.5995396750130371,0.5995396750130371,0.6409780664574943,0.6088492158350118,0.6357324435021195,0.6096718828146067,0.5995396750130371,0.603383176655041,0.5995396750130371,0.5995396750130371,0.6165963505470435,0.5995396750130371,0.5995396750130371,0.5995396750130371,0.6177324144712462,0.6162848415358372,0.5995396750130371,0.6097629756012171,0.5995396750130371,0.5995396750130371,0.6425700662980989,0.5995396750130371,0.5995396750130371,0.6256522950894924
2,-25.527722537517548,0.5993767630425325,0.5726444376895341,0.6054019566159521,0.6259751767676524,0.5843733631063776,0.6453601029224709,0.6054858329167562,0.5827562823673498,0.6289573028051383,0.6121310139033582,0.6231359286010346,0.6047118911393745,0.5785613484422104,0.5989821000746743,0.5922348402951946,0.5889935709229708,0.6010818222728586,0.5992615593176736,0.5971316931519096,0.597822414970551,0.6194163898414794,0.6126911366593174,0.5869106550043781,0.5968433580353736,0.597918690321483,0.5887367621753238,0.6423009515429496,0.6059058792639089,0.5866091918750547,0.6294569530534931
3,-27.1125830411911,0.600043480236519,0.5595770534363187,0.5986578517449108,0.6276511625023548,0.578089182081651,0.6503696934481372,0.615348576197536,0.5762101114602652,0.6242098388837344,0.6140585613984832,0.6135479247799868,0.6069478700194902,0.5743412533575357,0.5970589022317703,0.5890653864650662,0.5820396228162438,0.5858189175686324,0.6043167299291335,0.6070780223205742,0.5902788153079513,0.6277052222068195,0.6090804131091396,0.583206000237539,0.5961148263335371,0.5908247762039596,0.5842260431865937,0.6490089311122775,0.5989462614241784,0.5770116223262524,0.6368340909544403
4,-27.509115904569626,0.6003363323720923,0.5597103183912043,0.5946943083823075,0.627541818107293,0.5786098348538856,0.6550853958544779,0.6193650753092034,0.5801976011178452,0.6229797233654306,0.6152784882698994,0.6160431732095676,0.6102144177251011,0.5801143366029469,0.5988350583518605,0.587244158140282,0.5840876491266984,0.5858058213508578,0.6056177515794785,0.6129518050120311,0.5883293466738961,0.6305458091856794,0.6099243724696046,0.5843405160120759,0.601965760465265,0.5899970791563939,0.5815084945893235,0.6507781277871632,0.5982486876003565,0.578863556926026,0.6375132900056223
5,-27.60536241531372,0.5997333973626018,0.5591246013706969,0.5934137068125114,0.6273761576417323,0.5786922906133798,0.6562116199137836,0.6190093997834091,0.5814106153847952,0.6214576426818454,0.6154754873308229,0.6173652835666875,0.6095246534948499,0.5815091410306538,0.5988150637891931,0.584448569615757,0.5856209524775228,0.5863824792856815,0.6041862394211588,0.6135953644407791,0.5875597333784026,0.6306773434082191,0.6110476527630876,0.5837851156430668,0.6033788686440473,0.5907666639974846,0.5788207222909962,0.6510180727774998,0.5993192852864135,0.5803433505543504,0.6368555613996321
6,-27.684597104787827,0.6000739534916175,0.5578544671864476,0.5906757109504006,0.6252187394534309,0.5770512511563295,0.6577566841301156,0.6186805287952211,0.5830085057627575,0.6180838152558402,0.6168112023632188,0.6191720329527393,0.6070649149125884,0.582593927619476,0.5995966827867871,0.5777679562647202,0.5870374836543035,0.5877296683182521,0.602395764944327,0.6160043346995712,0.5843701011853828,0.6291772721266741,0.611695496468235,0.5842917108006445,0.6043295833825357,0.5927862496101873,0.573113235841168,0.6505919239891158,0.6012089211495678,0.5818715176376202,0.6356218106228023
7,-27.717387199401855,0.6003331126856467,0.5576820094902256,0.5898785907901238,0.624109327222807,0.5750275025087689,0.6589894766156812,0.6192967926540077,0.5837584778895104,0.6167223339300839,0.6158483463053095,0.6195124411972539,0.6066020583405619,0.5827805279472071,0.5997113978342968,0.5752123083950825,0.5865487587687004,0.5864228994551939,0.6025956862715406,0.6166560416762582,0.5831905742561715,0.6284388079717259,0.6109678034676639,0.5856265763710434,0.6049029953913176,0.5947229875018711,0.5720144900094842,0.6510211517144837,0.600236876259012,0.5811910993166242,0.6354067743828228
8,-27.723630338907242,0.6000824449218999,0.5575722741547924,0.5899169313147741,0.6239315362922135,0.5737075607140155,0.6599411278758917,0.6200049161227058,0.5829546620448043,0.6165475349514687,0.6156912965335148,0.620375739284614,0.6067262541435063,0.5822730094417454,0.6004226382686846,0.5743744591927171,0.5864586068497347,0.5852249370137045,0.6028572353307161,0.6170110454071711,0.5831798407788027,0.6286424424266845,0.6109493439015292,0.5860677007197769,0.6043552778673611,0.5956220641319049,0.5717412034359183,0.6525479648857166,0.5995397980850612,0.580734522242971,0.6356879221082583
9,-27.728304624557495,0.6006052496433114,0.5579054826511138,0.5899925051859854,0.622923025562102,0.5731788735817687,0.6593349118859926,0.6205040467562718,0.5821189847457853,0.6162500190581791,0.615228388706833,0.620840128113338,0.606425231102245,0.5821607612487483,0.6010410017229915,0.5739469944344064,0.5863796356387819,0.5848006184406804,0.6029379590554278,0.6169310446287801,0.583284826207644,0.627837217700887,0.6110193399854302,0.5866496308576977,0.6038664167826729,0.5964570298499347,0.5714931684150101,0.6525326433643163,0.5993798272656752,0.5809290431800113,0.6353619305810334
10,-27.729724168777466,0.6007720168069373,0.5582278412484988,0.5901334533958741,0.6223595705270424,0.5731302794806692,0.658675116146908,0.620551996963523,0.5817078285636731,0.6161916515213672,0.6151210966729138,0.6210343431310564,0.6062877082388718,0.5820098477948124,0.601406733679448,0.5740954165803539,0.586406709275932,0.5849345717502578,0.6029096868904279,0.616695411258087,0.5835478888955827,0.6273056613890122,0.6109405144421923,0.5868691027213782,0.6034333741528817,0.5967608825285481,0.5714508078604833,0.6522924476181158,0.5994423195166619,0.5811579556832155,0.6350362037894033
