iter,energy,gamma[0],beta[0],phi[0],gamma[1],beta[1],phi[1],gamma[2],beta[2],phi[2],gamma[3],beta[3],phi[3],gamma[4],beta[4],phi[4],gamma[5],beta[5],phi[5],gamma[6],beta[6],phi[6],gamma[7],beta[7],phi[7],gamma[8],beta[8],phi[8],gamma[9],beta[9],phi[9],gamma[10],beta[10],phi[10],gamma[11],beta[11],phi[11],gamma[12],beta[12],phi[12],gamma[13],beta[13],phi[13]
1,-21.076249822974205,0.5992640566250945,0.5986997011060646,0.5986997011060646,0.6004226341482699,0.5986997011060646,0.6894744489733323,0.6880678905303519,0.5986997011060646,0.6168040403936743,0.5986997011060646,0.650568109178965,0.6977431460950055,0.5986997011060646,0.6099765657145244,0.6560330220299386,0.6721091184332174,0.6024811424288026,0.6884545274483276,0.6222302895528504,0.6483842772077782,0.6226462575473621,0.5986997011060646,0.66186190687611,0.642058097291245,0.6272472368712728,0.5986997011060646,0.614766863805168,0.6367771702839977,0.6618885714911429,0.6049129553197945,0.6244181212162921,0.6351879592280425,0.5986997011060646,0.5986997011060646,0.6059555417675773,0.6576288992396521,0.6254887055098592,0.5986997011060646,0.5986997011060646,0.5986997011060646,0.6824843201424823,0.6093032841849461
2,-23.944059014320374,0.5994488761067535,0.5946162939199194,0.5945000725089532,0.602508312138169,0.6010670350759171,0.6833984027250448,0.6806578582278352,0.5935052629062529,0.6091489140720356,0.5916956411036571,0.6462033859428361,0.694888445878683,0.599101724973777,0.6071069669566019,0.6526008738091112,0.6695973392408463,0.6006703716842989,0.6758782836765955,0.6249217691691064,0.6477853583428389,0.6172477921707844,0.5979858530796145,0.6606661167104665,0.641970533983306,0.6285623506704463,0.5949614820111703,0.6143031535885147,0.6348555133440392,0.6572737961536428,0.6030954915422931,0.62624452881032,0.6337583204974129,0.5914490305388619,0.5992446333847219,0.6094992804917126,0.6549879450265753,0.6247672441864702,0.5931224735563194,0.5939893914948935,0.59601436905743,0.6770824234951933,0.6137782043599489
3,-24.513210773468018,0.5997871777760069,0.5842514878420347,0.5861367636599102,0.6087464357829111,0.6056842010506505,0.6918614312505825,0.6845724659684881,0.5792983878042688,0.5919474886977926,0.5773341983687561,0.6487517854261267,0.715923017114459,0.5999764277327462,0.6039719558739416,0.6598382515239122,0.6826704506940257,0.5986020557748011,0.6633544260654622,0.6411479930547428,0.6611169962953255,0.6132482033889077,0.60205892618124,0.6763387850987649,0.6554243006455696,0.6377652434306141,0.5858619947973979,0.6191709279853942,0.641015592355933,0.6631545349747342,0.5978271450433998,0.6407637465025234,0.64438780311337,0.5779576676751675,0.6027203051340688,0.6221179248604404,0.6638247613080336,0.6298789196191369,0.5785487740255398,0.5835906735338705,0.5883910586910474,0.6814060025641866,0.6308062796916595
4,-27.255141377449036,0.5998841472501111,0.5882480524990668,0.5957674068884067,0.6079826650861241,0.5995995615098135,0.6863966589606225,0.6759485796657466,0.5734922413287972,0.5911849280362154,0.5785662190735208,0.6387851094411673,0.7129586218281799,0.6053527364949336,0.6094124069068569,0.6603770272473304,0.6749589536861409,0.5986622105587979,0.6618210756471704,0.6493830586130175,0.6616692865117197,0.6172115187048681,0.611531123986561,0.6751456656710374,0.6575541176940097,0.636923509492575,0.5842970234062457,0.6195727758066559,0.6457951832155431,0.6635241453400659,0.5927961557582601,0.6416368452224754,0.6481128235357058,0.5808569075473896,0.6089185457248121,0.6241962300537132,0.6562563467840913,0.6243834095013063,0.5800378759720783,0.5885712851113853,0.5878634980914736,0.6676872957801525,0.63400936627562
5,-27.524015814065933,0.5993969612029538,0.5903734025917047,0.5991500085408654,0.6063359038988976,0.5975708056813186,0.6851825410321054,0.6718809284842305,0.5743578386032044,0.5966343643444139,0.5825638852167403,0.6351169504086055,0.709280743320744,0.6056269897604036,0.6086003785407473,0.6624648886729252,0.6696717504485394,0.6013730350721204,0.6651955229667917,0.6456773735956529,0.6570443431097095,0.6223057151960417,0.6143331274381729,0.6702490696678178,0.6559883261167129,0.6357260795160011,0.5866978797807694,0.6181737198116318,0.6480502252883479,0.6632999286021641,0.5940996513783394,0.6390796477296208,0.6455909963381955,0.5861609367498397,0.6086784237902508,0.6201450505755285,0.6492749205858384,0.6198295129860617,0.5821309067319842,0.590857776900254,0.5893767147409493,0.6647824588406788,0.6314907889724934
6,-27.681276381015778,0.5988394860845164,0.5899660326513839,0.5973875513855041,0.6061833763029661,0.5983192891586977,0.6875700770206011,0.6725579972199783,0.572777204959168,0.5944537979250506,0.5804472097410904,0.6362583832505238,0.7125913454400278,0.6061070681327371,0.6075776655350157,0.6642732059453413,0.6713501549657022,0.6017613910131997,0.6657904598352344,0.6469180576504725,0.6585056491552282,0.622225779122851,0.6148739079105318,0.6719396496739143,0.6563958805458197,0.6358610159898733,0.5860318473365523,0.6186158323364472,0.649317335356865,0.6634582692030135,0.5943561304521497,0.6404649633816352,0.6456051042769885,0.5846995176663933,0.608699507344646,0.6208531448094312,0.6506711982983309,0.6217840243229682,0.58131121132291,0.5892622592559266,0.5878884922053169,0.6660269682153791,0.6330854088547933
7,-27.709586322307587,0.5985559419221554,0.590335629689065,0.59697134735882,0.606145585396911,0.5981356877613572,0.689191742581065,0.6728641054329535,0.5713418796847268,0.5928466575683131,0.579050750181583,0.6361821618577811,0.7138656655671154,0.606310709270518,0.606396043475878,0.6654782029298422,0.6719010212138607,0.6026204933718557,0.666508475200739,0.6466968294348415,0.6584238425076641,0.6228436669005579,0.6158254895895591,0.6722411929662173,0.6558918191637184,0.6358600914763504,0.5853437098423494,0.6186655119021782,0.6503352780002899,0.6629316311218226,0.594640828568484,0.6409422973847102,0.644983105066942,0.584528060393183,0.6081152287618599,0.6205486729184257,0.6504292615197189,0.6217510574813777,0.5802658848355249,0.5887853483191252,0.5870278473430328,0.6666329064400334,0.6340504898192357
8,-27.721135050058365,0.5980432723973931,0.5903478419401111,0.5972961783811209,0.6055332883518938,0.598103621749551,0.6894045329249064,0.6730900028570169,0.5707835831786842,0.5926839070741582,0.5791224194866168,0.6355432364589352,0.7144160296557668,0.6063474493865005,0.6058055788329075,0.6658921526089739,0.6712937556928381,0.6030739164893267,0.6664404194387896,0.6454559286773255,0.6579468417270514,0.6232784971370343,0.616322220330563,0.6719912481328587,0.6556156962082237,0.6357428717866332,0.5855558737967561,0.6190966186579739,0.6512197401833819,0.6625030358771041,0.5950581220111831,0.6406367203802241,0.6447999696186825,0.5848416283756206,0.6075751458656015,0.6199721685790011,0.6497070416438857,0.6216132067703631,0.5799284179262385,0.5883504017843487,0.5868680091100723,0.6667976927381343,0.6341170834560637
9,-27.72571837902069,0.5977830687258591,0.5904352637057844,0.5981714058499829,0.6045647061937958,0.5977711086969182,0.6902251967583446,0.6737675721323001,0.5693538149244504,0.5917730826048124,0.5787257731136656,0.6338678758801926,0.7160013877047986,0.6066634415268732,0.6047336124122636,0.6668249698383794,0.670427675231313,0.6036047010457178,0.6659780076444893,0.6438974721628906,0.6574584156889524,0.6236045615959515,0.6175855266730333,0.6724759864677454,0.6556030728890038,0.6360195511982751,0.5858928156408105,0.6197320954761003,0.6532046481904663,0.6616778304027602,0.595314265254014,0.6397494135510144,0.6451039303445724,0.5849685281346162,0.6070001901909673,0.6191335134429106,0.6485960441720521,0.6214663054133355,0.5789544211252905,0.5872105276308157,0.5861983911706817,0.667073725610384,0.635219444696671
10,-27.73326885700226,0.5976336027433551,0.5904333689006213,0.5985197104541626,0.604327912537968,0.5974360058839633,0.6903687686849058,0.6744527736504631,0.5692725628626845,0.5913261987799027,0.5788869837719366,0.6333936149438834,0.7157709094448803,0.606682906319603,0.6052017646351078,0.666736359645572,0.6708157620456817,0.6035620571033551,0.6655761863381519,0.64388741142604,0.6575173840343489,0.6230242563891403,0.6173000209696077,0.6730206323330916,0.6555478301250647,0.6362284458633767,0.5861804320083205,0.6199603459064033,0.6529670299107391,0.6618454053760064,0.5948235254602504,0.639762480543922,0.645756591776602,0.5847079970123298,0.6068834766032914,0.619150574003965,0.6489492538186635,0.6215086456033008,0.5789549674098723,0.5872107189244872,0.5863658176641574,0.6675005122736504,0.6349760893732135
