iter,energy,gamma[0],beta[0],phi[0],gamma[1],beta[1],phi[1],gamma[2],beta[2],phi[2],gamma[3],beta[3],phi[3],gamma[4],beta[4],phi[4],gamma[5],beta[5],phi[5],gamma[6],beta[6],phi[6],gamma[7],beta[7],phi[7],gamma[8],beta[8],phi[8],gamma[9],beta[9],phi[9],gamma[10],beta[10],phi[10],gamma[11],beta[11],phi[11],gamma[12],beta[12],phi[12],gamma[13],beta[13],phi[13],gamma[14],beta[14],phi[14],gamma[15],beta[15],phi[15]
1,-20.5923513174057,0.5999079796125906,0.5996883770458091,0.5996883770458091,0.6163989596305358,0.5996883770458091,0.622017635021489,0.5996883770458091,0.5996883770458091,0.619026493157832,0.5996883770458091,0.5996883770458091,0.6180615571509694,0.5996883770458091,0.5996883770458091,0.6174174144391036,0.6192592600058451,0.609169607944684,0.6081644130183298,0.5996883770458091,0.5996883770458091,0.5996883770458091,0.5996883770458091,0.5996883770458091,0.5996883770458091,0.5996883770458091,0.5996883770458091,0.599778256427562,0.5996883770458091,0.5996883770458091,0.5996883770458091,0.5996883770458091,0.5996883770458091,0.6215503439916755,0.5996883770458091,0.5996883770458091,0.6095592567726207,0.5996883770458091,0.5996883770458091,0.6174460110525519,0.6040127918245652,0.5996883770458091,0.6048473656159311,0.5996883770458091,0.5996883770458091,0.6404867338535025,0.5996883770458091,0.5996883770458091,0.6115664514729885
2,-23.98033508658409,0.5998322132614552,0.594291079563994,0.5972062679762881,0.6302202360270943,0.5966438784545085,0.6349350998195417,0.6031786425400659,0.5953130687755941,0.63102856914733,0.6033449549016405,0.5995740354051394,0.6275441808351834,0.6043102517167364,0.5970484932234623,0.6261870153060148,0.6363620042323472,0.614615018352639,0.6163884154076054,0.594408495559189,0.5956893706903315,0.598935077038018,0.5989575053144731,0.5951604438503497,0.6014309376912089,0.5967497844942692,0.5980171558381536,0.6012752522146956,0.599541139040688,0.6013615880432258,0.5995660727964762,0.6017467563444543,0.6006821973812724,0.6367599893687833,0.5978144361064339,0.6009011191929314,0.614266266517373,0.598600762557723,0.5974978228681808,0.628309615871665,0.6082233054315307,0.5961094669561577,0.6059065983124157,0.600180409340401,0.5943898019812307,0.6689942408516318,0.6049991054696201,0.5991938073375302,0.6208150613856094
3,-26.077188432216644,0.6006624246709313,0.5755804018138717,0.5909308930976784,0.6319121394117972,0.583417862325208,0.6249933151797893,0.6060989706278255,0.5819640288740356,0.6269403729691627,0.6038556344816018,0.5949831647077276,0.617671820984261,0.6082595369541696,0.5964703251012494,0.6199705396693606,0.6356706400871556,0.607982672532529,0.6162201362696478,0.5762522721650581,0.5877300535533412,0.5900523865392674,0.5910272471748141,0.579951884774847,0.6012276734805897,0.5926751936893885,0.5979465300567676,0.6041566757921425,0.5953905269501758,0.5959868995191997,0.5959694904105454,0.6071423737691033,0.6004616847201304,0.6347791356481494,0.5928548156354032,0.6009142907849163,0.6070969092379604,0.5988060358973835,0.5953284294658808,0.6239572857203959,0.6058328259179564,0.5824067691590047,0.598121401806847,0.5967375023955565,0.5840407201832627,0.6637638593945789,0.603653304814601,0.5929229627054297,0.6223803888794783
4,-27.43060666322708,0.6007571771786826,0.5804821505480253,0.5909689274559904,0.6301997674237819,0.5862467243925579,0.6283316229509868,0.6079892340488976,0.5869381559993844,0.6269668328314223,0.6019347642202512,0.5985290492463988,0.6191401874085916,0.6087044627095574,0.5998645742423183,0.6183102521411651,0.6352701210478516,0.6103943316164554,0.6180483457307823,0.5832188018684976,0.5909617563865822,0.5909320975949158,0.5944619873003677,0.5829007867346019,0.6030923862043056,0.5972746287748316,0.5965548551954366,0.6039807865731561,0.5967040338710192,0.5954575092371795,0.5986489213514568,0.6081976251608022,0.6007399864573221,0.6367277701003448,0.5927903156086034,0.6028095673512291,0.6115311384741007,0.5987989650662239,0.5957262852568174,0.6234657658509508,0.6052575865946491,0.5875061063509084,0.6000388518797628,0.5981368844654643,0.5869117766176357,0.6633806410269233,0.6014376588919628,0.5953838482449727,0.6209831238605851
5,-27.56551131606102,0.6004125689155997,0.5803651077148906,0.5908471500126586,0.6286808346867541,0.5854939968946805,0.6272159652433651,0.6082220358710206,0.5869952392642744,0.6260157481917175,0.6010379084870571,0.5997008509115476,0.6178324520389472,0.6075680985998344,0.6005015731223513,0.6163048586006323,0.634310445239149,0.6108029808667418,0.617584159250184,0.5838512801519629,0.5924080915863418,0.5896594167510327,0.5947185873503469,0.5832361485192832,0.6024832530067022,0.5985835172117936,0.5957328914087905,0.6036977072107345,0.597499373959604,0.5958669199114836,0.5980155225790003,0.6085867962542548,0.6000723413744486,0.6359806709733405,0.5923820871083824,0.6024904994555578,0.6116319875725387,0.5990086403038828,0.5954256366419362,0.6215326191682075,0.6053344910039788,0.5874073659545777,0.59962521815176,0.5976105828869068,0.5858537297036205,0.661694822781315,0.6009766364368058,0.5957044212313607,0.6198799196103549
6,-27.66799694299698,0.6008791375054184,0.5778872652222448,0.5887369606752104,0.6244495979070951,0.5806836771819852,0.6252184101633573,0.6110682458688477,0.5851238212113509,0.6238483818079326,0.5977063909501581,0.6048830053278478,0.6142122543781333,0.6040271571926592,0.602874943605099,0.6075133974913084,0.6322874743348663,0.6127166829309485,0.619727768382897,0.5846125727095282,0.597071472515283,0.5841107467844013,0.5957947683928501,0.5836463816855545,0.6012811367359996,0.6020315482360118,0.5915131434701837,0.602280759231361,0.5998938215180012,0.5970797330844576,0.5964615263351999,0.6113476859094283,0.5972705734406007,0.6350097238473619,0.5890700088774823,0.6019651733432531,0.6117416589168087,0.5993217289502998,0.5931379168549946,0.6158564978445636,0.6057536148543866,0.58658855750296,0.5967824807705383,0.5948860313432607,0.5801181809703726,0.6566090459543045,0.5993396433966935,0.5967464570802403,0.6160277808593242
7,-27.73068678379059,0.6002379136156962,0.5782170957205015,0.5896681376032007,0.6244691365121983,0.580681915976548,0.6269175502752599,0.6103284650808599,0.5842729738466418,0.623825525576628,0.5984365076324265,0.6034487349457582,0.6153620581479797,0.6044463927911768,0.6003799643981087,0.6093530698791418,0.6324622038558341,0.6131202120489101,0.619550185604729,0.5844160170363076,0.5968960165306855,0.5865027454159133,0.5947352395546364,0.5831484385014755,0.6017318711580779,0.6005261348034803,0.5931770152412588,0.602887597253681,0.5986885369405807,0.596392169700721,0.5969678476850099,0.6103063604852808,0.5970064383631684,0.6354108221857302,0.5900864818313493,0.6027485897376152,0.6116816305997219,0.5987323379774323,0.5935498296500527,0.6170031634428437,0.6055068870354031,0.5875717021004477,0.5967941502929222,0.5946665449823929,0.5813331340863378,0.65790406023668,0.6004860409741067,0.59578558993689,0.6173346570320679
8,-27.73117706179619,0.6003738747042298,0.578322864514613,0.589942854975248,0.6255856514032556,0.5801459762905273,0.6281927059814064,0.6101824355271261,0.5842145591764621,0.6240830508919034,0.5987216701068635,0.6035113857065229,0.6162056494828044,0.6053406237345867,0.600388319002027,0.6099842919925865,0.6332797221519442,0.6131636181118613,0.6189888690315014,0.5839393552109823,0.595893220319547,0.5872142597720499,0.5945187215864393,0.5822351846060231,0.602082468136959,0.6005535922606527,0.5937588695032994,0.6034699801367823,0.5983088006389656,0.5963233977253247,0.5969719465066615,0.6105863062341077,0.5974179095035702,0.636235797827292,0.5904177573586851,0.6028144403350085,0.6117093408023082,0.5993090237564787,0.5938469137986897,0.6175510641931814,0.6058215186978385,0.58731139496991,0.5976051669031532,0.595115396225797,0.5816157862387069,0.6591892918192663,0.6007001116396735,0.5953079447968842,0.6182494028905184
9,-27.736434370279312,0.6005527409515014,0.5783817727396983,0.5898419505538705,0.6253846144407529,0.5802980112922591,0.6279513496624166,0.6102251505603835,0.584259909416513,0.623942735747508,0.5987905194482716,0.6037335068664003,0.6158567291403559,0.6052470455509155,0.6005221898867841,0.6099321418704579,0.6331245514767148,0.6131434677917651,0.6189842330831398,0.5841664694821177,0.5956544684223629,0.5871946632355362,0.5948314724311821,0.5829583351506336,0.6019475761206704,0.6008277968055977,0.5936568671657076,0.6031529579618112,0.5983201834123323,0.5965825870187305,0.5969056354323993,0.610493633389149,0.5975687116270075,0.6356870186695022,0.5902710395708715,0.6025993910658815,0.6117015777310728,0.5994587148670889,0.5938634534505371,0.6170314447264796,0.6060030487927026,0.5872119980940143,0.5976991756381256,0.595271999585695,0.5814433589203454,0.6583634768392472,0.6005142423539461,0.5952910498122637,0.6179537623086984
10,-27.736575305461884,0.6007329857264416,0.578493398868433,0.589875246526215,0.6252111602665438,0.5802801154819814,0.6281329614128421,0.6100768235429906,0.5842622872421522,0.6238465690039311,0.5988060695948001,0.6039672418911447,0.6155809965069454,0.6052832914903669,0.6005369910368543,0.609861833527074,0.6330830177296881,0.6131572239013047,0.6190987522939914,0.5843254321644111,0.5956977585906164,0.5872588213785529,0.5948977294576978,0.5829343834059906,0.6018538406050947,0.6010531869141738,0.5935591455248752,0.6031086727455234,0.5982372227385861,0.5965944061783679,0.5968561928300278,0.6106214993771742,0.5974997461423703,0.6354851033434471,0.5904317304779008,0.602451845173803,0.6117624032601319,0.5994824400494809,0.5939445627233937,0.6167959451160675,0.6059797682587561,0.5872344659447367,0.5977332452440006,0.595189401773451,0.5811446873646923,0.6579569518697658,0.6004762730001025,0.5952081322352418,0.6178444857395086
