iter,energy,gamma[0],beta[0],phi[0],gamma[1],beta[1],phi[1],gamma[2],beta[2],phi[2],gamma[3],beta[3],phi[3],gamma[4],beta[4],phi[4],gamma[5],beta[5],phi[5]
1,-15.754823490977287,0.5975553086298844,0.5957346948962322,0.5957346948962322,0.6535426770023702,0.8231928874308554,1.070395355580735,0.8767618044121536,0.7696327171092,1.0944749095769004,0.5957884833820728,0.5957346948962322,0.9273000038272798,1.000045972075048,0.5957346948962322,0.6051605291891528,0.929919628390248,0.5957346948962322,0.5957346948962322
2,-20.297310955822468,0.5946741291581187,0.6025749128667925,0.5782122117151739,0.695444980333903,0.8556679342457224,1.1227477619413069,0.8643775155466662,0.7333990517768983,1.0830300131313129,0.6085924208150394,0.5468556880570294,0.910263622946742,0.987576977661206,0.5979281496557781,0.6305522729200516,0.9101543940986573,0.5707750231026998,0.578731988349053
3,-21.576199680566788,0.5946664457308694,0.604339625836494,0.5753478434512073,0.6944567495274446,0.841159807235903,1.1100577488093828,0.8615831455170109,0.7241662885123088,1.059230284870586,0.60851995957336,0.5415090175182181,0.893523565549958,0.9709395148060144,0.5971013538803273,0.6401243455116001,0.8988354629004806,0.5723609967314055,0.5763074926900706
4,-22.89959767460823,0.5934950709660076,0.6084346918327714,0.5662435859813318,0.7013311523201124,0.837310265441247,1.13670604389539,0.8811978496031768,0.7219541101750347,1.0610057109923277,0.6136261091737818,0.5317154736369669,0.8933120130847642,0.9738063525293087,0.5963576974740821,0.6619568567705152,0.905964918568643,0.57252519582105,0.5678646447441327
5,-23.745525628328323,0.5929395963105241,0.6132326026004443,0.5657699365616663,0.6956616814410013,0.8289978685817619,1.14302287949002,0.8850232645832974,0.7193601305529812,1.057769925937853,0.620377819511627,0.5398155514266931,0.8943766754915585,0.9744542793399485,0.5889932587594856,0.6702619666643272,0.8985467919449428,0.5683294981372008,0.5623088450801057
6,-25.174258515238762,0.590186273969568,0.6375081253542711,0.5583891669169831,0.6863331022398402,0.8181821430123372,1.1865944085711062,0.9022343523941678,0.6910618190989516,1.051461085345306,0.6450049595925992,0.5625438208002249,0.8832609453651997,0.9800523701195543,0.556670422244595,0.70860267104652,0.8767338634037055,0.5485264772793788,0.5396422930498128
7,-25.892960414290428,0.5901487057780673,0.6380342233530686,0.5408751064846016,0.684517113972934,0.8184121709385608,1.1990937831890243,0.9021869631545707,0.6799448429071996,1.0400156272875127,0.6476560835404884,0.569962110905267,0.8638800320574334,0.9675721778322073,0.5475064294095608,0.7153919900243424,0.8683744401004094,0.534060054882928,0.5309838720553207
8,-26.256189286708832,0.5877301477046664,0.6448762389754905,0.5215883306992184,0.6958858173529384,0.8235306094244313,1.2238089931160259,0.9083809261207053,0.6712170777778643,1.024766000710138,0.6420878419375996,0.575998820393381,0.837600411024971,0.9672189142207505,0.5375390669494736,0.7210867640125893,0.8637831277702747,0.5159293372002397,0.5183393507461614
9,-26.581088483333588,0.5872706795858678,0.6549683368609929,0.5132471322263272,0.6914530465265036,0.8255468107160308,1.2326122943688478,0.9100571663432959,0.6702817665765191,1.0240114197221188,0.6373952061278388,0.5856704729678609,0.8287163759087414,0.969451672671461,0.5304408936260018,0.7220247446042815,0.8712408320864979,0.5071111077772315,0.5162752601094988
10,-27.026846289634705,0.5908786157360477,0.6706398445407512,0.5087710468368483,0.6799715964830697,0.8302569238187897,1.2311252468503269,0.9058652937572513,0.6837782312533172,1.0263814828392668,0.6229206625792207,0.6080539421509085,0.8138148552549996,0.9767869885086868,0.5310861062722254,0.7086873528235529,0.8903971287313389,0.5058398642638441,0.519671407284493
11,-27.38529944419861,0.5938491556878925,0.6842828494391535,0.5002996837780176,0.6752117374650494,0.8347014492156639,1.2446325830487963,0.9061722576765714,0.6921912875271988,1.0281765732469552,0.6076709440984791,0.6266479561295917,0.7938986722028671,0.9960887344649825,0.5332965296582631,0.7002318181304638,0.9060866177769393,0.49845358863233863,0.5183731567256055
12,-27.429692804813385,0.5945322912655966,0.6940381873768696,0.4924664555506255,0.6739448773542567,0.8364203782408604,1.2548671971061367,0.9078139130936994,0.694067205969275,1.0274132491587655,0.6002142389535249,0.6380073856322462,0.7802807416493186,1.0041519491947868,0.5318319234722887,0.6976323176671954,0.9128629890714155,0.4926553601149706,0.5151158206744918
13,-27.52479860186577,0.598932749760884,0.7020002048925028,0.4831235802037683,0.6789901305012017,0.8367698068024075,1.256336493253072,0.9096030642839433,0.6956483878221802,1.0337448037757322,0.5947665364879247,0.6459578006684934,0.7760688297870038,1.0109592114842774,0.5339381542938962,0.6911689441468601,0.9183094470823344,0.4959961333605177,0.514294634026836
14,-27.54940277338028,0.6035305164506659,0.7070757790879286,0.47037590411415026,0.6874902542493214,0.8384505320070624,1.2597759829109476,0.9167225914501822,0.6959687725072418,1.0452134627363028,0.5931073650362859,0.6510313699558846,0.7751128442120975,1.019886648332641,0.5372798523968191,0.6840519738338066,0.9228630923178122,0.49666576863041856,0.5165900890747895
15,-27.634419918060303,0.6025978341503052,0.7027994698969889,0.47201663861284215,0.6860957098645009,0.8372457920711514,1.258809175113506,0.9193848770807501,0.692169351513125,1.0455318038311352,0.6011955068212239,0.6497861682754499,0.778588016887971,1.0158092170529018,0.5359748683788262,0.6892180000209747,0.9171217404251283,0.49735363473728234,0.5184049105645624
16,-27.657143235206604,0.6027177122305022,0.7031868987817256,0.4716472141383236,0.683494293506865,0.8385873703796815,1.2549681721496504,0.9220547992174064,0.6944639804577252,1.0495217250977786,0.6022388083460194,0.6550459161263363,0.777489034965314,1.0174130563064117,0.5372522536365781,0.6861630349944559,0.9183426727546398,0.49772792060762494,0.5240409569978769
17,-27.666138648986816,0.6028550458590504,0.7011027148204391,0.4734664248829643,0.6813312419005506,0.8373240756969506,1.250681168951279,0.9254284338890771,0.6936489169085678,1.0485569421361804,0.6050480261223697,0.6547665571413035,0.7768789654108087,1.0161360034088713,0.5378754590649336,0.6885577489723104,0.9161885620471513,0.4991244548171594,0.5274447064035751
18,-27.68127065896988,0.6048652010433385,0.7018222842427171,0.4688309294230707,0.6827804342269296,0.8375297577006586,1.252013313952444,0.9285503594536785,0.6913531503468889,1.0493849926783956,0.6057294951563834,0.655475782144323,0.7752037787072393,1.0178712106508787,0.5379176866878107,0.689468613906202,0.9155283237091019,0.4993282888433925,0.5279970653503319
19,-27.685208201408386,0.6056970774796899,0.7016036059200794,0.4666183416232062,0.6833236096221567,0.8373443378745389,1.2504919622397697,0.9301603035665812,0.690471676615475,1.0506921671462488,0.6062935219715035,0.6554164634638936,0.7749729614844559,1.0188629487653353,0.5390198273839604,0.6892326868810732,0.9143916471153937,0.5004404523352709,0.529834294981143
20,-27.68805941939354,0.6064203529690756,0.700928657376989,0.4647513273386295,0.6837548411739448,0.8374458006928345,1.2496802245972511,0.9311591945497965,0.6892536675795419,1.051989306626305,0.6072153517119568,0.6549536121400652,0.7751178438105322,1.019896578908877,0.5400970416992515,0.6892641982090889,0.9128476310273169,0.5013017456485758,0.5315189799533299
21,-27.68911847472191,0.6070932828261317,0.6998356530855173,0.4637164646158469,0.6844123699597665,0.8373262147183804,1.248692713850681,0.9308896619231779,0.6881308534638136,1.0527334117617342,0.6072921067501305,0.6531916679120806,0.7758952287884114,1.0207341433761332,0.5415068329953892,0.6892678726978848,0.9111269231593708,0.5024716032686285,0.5325258119583103
22,-27.692925572395325,0.6079451635627383,0.7000704089811092,0.4626455234914347,0.6839636345555381,0.8374283945617177,1.2482814174907575,0.930422324264929,0.6875170299762043,1.0530388998988298,0.606528263770555,0.6532300352814193,0.7750390984659166,1.0222391216567015,0.5426536000001276,0.688866729477945,0.9103944579002725,0.5031019475372303,0.5330661885419785
23,-27.70280322432518,0.6076175042642151,0.700502498750014,0.46389720087810055,0.6824904767392248,0.8375974895760556,1.2479086683198488,0.9279684170073603,0.6884045434811128,1.052341201922003,0.605038564654815,0.6529210517663148,0.7746111235306619,1.0228779096648042,0.5434507588311454,0.6879133802460073,0.9106285628854117,0.5036365192471702,0.5329044197754366
24,-27.70355585217476,0.6090943401977783,0.7005113897613504,0.4642050326772104,0.6810107723087574,0.8374151028370685,1.2458944943549222,0.9268300427411836,0.6885491840610857,1.0530268939794063,0.6039272260507706,0.6520452513176072,0.7743789383192242,1.0246943405781561,0.5454060048836903,0.6869671127148858,0.909820457358036,0.5067443813256779,0.5357913973095793
