iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4],gamma[5],beta[5],gamma[6],beta[6],gamma[7],beta[7],gamma[8],beta[8],gamma[9],beta[9]
1,-15.250088095664978,0.5997401470927347,0.599626203046874,0.6064602958773788,0.6159617906030611,0.599626203046874,0.6444382965172311,0.599626203046874,0.599626203046874,0.6332753528933265,0.6071858143927964,0.6431463139945304,0.6209511197281037,0.599626203046874,0.6107792964850072,0.599626203046874,0.599626203046874,0.6481256782588224,0.599626203046874,0.599626203046874,0.603375788211198
2,-22.569043949246407,0.6000382712320159,0.581221214737761,0.6027882815880566,0.6156923085127823,0.5896965716918632,0.6283267313451306,0.6042380098311334,0.5904952024458111,0.6169239205513867,0.6056377828553478,0.6269236211761768,0.6114899343400079,0.5800294746865974,0.5982520911084781,0.5970618710526426,0.5857982593458575,0.625452751005982,0.6029024235718595,0.5913273922122485,0.6083699198837601
3,-22.90804836153984,0.5989312673047072,0.5640150611565288,0.5976661524615418,0.6107515027201588,0.5813592422065993,0.6195664860735713,0.6059526905701572,0.5783848527206392,0.6059631759435272,0.6034217768343811,0.6127772704240777,0.5979667339790574,0.5664577619475288,0.5899845184808017,0.5826713501639678,0.5735037518451664,0.600218804627433,0.5946952885218112,0.5803278269973595,0.6074412488259212
4,-25.089502453804016,0.5988482479138736,0.5600249641583497,0.5958221385839063,0.6124930063421853,0.5814045112695373,0.6287424593253262,0.6094027449980547,0.5805895483076757,0.6093855813307588,0.6052972793613927,0.6263951931142566,0.6025702133690699,0.569898013638442,0.5947678382480506,0.5796327608630959,0.5746050866302994,0.605172009140266,0.5914546600608463,0.5877905228518628,0.607755555382814
5,-26.321285158395767,0.5981686183421835,0.5494648501553442,0.5882601627806043,0.6099256012625637,0.5784224805785093,0.6346763690239451,0.6172342475984506,0.5791580698055374,0.6098134438503648,0.6077342313585604,0.6357885444821981,0.6037208378741774,0.5750199911626503,0.5995870188444772,0.5688889065639803,0.5711856263680712,0.597328530591978,0.5812565022635328,0.5948494931026898,0.6076227820462754
6,-26.819916427135468,0.59761673521059,0.5381857818298239,0.5803460977768778,0.6046535813868792,0.5729853771815553,0.6357107299755536,0.6246413040034609,0.5769420432826083,0.6079835840410481,0.6132991957615032,0.6368120053961985,0.6065021016692882,0.5803315053919406,0.6031109476656575,0.5631540886800415,0.5660081386000572,0.5884863658898253,0.56840669304479,0.5971938923001882,0.6091556927997112
7,-27.22993192076683,0.5983999004271702,0.529149738854873,0.5762378085391814,0.5994554028213491,0.5707363855154801,0.6326468324521073,0.627542567436223,0.5760074281913968,0.6077348673127352,0.6228599045490886,0.6349440171964769,0.6143223530105051,0.5882253521587241,0.6013531350173101,0.5650109056606988,0.5634273370908521,0.5823883571738915,0.5578190427873979,0.5908962909820373,0.6076817799162862
8,-27.56543493270874,0.5970714983123672,0.5252642137534168,0.5786539092749627,0.5952145449769388,0.5653267265823627,0.6253928412284359,0.6258128689659433,0.5778187917989435,0.6117531771331092,0.6318689105400161,0.6345218381070094,0.6143360448910116,0.5927735431084129,0.6006042732647542,0.571787923046475,0.5678704241518492,0.5803467282569476,0.5511917322934763,0.5822450672079299,0.6106127867422882
9,-27.596737921237946,0.5960379349148104,0.5192940997087425,0.5779255675365718,0.5944773217250332,0.5634535390616155,0.6229627300168373,0.6247594007500271,0.5790788480630004,0.6128834148742262,0.6375131346725491,0.6350596177560377,0.6160380207852548,0.5972617310478635,0.5961330154035028,0.5741043512209907,0.5689147345503719,0.5792761267749881,0.5497841517354466,0.5775471252257234,0.6112592548734049
10,-27.636771857738495,0.5961932104412222,0.5195624612276472,0.5774472452598448,0.5940005748247525,0.563127490045024,0.6234856608018284,0.6256133877745765,0.5794448961373085,0.6122329411345737,0.6369573887050362,0.6346598546612311,0.6166019893039675,0.5973364085653264,0.5978743969445477,0.5735250135380071,0.5681538010934765,0.578740034728276,0.5479612958836525,0.5791975938351083,0.6110010556905376
