iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4],gamma[5],beta[5],gamma[6],beta[6],gamma[7],beta[7],gamma[8],beta[8],gamma[9],beta[9],gamma[10],beta[10],gamma[11],beta[11],gamma[12],beta[12],gamma[13],beta[13]
1,-23.78536295890808,0.5994922553845594,0.5991028932600366,0.5991028932600366,0.6002915852229975,0.5991028932600366,0.6617305233457139,0.6607601056477251,0.5991028932600366,0.6115935020525604,0.5991028932600366,0.6348881259403016,0.6674352916518056,0.5991028932600366,0.6068830669517066,0.6820476665809531,0.6522940160815742,0.6181141570867241,0.6847942706057821,0.5991028932600366,0.6006392799053102,0.6200172795674245,0.6346535700038209,0.6606478867290951,0.6090446608761366,0.6135444555477587,0.5991028932600366,0.6668640789594349,0.631889489262156
2,-24.637914061546326,0.5997549443858898,0.5953652162880559,0.5957551965381184,0.6007166120232558,0.598702903935529,0.6582854199863888,0.6585195747829217,0.5992462129814221,0.6089693890611422,0.5948931880800445,0.6313079966719358,0.6662957292812515,0.5986666993566705,0.6070993625482013,0.6787201120355899,0.6529365492548701,0.6186082280035384,0.6797721128704327,0.5973344101232675,0.6016747168956561,0.6160927938551114,0.6319824444622554,0.6614832530453074,0.6104835181690859,0.6143736986202767,0.5967726486494548,0.6654893790273267,0.6335482232822622
3,-24.862051129341125,0.5998746401822752,0.5923214447438142,0.5936705970673527,0.6015379564285672,0.597794545399588,0.658246547271064,0.659750585446786,0.5999897926737768,0.60711054544461,0.5922594864111728,0.6299135726832441,0.6690550862960291,0.59799433300099,0.608243115917452,0.6803025820013558,0.6554930037147706,0.6199574863498529,0.6801047388835275,0.5977739533048956,0.6033650595594062,0.6140029964902165,0.6324429330967437,0.666054059971314,0.612652564611852,0.6162043634734568,0.5956832701621291,0.6675171254428407,0.6371692608973483
4,-25.458619236946106,0.5999992457082576,0.5893875369737479,0.5931610330177378,0.6038547194059609,0.5945519571048625,0.6540692418477908,0.6575548014808568,0.601843378990808,0.6042132375270207,0.5914795732098505,0.6244088184210217,0.6680956812584478,0.5959218849860743,0.6110119566847669,0.6769564416054572,0.6527099207839142,0.6193993615570892,0.6763538797457854,0.6020813603735601,0.6086941433848637,0.6095930405047264,0.6339502536263518,0.6683903480742646,0.616090450423424,0.6207554054469191,0.5976557833501959,0.6657089501755952,0.6428674555341318
5,-26.092123091220856,0.600179867425098,0.5857690797812324,0.5940379790188723,0.6079562820194842,0.5927657641675848,0.6529353574071325,0.6541920379896028,0.6009819368911632,0.5992248120080121,0.5920411521018599,0.6175290191883837,0.6674521825738436,0.5927907096141375,0.6123808544422439,0.6760370062324177,0.6514179169671106,0.6166204363092249,0.6732591575982313,0.6050521525058723,0.6152169575464878,0.6040232288659386,0.6419684650594123,0.6692007757661091,0.6176843594253946,0.6243392314029693,0.600920130748949,0.6625504096793325,0.6529073091251916
6,-26.99205309152603,0.600505401242417,0.574710850972395,0.5983353171973019,0.6203025262107681,0.5915542664966433,0.6504029447582258,0.6457427497262005,0.5934490207525047,0.5837041797206998,0.5968215893631554,0.5995923709875771,0.6640321153889941,0.5847791306305367,0.6141815273611319,0.6810754764122079,0.6508329740113015,0.6050407068552827,0.6632848785414361,0.6134161276321216,0.628280627632125,0.5880850112403094,0.6642191593362571,0.6693648451450365,0.6187311207036733,0.6301512693526583,0.6052633021966117,0.6533606675710095,0.6828399903076872
7,-27.29793095588684,0.5997891285696809,0.5753982720722559,0.6036554129635348,0.6176903427067206,0.5898364508673226,0.6491898501674404,0.6438416015475833,0.5903875743597966,0.5800234383001648,0.5990455015901468,0.5940801985603116,0.66209630333349,0.5847996673789121,0.6104671822674242,0.6857259415325495,0.6478964396361556,0.612811011582275,0.6634695662243062,0.6158427106900347,0.6274951639522749,0.5946935597794252,0.6638684861245792,0.6630030621502653,0.6109036593903324,0.6286150417274207,0.597889757336407,0.6546823396336475,0.6878008790216589
8,-27.378184467554092,0.5996557781382643,0.5755100851148811,0.6021774807600586,0.6181193681114436,0.5905039353512632,0.6489590429423931,0.6460464134252291,0.5933470188238812,0.5822529297790201,0.5997737624426372,0.5973986334784012,0.6626990087771044,0.5851075013239847,0.6112355619435332,0.6835335239943398,0.649302912649038,0.6115469799114055,0.6642279478388391,0.6144672834026313,0.6259187283332872,0.5940428970817627,0.6621426274670009,0.6632849619570965,0.6123434377689645,0.6275578285713047,0.5981571770101349,0.6559457248436726,0.68420138233199
9,-27.415640354156494,0.6003489026532172,0.5737301443520381,0.6019712606602474,0.6190260806984277,0.590855900926274,0.647827643199963,0.6478084016370981,0.5958059437698553,0.5815644859327324,0.6032754592682227,0.5991346410480021,0.6624848409800111,0.5840419628241411,0.6116379179820808,0.6815561833256263,0.6500267472187131,0.6110527434097383,0.6631995544452443,0.6139348812499019,0.6251061108786904,0.5915467228416202,0.6639592010030155,0.6626746481724406,0.6138406818726848,0.6268003911219765,0.5962830681442142,0.6562649591251369,0.6831262942521156
10,-27.460302352905273,0.6008668234971939,0.5713676854296129,0.6030746415750271,0.6203390444541818,0.5898938944574266,0.646456616830453,0.6486338673987302,0.5977886932871979,0.5794771393638664,0.6071932576629222,0.5984666607567583,0.6610877978116179,0.5825025646527496,0.6119086187417876,0.6804483489209697,0.64943571686723,0.611811018399123,0.6621928462878534,0.6127172608669286,0.6245094402246354,0.5892562601573488,0.6662737513382612,0.6617687030153315,0.6152535350752432,0.6276313156482249,0.5924175582335593,0.6558944862668068,0.6854404760639898
