iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4],gamma[5],beta[5],gamma[6],beta[6],gamma[7],beta[7],gamma[8],beta[8],gamma[9],beta[9],gamma[10],beta[10],gamma[11],beta[11],gamma[12],beta[12],gamma[13],beta[13],gamma[14],beta[14],gamma[15],beta[15]
1,-18.33003780245781,0.599906478499236,0.5996832935921167,0.5996832935921167,0.616666473145711,0.5996832935921167,0.622376805058683,0.5996832935921167,0.5996832935921167,0.6193368691927014,0.5996832935921167,0.5996832935921167,0.6183561923444116,0.5996832935921167,0.5996832935921167,0.6177015418390632,0.6195734331277938,0.6312132879711534,0.6035778468590915,0.5996832935921167,0.6043429046917308,0.5996832935921167,0.5996832935921167,0.6114019919985344,0.6016241242571925,0.5996832935921167,0.6012021409577379,0.5996832935921167,0.5996832935921167,0.6333935079577155,0.5996832935921167,0.5996832935921167,0.6007515816441611
2,-21.59607633948326,0.6000173492520268,0.5924719040928047,0.5979586240630909,0.6213266584163164,0.5939916735450366,0.6271945435925649,0.6060111625842822,0.5934005894149873,0.6232175591040744,0.6017130098552802,0.5970750057390257,0.6215524574636795,0.607731576243493,0.5989703194828778,0.6167793923386576,0.6269769911545527,0.63709667080826,0.6039164074212645,0.5943747575327928,0.60182547818052,0.597080887446044,0.5944534610462614,0.606950887256295,0.6044322653345532,0.5937838258687267,0.6009178696091596,0.6030582291572416,0.5912313502764471,0.6384839464151297,0.6016393163094811,0.6020684404307459,0.6053043136152979
3,-24.358719259500504,0.6003627574212037,0.5769275636681934,0.5949119295657016,0.6173557450840167,0.5825194464525042,0.6280689621851652,0.6191500858593739,0.579979850785882,0.6204282746496279,0.6026131107184598,0.5922354116833259,0.6186326536490823,0.6257714740406721,0.6036770721445701,0.6035831034811519,0.6290780713515552,0.6342023775830897,0.5987958587401373,0.589020956003162,0.5971836490197764,0.584226923155706,0.5851516734665925,0.5895530556121301,0.6029954692378879,0.5870662538872491,0.5975342502700053,0.6063842553355585,0.574530086832899,0.6229107180889328,0.5947402891406555,0.6080077682689644,0.6144082680661136
4,-25.6258701980114,0.6003450635056098,0.5710514525426874,0.5950833618702579,0.6204505449144824,0.579011852240436,0.6443225081604042,0.6269282185027559,0.5746573925866111,0.6299257572250266,0.6046892401481354,0.5920937393692433,0.6275041946548022,0.6363848294232363,0.6085448422284225,0.6033586325310064,0.6408045639828369,0.6555455608291678,0.6009382326739564,0.5940003817406481,0.6039591474547314,0.5749364896339577,0.5834636420824117,0.589239097447186,0.6013067601875299,0.5890693549906035,0.5939184420616404,0.6083685084500245,0.5704261103600117,0.6273576678722488,0.5916300638910493,0.6142497942040271,0.6185179361236043
5,-27.18154075741768,0.6000624139434002,0.5706269883209242,0.5978814931387367,0.611525269612901,0.5807873887965601,0.6402413955531616,0.6227070099749938,0.5728407002254368,0.6249771248749704,0.6059115625717584,0.5919605262717749,0.6232216874133284,0.6346930413675725,0.6074044040996591,0.5994086312738939,0.634410205197004,0.6502451928624532,0.6026964319646612,0.5957960145416655,0.6076362707977125,0.5728246407205884,0.5822766859978725,0.593763473168084,0.5946015339517048,0.588117292415864,0.5916715204322034,0.602625281723875,0.5735019960487229,0.6121159783831384,0.5876191945772239,0.6109968377093274,0.6154806355307507
6,-27.411783427000046,0.5998588071226088,0.5674930825662887,0.5988576151387631,0.6098197923773627,0.5799661913878277,0.6408647973100556,0.6233527357931915,0.5705282110063042,0.6250670341222179,0.6090341254581455,0.5918496094935949,0.6231015971214271,0.6378862046599022,0.6064444728825432,0.5992067587157357,0.6365299675644881,0.6505850506932854,0.6025646735480339,0.5960762235445896,0.6065503547054529,0.5724738719201496,0.5808305621988454,0.595265623092573,0.5936914111949149,0.5862220556811553,0.5916534640716985,0.6004753509385,0.5731736692221889,0.6103782258041499,0.5878816414938677,0.6118947751415323,0.6153514033375684
7,-27.58794069290161,0.5994109119906985,0.5626642189089098,0.6017636824745971,0.607142817043586,0.5776252711058085,0.6414920980600342,0.6237677048470178,0.5662356548965501,0.6267755027838074,0.614687439904924,0.5905100556908857,0.6232953739211963,0.6445214898380073,0.6048136665368895,0.5993770127401027,0.641949718076865,0.6525515986104893,0.6029694652144092,0.5976447743850729,0.606681187238802,0.5723302271567171,0.5794530167463985,0.5981159201451398,0.5914830642238108,0.5830011693124583,0.5908627086971463,0.5987391583553744,0.574537850813651,0.6060661887699113,0.5898640571254505,0.6129541167688787,0.614079908527089
8,-27.67635142803192,0.5988818915500106,0.5601037471595279,0.6043324882012459,0.6058620511591126,0.5756996912852914,0.6418439548602423,0.6231130605302773,0.5646744984872434,0.6290436652606587,0.6169216125812926,0.5894054328978932,0.624441402092977,0.6485326016795615,0.6042215891259036,0.6014810062706304,0.6449416604018113,0.6531001950615315,0.6028842180984363,0.5997283414013082,0.6068344723004464,0.5765092305661379,0.5796868665192653,0.5997038672733043,0.5912570146020756,0.5812330938937952,0.5938859124840369,0.5991553321851771,0.5747885259392876,0.6041421273053768,0.5903619635673412,0.6145724601921756,0.6168001582790299
9,-27.706662595272064,0.5991086718087124,0.5594612206824643,0.6046422085935794,0.6058056177538788,0.5745845380986861,0.6417972098793793,0.6219713342650681,0.5653439891574551,0.6290536483596624,0.6155910106484717,0.5891767174723881,0.6231580478379911,0.6486936566382467,0.6046642746815515,0.6020707402645744,0.6444860659495814,0.6519730010913252,0.6026467651246409,0.6015821707829085,0.6070411926754049,0.5767382879837053,0.5802445459141049,0.5991493254510556,0.5913212623393106,0.5809759488368123,0.5957391867271941,0.6010421486771276,0.5740462372926781,0.6036832582136512,0.5892667977297638,0.6149799354747423,0.6180466875117056
10,-27.712021350860596,0.5992684114614244,0.5590193736273672,0.6045428626425633,0.6057414501892142,0.574682285690531,0.6419865344097201,0.62185364964081,0.5651993415292147,0.6287846458972586,0.6152828459362502,0.5895076439112056,0.6229606539874496,0.6491298220254191,0.6047064882956963,0.6019062227219565,0.6442467447579187,0.6523409039258747,0.603073990712373,0.6022421096877842,0.6071831098933789,0.5764020078555703,0.5803645167779856,0.5994310723801706,0.591534101248976,0.580540268239379,0.5956077757807334,0.6009036677578994,0.5734937475918958,0.602893561220778,0.5886232783784817,0.6148499184584516,0.6181760642266063
