iter,energy,gamma[0],beta[0],phi[0],gamma[1],beta[1],phi[1],gamma[2],beta[2],phi[2],gamma[3],beta[3],phi[3],gamma[4],beta[4],phi[4],gamma[5],beta[5],phi[5],gamma[6],beta[6],phi[6],gamma[7],beta[7],phi[7],gamma[8],beta[8],phi[8],gamma[9],beta[9],phi[9],gamma[10],beta[10],phi[10],gamma[11],beta[11],phi[11]
1,-8.002066552639008,0.5997887911109053,0.5990965269214703,0.6003344140743998,0.5990965269214703,0.6189763776013313,0.5997721167249241,0.5990965269214703,0.6016952292414174,0.5990965269214703,0.5990965269214703,0.5990965269214703,0.5990965269214703,0.6114025009467798,0.6034349235121179,0.5990965269214703,0.5990965269214703,0.5990965269214703,0.5990965269214703,0.6142806852380827,0.605754515873052,0.6087086612560466,0.6045798980161573,0.5990965269214703,0.5990965269214703,0.6006827234704506,0.6084715144332035,0.6282677160119415,0.6240528017778162,0.6121500692516016,0.5990965269214703,0.6182806851640064,0.6114932837148995,0.6061889762633387,0.643006946864506,0.6076211207481645,0.6079555348225645
2,-9.194600190035999,0.5999970591563389,0.5979286320560082,0.6033229734825755,0.6060479338046915,0.6276139820861367,0.6108277559689529,0.596794708216452,0.5921098807630905,0.5804485641213002,0.5995662745193463,0.5990460218826912,0.6029137955567236,0.6166230237574688,0.6039139402805445,0.594346092989322,0.591892378101062,0.5881391072538711,0.5988115238702794,0.622655900281704,0.6154590054518054,0.6063107585834654,0.6067808936553305,0.5975693832749484,0.597646823908359,0.5928039203284474,0.6069189078518035,0.6405931663889097,0.6295235892625667,0.6056330126757326,0.5911140224587091,0.6226310207731991,0.6162260883924724,0.6068552086993266,0.6569184809395272,0.6041664106523591,0.6023801309088642
3,-10.77287421375513,0.5996402500455796,0.6062147831622853,0.6159576737372556,0.6199021903010881,0.6369760270452854,0.6243642238402572,0.5886760796504386,0.5757588305318703,0.5417134785594289,0.6056163173598532,0.6012121427756815,0.6152109860439909,0.619177510389201,0.6009330629986815,0.5830405807521649,0.5703413023857397,0.5650963086935201,0.5978406049972854,0.6297456596878076,0.640348324265689,0.5989961633024579,0.6025621933110697,0.5925754854325649,0.5928635719687756,0.5672235325986656,0.5956792826338944,0.6582715244342949,0.642195684330773,0.6013862734057812,0.5735627647143454,0.620340979980702,0.6197033923073586,0.5981846391779398,0.6724643718509647,0.5962563185199713,0.5853337430210613
4,-12.128180034458637,0.5997557259485958,0.617927379237609,0.6249853195160302,0.634888877983319,0.6428220821714442,0.6334287727492619,0.5825896835409977,0.5591042870419396,0.5091189632493465,0.6138256457258146,0.6149803756019868,0.6378854395942365,0.6155184399457847,0.5949999752433425,0.5695877168105958,0.5436370763801527,0.5460568137593247,0.5980090633763274,0.6303949601458856,0.6707530355226494,0.5923196666212825,0.5876514241233435,0.5866538820686481,0.5883472197328699,0.5394117094203731,0.598913788462885,0.6969465437157266,0.66192349634867,0.611137753651717,0.5567782663964932,0.6157306450356445,0.6297701352705093,0.5928297183249883,0.6966557935573505,0.5860694860079955,0.563117391723
5,-14.182504773139954,0.5997196300052275,0.611713171183827,0.6229425025300991,0.6441371013498376,0.6281104769394752,0.6285388100892975,0.5760067916706302,0.5568492143322549,0.5011625391490674,0.6101896477767021,0.6164549049265031,0.6470999413393775,0.605477472625149,0.5905549973016787,0.5684724936509172,0.5322994457927238,0.553941098789201,0.6023427738612278,0.6149536877692608,0.677081793412106,0.598335157466833,0.5729813384908755,0.5826167074432896,0.5872287159214837,0.5347309660484839,0.605695463128195,0.6987912951833265,0.6472860100887265,0.6268094331522966,0.5510652320800391,0.5951982756097883,0.6306944202977116,0.599968311815331,0.6921666062283032,0.5864912413959861,0.5529464949115761
6,-15.396389320492744,0.5992825396715734,0.594666130342316,0.617136459294275,0.6388759784564313,0.6153747002503309,0.6034260769204333,0.5808451355774175,0.5498421363963918,0.5246231973331636,0.6024361162232644,0.6189091066687998,0.6498846759652586,0.5926017772389667,0.5902794490575893,0.5780399049351861,0.5348549880155884,0.5839988732898274,0.615731183114428,0.5872017643606385,0.6603957716191394,0.6163046147857373,0.5637382254312971,0.5775633900030529,0.5902952324542806,0.5488324802812745,0.624608342699743,0.6932840208229394,0.6205744377707836,0.64933068037359,0.5581414108335991,0.5740283679084515,0.6328495178923693,0.6092092776444502,0.6652744577026168,0.6028436976942154,0.557511753507967
7,-16.165838703513145,0.598478225877825,0.597393520102931,0.6276356591987645,0.6479379400478502,0.6203847691994121,0.6055246367110806,0.5774980370578471,0.5376675382169408,0.5103004733186319,0.6115503922660879,0.6335773299788036,0.665052598063939,0.5899412329111934,0.5883852052374158,0.5720912836853737,0.5205545174302182,0.5812435956877253,0.6224274915813145,0.5866825836426812,0.6694134107455225,0.6194623603361674,0.5575416412623916,0.5691903595193283,0.5888532221764412,0.5366811072037,0.6282260457180987,0.7182478842177236,0.6290519651436632,0.6612220566468912,0.5490350693571515,0.5682024775710123,0.6431971292161647,0.6115043011787544,0.6692291610099315,0.5963112110647023,0.5456636873985308
8,-16.5541709959507,0.5981730870013033,0.5999602561624143,0.6264165107504172,0.6436984436645712,0.62114877721606,0.606692763518286,0.577546966864027,0.544475614742095,0.5206019440964678,0.6133409261937507,0.6314707567078642,0.6559259027252757,0.5935394139078022,0.5911273185318909,0.5751275759172777,0.5304677727467962,0.5823132180513445,0.6225867364464327,0.5942162845226084,0.6610833670593638,0.6177419476668758,0.5650163228247088,0.5701113560374219,0.5896134073481183,0.5460899046981078,0.6251021917932139,0.7097230403604565,0.6292994847859908,0.6536302277189021,0.5556349876680127,0.5750148337755442,0.6370632386326296,0.6073511378939244,0.6657207951032085,0.59609828706185,0.5525197156703691
9,-16.718896567821503,0.5974994646325165,0.6019168606647926,0.6261460466034723,0.6468843388125741,0.6178879286184348,0.607143106379866,0.5732553401914309,0.5416906360502916,0.5196672706193558,0.6161525871054263,0.6350092841040653,0.6561051907448844,0.5905527456285291,0.5904133882030936,0.5745847422791391,0.529554707885858,0.5841978667692621,0.6285892938338197,0.594705348545539,0.6606843110632531,0.6193854179377589,0.5642800137727662,0.565118590511871,0.588707659230216,0.5498027094306801,0.6299686145859009,0.7146229020691848,0.6266638769891276,0.6569387462624838,0.5564321050722161,0.5708962652310622,0.6361283332476261,0.6071813019753656,0.6659682400439398,0.5977593947057451,0.5516988404434204
10,-16.780496835708618,0.5963077935440511,0.6052279919471982,0.6278686523852659,0.6514409814691331,0.6168915941601805,0.6056212320864348,0.5699786506130617,0.5369292805494379,0.5151895290214238,0.61934860360342,0.6391067730783487,0.6609675713722148,0.5870383406489913,0.5894618909642196,0.5738680844601545,0.5278711038228451,0.58471232635949,0.6372613682805514,0.5959195794041977,0.6611770129495509,0.6227634952139282,0.5630247066882434,0.5579817440037808,0.5875790088217878,0.5522163103863276,0.6343566732967,0.7213005871567688,0.6235764562302714,0.6622956366842132,0.5561083849978222,0.5633041168648774,0.6319032954086766,0.6062343165885734,0.6663310448537444,0.5987423393268616,0.5487439497465562
11,-16.798057466745377,0.5950535481847485,0.6046132929611833,0.6279406573673104,0.6508331619085791,0.6187078554112067,0.6060887874060416,0.5707544338703229,0.5368267597573079,0.5161099707137957,0.6193902330269968,0.6383290544471011,0.6624438223265118,0.5869202232566556,0.5899848568038073,0.5744351519605025,0.529329268450723,0.584363738360812,0.6369858727633892,0.5965844770021136,0.6595726308848388,0.6223130159644812,0.5623665761555644,0.5567689888607324,0.5867590031850063,0.5540782870404891,0.6359873226208458,0.7193999079487827,0.6231613281165329,0.6614762965427742,0.5575857967430274,0.5642440126702741,0.6314846529021749,0.6068962625825233,0.6667676495084609,0.5989953463849333,0.5495672503338622
12,-16.800245583057404,0.5939901335707959,0.604800288295699,0.6281127587843283,0.6503772734060547,0.6188653352480771,0.6062825645836454,0.5708457001499925,0.5372691591261136,0.5162712806549984,0.6200436920309944,0.6383135855903501,0.662533423923071,0.5871567311035004,0.5901655991176962,0.5744797889038493,0.5296744907174273,0.5839955177478214,0.6368352800141438,0.5970918464947171,0.6586824717310805,0.6226474971540671,0.5625973469506224,0.5565313192436147,0.5867009197956732,0.5545362880552244,0.6358639165768336,0.718715667345919,0.623124952571169,0.6611894655151225,0.5581233862917763,0.5640745870098917,0.6307086898521532,0.6068339373334521,0.6664443924873258,0.5985731128364224,0.5499562654405513
13,-16.800384908914566,0.5937574324244869,0.6048545092217713,0.6281147931142127,0.6502871083385935,0.6189626044808384,0.6064267951517163,0.5708553713108692,0.5373971721384796,0.5162841757914453,0.6201885988477485,0.6383065600877833,0.6625232495519161,0.587242234140839,0.5901968697990794,0.5744752325396653,0.5297628414990811,0.5838516039051707,0.6367407499283463,0.597273185522803,0.6585274397243095,0.6226486771072431,0.5626735927749397,0.5565071988288302,0.5866626342615449,0.5546607448153863,0.6358134097327601,0.7185788901043975,0.6232110893148612,0.6610269096180654,0.5582054762275405,0.5641523671461994,0.6305828737971205,0.6067913490492397,0.6664291224758745,0.598444921819766,0.5500608602267619
14,-16.800915122032166,0.5937227247846615,0.6047134041018936,0.6279070282094069,0.6499332981691804,0.6188320323840242,0.6067416845226518,0.5710335031991048,0.5378559951470798,0.5162955421272003,0.6201700968491718,0.6381636901997977,0.6619985443391625,0.5876084551526582,0.5901788489447269,0.5743908827231641,0.5296075135314898,0.5835580012114318,0.6359642984706901,0.5972275294525244,0.6586504838306776,0.6225311688308173,0.5628421923710616,0.557189527839375,0.5867932835894712,0.5542900333241395,0.6352008728710682,0.7183505070528952,0.6237302982384801,0.66058975383062,0.5580579419767963,0.5646218603727194,0.6308963562201177,0.6067051636531762,0.6663741936726758,0.5980816251192758,0.550232853088721
