iter,energy,gamma[0],beta[0],phi[0],gamma[1],beta[1],phi[1],gamma[2],beta[2],phi[2],gamma[3],beta[3],phi[3],gamma[4],beta[4],phi[4],gamma[5],beta[5],phi[5],gamma[6],beta[6],phi[6],gamma[7],beta[7],phi[7],gamma[8],beta[8],phi[8],gamma[9],beta[9],phi[9],gamma[10],beta[10],phi[10],gamma[11],beta[11],phi[11]
1,-17.8011312186718,0.5999198322033693,0.5997616232060139,0.6046125812744307,0.6023962349944108,0.6077107733173878,0.6335081836794915,0.5997616232060139,0.5997616232060139,0.5997616232060139,0.5997616232060139,0.6280401533556484,0.620180776317677,0.6258247847316849,0.6136695869815793,0.6192901316502318,0.6038812945441904,0.5997616232060139,0.621909272225518,0.6120632980807972,0.6082103555622446,0.6218251938046615,0.5997616232060139,0.5997616232060139,0.6153472447744838,0.6202795195793807,0.5997616232060139,0.6004448335056943,0.6236827403119566,0.5997616232060139,0.5997616232060139,0.6180436201782311,0.613102546468826,0.608786194979506,0.6254610966786776,0.5997616232060139,0.5997616232060139
2,-22.550263077020645,0.5999822428954178,0.5864203371943013,0.6045605942614024,0.6037857471106595,0.6077955589042455,0.6378777178171234,0.5895113573417295,0.5899970742081702,0.5969172320298956,0.6005736046996157,0.6290237188327139,0.6248412802380009,0.6289416075347096,0.6110621644011421,0.6226621939622027,0.601070635336965,0.592079386967725,0.6237523594672342,0.6171352838860855,0.6076379299285096,0.6184912560202848,0.6100361790315189,0.6018450586656585,0.6226842404429437,0.628578866245206,0.5970609650391062,0.5933894829036437,0.620136532574015,0.6047771742261844,0.5944660043805359,0.6305067228213547,0.6208825835262911,0.603864902044361,0.6239939816463335,0.592769918290813,0.6020952073865998
3,-26.376427173614502,0.6007061678110002,0.5698345749495377,0.6032498777706123,0.6034470036180396,0.6127390700871048,0.6476722234453143,0.5755592574442588,0.5719698779450607,0.5932389179463362,0.6037056529138144,0.6327832258387266,0.6295278376458768,0.6350447573847555,0.6117268754946414,0.6291314283346527,0.5944790489914051,0.5852831429647601,0.6277151631864202,0.6251626132619317,0.6104579246390212,0.613159254480265,0.6245608728178449,0.6085760672017106,0.6354072837409703,0.6397498503984973,0.5927101529386513,0.5903899214821701,0.6155020283987321,0.6062633540439913,0.5874667915043623,0.651761366798398,0.634367218594871,0.5969365082261042,0.6190675077475812,0.582680950117391,0.6058577700216891
4,-27.33021640777588,0.6017808982357412,0.560611580142243,0.6074904631701727,0.5996044864705948,0.6086561793584301,0.6524384150035356,0.5725837660384407,0.5594319116089075,0.5914920894436231,0.5975869416353994,0.6342834847465286,0.632299530422261,0.6351621040845444,0.6095205670062465,0.6210494559371135,0.5973737197904607,0.5899704989366051,0.622938195733894,0.6266191579095574,0.613064663544936,0.6137864497896475,0.6327077540681003,0.6122454286904816,0.6347984332840036,0.6415006876144768,0.589354463005014,0.5876423621383536,0.6073549412320888,0.6000895505649874,0.5855803256883482,0.6644776700545597,0.6375749358723853,0.5932854845080907,0.6161163142888654,0.5755829350851411,0.611512030606065
5,-27.56273329257965,0.6022005375742739,0.5596015045787077,0.6082326905846448,0.5990914811586849,0.6083551763155747,0.6519673245855232,0.570801911107461,0.5549060292540227,0.5902521242394176,0.5938125420730418,0.6362090767711948,0.6291921230074705,0.6343906837980609,0.6112922256268882,0.6161608143397451,0.5981384193744792,0.592273997555441,0.6212102098325428,0.6254170587208158,0.6121512639024554,0.6106207598831842,0.6336327128705068,0.6163114882494226,0.6286258579324583,0.6406658281292857,0.5849604712811486,0.5880456699264156,0.6044187652638524,0.594060306449849,0.586900698615772,0.663718734112272,0.6411448975899545,0.5927973021733418,0.6108628856312504,0.5692717981123571,0.615683736663088
6,-27.671920478343964,0.602106860307316,0.5601971529755796,0.609152848373807,0.6001164774370619,0.6072566281951691,0.653820285091806,0.5711369813351224,0.5521566801056612,0.5910206819295605,0.5926471660245297,0.6388889947851785,0.6270257070917035,0.634318042615456,0.6133692867022241,0.614507705619061,0.60332005709179,0.5939891269292245,0.6205298703286385,0.6258041248392389,0.6115787440532696,0.6107710871489695,0.6322195558384354,0.6200618895234243,0.6261480222378967,0.6422629929902594,0.5822495051598022,0.5850715298381383,0.6024185935228773,0.5912031558719185,0.588788204718102,0.6631846892827508,0.643132582620678,0.5937794750995364,0.6082323849129659,0.5652920398461562,0.6189529045191455
7,-27.707495987415314,0.6027184186513066,0.5617668562035569,0.6077640485503202,0.6017589773478312,0.6075100264680542,0.6539008114099676,0.5727970510281389,0.5529292668220065,0.5909488616420768,0.5938049024569907,0.6385215839741303,0.6261313852249875,0.6337406132682246,0.6146291915527532,0.614440042501706,0.6038538934479282,0.5946145178092924,0.6211524142690054,0.6247786655712378,0.6111010646553283,0.6115264238030729,0.6300335564781323,0.6200194927417717,0.6269535555030329,0.6419949147702669,0.5824342422486886,0.583284355787674,0.6026731394116114,0.5904851340260283,0.5895356387712317,0.6618263172356327,0.6440065950432342,0.5943537902378085,0.6093578121651838,0.5656109598230398,0.6177932804261318
8,-27.725959360599518,0.6033123413630161,0.5619567240568527,0.6062658973543297,0.6036484330404516,0.608302375422308,0.653388878713249,0.5733182333294534,0.5520352412411763,0.5910293468111553,0.5947595406884761,0.638373935606925,0.6262530523597395,0.6332708723806422,0.6150712079499406,0.614070351525902,0.6031782444538657,0.5953802814773896,0.6215581921318571,0.6251534940627539,0.6103247467017359,0.6113441372775444,0.628912404405122,0.619513413393562,0.6284500550482197,0.6410076839423173,0.5836174964908027,0.5824100086208486,0.6024825789523733,0.5897364738526358,0.5897116752257237,0.6619835172454662,0.6448197274783027,0.5943716985142784,0.6101256702676141,0.5653371736158891,0.6172325977027261
9,-27.726098656654358,0.6040659421147494,0.5614698970915002,0.605860530537687,0.6043865126631623,0.608544457911679,0.6538261882908379,0.5730888210072034,0.5509776469551775,0.5911777724764841,0.5951593557121585,0.6382974857203639,0.6269181393949974,0.6334573030154721,0.6152936357950328,0.6141075520242124,0.6024378985355368,0.5964246683211462,0.6223108233326369,0.6261565641726827,0.6092470794110014,0.6112190896143278,0.6286719984770632,0.6198264369192603,0.6301913852932687,0.6405340477336356,0.5844297908598679,0.581510369608235,0.6028769596400673,0.5898557159678461,0.5903432410591952,0.6633710706908114,0.6456837732297914,0.5947247402107944,0.610394339275468,0.5644340715403594,0.6173338211646109
10,-27.72754594683647,0.6040917921312884,0.5614998160134396,0.6060906607505463,0.6043891629958662,0.608450661472376,0.6537186184966648,0.573185195305159,0.5513764872923332,0.5912985359851141,0.5951505203368279,0.638156962245142,0.6270874614523579,0.633419592942084,0.6150889922478101,0.6142738505678419,0.6021160372687137,0.596487874898262,0.6224310052705684,0.6263408318488319,0.6090152963021537,0.6112532256823835,0.6287719310746709,0.6194933930458348,0.6303109984524928,0.6403424323046873,0.5849021113898984,0.5815681399103357,0.6032658430146798,0.5903979259943796,0.5906256605633728,0.663456675666049,0.6454110977397904,0.5949505130359727,0.6106283128744012,0.5646458530175544,0.61731706756892
