iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4],gamma[5],beta[5],gamma[6],beta[6],gamma[7],beta[7],gamma[8],beta[8],gamma[9],beta[9],gamma[10],beta[10],gamma[11],beta[11]
1,-9.340349242091179,0.5997117950461022,0.5992443923043059,0.6145868894408296,0.6077505439752527,0.6247143495412398,0.7061771841983648,0.5992443923043059,0.5992443923043059,0.5992443923043059,0.5992443923043059,0.6888662930965008,0.6639164212273444,0.7463957206681092,0.6410366666614543,0.6627605024337542,0.6879365996968304,0.5992443923043059,0.6279558805280908,0.6951355255882786,0.6675856111780438,0.6969298338496427,0.6326136444604399,0.5992443923043059,0.6430231115587502
2,-12.784782268106937,0.5990957992351703,0.5872332153313197,0.5998484501046787,0.6113993597996566,0.6425504573154944,0.6975135928017754,0.5947471610744681,0.5965245637052101,0.6159984887961595,0.6056250186395178,0.6727664392826928,0.6459935120425478,0.7638625317649954,0.6659473915604941,0.6992639262888383,0.6825253361706115,0.5926589399642141,0.6132781402979218,0.6966458414789971,0.659386201347584,0.6739822853334398,0.6377559495758084,0.604657221097865,0.6412129853576486
3,-13.921946842223406,0.5991062737541457,0.5790432020576992,0.5930700072614273,0.616628123683826,0.6419665971246413,0.6750163504256139,0.5918012914460152,0.6000191217311066,0.6290581157267229,0.6012835499846478,0.6648481112658411,0.6234431473070697,0.7494728663901752,0.6742870696872526,0.7003864084986029,0.6678611476037505,0.5962081564374392,0.6054943983527461,0.6857086958823124,0.635299164326094,0.6604771711285697,0.632882078667229,0.5966296187337257,0.6467404686261375
4,-24.026758089661598,0.5997891563041432,0.559082348879489,0.5924807454659384,0.6417464645893518,0.6296601468295561,0.6224806304276965,0.5817024977875626,0.6157639271683663,0.648651247402399,0.5867840798094638,0.6482950953448023,0.561568588325178,0.7243670823261626,0.6971034665764669,0.6745061291396389,0.6387003437468108,0.6178530949368111,0.606969960371989,0.6566773008251529,0.5767610223309013,0.6383474856619883,0.6086760913464198,0.5767302237478285,0.6736209934136516
5,-24.24463677406311,0.5998427645784241,0.5577183342016134,0.5924844688919003,0.6430646487507256,0.627871074088228,0.6177009589591886,0.5813621777456373,0.6175243827173167,0.6503173631573943,0.5858077662530019,0.6459886904653678,0.5563113936051749,0.7204783960359002,0.6978269929028338,0.6715956924934273,0.6365665240196858,0.6199166544859214,0.6067706898674977,0.6527643630653452,0.5715006929427779,0.6357203823943655,0.6063493449902261,0.5757282410075912,0.6749328340675216
6,-25.787950813770294,0.5997439430049593,0.5629849632838353,0.5968662632837677,0.6337274799642592,0.6196607461713444,0.6230826528578192,0.5877253582746432,0.6216132717932413,0.6467911093444756,0.5874178878400461,0.6424602055323553,0.5626984915949702,0.7052145803665255,0.6843608267585476,0.6613991652755168,0.6451161417101975,0.6217115447373132,0.6075381628381558,0.6420456080623494,0.5758466637860898,0.6370990837585017,0.6050194955187398,0.586621650029681,0.6661189411226716
7,-26.761121660470963,0.5994397165246499,0.5574842367549688,0.5908850703237507,0.6308108192626621,0.6261295173788216,0.6257372475509448,0.588307491651691,0.6251074810002012,0.6530154894582015,0.588938091412861,0.6371675114033792,0.5610483698952804,0.7091237382242768,0.6948592416476653,0.6737849976892076,0.6476821770174489,0.6202142010481237,0.601102371041863,0.639661376840559,0.5728685213056087,0.631270181715127,0.6019378824749331,0.5921527517946501,0.6664916104311485
8,-27.097826689481735,0.5993377528115758,0.5557300126225703,0.5877059515654158,0.6285787083081358,0.6300141272992628,0.6280766921386485,0.585143215905975,0.6276945863481836,0.6601890119807515,0.5914282322358543,0.6333289442261034,0.5611161628125192,0.706243521529694,0.6973084227697012,0.6766739076101527,0.6463111939489137,0.617797879175884,0.5998466466055468,0.6371436953312439,0.5708164625225589,0.6228919769867092,0.595264523684477,0.5978741917860334,0.6692455318220115
9,-27.237084209918976,0.5979022149483866,0.5574581631421452,0.5891750833700794,0.6280922262167895,0.6341810929599109,0.6334264305400898,0.5824185977981295,0.6309915664497951,0.6642650490739401,0.5934919043369452,0.6311707823739383,0.5661658165734803,0.7022936587550525,0.6979743111550507,0.6742027045559978,0.6428189956548324,0.6200219069942531,0.5974692284001097,0.634493348151187,0.5745843756185857,0.6182082102686988,0.5887738809012777,0.603451566064688,0.6693987285565356
10,-27.325014144182205,0.5968892301803584,0.5599704159412162,0.5900971585971212,0.6298164967609527,0.6357385200280847,0.6353439404590201,0.5814629265815642,0.6340688105867353,0.6621323763752925,0.5916147117459969,0.6310263785883248,0.5693135672114383,0.6990837187293751,0.6973479962764767,0.671343820480564,0.6413889032279378,0.6219451047769678,0.5974769694589808,0.6297290965357978,0.5783047484816871,0.6188133225699813,0.5886534093787411,0.6036370146893746,0.6689017351369079
11,-27.435555696487427,0.5960219321364915,0.5633753937602739,0.5910265591614858,0.6320411010600306,0.6393760774183787,0.6386087442851441,0.580425637613629,0.637810664765505,0.661641955597025,0.5906297832277255,0.6317457755166817,0.5734869129236254,0.7014939904589955,0.6976085688271968,0.6720050776210883,0.6420920836593103,0.6250900409714483,0.59746183892277,0.6271893721459445,0.5837090215312895,0.6206561276175858,0.5898299407161445,0.6063193005470852,0.6692241738223962
12,-27.518070697784424,0.5945297162210428,0.5653463132751377,0.5918813204198159,0.6344220983542581,0.6422687167005776,0.6396125461059371,0.5796395378396545,0.6420361308605451,0.6618118020244071,0.5891761212106665,0.6330208744620138,0.5755422130220736,0.703792581989241,0.699514351512798,0.6710893359777078,0.6409244863805621,0.6276592168403221,0.5953147677679514,0.6223323489594514,0.5874520277033415,0.6207671094469943,0.5896094017079472,0.6119519125214163,0.6712055271620239
13,-27.555539041757584,0.5926151147834976,0.5682941186516538,0.5931789984498664,0.6377180193512748,0.6467136780480264,0.6415617476967407,0.5780243777556582,0.6477659508478498,0.6624440871483328,0.5874416904184868,0.6345272206968321,0.5791518442882938,0.7056851749895044,0.7019476937472361,0.6685460379202326,0.6378990607101082,0.6314966163631998,0.5924555171787537,0.6156624432405299,0.5928297427893319,0.6200944440089418,0.5882109117857394,0.618856687515415,0.6732185157943268
14,-27.57608851790428,0.5932308663103972,0.5660633198745836,0.5931157149470578,0.6362478737488958,0.6465790393760656,0.6398008851833779,0.5775173150248164,0.6461445327918766,0.662609090625626,0.5878126940238991,0.6361878181290928,0.5787950130307358,0.7062933094356695,0.7016477453089078,0.6674830414320385,0.6384684655832826,0.6301588704909507,0.5918419146732136,0.6172843301933756,0.589495822027002,0.6185257470849315,0.5887643626750378,0.6177118837908261,0.6725770867284165
15,-27.586846977472305,0.5929036554433551,0.5656022752481554,0.5932737630313509,0.6360907479579617,0.6474474949783199,0.639640987059618,0.5762926865490782,0.6462705112744707,0.6634047340438504,0.5879989862849581,0.6374352320216382,0.579814297294908,0.7062813123468573,0.7020753533448253,0.6678093946001593,0.6385829408295596,0.6302242324496403,0.5906404001469403,0.6170206846735153,0.5897569277394151,0.6186975642396443,0.5885773304183364,0.6171306291141482,0.6731096317848144
16,-27.59099915623665,0.5930837833982637,0.5652102636130941,0.5935404858153306,0.6356367741673156,0.6477827398953746,0.6394555351679886,0.5756032699454022,0.6458315372381964,0.6636298953113668,0.5882182597593703,0.6387003123390342,0.5806550112324009,0.7067966863525295,0.7017007485158471,0.6679451767417577,0.639339377671488,0.6301824430735861,0.5902878467507153,0.6177092323886267,0.5896284658694206,0.6192735986328091,0.5889722115750404,0.6161841907229848,0.6731483219587483
17,-27.603585302829742,0.593156926708687,0.5652383763981808,0.5941103253798835,0.6355997005423962,0.6486444596742895,0.6394116184439798,0.5748058646960786,0.6461922722470977,0.6638426116061834,0.5880023440576446,0.6400625115279021,0.5819539844501468,0.7075098652945654,0.7010326948615365,0.6676121280401575,0.6396441365192527,0.6310672764941154,0.5894225306477019,0.6169785431802594,0.5901456392583176,0.6197332118788209,0.589053492383706,0.6171482614123969,0.6731883444575619
18,-27.630317121744156,0.5930782235313514,0.5654004530294259,0.6014017906460427,0.6359639384078989,0.6591840554473972,0.638069595320355,0.5647681912268625,0.651605283621039,0.6655356495767949,0.5848482191189381,0.6578592447765489,0.5980801125149072,0.7150999840284966,0.6949008814789933,0.6612646487141915,0.6422219608585793,0.6416631482853085,0.5778473803618012,0.6068927545383022,0.5962034459511978,0.624295764584172,0.5905715288328164,0.6270279555831609,0.6742503876504142
19,-27.67939379811287,0.5942224524524539,0.5637448282949703,0.6020720041065484,0.6357890471551453,0.659972323822302,0.636406029096847,0.5644113084372961,0.6524369181892671,0.6634091567183266,0.583033076112798,0.6605921959314335,0.5994926131473349,0.715754498819603,0.6954824792637576,0.6590328482468838,0.6425948789937126,0.6409154028667384,0.5780003406068681,0.603071271608297,0.597188816567945,0.6252106049964261,0.5866016357036445,0.6287479695913638,0.6745478869736135
20,-27.690936475992203,0.5948389990046005,0.562989763937364,0.6024085891306815,0.6354995091721982,0.6597171641415176,0.6349558668836194,0.5635778248836943,0.6518984401571462,0.6629832543162291,0.5830892492823357,0.6610252956089813,0.6000743718954764,0.7144163658892099,0.6948457705250074,0.6580825226528788,0.6427631013790985,0.6405224422709691,0.578444373183273,0.6012226200783654,0.5959845259998804,0.6254477109915871,0.5865880234074083,0.6288056955066854,0.6745348629031606
21,-27.69959631562233,0.595479511833518,0.5626315255008606,0.6034411659819459,0.6354186795809568,0.6605139320074834,0.6341361363020493,0.5617961893613296,0.652117797499166,0.6630533008041767,0.5834763705447893,0.6628281516056095,0.6022950410077927,0.7142643452645113,0.693150170566192,0.6565817952327055,0.6430235843587458,0.6416117580333385,0.5767906189690379,0.5991682665521306,0.595901180997169,0.6251909272268379,0.585950453674155,0.6300070128557845,0.6746722730400856
22,-27.69971364736557,0.5956808650867641,0.5631556933579406,0.6020989660674262,0.6354016655371988,0.6578456235636612,0.6351608100338554,0.5634344509737788,0.650776567484605,0.6632846859142931,0.5854547299939707,0.658406690255134,0.599224517493203,0.7124145691928486,0.6935784401102111,0.6585667817159895,0.642634695108421,0.6404893248809642,0.5788341797648939,0.6021270870821455,0.5950453859852497,0.623906697963347,0.5859628878375599,0.6275657501785713,0.6747528463803804
23,-27.701271802186966,0.5952684800578318,0.5637201676597956,0.6007651592471319,0.6353707139820354,0.6556904617819733,0.6367027059212813,0.565063869857097,0.6491790054095885,0.6630620559629986,0.5873091757254595,0.6552787174941784,0.5967716693338802,0.7121893679961119,0.6938185658547327,0.6615482031269293,0.6431756572711103,0.6403847864252403,0.5792609320422643,0.6058718548139324,0.5943649630343439,0.623938416124938,0.5867159606192093,0.6241748683138748,0.6746659153081314
24,-27.701343953609467,0.5952678309679106,0.5637193392342765,0.6007578425814083,0.635371338270315,0.6556819637172299,0.636707956261857,0.5650702927395409,0.6491721579952482,0.6630617454977923,0.5873162943315106,0.6552654578573363,0.5967584652142224,0.7121879170007042,0.6938217155603897,0.661561215426903,0.6431766679444157,0.6403823836658825,0.5792639342471049,0.6058859186700182,0.5943585421454912,0.6239344370918334,0.5867166298942446,0.6241603373797713,0.6746650944638163
