iter,energy,gamma[0],beta[0],gamma[1],beta[1]
0,-1.5433010533452034,0.6026654750108719,0.5969979338347912,0.592880430072546,0.5889206625521183
1,-1.7579200640320778,0.605663514137268,0.5935044534504413,0.5856925345957279,0.5772232621908188
2,-1.9920459687709808,0.6089736171066761,0.5894971251487732,0.5785224087536335,0.5649325683712959
3,-2.2440189868211746,0.612561671435833,0.5849647395312786,0.5714667089283466,0.5520983397960663
4,-2.510924205183983,0.6163755416870117,0.5799183271825313,0.5646253697574138,0.5387953355908394
5,-2.7884163707494736,0.6203453488647938,0.5743991456925869,0.5580944217741489,0.5251296333968639
6,-3.0708626061677933,0.6243822261691093,0.5684807285666466,0.5519552141427994,0.5112313352525234
7,-3.3515208438038826,0.6283794924616813,0.5622763618826866,0.546267619729042,0.49725370332598684
8,-3.6231162920594215,0.6322205387055874,0.5559298940002918,0.5410605654120445,0.48336822390556333
9,-3.8787259981036186,0.6357818156480789,0.5496076740324497,0.5363309629261493,0.4697478212416172
10,-4.112769894301891,0.6389461796730757,0.5434792008250952,0.5320487175136804,0.45654819570481775
11,-4.321664582937956,0.6416125524789095,0.5376945365220308,0.5281632583588362,0.44390372224152086
12,-4.504196748137474,0.6437014400959015,0.5323692079633474,0.5246131181716919,0.43190948516130445
13,-4.661302035674453,0.6451595559716224,0.5275758974254131,0.521333635225892,0.4206212408840656
14,-4.795483380556107,0.6459627034142613,0.5233435019850731,0.5182637222111225,0.41005729176104067
15,-4.910088762640953,0.6461026253178715,0.5196646623313427,0.5153527840971946,0.40020688660442827
16,-5.00879967212677,0.6455899285152554,0.5164981283247471,0.5125581458210945,0.39103441722691057
17,-5.095194339752197,0.6444442229345441,0.5137934483587742,0.5098438769578933,0.382485069707036
18,-5.172415912151337,0.6426870631054044,0.511494318395853,0.5071851819753647,0.3745013628154993
19,-5.24318465590477,0.6403435574844479,0.5095300398766994,0.5045583754777908,0.3670320514589548
20,-5.309840872883797,0.637435089237988,0.5078414849936962,0.5019484296441078,0.360011525824666
21,-5.374365366995335,0.6339803518727422,0.5063741527497768,0.49934482425451276,0.353380948677659
22,-5.438381765037775,0.6299923615530133,0.5050796888768673,0.4967360258102417,0.34709112010896204
23,-5.503301326185465,0.6254847584292292,0.5039175361394882,0.4941168300807476,0.341091426461935
24,-5.57035594061017,0.6204680422320962,0.5028490260243416,0.49147953689098356,0.33533441126346586
25,-5.640578716993332,0.6149470651522279,0.5018472209572792,0.4888250682502985,0.3297886312007904
26,-5.714943319559097,0.6089255617931485,0.5008889012038708,0.486147229000926,0.32441450878977773
27,-5.794275373220444,0.602409485168755,0.49995378628373144,0.48344634510576723,0.3191840223968029
28,-5.87935084104538,0.5954012082889676,0.49902518317103384,0.4807191643863916,0.3140693478286266
29,-5.9708124697208405,0.5879075633361935,0.4980821780860424,0.4779674787074327,0.30904913172125814
30,-6.069145202636719,0.5799349280074239,0.49712552353739736,0.47519391812384126,0.304109039157629
31,-6.1748000383377075,0.5714940460398793,0.4961347602307796,0.472400002554059,0.299231993407011
32,-6.287973523139954,0.5625982316210866,0.495109299570322,0.46958962120115755,0.29441403076052663
33,-6.408699348568916,0.5532679440453648,0.4940361998975277,0.4667666185647249,0.28965081498026846
34,-6.536813214421272,0.5435278298333287,0.49290974661707876,0.46393389292061327,0.28494429066777227
35,-6.671946138143539,0.5334090920165181,0.4917172215878963,0.4610968682914972,0.28029212579131124
36,-6.813412696123123,0.5229505406692624,0.490456099063158,0.4582596946507692,0.2757109053432941
37,-6.960328847169876,0.5121975721791386,0.48911247625946996,0.4554261717945337,0.2712088249623775
38,-7.111549824476242,0.5012013496831059,0.48767694309353826,0.4525991979986429,0.2668066494166851
39,-7.265683174133301,0.49002366084605453,0.4861480541527271,0.4497824165970087,0.26252097114920614
40,-7.4213433265686035,0.47872174102813003,0.48451932743191717,0.4469773922115564,0.2583667956292629
41,-7.5769429206848145,0.4673610361292958,0.4827812559902668,0.4441869411617517,0.2543696634471416
42,-7.730932772159576,0.45601103026419876,0.4809358961880207,0.4414058480411768,0.25054469928145406
43,-7.881844907999039,0.44473576862365005,0.47898570671677587,0.4386298660188913,0.246904569119215
44,-8.02830684185028,0.4335977019742131,0.47693626061081884,0.4358614984899759,0.24346730336546896
45,-8.169201880693436,0.4226540358737111,0.4747966922819614,0.43309223689138887,0.24023801311850546
46,-8.303559422492981,0.4119575949385762,0.4725827373564243,0.4303191903978586,0.23722042366862295
47,-8.430700898170471,0.40155244190245865,0.4703074641525745,0.42753763534128664,0.23441522046923635
48,-8.550136387348175,0.39147582966834304,0.46798559501767156,0.42474503852427004,0.23182414695620535
49,-8.66161423921585,0.38175934869796035,0.4656412847340107,0.42193929888308046,0.2294295899569988
50,-8.765082061290741,0.3724215360358357,0.46329464986920355,0.4191173169761896,0.22723342701792715
51,-8.860640585422516,0.36347911078482864,0.4609604127705097,0.41628529168665407,0.22521583959460256
52,-8.94852465391159,0.3549371691420674,0.458656395226717,0.41343586184084413,0.22337396666407583
53,-9.029118418693542,0.34679925758391617,0.45639231279492376,0.4105813954025507,0.22167723104357717
54,-9.102797865867615,0.339062306471169,0.4541792221367359,0.4077187333256006,0.220119821280241
55,-9.170014798641205,0.3317216070368886,0.45202761366963384,0.404855952039361,0.21869255825877187
56,-9.231257677078247,0.3247625263407826,0.44994976595044134,0.4019964192062616,0.21737195774912832
57,-9.287030577659607,0.3181707890704274,0.4479441292583942,0.3991490755230188,0.2161536984145641
58,-9.337801396846771,0.31193319279700515,0.44600787237286565,0.3963143680244684,0.2150182895362377
59,-9.384001970291138,0.30603367406874893,0.4441491611301899,0.3935017142444849,0.21396751925349233
60,-9.426106095314026,0.30045083481818435,0.44236608818173406,0.39071349836885927,0.21297811195254324
61,-9.464468777179718,0.2951723666861653,0.4406589515507221,0.3879572007805109,0.21204655095934866
62,-9.499411880970001,0.2901820274069905,0.4390313573181629,0.3852361891418695,0.21117122694849966
63,-9.531371295452118,0.2854566009715199,0.43746655657887457,0.38255353309214113,0.21033923551440237
64,-9.56059330701828,0.28098303396254776,0.43596758916974065,0.3799126300960779,0.20955385491251943
65,-9.587346076965332,0.2767463060095906,0.43452870324254034,0.37731556631624696,0.20880075022578237
66,-9.611892700195312,0.2727254362776875,0.43314960077404974,0.3747670505195856,0.20808445140719412
67,-9.634426832199097,0.26891237813979385,0.4318241722881794,0.3722713742405176,0.20738609358668325
68,-9.655167996883392,0.2652907999232411,0.430555398017168,0.3698251400142908,0.20671271011233328
69,-9.67425799369812,0.26185003239661453,0.4293395824730396,0.36743031479418276,0.20606519505381582
70,-9.691891729831696,0.25857514459639785,0.4281613178551197,0.3650917563587427,0.2054323427379131
71,-9.708178162574768,0.2554569276049733,0.4270344920456409,0.3628046665340662,0.20481975600123403
72,-9.72324338555336,0.2524865897372365,0.42594432309269903,0.3605702672153711,0.20422955080866811
73,-9.73723715543747,0.24965091366320846,0.4248867578804493,0.35838814117014406,0.20365014895796774
74,-9.750213205814362,0.2469395877793431,0.42387633994221685,0.3562600616365671,0.20308771952986715
75,-9.762245029211044,0.2443514050915837,0.42289518788456915,0.354190856590867,0.2025375537574291
76,-9.773471802473068,0.24187448937445877,0.42194477692246435,0.35216786004602907,0.20200370475649831
77,-9.783920854330063,0.2395032377913594,0.4210216499865055,0.3501996699720621,0.20147811099886892
78,-9.793653726577759,0.23722924608737228,0.4201307840645313,0.34828159250319,0.2009627543389797
79,-9.80277556180954,0.23504688162356613,0.4192656822502613,0.3464125398546457,0.20046313330531118
80,-9.811296701431274,0.23295222539454696,0.41841808930039404,0.34458939768373964,0.19997324272990225
81,-9.819268971681595,0.23094080705195663,0.4176005370914936,0.34281520582735536,0.19948593005537985
82,-9.826738506555557,0.22900335807353256,0.4168028630316257,0.34108591116964815,0.19901122376322744
83,-9.833744645118713,0.22713961023837326,0.4160240538418293,0.33940744437277315,0.19854913875460622
84,-9.84032055735588,0.2253474773839116,0.4152673281729221,0.33776795901358125,0.19809273108839986
85,-9.846512377262115,0.22361630517989395,0.4145248182117939,0.3361724767833948,0.1976469926536083
86,-9.85233610868454,0.2219471367076039,0.4138088025152683,0.3346162591129541,0.1972093157470226
