iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4],gamma[5],beta[5]
0,-4.07088777422905,0.5957371950149536,0.6030895620584488,0.5975984506309032,0.5758523628115654,0.6056306198239326,0.6114121064543724,0.6062794648110866,0.5913555271923542,0.5950884357094764,0.598315580189228,0.5968165382742882,0.5875645190477371
1,-5.34475439786911,0.5909922182559967,0.6068716928362846,0.5954901821911335,0.5508005976676941,0.6113990902900696,0.6210937708616256,0.6139426775276661,0.5774591065943241,0.5924663007259369,0.5979649931192398,0.5943157210946083,0.5732909575104713
2,-6.563508942723274,0.5851090684533119,0.611363610625267,0.5944290481507778,0.5264782667160034,0.6156954824924469,0.6284185484051704,0.6222060568630695,0.5618305452167988,0.5928801655769348,0.5999036863446235,0.5920264929533005,0.5581656828522682
3,-7.540825963020325,0.5777498766779899,0.615768937766552,0.5948516227304935,0.5052574560046196,0.6178788378834724,0.633422090113163,0.6300502367317676,0.5481852762401104,0.5963577389717102,0.6041765123605728,0.5898141473531723,0.5434499219059944
4,-8.246166706085205,0.5692960754036903,0.6189574807882309,0.5965848959982395,0.48857819139957426,0.6184821188449859,0.6370078757405281,0.6367831625044346,0.5381554089486599,0.6023391023278236,0.6096567049622535,0.5880209565162658,0.530080197751522
5,-8.742761969566345,0.5605297073721885,0.6203111320734024,0.5989843182265758,0.4763487860560417,0.618197126686573,0.6402594804763794,0.6422199256718158,0.5316123016178608,0.6099978595972061,0.6149541795253753,0.5870317801833153,0.5184419959783554
6,-9.105174988508224,0.552124185860157,0.6198822394013405,0.6013657324016094,0.4676456287503242,0.6173541232943535,0.6438497215509414,0.6465313605964184,0.5278474412858486,0.6185308381915092,0.6192334577441215,0.5870014414191246,0.508509336411953
7,-9.38951961696148,0.5444207921624183,0.6180796980857849,0.6032658763229847,0.46139136552810667,0.616066163778305,0.6480291694402694,0.6500078238546848,0.5261224828660488,0.627327723801136,0.6222795978188514,0.5878830909729004,0.5000260010361671
8,-9.630272030830383,0.5374807998538017,0.6153662115335464,0.604467349499464,0.45671934485435484,0.6143921598792076,0.6527771562337875,0.6529529266059398,0.525814364105463,0.6359964668750763,0.6242489278316498,0.5895585253834724,0.4926678821444511
9,-9.845795214176178,0.5312203601002693,0.612097992002964,0.6049344561994076,0.4530040979385376,0.6124093070626259,0.6579479932785034,0.6556083358824253,0.5264712072908878,0.64432612657547,0.6254400968551636,0.5918885380029678,0.4861679509282112
10,-10.044498860836029,0.5255140945315361,0.6085409209132194,0.6047283433377743,0.44984029829502103,0.6102166160941124,0.663361257314682,0.6581605620682239,0.5277583099901676,0.6522179156541824,0.6261378735303879,0.5947288334369659,0.48032346218824384
11,-10.229293465614319,0.5202518388628959,0.6048602446913719,0.6039465837180614,0.446978560090065,0.6079213455319404,0.6688283741474151,0.6607434995472431,0.5294400103390217,0.6596224665641784,0.6265752524137497,0.5979448765516281,0.47500930577516554
12,-10.400234937667847,0.5153468981385231,0.6011568292975425,0.6026939772069454,0.44430783987045286,0.6056530609726906,0.674190616607666,0.6634385980665684,0.5313334859907627,0.6665396600961685,0.6269095450639725,0.6014102011919021,0.47017752975225446
13,-10.556881815195084,0.5107489809393883,0.5975030943751335,0.6010797344148159,0.4417474627494812,0.6035186782479286,0.6793249011039734,0.6662838108837604,0.5333402700722217,0.6729653835296631,0.6272503197193146,0.6050188899040222,0.4657830879092216
14,-10.698479413986206,0.506426765024662,0.5939513131976127,0.5991947375237942,0.43926908671855924,0.6016136541962623,0.6841368287801742,0.6693015940487385,0.5353929497301578,0.6788983702659607,0.6276544541120529,0.6086738169193268,0.46182639747858045
