iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3]
0,-2.8478752076625824,0.6138106439262628,0.6029750447720289,0.5885751437395811,0.595433934032917,0.5974515978246927,0.5948923606425524,0.5883251432329416,0.5861907456070184
1,-3.6270199567079544,0.6292137321084738,0.6044702272862196,0.5772027935832739,0.5905855841934681,0.5958285931497812,0.5891614895313978,0.5762746710330248,0.5719984140247106
2,-4.402024395763874,0.6456344876438379,0.6039371158927679,0.5667861554771662,0.585792838037014,0.5951139483600855,0.5829874131828546,0.5643482249230146,0.5577397797256708
3,-5.116146430373192,0.6622686687856912,0.6010971575975418,0.5582267012447119,0.5814564604312181,0.5950644671916961,0.5766826089471578,0.5531628619879484,0.5437549766153097
4,-5.730596166104078,0.6782603733241558,0.5961343314498663,0.5521609134972095,0.5779271353036165,0.5952810332179069,0.5706386495381593,0.5433029927313328,0.5303232245147228
5,-6.231377437710762,0.6928978156298399,0.5896915275603533,0.5487760998308658,0.5753954149782657,0.5953736923635006,0.5652105420827865,0.5351379070430994,0.5176503960043192
6,-6.6234127432107925,0.7057288106530905,0.5826549310237169,0.5478257857263088,0.5738902449607849,0.5951063133776188,0.5606061838567257,0.5287566859275102,0.5058590400964021
7,-6.921558173373342,0.71658257804811,0.5758815001696348,0.5487860146909952,0.5733041264116764,0.5944404996931553,0.5568535108119249,0.5240041337907314,0.49499813877046106
8,-7.143850879743695,0.7255119480192661,0.569973430968821,0.551045760884881,0.5734634524211287,0.5934552134945988,0.5538540299981832,0.5206086425110698,0.48510279450565574
9,-7.308544112369418,0.7327496385201812,0.5652303950861096,0.5540583901107311,0.5741837373003363,0.5922679895535111,0.5514438370242715,0.5182747947052121,0.47615824583917854
10,-7.431138910353184,0.7385976392775774,0.56168814599514,0.5573927083984017,0.5752840027213096,0.5909950280562043,0.5494700413197279,0.5167231880128383,0.4681304361671209
11,-7.523715380579233,0.7433665230870247,0.559233796223998,0.5607580443844199,0.5766326546669006,0.5897026913240552,0.5478094931691885,0.5157403763383627,0.46094675958156583
12,-7.59489082545042,0.7473273243755102,0.5577027391642332,0.5639729997143149,0.5781259428709745,0.5884513532742858,0.5463650044053793,0.515164116770029,0.4545369394123554
13,-7.650662586092949,0.7507051568478346,0.5569027908146381,0.5669461017474532,0.5796968102455139,0.5872648501768708,0.5450781960040331,0.5148783106356859,0.4488352634012699
14,-7.695290524512529,0.7536684390157461,0.5566672686487436,0.5696428580209613,0.5813015386462211,0.5861569264903664,0.5439119081944227,0.5148090705275535,0.4437589798122644
15,-7.7316299974918365,0.7563440188765526,0.5568641930818558,0.5720550226047635,0.5829132314771414,0.5851430905982852,0.5428440108895302,0.5149018861353397,0.4392527755349874
16,-7.761798724532127,0.7588198393583298,0.5573832098394632,0.5742073090746999,0.5845169577747583,0.584219235368073,0.5418610651046037,0.5151224344968796,0.43524806052446363
17,-7.787352472543716,0.7611688118427992,0.558134364336729,0.576124663837254,0.5860938899219036,0.5833875289186835,0.5409554339945316,0.5154534190893173,0.43168870396912096
18,-7.809356618672609,0.7634395122528076,0.5590582139790058,0.5778380440548062,0.5876572843641042,0.5826494706794619,0.5401172921061516,0.5158620163798332,0.4285308126360178
19,-7.828687518835068,0.7656658537685871,0.5601081106811762,0.5793817130848765,0.5891902022063732,0.5819984948262572,0.5393554478883743,0.5163506962358951,0.42572452537715433
20,-7.8459379859268665,0.7678723208606243,0.5612498413771391,0.5807869913056493,0.5906952325254679,0.5814360672608018,0.5386651869863271,0.5169070869684219,0.42323921285569666
21,-7.861715614795685,0.7700816471129656,0.5624566864222288,0.5820794472470879,0.5921760987490415,0.5809552719816565,0.5380434043705463,0.5175285585224628,0.4210312332957983
22,-7.876322984695435,0.7723118796944618,0.5637109525501728,0.5832831034436822,0.593636418133974,0.5805489825084805,0.5374915491789579,0.5182045422494411,0.4190792109817266
23,-7.890184119343758,0.7745665222406387,0.5650051295757293,0.5844214869663119,0.5950742144137621,0.580225752107799,0.5370076078921556,0.5189348760992288,0.4173397090286016
24,-7.903484905138612,0.7768640764057636,0.5663261417299509,0.5855145560577512,0.5964903648942709,0.5799740882590413,0.5365928471088409,0.5197172652930021,0.41580601073801515
25,-7.916498271748424,0.7792049063369632,0.56767508238554,0.5865720942616462,0.5978952016681433,0.5797906344756484,0.5362407363951206,0.5205416264012456,0.4144558602944016
