iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4],gamma[5],beta[5],gamma[6],beta[6],gamma[7],beta[7],gamma[8],beta[8],gamma[9],beta[9]
0,-5.397243618965149,0.5967020899057388,0.6078782327473163,0.6001207701861858,0.5746102392673492,0.6001982301473617,0.6106152184307575,0.6051059424877167,0.5967708326876163,0.5968894757330417,0.6045654997229576,0.596953796595335,0.5770998656749725,0.6074353069067001,0.6116756819188595,0.6051666311919689,0.5899189323186874,0.596608167886734,0.6006345883011818,0.5955525659024715,0.5872133433818817
1,-6.826763898134232,0.5909274950623512,0.6146912224590778,0.6001222677528858,0.5552646651864052,0.6008320063352585,0.617786730080843,0.6115027874708175,0.5893971793353557,0.5956517107784748,0.6100520551204681,0.5954731948673725,0.557795612514019,0.6135451108217239,0.6192418806254864,0.6126857496798038,0.5744318276643753,0.5982166066765785,0.6032310038805008,0.592772240191698,0.5735956192016601
2,-7.718732163310051,0.5820289984345436,0.6191345997154712,0.6011748559772968,0.5445846006274223,0.6005965009331703,0.6209662057459354,0.6180481895804405,0.5806778617203235,0.5958618991076946,0.6162083059549331,0.5968174286186695,0.5434053227305412,0.6160392820835113,0.6234342403709888,0.6198541022837162,0.5634803757071495,0.6041103065013885,0.6074578076601028,0.5904130585491657,0.5610127881169319
3,-8.347668185830116,0.5716980904340744,0.6202634893357754,0.6032151229679584,0.5401626661419868,0.6002190396189689,0.6215963013470173,0.6241296216845512,0.5722481779754162,0.5969049729406833,0.6212723016738891,0.6009071789681911,0.5323368445038795,0.61621013879776,0.6266012288630008,0.625449063628912,0.5591665640473366,0.6115880817174911,0.6116707310080528,0.5885439611971378,0.5499306380748749
4,-8.883003503084183,0.5615350663661957,0.6186980701982975,0.6052868984639644,0.5386739730834961,0.6001710578799248,0.6211697183549404,0.6296496450901031,0.5640957452356815,0.5985747374594211,0.6244862884283066,0.6066214390099048,0.5225960373878479,0.6155563503503799,0.6299476273357868,0.6298262424767017,0.5588321894407272,0.619257128238678,0.6149268433451652,0.5873904548585415,0.539939297735691
5,-9.365041553974152,0.5522244185209274,0.6155341140925884,0.6065621174871921,0.5381919428706169,0.6003402978181839,0.6204316116869449,0.63473512083292,0.5561101980507374,0.6006593205034733,0.6259382128715515,0.6128557048738003,0.5132815152406692,0.6146390125155449,0.6337514616549015,0.6336545892059803,0.5602739810943603,0.6265050679445267,0.6170416086912155,0.5869919754564762,0.5307200312614441
6,-9.79866810142994,0.5439482912421226,0.6116614438593387,0.6067282058298588,0.5377313256263733,0.6005986988544464,0.6195679850876331,0.6395208150148392,0.5482811875641346,0.6029066763818264,0.6259523466229439,0.6188743956387043,0.5041903913021087,0.6135724395513534,0.6379852093756199,0.637432637065649,0.5622000828385353,0.6329745560884475,0.6181647762656212,0.5873186983168125,0.5221718311309814
7,-10.18742060661316,0.5366400465369224,0.607658202201128,0.6058991722762584,0.5367579370737076,0.60098567456007,0.6184616558253765,0.6440954267978668,0.5406584538519382,0.6051092393696308,0.6249030962586403,0.6242576263844967,0.49536108821630476,0.6123038068413734,0.6425567589700222,0.6414795242249965,0.5638957157731056,0.6384491384029388,0.6185955986380577,0.5883096553385257,0.5142779111862182
8,-10.539513275027275,0.5301361888647079,0.6038526095449924,0.6044096000492573,0.5350505843758583,0.60167216360569,0.6169456638395786,0.6484716668725014,0.5332428611814976,0.607146168500185,0.6231055319309234,0.6288090594112873,0.4868609219789505,0.6107397139072418,0.6473582930862903,0.6460019521415233,0.5649879708886146,0.6428274124860763,0.6186483040452003,0.5898783676326275,0.5070606827735901
9,-10.868105009198189,0.5242548793554306,0.6004066191613674,0.6026352740824222,0.5325645118951797,0.6028601810336113,0.6149582289159298,0.6526102036237716,0.5259550012648105,0.6089581497013569,0.6207982659339905,0.6325109623372555,0.4786893635988235,0.6088082030415535,0.6522843338549137,0.651139984279871,0.5652986750006675,0.6460980907082557,0.6186047777533531,0.5919288866221905,0.500510661303997
