iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4],gamma[5],beta[5],gamma[6],beta[6],gamma[7],beta[7],gamma[8],beta[8],gamma[9],beta[9],gamma[10],beta[10],gamma[11],beta[11]
0,-11.528904907405376,0.583486995100975,0.613246588408947,0.6019672363996506,0.6190495997667312,0.6077055841684341,0.6193009302020073,0.5796937108039856,0.5974244683980942,0.5845408126711845,0.6147815495729446,0.6057505965232849,0.6208752751350403,0.6071376636624336,0.6129284411668777,0.5773067981004715,0.6009172186255455,0.587477146089077,0.616878604888916,0.6076632797718048,0.6157210379838943,0.6052687004208565,0.608524440228939,0.577285236120224,0.6099905282258987
1,-12.65482234209776,0.5817149117588997,0.6068595446646213,0.6121848843991756,0.6183552131056785,0.6200704410672188,0.6261673033237457,0.5720105268061161,0.5904416613280773,0.584637763351202,0.6095583982765674,0.6202156975865364,0.6220433175563812,0.6217595584690571,0.6142304822802543,0.5674488790333271,0.5916585460305214,0.5909877255558967,0.6151514783501625,0.6222612358629703,0.6163723789155483,0.6180738270282745,0.6052230916917324,0.5668130576610565,0.6032114908099174
2,-13.01787905395031,0.5826065823435783,0.6054809264838695,0.6128191821277141,0.6195407159626484,0.6227333083748817,0.6354423187673092,0.5655856005847454,0.5857569485902786,0.5872544184327125,0.6095308311283588,0.6214070864021778,0.6272221229970455,0.6240653119981289,0.6218399837613106,0.5596898965537548,0.5854064956307411,0.5952120818197727,0.6170126892626285,0.6236662551760673,0.622711731493473,0.619215639680624,0.6101245231926441,0.5584694281220436,0.5985985718667507
3,-13.138702124357224,0.5845829308032989,0.6008677579462528,0.6150194577872753,0.6157355032861233,0.6247807577252388,0.6390970297157764,0.5655587412416935,0.5821439534425735,0.5903914406895637,0.6069835893809795,0.6240971706807613,0.6254387073218822,0.626576716452837,0.6241971611976623,0.5589075557887554,0.580174072086811,0.5996832050383091,0.6167889781296253,0.6254282504320144,0.6222133547067642,0.6214314572513103,0.6101835913956165,0.5577542766928673,0.5936275444924831
4,-13.1863833963871,0.5837222248315811,0.5997518472373485,0.6139305256307125,0.6165133289992809,0.6240185335278511,0.6440090410411358,0.5650451205670833,0.5801798537373543,0.5901659712195396,0.607763635367155,0.6236737318336963,0.6276690311729908,0.6257194079458713,0.6284289568662643,0.5573106653988361,0.5778748229146004,0.6005298964679241,0.6185299776494503,0.6255256965756416,0.6238988623023033,0.6215676836669445,0.6122582949697971,0.5558500051498413,0.5923719577491283
5,-13.214846551418304,0.5842073172330856,0.5962847344577312,0.6148072801530361,0.6145113281905651,0.6244298055768013,0.6454398356378078,0.5668714515864849,0.5783797785639763,0.5909366592764854,0.6070585124194622,0.6246884115040302,0.6265931524336338,0.6259683765470981,0.629332309961319,0.5583722539246082,0.5756190255284309,0.6020293109118938,0.6196361653506756,0.6258526727557182,0.6228640660643577,0.622307600826025,0.6115559883415699,0.556974595785141,0.5906968884170055
6,-13.23624011874199,0.5832279831171036,0.5949760548770427,0.614041792601347,0.6151428245007992,0.6236156359314918,0.6481995455920696,0.5675624929368496,0.5771983996033668,0.5901535138487816,0.6081454329192638,0.6242700316011905,0.6279341675341129,0.6248313285410404,0.6317960083484649,0.5581027366220951,0.5744752421975136,0.6020139031112194,0.6216357670724392,0.6256301984190941,0.6234309658408165,0.6223082862794399,0.6123148001730442,0.5564949572086334,0.5904759339988231
7,-13.253916203975677,0.5833287894725799,0.59223418161273,0.6145651213824749,0.613996209949255,0.6236477628350258,0.6491295270621776,0.5691984318196773,0.5759655818343162,0.5903193190693855,0.6082006864249706,0.624769801646471,0.6273197777569294,0.6245782323181629,0.6323968231678009,0.559037248045206,0.5730920866131782,0.6027140937745571,0.6231711529195308,0.6255299285054207,0.6227028355002403,0.622701870650053,0.6115125216543674,0.5574911743402481,0.589752646535635
8,-13.26884064078331,0.582618510723114,0.5908540658652782,0.6141207985579967,0.6143413953483104,0.6229244157671928,0.6510055087506771,0.5699943624436855,0.575071020424366,0.5896923825144768,0.6092342458665371,0.6244568176567554,0.6280841626226902,0.6235779769718647,0.6340636223554611,0.5590474255383014,0.5722494706511497,0.6027207098901272,0.625047268718481,0.6251912698149681,0.6229876413941383,0.6227666012942791,0.611657778173685,0.557395002245903,0.5896724335849285
9,-13.281628549098969,0.58259998857975,0.5886675588786602,0.6144324414432049,0.6136470310389995,0.6226782485842705,0.6518583916127682,0.5712410233914852,0.5741353467106819,0.5896830096840858,0.6096195749938488,0.6246944762766361,0.6277072079479694,0.623134920746088,0.6346457064151764,0.5596940465271473,0.5712581261992454,0.6031783990561962,0.6265797339379787,0.6249410048127174,0.6225877836346626,0.6230751596391201,0.6108863599598408,0.5581140130758285,0.5892640374600887
