iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4],gamma[5],beta[5],gamma[6],beta[6],gamma[7],beta[7],gamma[8],beta[8],gamma[9],beta[9],gamma[10],beta[10],gamma[11],beta[11],gamma[12],beta[12],gamma[13],beta[13]
0,-5.984883606433868,0.5954120442271232,0.6090634971857071,0.6032518319785595,0.5799987636506557,0.5985255599021911,0.6080598630011081,0.6031984522938728,0.600040628015995,0.5967988580465317,0.6085142329335212,0.6001042336225509,0.5764974825084209,0.6027624331414699,0.6103646256029606,0.6049965195357799,0.5977691099047661,0.5965817332267761,0.6061904825270176,0.5963336028158664,0.578333618491888,0.6087280534207821,0.612057576328516,0.6049936585128307,0.5927249364554882,0.5955982714891433,0.6033264756202698,0.5944507144391536,0.5870964251458645
1,-7.309655010700226,0.5871676042675972,0.6137583240866661,0.6045100264251232,0.5684909172356128,0.5998136386275291,0.6128174684941768,0.6083532556891441,0.5933174252510071,0.5935211539268493,0.6143945962190628,0.6011932253837585,0.563950265198946,0.6042781345546245,0.6150253511965275,0.6116518102586269,0.5871207922697067,0.5975062236189842,0.6122122354805469,0.5959313608705997,0.5628430418670177,0.6146493352949619,0.6178252421319484,0.613254452496767,0.5791221655905247,0.5970790147781372,0.6071614235639572,0.5925955943763256,0.5742746464908123
2,-8.352254152297974,0.5768768176436424,0.6138403698801994,0.6045978240668773,0.5633878283202648,0.6013898834586143,0.6143426246941089,0.615103243291378,0.5824636429548263,0.5898280203342438,0.617230711877346,0.605550853908062,0.5579793997108936,0.6024658255279064,0.6150058008730411,0.6171693451702595,0.5766291156411171,0.6011198073625564,0.618203180283308,0.5991194419562816,0.5485966451466083,0.6156565941870212,0.6204798616468906,0.6210987143218517,0.5729216434061527,0.6005750805139541,0.6097360238432884,0.5914133362472057,0.5624136947095394
3,-9.455845206975937,0.5673912301659584,0.6105294659733772,0.6031499080359936,0.5591815583407879,0.6036580711603164,0.6144235827028751,0.6226740837097168,0.5693734720349312,0.5861031994223594,0.6171007961034775,0.6119703337550163,0.553121442347765,0.5996305592358112,0.6132936351001262,0.6211583785712719,0.5674791544675827,0.6057922750711441,0.6230566151440143,0.6044061951339245,0.5322200007736683,0.6147189013659954,0.6228768400847912,0.6280504487454891,0.5711959697306156,0.6033469051122665,0.6107551664113998,0.5905312769114971,0.5509596563875675
4,-10.595085754990578,0.5598402976989746,0.6061484277248382,0.599456126242876,0.5530961327254772,0.6063312128186226,0.6141415782272815,0.63065375238657,0.5548682495951652,0.5827079325914383,0.6148999541997909,0.6177704244852066,0.5478503428399563,0.5964148588478565,0.6120590440928936,0.6241594575345516,0.5581316486001014,0.6108175724744797,0.6262823291122913,0.6097323693335056,0.5145311899483204,0.6132791213691234,0.6260553769767284,0.6345960818231106,0.568940507620573,0.604762627184391,0.6107234939932823,0.5901845268905163,0.5398665614426136
5,-11.608238518238068,0.5544720500707626,0.6023375079035759,0.5950275085866451,0.5440359212458133,0.6091857388615608,0.6131484977900982,0.6387145057320595,0.5412602186203003,0.5799213781952858,0.6112894624471664,0.6214826315641403,0.5417787156999111,0.5929276667535305,0.612813825160265,0.6265104807913303,0.5490301385521889,0.6146956220269203,0.6277287103235721,0.6139168761670589,0.4978198878467083,0.6120703317224979,0.6304857827723026,0.6404718853533268,0.5637336395680904,0.6040298774838447,0.611192262172699,0.5907949604094028,0.529826345294714
6,-12.344929695129395,0.5507558271288872,0.5999372363090515,0.5917659722268581,0.5336843527853489,0.6119374841451645,0.6112573765218258,0.646164907515049,0.5304308295249939,0.5783257469534874,0.6068412497639656,0.6227441117167473,0.5360114894807338,0.5893618039786815,0.6158842243254185,0.6282232649624347,0.5408629462122917,0.6165973156690597,0.6272892080247402,0.6167428888380527,0.4851479701697826,0.6113372094929218,0.6355310179293155,0.6451147221028805,0.5559435658156872,0.6016185939311981,0.6133005902171135,0.5924176447093487,0.521753142029047
7,-12.756359249353409,0.5479371458292007,0.5990533590316772,0.5905228801071644,0.5249871335923672,0.6139458104968071,0.609057980030775,0.6520612671971321,0.5235164672136307,0.5782431796193123,0.6023977234959602,0.6224188193678856,0.5316201843321323,0.5860672317445278,0.6202627815306186,0.6291015021502971,0.5347454532980919,0.616475535929203,0.6255522392690182,0.6188211463391781,0.47797191366553304,0.6111049972474575,0.6397569574415684,0.648203993588686,0.5483894594013691,0.5987129792571068,0.6172764956951141,0.5942902438342571,0.5159533120691776
8,-12.948230683803558,0.5456662535667419,0.5994457960128784,0.5906737692654133,0.5191562347114086,0.6149686709046364,0.607214467972517,0.6559609159827232,0.5200744926929474,0.5793402031064033,0.5987000003457069,0.6214701518416405,0.5288765378296375,0.5832410104572773,0.6243009515106678,0.6291660539805889,0.5309496060013771,0.6152846500277519,0.6233376733958721,0.6207406245172024,0.47528849765658376,0.6110022835433483,0.6422852151095867,0.6500009544193744,0.5433898963034153,0.5963128045201301,0.6219538658857345,0.5956166408956051,0.5120350666344166
9,-13.042556017637253,0.5438737332820892,0.6006349831819534,0.5914129115641117,0.5151888899505138,0.6155060067772865,0.6058556906878948,0.6582445189356804,0.5186399579048157,0.5809471890330314,0.5959543123841285,0.6204410031437874,0.5271058924496174,0.5808993227779865,0.627034480124712,0.6287993811070919,0.5288018867373466,0.6140462443232536,0.6211471877992153,0.6225814990699291,0.47479251250624654,0.610716687887907,0.6433731190860271,0.6511882044374943,0.5408362992107868,0.594642786681652,0.6260791629552841,0.5962621740996837,0.5093217141926288
