iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4],gamma[5],beta[5],gamma[6],beta[6],gamma[7],beta[7],gamma[8],beta[8],gamma[9],beta[9],gamma[10],beta[10],gamma[11],beta[11],gamma[12],beta[12],gamma[13],beta[13],gamma[14],beta[14],gamma[15],beta[15]
0,-11.15245434641838,0.5815787151455879,0.6166468843817711,0.5984318986535072,0.6154887214303016,0.6060176700353622,0.6238278806209564,0.5819181114435196,0.5949401766061783,0.5818936139345169,0.6172851383686065,0.6015842169523239,0.6191762894392013,0.6075731575489044,0.618158033490181,0.5793796613812446,0.5944673180580139,0.5847215265035629,0.6183147042989731,0.6048128068447113,0.6177618786692619,0.6068949460983276,0.6126926973462105,0.5776070341467857,0.6000433325767517,0.5879817888140678,0.6190484523773193,0.6050396919250488,0.6126939564943313,0.6050751343369484,0.6092827454209327,0.577933794260025,0.610110855102539
1,-12.766857698559761,0.5811983183026314,0.6061472728848457,0.6075636133551597,0.6095672607421875,0.6173852145671844,0.6322354882955551,0.5798707664012909,0.5841944202780723,0.5818911477923393,0.6075451657176018,0.61638363301754,0.617392411828041,0.6236987546086311,0.6207771956920624,0.5746494591236114,0.5780591502785682,0.5875165969133377,0.6128202363848686,0.6214693546295166,0.6173354744911194,0.6231180414557457,0.6083809867501259,0.5712565317749977,0.5841750934720039,0.595020218193531,0.6181549787521362,0.6185417979955673,0.6120430216193199,0.6168015360832214,0.6004080310463905,0.5721807911992073,0.59954254925251
2,-13.033498287200928,0.5792566895484924,0.6074104592204094,0.6062748342752456,0.6132934749126434,0.6166567787528038,0.6423402935266495,0.5743052423000335,0.5804653227329254,0.582062816619873,0.6107094943523407,0.6150676965713501,0.6223240330815315,0.6222628936171531,0.6321629717946052,0.5680405855178833,0.5724920764565468,0.5897040575742721,0.616401581466198,0.6194542929530144,0.6232358425855636,0.6226984471082687,0.618525019288063,0.5635270982980728,0.5790413230657577,0.5979549646377563,0.6207728445529938,0.6170666426420212,0.6200435295701027,0.6161027312278747,0.6072795376181602,0.5637785106897354,0.5969112053513527
3,-13.082613587379456,0.5835669845342636,0.5984418824315071,0.6098286867141723,0.6070646107196808,0.6182782784104347,0.639332702755928,0.579825496673584,0.5779306054115295,0.5858119785785675,0.6053271949291229,0.6192442834377289,0.616678549349308,0.6230932161211967,0.6297259911894798,0.5733486622571945,0.5688183590769768,0.5935787320137024,0.6142725184559822,0.6217981562018394,0.6175435543060303,0.6246161520481109,0.6160773545503616,0.5688546061515808,0.5753102660179138,0.6018064975738525,0.6195883810520172,0.6171577483415603,0.6178390070796013,0.6170974284410476,0.6040234997868538,0.5696054458618164,0.5932760670781135
4,-13.103362709283829,0.5787667021155357,0.6014091953635216,0.6060425996780395,0.6133813247084617,0.614574185013771,0.6458886846899986,0.5783891066908836,0.5772991612553596,0.5813403785228729,0.6100517868995666,0.616555055975914,0.6227709710597992,0.618586628139019,0.6379007086157799,0.5705252423882484,0.5684254229068756,0.5903090372681618,0.6185150280594826,0.6204732492566108,0.6214534252882004,0.6234878212213516,0.6235005989670753,0.564438334107399,0.5758499711751938,0.5992899447679519,0.621772988140583,0.6175491645932197,0.6224725976586342,0.6181122496724129,0.6085276886820793,0.5638111293315887,0.5951203763484955
5,-13.108587682247162,0.5839307144284248,0.5919313415884971,0.6105918794870376,0.6067232921719551,0.617754316329956,0.6403028652071953,0.5833981171250343,0.5752158746123314,0.5857622683048248,0.604879429936409,0.6204257518053055,0.6171124339103699,0.620054467022419,0.6324979349970817,0.5757075682282448,0.565982511639595,0.5941878393292427,0.6174631848931312,0.6213670954108238,0.6161250829696655,0.6241519063711166,0.6188721045851707,0.5702721238136291,0.5738992005586624,0.6022754520177841,0.6218480750918388,0.6161394849419594,0.6196763351559639,0.6171841457486152,0.6044935271143913,0.5706296771764755,0.5930656999349594
6,-13.119818985462189,0.5784817695617676,0.596503509581089,0.6061159208416939,0.6136651545763016,0.6134484842419624,0.6474081635475158,0.5813888147473335,0.5749683886766433,0.5806264787912369,0.6105361342430115,0.6171508118510246,0.6237446874380111,0.6153541937470436,0.6411490127444267,0.5722064957022667,0.5659992456436157,0.5903895854949951,0.621881565451622,0.6201660320162773,0.6206365212798118,0.6231830924749374,0.6262833312153816,0.5650304764509201,0.574639244377613,0.5994915649294853,0.6241263657808304,0.6171031579375267,0.6242160409688949,0.6185273364186287,0.6089369565248489,0.5639523550868034,0.5948801770806312
7,-13.123071283102036,0.584524056315422,0.5869502410292625,0.6109796747565269,0.6064526498317718,0.6169244483113289,0.6412083566188812,0.5859078601002693,0.5729580730199814,0.5858467578887939,0.6050071477890014,0.6210727080702781,0.6174000710248947,0.61736631244421,0.6345436111092567,0.5773420318961143,0.5637298732995987,0.5945974797010422,0.6206544250249862,0.6209233686327934,0.6151387378573417,0.6238470584154129,0.6203454867005348,0.571262663602829,0.5730147048830986,0.6024276748299598,0.6242549628019333,0.6156312063336372,0.621090105175972,0.6172648057341575,0.6040615051984787,0.57137301415205,0.5931169226765632
8,-13.14067754149437,0.578793017566204,0.5925319775938988,0.6061516016721725,0.6136041492223739,0.6122105404734611,0.6485617890954017,0.5835846349596977,0.5730219691991806,0.5804876670241356,0.6111830830574035,0.617402596771717,0.6241868942975998,0.6125043988227844,0.6434983447194099,0.5734539166092872,0.5640211835503578,0.5907529428601265,0.6249639227986336,0.6197182148694992,0.6199949964880943,0.6229150950908661,0.6277889519929886,0.5655581787228584,0.5737169221043587,0.5997695535421371,0.6263617858290672,0.6168596506118774,0.6256524085998535,0.6187160074710846,0.6085528790950775,0.5642373919486999,0.594662694633007
9,-13.152311235666275,0.5851606860756874,0.5832482114434242,0.6110709965229034,0.6063779205083847,0.6156756415963173,0.6422844514250755,0.5875898733735084,0.5711354374885559,0.5860099032521248,0.6056114941835403,0.6212374255061149,0.6176854431629181,0.6147371143102646,0.6363549664616585,0.5783890768885612,0.5619683846831321,0.5949837401509285,0.6237031653523445,0.6203947871923446,0.6146180763840675,0.623489773273468,0.6212467014789581,0.5718479290604591,0.5724286124110222,0.6025014728307724,0.6265195593237877,0.6154457986354828,0.6225188285112381,0.6172482132911682,0.6034083127975464,0.5717354774475097,0.5932560697197914
