iter,energy,gamma[0],beta[0],gamma[1],beta[1]
0,-2.594052791595459,0.5932873398065567,0.5959237314760685,0.5973384290933609,0.5884795770049095
1,-2.8268301263451576,0.5863067008554935,0.5919569455087185,0.5946850799024105,0.5760429002344608
2,-3.087242029607296,0.5790245816111564,0.5881059043109417,0.5920133091509342,0.562689958512783
3,-3.376995377242565,0.571403993666172,0.5843770302832126,0.5892850071191787,0.5484456665813923
4,-3.6968944892287254,0.5634056203067302,0.5807668663561344,0.5864520132541656,0.5333643801510334
5,-4.0463427901268005,0.5549928158521652,0.5772663116455078,0.5834493845701217,0.5175456389784813
6,-4.423489540815353,0.5461327195167541,0.5738487266004085,0.5802027717232704,0.5011140875518322
7,-4.82487678527832,0.5367991872131824,0.5704794213175773,0.576631361991167,0.4842405080795288
8,-5.2459742575883865,0.5269801340997219,0.5671090170741081,0.572647450864315,0.4671118915081024
9,-5.681261405348778,0.5166746623814106,0.5636734053492546,0.5681757614016533,0.44994952380657194
10,-6.1251852214336395,0.5058985970914364,0.5601059705018997,0.5631458818912506,0.4329673409461975
11,-6.5725560039281845,0.4946799002587795,0.5563364908099174,0.5575159549713135,0.41636872887611387
12,-7.018769174814224,0.48307193294167516,0.5523028135299682,0.5512647986412048,0.40033755302429197
13,-7.460256189107895,0.47113307043910024,0.5479496404528618,0.5443996325135231,0.38501927107572553
14,-7.893952488899231,0.45894106701016424,0.5432480856776237,0.5369540512561798,0.3705312073230743
15,-8.317517265677452,0.4465747646987438,0.5381852447986603,0.5289874285459518,0.35694669783115385
16,-8.728665843605995,0.4341306112706661,0.532786650955677,0.5205811023712158,0.34429962784051893
17,-9.125255063176155,0.421703378111124,0.5270890280604362,0.5118267372250557,0.33259411752223966
18,-9.505202829837799,0.4093795962631702,0.5211490526795387,0.5028232619166374,0.3218132838606834
19,-9.866474628448486,0.3972459532320499,0.5150402322411537,0.4936643078923225,0.31191900223493574
20,-10.207034677267075,0.3853867448866367,0.5088473096489906,0.48445255905389784,0.3028568163514137
21,-10.52537253499031,0.37385995164513586,0.5026484861969948,0.47527377158403394,0.2945693865418434
22,-10.820163607597351,0.3627270258963108,0.49653671532869337,0.4662120476365089,0.2869980618357658
23,-11.090917587280273,0.3520293481647968,0.49056744426488874,0.4573334440588951,0.28006981164216993
24,-11.337635457515717,0.34179377034306524,0.4848227486014366,0.4486884906888008,0.27372185736894605
25,-11.560716778039932,0.33203800991177557,0.47933916598558424,0.44033114463090894,0.2679048016667366
26,-11.761255234479904,0.3227739132940769,0.4741503432393074,0.43228171616792677,0.2625666543841362
27,-11.940542787313461,0.31400408819317815,0.46926855891942976,0.4245624229311943,0.2576583012938499
28,-12.100187212228775,0.305722589045763,0.46469849199056623,0.41719271093606947,0.2531339511275291
29,-12.241996467113495,0.297915393859148,0.46042866855859754,0.41016085296869276,0.24896508306264875
30,-12.367757260799408,0.2905669309198856,0.4564495667815208,0.4034653291106224,0.24510854333639143
31,-12.479120463132858,0.2836518384516239,0.45273318737745283,0.3971101030707359,0.24153987914323805
32,-12.577632427215576,0.27715603485703466,0.44927739948034284,0.39107115417718885,0.23823566585779188
33,-12.664927214384079,0.2710495837032795,0.44604806452989576,0.38533821552991865,0.23517094403505323
34,-12.742215484380722,0.26531567648053167,0.443040831387043,0.379901809990406,0.23231877237558363
35,-12.810674250125885,0.2599266268312931,0.4402273282408714,0.3747530713677406,0.22966882437467573
36,-12.871532946825027,0.25486705675721166,0.4375895097851753,0.3698610201478004,0.2271828934550285
37,-12.925634801387787,0.2501086540520191,0.4351146504282951,0.3652158513665199,0.22487243860960004
38,-12.973833322525024,0.24562802389264105,0.4327818289399147,0.3608092054724693,0.22271628528833387
39,-13.016835033893585,0.2414094306528568,0.43058395236730573,0.35662674754858015,0.22068805843591688
40,-13.055220752954483,0.23744376972317693,0.4285102769732475,0.3526407018303871,0.21879918724298475
41,-13.089661836624146,0.23369632139801977,0.4265440985560417,0.3488585039973259,0.21702843755483625
42,-13.120504826307297,0.23016365841031072,0.4246864452958107,0.3452617064118385,0.21535070091485975
43,-13.148291766643524,0.22682573869824407,0.4229042664170265,0.3418432608246803,0.21378026753664015
44,-13.173342674970627,0.22366326525807378,0.42121651619672773,0.3385784015059471,0.21228626221418379
45,-13.195884019136429,0.22067193165421484,0.4196217194199562,0.3354763075709343,0.21088127642869947
