iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3]
0,-11.973940114490688,0.593759635835886,0.610536078363657,0.6029741562902927,0.6165049154311418,0.6031109154224396,0.6111071784049272,0.5782652668654918,0.6048140939325094
1,-12.406468205153942,0.5912916771136224,0.6150934201665222,0.6092313750647008,0.6243567624129355,0.6090752355754375,0.6185583508573472,0.5615395576693117,0.6049417968839407
2,-12.667735829949379,0.5915414131246507,0.6162442070432007,0.6155663914047181,0.6280323200859129,0.6150539390742779,0.6238538063131273,0.5487396762706339,0.6024295467883348
3,-12.84438744187355,0.593094717618078,0.6159381632693112,0.6207100971601903,0.6302400984801352,0.6198347456753254,0.628264322783798,0.5385133446194231,0.598940235003829
4,-12.968120500445366,0.595135901030153,0.615014708507806,0.6246344371698797,0.6317943715490401,0.6233750455081463,0.632213048543781,0.5301430569030344,0.5952572491019964
5,-13.055731564760208,0.597235958930105,0.6138111640699208,0.6276010348461568,0.6329273291863501,0.6259235166013241,0.6358024849556386,0.5232480288483202,0.5917619805783033
6,-13.117928132414818,0.5991855449043214,0.6125026782043278,0.6298606096766889,0.6337454923428595,0.6277401842176914,0.6390526591800153,0.5175525517202914,0.5885959085077047
7,-13.161957398056984,0.6008840612135827,0.611184595990926,0.6315994559787214,0.6343101643957197,0.6290142633020878,0.6419703363440931,0.5128510565496981,0.5858267363160848
8,-13.193019196391106,0.6023080236278474,0.6098974858410656,0.6329647227190435,0.6346748703159392,0.6298957340419292,0.6445663868449628,0.5089798689819872,0.5834579285234213
9,-13.214948236942291,0.6034659481607377,0.6086648245342076,0.6340435071848333,0.6348956459201872,0.6304885692894459,0.6468670739792287,0.5057894111610949,0.5814592432230711
10,-13.23047985136509,0.6043796575628221,0.60750069366768,0.634902588929981,0.6350099303759634,0.6308667756617069,0.6488912775181234,0.5031671122647822,0.579792995378375
11,-13.241515636444092,0.6050854957662523,0.6064035435207188,0.6355959474109113,0.6350486510433256,0.6310894213616848,0.6506604476831853,0.5010009900666773,0.5784217085689306
12,-13.249418124556541,0.6056117600761354,0.6053787161596119,0.6361592336557805,0.6350329675711691,0.6311948172748089,0.6522059365175664,0.499205504450947,0.5772841390222311
