iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4],gamma[5],beta[5]
0,-4.071547284722328,0.5957364425063133,0.6030906200408935,0.5975985586643219,0.5758512787520885,0.6056301169097423,0.6114114321768284,0.6062788501381874,0.5913562797009945,0.5950879961252212,0.5983161315321922,0.5968153908848762,0.5875643961131573
1,-5.345346465706825,0.5909906610846519,0.6068759620189667,0.5954907894134521,0.5507997669279575,0.6113970972597599,0.6210923068225384,0.6139426067471504,0.5774613343179226,0.592465578019619,0.597965469956398,0.5943117573857307,0.5732911475002765
2,-6.5639049261808395,0.5851074516773224,0.6113651230931282,0.5944285750389099,0.5264789633452892,0.6156943015754223,0.6284131802618503,0.6222049206495285,0.5618345089256763,0.5928802922368049,0.5999032765626907,0.5920205995440483,0.5581657163798809
3,-7.540978655219078,0.577749153971672,0.6157690718770027,0.5948536083102226,0.50526207908988,0.6178784616291523,0.6334147252142429,0.630049942433834,0.5481913335621357,0.5963573738932609,0.6041768103837967,0.5898074939846992,0.5434494487941265
4,-8.246251046657562,0.5692918434739113,0.618959492444992,0.5965854361653328,0.48858376070857046,0.6184846632182598,0.6370024777948856,0.63677898645401,0.5381668008863926,0.6023384168744087,0.6096558779478073,0.5880159571766853,0.5300753660500049
5,-8.742735296487808,0.5605222195386886,0.6203121230006218,0.5989831149578094,0.4763561062514782,0.6181969441473484,0.640252398699522,0.6422146320343017,0.5316291995346546,0.6099964141845703,0.6149504542350769,0.5870292544364929,0.5184377156198025
6,-9.10514110326767,0.5521155878901481,0.6198830515146255,0.6013681873679161,0.4676558546721935,0.6173533894121647,0.6438431538641453,0.6465247556567192,0.5278672076761722,0.6185283496975899,0.6192302912473678,0.5869985282421112,0.5085043556988239
7,-9.389451012015343,0.544410502910614,0.6180789232254028,0.6032648518681526,0.4614048026502132,0.6160625241696834,0.6480175949633121,0.650006240606308,0.5261343814432621,0.6273234024643898,0.6222773626446724,0.5878785759210586,0.5000179134309292
8,-9.63014705479145,0.5374703094363212,0.6153634920716285,0.6044672042131424,0.45673509165644643,0.6143922306597233,0.6527631305158138,0.6529510453343391,0.5258260317146778,0.6359899327158928,0.6242462307214737,0.5895538985729217,0.492659667879343
9,-9.84567278623581,0.5312064051628113,0.612096144258976,0.6049351453781128,0.4530164323747158,0.6124115161597729,0.6579373724758625,0.6556059703230858,0.5264809153974056,0.6443175807595253,0.6254342555999756,0.591882175207138,0.48615811243653295
10,-10.044355690479279,0.5254998415708542,0.6085397884249687,0.6047294795513153,0.44984871372580526,0.6102173648774624,0.663349325209856,0.6581525042653084,0.5277690015733242,0.6522050037980079,0.6261345952749252,0.5947190135717392,0.4803085573017597
11,-10.229103863239288,0.5202356934547424,0.6048541948199272,0.6039460659027099,0.4469991348683834,0.6079218409955501,0.6688153840601444,0.6607323423027992,0.5294464252889156,0.6596120432019233,0.6265713483095169,0.5979322552680969,0.47499913945794103
12,-10.400018036365509,0.5153324961662292,0.6011453852057457,0.6026968270540237,0.4443275652825832,0.6056524984538555,0.6741751678287983,0.6634227469563484,0.5313454143702984,0.6665233358740806,0.6269075334072113,0.6013948082923889,0.4701611496508121
13,-10.556607037782669,0.5107322841882705,0.5974940791726112,0.6010807514190674,0.44177076444029806,0.6035164020955562,0.6793010778725147,0.6662709400057792,0.5333611242473125,0.6729435011744499,0.6272480249404907,0.6050028413534164,0.4657649345695972
14,-10.698151856660843,0.5064120054244995,0.5939403012394905,0.599194473028183,0.43929979428648946,0.6016143731772899,0.6841117091476917,0.6692817643284797,0.5354075752198696,0.6788791701197624,0.6276449471712112,0.6086584538221359,0.46180344596505163
15,-10.824701398611069,0.5023463279008865,0.5905257746577263,0.5971143752336502,0.4369135223329067,0.6000156871974468,0.6885541327297687,0.672431169450283,0.5374527595937252,0.684340251982212,0.6281173288822174,0.6122911781072616,0.45828006640076635
16,-10.936836510896683,0.49852935075759885,0.5872863963246345,0.5948995262384414,0.4346220217645168,0.5987731389701366,0.6926304496824741,0.6756928250193596,0.5394728057086468,0.6893478766083717,0.6286562293767929,0.6158487260341644,0.4551870323717594
17,-11.035593003034592,0.4949446827173233,0.5842436090111732,0.592602676153183,0.4324448429048061,0.5979092292487621,0.6963497795164585,0.6790130272507667,0.5414455704391002,0.6939337238669395,0.6292496234178543,0.6192923545837402,0.45252917185425756
