iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4],gamma[5],beta[5],gamma[6],beta[6],gamma[7],beta[7]
0,-11.818025272339582,0.5877350218594074,0.6111182704567909,0.6039426162838936,0.6204632431268692,0.6064994171261787,0.6143988169729709,0.5780622087419033,0.601317735761404,0.589292349666357,0.6132902152836323,0.6068851746618747,0.6187340565025806,0.6043403580784797,0.6092572458088398,0.5770011566579342,0.6083234533667564
1,-12.574360080063343,0.5851753953844309,0.6097860861569643,0.6140151437371969,0.6240272153168916,0.6173718780279159,0.6205742586404085,0.565343838557601,0.5980675801634788,0.5892443418502807,0.6136612076312303,0.6190163124352693,0.6221167858690023,0.6150748696178198,0.6117349922657013,0.5629874676465988,0.6056824218481779
2,-12.902088209986687,0.5864607285708189,0.6075161475688219,0.6186063926666975,0.6258763376623392,0.6228923410177231,0.6267895478755235,0.556613915041089,0.5943200685083866,0.5924133494496345,0.6135820042341947,0.6243088733404875,0.625792820379138,0.6200240183621645,0.6155043229460716,0.5534791260957718,0.601278480514884
3,-13.060851648449898,0.588502649590373,0.6046552959829569,0.621242780610919,0.6257342997938394,0.626035837829113,0.6318392533808946,0.5513526130467653,0.5909199066460132,0.5960615560412407,0.613107655569911,0.6270241927355528,0.6279147308319807,0.6226251501590013,0.6184986516833305,0.5477734342217445,0.5968625362962484
4,-13.139312759041786,0.5899078365415334,0.6021470580250025,0.6226201321929693,0.6253215823322534,0.6276198834180832,0.6362067017704248,0.5481345135718584,0.5883425422012806,0.5987870305776596,0.6129758026450872,0.6283917766064405,0.6295245181769132,0.6237652380019426,0.6209188982844353,0.5442004114389419,0.5935024064034223
5,-13.179420739412308,0.5906904976814985,0.5998608846217394,0.6235074516385793,0.6247212592512369,0.6284779220819473,0.6397837106138468,0.5463692773133516,0.5863863848149776,0.6006613433361053,0.6131295304745435,0.6292706545442343,0.6305494051426649,0.624272421374917,0.6225999131798744,0.5421136826276779,0.5910098519176245
6,-13.20199528336525,0.5909754376858473,0.5978022892028093,0.6240923073142767,0.6241774041205644,0.6288802906870842,0.6427672658115625,0.5454790744930506,0.584894823282957,0.6018436685204506,0.6135998856276274,0.6298655834048986,0.6312783923000097,0.6243769604712724,0.6237397775053978,0.5409247487783432,0.5892347361892462
7,-13.216665357351303,0.5909532200545072,0.5959039110690355,0.624529492482543,0.6237020123749971,0.6290543213486671,0.6452696327120065,0.5451401997357607,0.5837017394602299,0.6025738701224327,0.6143080037087202,0.6303164329379797,0.631779495999217,0.6242622960358858,0.6244547948241234,0.5403005167841911,0.587929655238986
8,-13.227645486593246,0.5907493721693754,0.5941448960453272,0.6248774047940969,0.6233046878129244,0.6290808230638504,0.6474308896809816,0.5451082814484834,0.5827120713889599,0.6030007287859916,0.6152118559926748,0.6306762289255857,0.6321435164660215,0.6240234155207872,0.6248682126402855,0.54002216309309,0.5869376253336668
9,-13.236787229776382,0.5904383700340986,0.5924917016178369,0.6251567643135786,0.6229543838649988,0.6290210247039795,0.6493351314216852,0.5452511984854936,0.5818421863019466,0.6032511577010155,0.6162614192813635,0.6309635829180479,0.6324060674756765,0.623713955655694,0.6250583738088608,0.5399539977312088,0.586168248578906
