iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3]
0,0.9056972716934979,0.6162813114002347,0.6162933790124953,0.6128497066907584,0.6128610292449593,0.6147503602784127,0.6147520250175148,0.6129204825498163,0.6129290414042771
1,0.3443468548357487,0.6245535699650645,0.6245829671621322,0.6099377380684018,0.609978252928704,0.6221083790529519,0.6221153872553259,0.6151039264164865,0.6151249556802213
2,-3.5795282842591405,0.6435782084241509,0.643576005846262,0.5938530754297972,0.5938995647244155,0.650778241129592,0.6507893844041973,0.6167358922772109,0.6167502998374402
3,-2.4447662672027946,0.6539946183562279,0.6539286667481065,0.5760479247197509,0.576040602196008,0.666458141664043,0.6664365675766021,0.6133509957231581,0.6133684813044965
4,-0.31460925564169884,0.634128138795495,0.6339886406436562,0.6158471846953034,0.6158426887355745,0.6289686967153102,0.6290015165228396,0.6201630522496998,0.6201739813201129
5,-3.723377093905583,0.6583111587911844,0.658204741217196,0.5975560465827584,0.5975561420433223,0.6535186205524951,0.6535632774699479,0.6243574404157698,0.62437544753775
6,-3.4194773849012563,0.6667751405853778,0.666637146519497,0.5871172301936894,0.5871510488446802,0.658897630078718,0.658882359880954,0.6230548274703324,0.6230696715880185
7,-1.884050547145307,0.6562306330539286,0.656107520867954,0.6122901446957257,0.6122617682791315,0.6339689668908249,0.6339419041483779,0.6339050760885584,0.6339457571317325
8,-3.3367882734164596,0.6877411966212094,0.6876343686104519,0.5913559363994864,0.5913413342437707,0.6575153999670874,0.6574752661123057,0.6247973699515569,0.624783163498796
9,-2.3941961587406695,0.6762061425484717,0.6762243539065821,0.622899119539943,0.6228468221030198,0.6282003222673666,0.6280751144237001,0.6467918750291574,0.6467369604666601
10,-3.115283246152103,0.6929432339034974,0.6929195660137338,0.6313212069522706,0.6312531608506106,0.6466019501618575,0.6464995993024786,0.6326437649709987,0.6325492179763387
11,-4.258053317666054,0.6993336574174464,0.6993904278584523,0.6027337669234839,0.6026348474784754,0.6447657266340684,0.6446465188360889,0.6353098341656732,0.6352410242703627
12,-4.307405068539083,0.6972187821753323,0.6971719802328152,0.5975373501729336,0.5974288194789551,0.6416529113135766,0.6415542857444961,0.6364923716915655,0.6363903508332441
13,-4.311978622339666,0.6981141650117934,0.6980811838962836,0.5958362475808826,0.5958563837572001,0.6419561732269358,0.6418219851053436,0.6374562067372608,0.6373962071535061
14,-4.304444243200123,0.6981805962510407,0.6980559310846729,0.5962908959787455,0.5963451744406484,0.6400974396325182,0.6398767968363245,0.6388343499434995,0.6388037009906838
15,-4.228635471314192,0.6997163611464202,0.6997657322295708,0.5926696250986424,0.5927590470178984,0.6440251622057985,0.6438458701319177,0.6358992030305671,0.6358347284418414
16,-3.640965385362506,0.6963685638271272,0.6963758205034537,0.6027830245744553,0.602807812707033,0.6317375994927715,0.6316796866900404,0.6447100640667486,0.6446761182320188
17,-1.6457296330481768,0.705243434663862,0.7052219227858586,0.5840649775069323,0.584057881811168,0.6629497393674683,0.6628523803970893,0.6194992318211007,0.619492685496516
18,-2.8003745954483747,0.6936610088683665,0.6936897371866507,0.6281097971674171,0.6280806989758275,0.626761505723698,0.6266570547319134,0.6441682345626759,0.6441686964404653
19,-3.0851716473698616,0.6957943242974579,0.6957958486833377,0.631228847692546,0.6311973466887139,0.6437110783241223,0.6436364762208541,0.6265543355999398,0.626529488786764
20,-4.198725638911128,0.704440136346966,0.7044513558008475,0.6042258667599526,0.6041433944716118,0.644387041562004,0.6442364994160016,0.6370217587260413,0.6369704716649721
21,-4.286598235368729,0.6993102905340493,0.6993484904029174,0.5956522508364287,0.5956224634661339,0.6409114667854737,0.6407485846153577,0.6335196133164572,0.6335429717597435
22,-4.188872235361487,0.698226445261389,0.6983051064395113,0.5988317674797144,0.5987421705736778,0.6364329367585014,0.6363668096906622,0.6397660450471448,0.6397276102376054
23,-3.4213624615222216,0.7025232649408281,0.7025837309862254,0.5878440481916186,0.5877969242515974,0.6511459073459264,0.6510518731971388,0.6297172880891594,0.6296701419210876
24,-1.7255252073518932,0.6925578386522829,0.6926948920096038,0.6204819591090199,0.620349740225356,0.6174339626391884,0.6173356118102674,0.6531567028883728,0.6530179285487975
25,-2.7732236608862877,0.6931651843711734,0.6933370831626234,0.632959786367428,0.6327834763447754,0.6492386262340005,0.6491482638244633,0.6204514154393109,0.6203159426382626
26,-4.112452948465943,0.7038703834637999,0.7040406803804217,0.6005080002665636,0.600332789204549,0.6498240742308553,0.6496718347494607,0.6361543336111936,0.6360522952905739
27,-3.79513418674469,0.6952519662678242,0.6954437534528551,0.6034521204725024,0.6033578087459318,0.6323660972935613,0.6321666118179564,0.6410509203720721,0.6409704701087321
28,-2.1646783938631415,0.7046611042693257,0.7048327050375519,0.586124770839524,0.58610043869121,0.6604906606895383,0.6603695460085873,0.6223421399641665,0.6223515017933096
29,-2.483867060393095,0.6925350934267044,0.6927018839138327,0.6286919541031238,0.6286909422720782,0.6220527288911398,0.6219196793113951,0.6478944369751843,0.6479135031855549
30,-2.405430195853114,0.6915964273735881,0.6918246432411251,0.6422325508043286,0.6421760926838033,0.6417282128182705,0.6416245324959163,0.6251587015736731,0.6251087567812647
31,-3.217346841469407,0.7051741745322943,0.7054125092196045,0.618981868524861,0.6188577591325156,0.631011637620395,0.6309293730606441,0.6419188059095177,0.6418938950679148
32,-3.5169319035485387,0.7041269302368164,0.7043286406638799,0.6039713095247862,0.6039414965431206,0.6531500320357736,0.6531548368235235,0.6178285270158085,0.6177883890501107
33,-3.3834334714338183,0.696938251517713,0.6971198127808748,0.6164836609110352,0.6163924830849282,0.6305130494234618,0.6305062778716092,0.6377066946748527,0.6376749153292621
34,-3.4893388310447335,0.7037866412661969,0.7039576250332175,0.6008182214878616,0.6007069550338201,0.6566327291016932,0.6566507842813735,0.6243988261718186,0.6244719463444198
35,-2.8945207179058343,0.6926935556344688,0.6928312772157369,0.6192531185530242,0.6191026387619786,0.6267983086814638,0.6268879872237448,0.6423664461050066,0.6424061550802435
36,-3.7045034170150757,0.7005963562056422,0.7007090240455,0.6126337398614851,0.6124897292698733,0.6556268541549798,0.6557662047867779,0.6227988314509275,0.6228132259144331
37,-4.064068074338138,0.6941661559045315,0.6942387955001322,0.6078627046968904,0.6078255866537802,0.6397191940282937,0.6398521837269072,0.6361962559327367,0.6361277254341985
38,-3.5860882364213467,0.7005056733265519,0.7004790851584403,0.5922419105496374,0.5921269013429992,0.6534148442966398,0.6535510633562808,0.6300890918515506,0.6301219334869529
39,-2.152280154172331,0.690020471252501,0.6900868849566905,0.6189488892283407,0.6189352544839494,0.6223584029299672,0.622416484025598,0.6507815427772584,0.650735054355755
40,-3.3062213314697146,0.6952003104612231,0.6953380704595474,0.6241192964676884,0.6241208469378762,0.6539628298429306,0.6539696183477645,0.6196765492364648,0.6196193180090631
41,-4.071032460778952,0.6983024341985583,0.6984547647385625,0.598737510650244,0.598724234465044,0.6520417954248842,0.652031927225471,0.6344068080812576,0.6343074764168705
42,-3.369949508458376,0.6906039867550134,0.690548646330717,0.6079488310802844,0.6079175943392329,0.6323746235517319,0.6322922099803691,0.6447534293562057,0.6446010029918398
43,-2.1536267679184675,0.7036283047869801,0.7036606623529224,0.5911599395636585,0.5911792177590541,0.6645330290717538,0.6643673552622203,0.6192605879783514,0.6191137122965301
44,-2.891621428541839,0.6900788931176066,0.6900895694940118,0.6303143983546761,0.6303379047545604,0.6283201898855623,0.6281180175443296,0.6419120666265371,0.6416939633942093
45,-3.0997884795069695,0.6957246078178286,0.6957943719549803,0.6326226860124734,0.6327048331382684,0.640115916490322,0.6399153925900464,0.6329305127888801,0.6327308311170782
46,-3.9848679713904858,0.70228690225631,0.7023620587511686,0.6115884769547847,0.6116850782069377,0.6397976370004471,0.6397092722778325,0.6360187505066278,0.6357645864642109
47,-3.773881930857897,0.7018556160852313,0.7018849794490961,0.5937315679926541,0.593791195738595,0.6496297304925974,0.6495857712303404,0.6280326687425258,0.6277515149718965
48,-2.4349251920357347,0.6934507837519049,0.6933871731831459,0.6156799446631339,0.6157838567974977,0.622947189718252,0.6227732737039332,0.6473846763998153,0.6471582471436704
49,-3.4344747932627797,0.700354622118175,0.7003202737047104,0.611955001282331,0.612000756978523,0.6590428987925406,0.6588248846543138,0.6175369264252367,0.6173165950036491
50,-3.8882381301373243,0.6929344492033124,0.6928472854866413,0.613467855642375,0.6133828629623167,0.640564047958469,0.6403951191765372,0.6342688722230377,0.6339858534789528
51,-3.698667167685926,0.7007609674707055,0.7007032894267468,0.5943446413453785,0.5942164166714065,0.6541556112875696,0.6539623982695048,0.6314853492818656,0.63126142295514
52,-2.349806398153305,0.6901284720748663,0.6900055478996364,0.6168279114950564,0.6166392160463147,0.6244717088935431,0.6244524389927392,0.6496993040360394,0.6495094315192546
53,-3.501185594126582,0.6978611805476248,0.6977381632401375,0.6160140100706485,0.6157919010962359,0.6578039114770945,0.6578432450492983,0.6184372848525527,0.6182613845026935
54,-4.173794937785715,0.6932796136476099,0.6930937041266588,0.6074934236545232,0.6073331451858394,0.6456880473939236,0.6457485685546999,0.634282714004803,0.6340526479340042
55,-4.17673996835947,0.6962268467992544,0.6959700752719072,0.5959362343724933,0.5958257141406648,0.6484466411580797,0.6485432045024936,0.6349929359435919,0.6347484855956281
56,-3.554026414640248,0.6920353084802627,0.6917773262335686,0.6058249709036317,0.6056932910229079,0.6336485959996935,0.6337452711028163,0.6449799270063522,0.6447647295004572
57,-1.9541383385658264,0.7038170745596289,0.70362783788878,0.5879741248514619,0.5878407732467167,0.6638965748657938,0.6639431960371439,0.6199038571372512,0.6196897027126397
58,-2.8340453319251537,0.6908006681129336,0.6906534387468127,0.6297695443805423,0.629555149085354,0.6275435436924454,0.6275645814326708,0.6438418135672691,0.643567914799496
59,-3.008031014353037,0.6946869421750307,0.69461700792599,0.6337650392975774,0.6336538438568823,0.6410166334768291,0.641019459204108,0.6304557698473218,0.6301358684009756
60,-3.9829093515872955,0.7032602693885565,0.7032552855758695,0.6106460832830635,0.6104351245681755,0.639716358151054,0.6397937921297853,0.6380277204021695,0.637760112718388
61,-3.643887819722295,0.7017530169337988,0.7016748963593272,0.5926772759135929,0.5924926456878893,0.6497499153425451,0.6498424553734367,0.6263723767056945,0.6261243547356571
62,-2.2883061808533967,0.6929552828893065,0.692872501045349,0.6179683928217855,0.6178732021595351,0.6208569828828331,0.6210355026138131,0.6474065066009643,0.6471344425386633
63,-3.465199565514922,0.6986331235617399,0.6985345651133684,0.6196167662579682,0.619515757157933,0.6555866256763693,0.6557896717873518,0.6190504164129379,0.6188192420682753
64,-4.224496319890022,0.6969955092296004,0.6967934994696406,0.6032117519367602,0.6032261150772683,0.6474611808022018,0.6477027184751932,0.6337110356122139,0.6334809974810923
65,-4.230700965970755,0.6944868102669716,0.6942905747069744,0.6006141861740616,0.6005361062358133,0.6401612462883349,0.640520675429434,0.6387633162245038,0.6385221487886156
66,-3.8367927987128496,0.6996022636536509,0.6994264065957395,0.5913892509721336,0.5912885806406848,0.6499789310561027,0.6503516548269545,0.6323948940422269,0.6320373403883423
67,-2.255174282938242,0.6913754303473979,0.6912401929235784,0.6145823216371354,0.6144464519689791,0.6234065983386244,0.6238241932311211,0.6507322769772145,0.650426225461706
68,-3.3781048068776727,0.6993081030901521,0.699182206831756,0.6114386166751501,0.6112799086491577,0.6598763684683945,0.6602759143293951,0.6168014318842324,0.6164431238590623
69,-3.8158356733620167,0.6911508209537714,0.6910318211390404,0.6150306300565717,0.6148469672421925,0.640907460352173,0.6413042727814172,0.6341389981258544,0.6337037069766666
70,-3.705368203110993,0.7005175744649023,0.700395464032772,0.5948167206093785,0.5946195955271832,0.6546134552860167,0.6549643395424937,0.632232012708846,0.6318886430977727
71,-2.382325643207878,0.6895072042476386,0.6894191243423847,0.616432121519756,0.6162035223911516,0.6249307845660951,0.625356845180795,0.6498299441460403,0.6495102720378781
72,-3.501159144565463,0.6981135328765958,0.6979484116396634,0.6146848742224392,0.6144676232594065,0.6582276201748755,0.6586017921523307,0.6185081387098762,0.6181506618901039
73,-4.108737059868872,0.6924250518437475,0.6922917538991896,0.6092718411542591,0.6090556798386387,0.644191164051881,0.6446388918862794,0.634570379757497,0.6342451080723549
74,-3.9907293803989887,0.6975351838860661,0.6973558436817257,0.594670039632183,0.5943843248183839,0.6509355902613606,0.6513935789422248,0.6336756441902253,0.6333258857062901
75,-2.7996013769879937,0.6900356064084917,0.6899499945080606,0.6115206498958287,0.6112451423774473,0.6284472141356673,0.6289740415246342,0.648405907691631,0.6481029667935218
76,-2.696719778701663,0.7020453043747693,0.7019182812160579,0.5998203093491611,0.5995186596061103,0.663956909434637,0.6645513461859082,0.6168497000049683,0.6165401187769021
77,-2.9914447953924537,0.6885282002855092,0.6883372883981792,0.6291189259223756,0.6287806938285939,0.6313062021450605,0.6318788738877629,0.6366702746759983,0.6363692150494898
78,-3.6155083812773228,0.7001721329521388,0.7000121968536405,0.6216519121386227,0.6211967385257594,0.6428392189496662,0.6433378412344609,0.6372499554578098,0.6370090476280893
79,-4.014081414788961,0.7000234007369727,0.6998863192944554,0.5991660319574293,0.5986500895465724,0.6477288207912352,0.6482154476412688,0.6272592949841055,0.6268980509645189
80,-3.3494413141161203,0.6942132144700736,0.694120650246623,0.6097421497412142,0.6092157299513928,0.62994362366735,0.6304577617862378,0.6430763746771845,0.6427272099113907
81,-2.3734148871153593,0.7040960464160889,0.7039947044773726,0.5929726297341403,0.5924796909908764,0.6625971249246504,0.6631393796720658,0.61925547618157,0.6189385398334707
82,-2.8570452043786645,0.6909711688291281,0.6909228377713589,0.6302575515888748,0.6298296657274477,0.6260767723375465,0.6266227151223575,0.6416230877090129,0.6412928707009996
83,-3.022696115076542,0.6960612564813345,0.6960657872929005,0.6346725886993226,0.6342729684780352,0.639960235444596,0.6406208799176966,0.6324944966632756,0.6321218485987629
84,-3.8583125323057175,0.702599625242874,0.7026107498182682,0.6134817125581321,0.613007456145715,0.6372194089868571,0.6379091759168659,0.6368300453919801,0.6364670365161146
85,-3.577266987413168,0.7029962475877255,0.7030624040140537,0.5945120407573995,0.5939411503146402,0.6512563680240419,0.6519960631572758,0.6259975624430808,0.625672318697616
86,-2.379844949231483,0.6934404588770121,0.6935505923553137,0.6192989116840181,0.6187528223614208,0.6213203542807605,0.6221010555469547,0.6469131116915378,0.6465500655627693
87,-3.457129624672234,0.6984874891582876,0.6984667380544124,0.6208699853465077,0.6203383629559539,0.6543656187073793,0.655179051887535,0.6196307537771645,0.6192482593047316
88,-4.214818148873746,0.697817174391821,0.6978698394465027,0.6020996910825488,0.6015855356468819,0.6477036215306725,0.6484433312158217,0.6339144900135579,0.6335440235721762
89,-4.108027028851211,0.6940230407286435,0.6939688085782109,0.6023114645227906,0.6018447040929459,0.637680131936213,0.6384677116016974,0.6400573586739483,0.6397929233076866
90,-3.193160928785801,0.7013515994418412,0.701300505848485,0.5889877006717142,0.5885720465681515,0.6543260596168693,0.6552164153850754,0.6285225711922976,0.6282141971911187
91,-1.9376850854605436,0.6898750976193696,0.6898160412180004,0.6236533709176001,0.6231926128617488,0.618637638859218,0.619534783968993,0.6528009679328534,0.6525182611818309
92,-2.338967463001609,0.6898705481085926,0.6898342858272372,0.6398175801456091,0.6393305844045244,0.6457045341318007,0.6466416283234139,0.6227111276399228,0.6224601789886947
93,-4.01316768117249,0.7044243911746889,0.7043914723413763,0.6093274015307543,0.6088533325470052,0.6409567913447972,0.6418487536444445,0.6397093013089034,0.6394524853254552
94,-3.7051212657243013,0.7008587668184191,0.7007789279537974,0.5920496168851969,0.591592786682304,0.6477073433285113,0.6486080880000372,0.6261610631059739,0.6259575467134709
95,-2.2910355627536774,0.6926074536982924,0.6925363599526463,0.6167793651417014,0.6162887093028985,0.6202530527894851,0.6211592456980725,0.6469057891677948,0.6467018257404561
96,-3.4952483121305704,0.699567809375003,0.6994707387144444,0.6167990300178644,0.6162752493633888,0.656680249836063,0.6575550362191279,0.6185683673407766,0.618351998696744
97,-4.186403455678374,0.6952497601974755,0.6952135887200711,0.6073185480505344,0.6067432000651024,0.6443780187924858,0.6452190354189952,0.6338311890300247,0.6335592297415132
98,-4.210742995142937,0.6970388681162148,0.6969981215166626,0.5962221375972149,0.5958109654835425,0.6467209772614296,0.647487883894064,0.6349390112023684,0.6348002776081557
99,-3.707016388885677,0.6934230454731732,0.6933210085349856,0.6045297119140741,0.6040320106199942,0.6336636857537087,0.6344345691337366,0.6439287141125533,0.6438455152834649
100,-2.017800665460527,0.7039091928396374,0.7037809717672644,0.5868322220936534,0.5863008488318883,0.6620166466978844,0.6627140673532267,0.6211500121440622,0.6211213375951047
101,-2.6792981810867786,0.6912638998124748,0.6911131360771833,0.6293791118383524,0.6288720228127204,0.6247150448558386,0.6253976341991802,0.6460900716643664,0.6460562934677
102,-2.7050601821392775,0.6928567221853882,0.6926592945324955,0.6383390543356654,0.6378557699150406,0.6409963096899446,0.641697651213326,0.6276327017854783,0.6275648884053225
103,-3.6029701437801123,0.7044874277431518,0.704317190052825,0.6147924023985979,0.6142887732363306,0.6350864672509487,0.635779743520834,0.6409313408817979,0.6408659535969491
104,-3.2358868774026632,0.7033415657002479,0.7031609297933755,0.5952407517776009,0.5947232738486491,0.6532781307992991,0.6539641148134251,0.6200973522078129,0.6200190102259512
105,-2.5879843137227,0.6932504900265485,0.6930755631270585,0.6235466529920813,0.6229883272550069,0.6214251944271382,0.6220589219316025,0.6426891796450945,0.6426747729579801
106,-3.282642535865307,0.6982537260279059,0.6981000507454155,0.6278586555577931,0.6272520884755067,0.6491121235245373,0.649744535535865,0.624772001306701,0.6247637320353533
107,-4.186194613575935,0.7021464308723807,0.7019194139371393,0.5992409568585572,0.598666557657998,0.6468497360998299,0.6475672709944774,0.634193083520222,0.6342394828840042
108,-3.810185984708369,0.6960612995550036,0.6958009878377197,0.6038568103991565,0.60336332450388,0.6326709738874342,0.6333418774607708,0.6417279953762772,0.6418243415697361
109,-2.1966140614822507,0.704451400693506,0.7043271575326798,0.5864640400119242,0.58602300620405,0.6598852230177726,0.6605864481258322,0.6222313021004083,0.6223502421795274
110,-2.4780801916494966,0.6922661530785262,0.692079213281977,0.628923324898642,0.6285742312553338,0.621418350370368,0.6220721292498638,0.6478112407654407,0.6479350283785607
111,-2.3827866725623608,0.6915379938669503,0.6913251726160524,0.6430811649493989,0.6427432471769862,0.6411760561109986,0.6418205729874898,0.6254996482908609,0.6255732515870477
112,-3.099746871739626,0.7050339476205408,0.7048131961579202,0.6202533729679999,0.6200205502915196,0.6292635416553821,0.6298788475993206,0.6422909705594065,0.6423884762494708
113,-3.597123042680323,0.7041512168012559,0.7039242813567398,0.6076175654612598,0.6075214283424429,0.6523671029077377,0.6529716567325522,0.6176323474079254,0.6176928050859715
114,-3.749192349612713,0.6984673458151519,0.6982517073134659,0.612737637043756,0.612664214882534,0.6341534135804977,0.634759480804496,0.6364155544593814,0.6364994488700176
115,-3.30918494053185,0.7036848896183073,0.7035070581565378,0.5942378593914327,0.5941821137326769,0.6553864460380282,0.6560027904066373,0.6259162847578409,0.6260172596244956
116,-2.3619718393310905,0.692232481110841,0.6919636314938543,0.6225241050429758,0.6224012482794933,0.6214202875213232,0.6220354817065527,0.64736183105706,0.6475158307745005
117,-3.065746322274208,0.6955850223544985,0.6953101994673488,0.6296356679245946,0.6295735450345091,0.6498134012741502,0.6504060772436787,0.6219048747021588,0.6220539849760826
118,-4.115518397651613,0.7025928335729986,0.7023260573128937,0.5988718853637692,0.5988026285427622,0.6493400472623762,0.649907540269487,0.6351498835880193,0.6352424625816638
119,-3.58258356153965,0.6946844660211354,0.6943491770158289,0.605271268200886,0.6051976108807139,0.6311675503326114,0.6316937159004737,0.6428973185989889,0.6430131736720796
120,-1.947343174368143,0.7049584767315537,0.7045719510148046,0.5873216647029039,0.587223494972568,0.6626841302437242,0.6632987016069819,0.6198514853764209,0.6199449142019148
121,-2.7865655794739723,0.692539262259379,0.6921596842090366,0.6295045796156046,0.6293699579196982,0.625685776345199,0.6262764965373208,0.6440104586232337,0.6440987465481157
122,-2.9022403489798307,0.6950199284125119,0.6945778260211227,0.6354034929841873,0.6352228360134177,0.6410988483054098,0.6417106350141694,0.6285175909448298,0.6285724350760574
123,-3.895524613559246,0.7044988457579165,0.7040609808842418,0.6114189378291485,0.6113143047201447,0.6381359014136251,0.6387018204855849,0.6387426187444362,0.6388228972951765
124,-3.46375201176852,0.7027747441548854,0.7023292703757761,0.5925609595447895,0.5923758881050162,0.6506537150067743,0.651254893951409,0.6241347962219151,0.624271885449707
125,-2.2718284425500315,0.6932372093666345,0.6927187990600941,0.6205719667792436,0.6204620484146289,0.6194974218902644,0.6201123331862618,0.6464922749597463,0.6465894057924743
126,-3.231011601164937,0.6974465829494875,0.696900299176923,0.6266318525609677,0.6265079209930263,0.6517886292072944,0.6524088327438221,0.6208303780163987,0.6209721644569072
127,-4.098209825344384,0.7013932579371612,0.7009032353613293,0.598638512515754,0.5985532774007879,0.6496636584284715,0.650273375272809,0.6339034554417594,0.6340494328338536
128,-3.4489690139889717,0.6937984154734295,0.6932152001041686,0.6068682748315041,0.6067399101681076,0.6308435663464479,0.631451462455152,0.6436688057015999,0.643824324493471
129,-2.007451668381691,0.7047494930389803,0.7041113529208815,0.5892172766340081,0.5890501316986047,0.6635159455123357,0.6641188590452657,0.618981078719662,0.6190286572251352
130,-2.8722903290763497,0.6919053998950403,0.6913074463460361,0.6302050811660592,0.6299859498045407,0.6269823681446723,0.6275813701227889,0.6422426760997041,0.6423126063469681
131,-3.047891855239868,0.6960731289524119,0.6954398270550882,0.633618927882344,0.6333817102364264,0.6401986317592673,0.6407477614135132,0.6311117415185435,0.6311592036086949
132,-3.962752902880311,0.7035846366721671,0.7029052529338514,0.6114347869021003,0.6113166947267018,0.6389557165908627,0.6395679154098616,0.6369794555808767,0.636980910335842
133,-3.6725046802312136,0.7025437998760026,0.7018401179317152,0.5933074404907529,0.593158176948782,0.649621008511167,0.6503024511635885,0.626527594854997,0.6266610832113656
134,-2.3382464200258255,0.6936740699398797,0.6930207446072018,0.6175572363150422,0.6174178820452653,0.6212245734292082,0.6218766701073036,0.6471760594155057,0.6472387486297521
135,-3.490354884415865,0.6994116060610395,0.6988065744604682,0.6176308922891621,0.6175035241409205,0.6561724646831862,0.6568327732980833,0.6184508092570468,0.6184817054469022
136,-4.2171063227579,0.6962031904782634,0.6956560126360273,0.6055868052368168,0.6054760332568548,0.645583960309159,0.6462227088064537,0.6336386874187155,0.6337228086937102
137,-4.291636141017079,0.696254422533093,0.695673339892528,0.5976269681428675,0.5974821004434488,0.6442766860942356,0.6449524080977426,0.6361008388790651,0.6362872612822684
138,-4.239898260333575,0.6959361616696697,0.6951385558437323,0.5990169018929009,0.5989463071688078,0.6393703204463236,0.6400991092101321,0.6398166390004917,0.640041292195383
139,-3.799191958270967,0.7004093499795999,0.6996625291736563,0.5904063933718134,0.5902731724432669,0.6494013130082749,0.6501126796370954,0.6319912744089379,0.6322736812449875
140,-2.1262197187170386,0.69212829041644,0.6913451107771834,0.6151570498201181,0.6150608908734284,0.6220110136433504,0.6228262786185951,0.651051363661827,0.6514407235823455
141,-3.438188286498189,0.6989219649636652,0.6981389110529562,0.6141192840601434,0.6140532231307588,0.6584020567475818,0.6592053472428233,0.6166203471235349,0.6169937371902051
142,-4.05800476949662,0.6930293985584285,0.6922268008434912,0.6108592033575405,0.6106594417593442,0.6436727804481052,0.6444345013602287,0.6335209787226631,0.6338246918909135
143,-3.9595191730186343,0.6984630627499427,0.6976466931024333,0.594618497621559,0.5944109920761548,0.6510827274410985,0.6519164489014656,0.6331454927436425,0.6334532525084796
144,-2.7292075408622622,0.690509111614665,0.6896457753697177,0.6121234271864523,0.6118978865793906,0.6276349540217779,0.6285552838249714,0.6483368773348047,0.6486311422355356
145,-2.8363184835761786,0.7020175671146717,0.7012309113139054,0.601545600425743,0.6012956824502907,0.66325095979264,0.6641452637864859,0.6164747488088324,0.6167763758145156
146,-3.034921064507216,0.6888602608756628,0.6880524547392269,0.6277616417224635,0.6274428431293927,0.6319697996019386,0.6328372535659582,0.6358666450119926,0.6362597465209546
147,-3.8115769512951374,0.7011924374324735,0.7003450652206084,0.6178377768679638,0.6174837172380648,0.6449747205129824,0.6458259624792845,0.6361349334343686,0.6366562489580246
148,-4.018029885366559,0.6992937407863792,0.6984036301815649,0.59642593513272,0.5960517868748866,0.6470007475814782,0.6478650187505991,0.627970494084002,0.6284965593527886
149,-3.1226062374189496,0.6936193692905362,0.6926691883796593,0.6103641693203826,0.6099867381504737,0.6281452373019419,0.6289647677345783,0.6441120419054641,0.6445280807252857
150,-2.42995167337358,0.7042482325283345,0.7033418051520129,0.5952392159684677,0.5948680013767443,0.6633234842098318,0.664156411717704,0.6175906711592688,0.6180282328437897
151,-2.93277791980654,0.6909439170209225,0.6900587237993022,0.6304448111637612,0.630100847070571,0.627823879790958,0.6286251237048418,0.6388984934761538,0.6393194124262663
152,-3.222577614709735,0.6983345111308153,0.6975009737157961,0.6304832095935126,0.6301334014511667,0.6398852102807723,0.6406330195619375,0.6345782137810602,0.63497578913084
153,-4.11308678612113,0.7021966685948428,0.7013391496235272,0.6095162420257111,0.6092811635113321,0.6414545633248053,0.6421291147722513,0.6321245326995267,0.6325235422860714
154,-4.15280975215137,0.70166148407734,0.7007310146087548,0.5955655327721615,0.5954056678689085,0.6454861097387038,0.6462435116423876,0.6324261973946704,0.6328902039836976
155,-3.403075383976102,0.6962624953535851,0.6953578887128969,0.6062272018476506,0.6060828341520391,0.6294859739369713,0.6301838782979757,0.6440110306590213,0.6445687795217964
156,-1.8114667404443026,0.7054596363974269,0.7046564554417273,0.5879224105461617,0.5877408272004686,0.6636523994035087,0.6644247304080636,0.6175079371183528,0.6180866919617983
157,-2.930339145474136,0.693262840382522,0.6924995107197901,0.6299517317398567,0.6297801321721636,0.6276258433586918,0.6284240465043694,0.6406439270227565,0.6412024349134299
158,-3.2086332328617573,0.6978291242790874,0.6970213751861593,0.6305646956621785,0.6303688491112552,0.6407336125499569,0.6415256689666421,0.6309017108156695,0.6314029330547782
159,-4.163085231557488,0.703779297642177,0.702969229556038,0.607244778862514,0.6071177291101776,0.6421209479100071,0.6429067551522166,0.6344951910301461,0.6350136799897882
