iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4],gamma[5],beta[5],gamma[6],beta[6],gamma[7],beta[7]
0,-0.8301025778055191,0.5905072397086769,0.5905220628716051,0.5959245778154582,0.5959083390422165,0.6004266516771167,0.6004281918518245,0.5911507766228169,0.5911529442761093,0.5951533030252903,0.5951449048239738,0.6011662440374493,0.6011706643272191,0.5905303749255836,0.5905252770986408,0.5957347533199936,0.5957231571897864
1,0.8073497582226992,0.5912005907390266,0.5912346736527979,0.6251213915180415,0.6251074996776879,0.5812882335390895,0.5812811682932079,0.5989826406817883,0.5990431463811546,0.6103411625605076,0.6103170808870345,0.5881156580522656,0.5881132238078862,0.6071705016307533,0.6072015018668026,0.5952143302652985,0.5951861565932631
2,-2.336629558354616,0.5839966802392155,0.5840324162505567,0.642607084615156,0.6425909389741719,0.5783949402626604,0.5783915258012712,0.5663091951515525,0.566367125744,0.6356805406045168,0.6356593553442508,0.585965508967638,0.5859587487298995,0.5867524695582688,0.5867787479888648,0.6023581937421113,0.6023286184296012
3,-0.26367137220222503,0.5883032462093979,0.5883495061658323,0.6352688215207308,0.6352252018637955,0.5983806384261697,0.5983968562446534,0.5757463613059371,0.5757617677096277,0.6229418918024748,0.6229681853670627,0.5675259739160537,0.567481215717271,0.6126495701260865,0.6126507959794253,0.5977687292266637,0.5977409793063998
4,0.06546653620898724,0.5881831486709416,0.5882630701176822,0.6520699849585071,0.6520094862440601,0.5509739893255755,0.5509605258936062,0.5910191335948184,0.5910361104412004,0.6221697532106191,0.6222032738383859,0.5924743047449738,0.5924621393438428,0.5709138850448653,0.5709311558399349,0.6096230424242094,0.6095767650054768
5,-1.3889503199607134,0.5850877409335226,0.585154524911195,0.6755818717880174,0.6755247235065326,0.5665035441284999,0.5664619675604626,0.6076056359102949,0.607634506910108,0.6114991026930511,0.6115625374019146,0.5961019633337855,0.5961097631603479,0.6026281335158273,0.602637387951836,0.6100720260525122,0.6100180687149986
6,-0.34276854805648327,0.5765257106628269,0.5766218964941799,0.6627862912369892,0.6627690873807296,0.5778223357861861,0.5778321961639449,0.5739873217185959,0.5740058270981535,0.6414606533013284,0.6415043067187071,0.614521493576467,0.6144953839480877,0.5853600346250459,0.5853874032851308,0.6296633091056719,0.6296178547432646
7,-3.178164456039667,0.5736677797045558,0.573769208882004,0.675782683561556,0.6757729582255706,0.5885682150488719,0.5885887670097872,0.5873200891306624,0.5873096117516979,0.6256759277544915,0.6257252808660269,0.5884649505838752,0.5884665571153164,0.6151440285844728,0.6152028200682252,0.6118840445065871,0.6118182966252789
8,-0.807413736358285,0.5681316909845918,0.5681878206320107,0.6503102008951828,0.650220139673911,0.5644968140637502,0.564635485666804,0.5844389496138319,0.5844735203078016,0.6255668605677783,0.6255356449633837,0.6151077704504132,0.6150819960981607,0.5723596934927627,0.5723794346209615,0.6209795642876997,0.6209523638477549
9,-2.5578860454261303,0.5736151972319931,0.5737042584456503,0.646941262553446,0.6468234572326764,0.5784873094176873,0.5786243139533326,0.6208472361555323,0.6209086661925539,0.5853718071244657,0.5853790365159511,0.6397121859714389,0.6396978016942739,0.590553890238516,0.59057432054542,0.6160645932191983,0.6160462775966152
10,-2.3011236812453717,0.5582909827586263,0.5583972175605595,0.6424599571852013,0.6424054817995056,0.5378963088383898,0.5379824026254937,0.6410733226453885,0.6411020213505253,0.6119799259118736,0.6120484828948974,0.6245416676625609,0.6244866823777556,0.5613988416967913,0.5613928177859634,0.6336947717005387,0.633680810010992
11,-0.9909252831712365,0.5588472535833716,0.558962551318109,0.6652726803673431,0.6651930639287457,0.531897220085375,0.5319772649323568,0.6484792789211496,0.6485172850312665,0.5936440773308277,0.5936850997619331,0.6112840218935162,0.6112685246858746,0.6096785050118342,0.6096524122636765,0.5997016292763874,0.5996602901956066
12,-4.219232128933072,0.5747399287298322,0.5748597759753465,0.6605513429036364,0.6604662456316873,0.5422655318630859,0.5423498165560886,0.6512248271843418,0.6512295245425775,0.5992797616869211,0.5993224791251123,0.6417206122074276,0.6417302211280912,0.5738806328969076,0.5738673854153603,0.605184241454117,0.6051285646623
13,-2.1170909402426332,0.5731433787383139,0.5732406158000231,0.6621609849622473,0.6619890767848119,0.5520371918333694,0.5521389481378719,0.6460701057454571,0.6459868932375684,0.6248609553091228,0.6248202192597091,0.6151616323273629,0.6151984777767211,0.6004833826096728,0.6004998093936592,0.5916666926583275,0.5915615416830405
14,-3.8452311968430877,0.5706454202532768,0.5707452126313001,0.6334184517851099,0.6331815221579745,0.5276211130199954,0.5277530465042218,0.6517912168288603,0.6517070916248485,0.6199939729645848,0.6199583056382835,0.6211630354169756,0.6211980170570314,0.6014058529632166,0.601390955876559,0.592756123538129,0.5926214391598478
15,-3.509552472271025,0.5726448906585574,0.5727326503489166,0.6245037948479876,0.6242478103609755,0.5387194559676572,0.5389039486413821,0.6496739201480523,0.6495964119909331,0.6221933797001838,0.6221474771387875,0.648986921319738,0.6489684822969138,0.5748789920704439,0.5747910187579691,0.6082218105671927,0.6081895949551835
16,-3.0202678244095296,0.5701990280300379,0.5702867784071713,0.645413751504384,0.6452050595777109,0.5325398838846013,0.5328189244261011,0.6400165101746097,0.6399116630433127,0.5995102360844612,0.5994112201966345,0.6604143331293016,0.6604718853719532,0.6100833718897775,0.6100687122903764,0.6009706214768812,0.6008670572424307
17,-0.6150754876434803,0.575602567428723,0.5756084254477173,0.6268573773792013,0.6266325013944879,0.5581463047070429,0.5583594937575981,0.6263099541189149,0.6261587038403377,0.6319417112041265,0.6317467621061951,0.6317692605312913,0.6319029414094984,0.605070844781585,0.6051343941595405,0.5950191570678726,0.5949945468688383
18,-3.444237142801285,0.570956981414929,0.5710089585278183,0.6641627697041258,0.6639292324194684,0.5437316012335941,0.5440280598355457,0.6363693275721743,0.6361945613985881,0.6237513810861856,0.6235659594181925,0.6517154799308628,0.6518180825747549,0.6024768599541858,0.6025148631539196,0.6112761935451999,0.6112299207830801
19,-1.1565843792632222,0.5594386911485344,0.5594930710736662,0.6391160970320925,0.6387958815554157,0.5166071478975937,0.5169129290385172,0.6215444044442847,0.6213978573447093,0.6089481298346072,0.6088568089995533,0.6442438793834299,0.6443340861238539,0.5660301470430568,0.5660965183284133,0.6069140369305387,0.6068182178074494
20,-2.0864843633025885,0.5761200428474694,0.5762167653534561,0.6511610595276579,0.6508405087748542,0.5539093131897971,0.5541897344170138,0.6443211972014978,0.6441826455062255,0.6310218858066946,0.6310000136960298,0.6240589666645974,0.6241659884341061,0.6120592938037589,0.6121336884330958,0.603692987957038,0.6035606423625722
21,-1.1988626942038536,0.5600401625502854,0.5601028638426214,0.6309148518135771,0.630573001713492,0.5109443667111918,0.5112486763624474,0.6450273818569258,0.6448736775433644,0.6125680363271385,0.6124643475282937,0.6064335751812905,0.6065869488753378,0.6101173837902024,0.6102093711029738,0.5955105275148526,0.5953933531651273
22,-2.9059034110978246,0.574690816598013,0.5747508263681084,0.6110236735781654,0.6106490316102281,0.5426106101600453,0.542924894276075,0.6165956775890663,0.6164309184765443,0.6327364692930132,0.6326557655353099,0.6433027918916195,0.6434693810530007,0.573488122341223,0.5735645751934498,0.6131250970298424,0.613035629526712
23,-3.104087959975004,0.574055626662448,0.5741159507539123,0.603541674814187,0.6031739176483825,0.5628027755534276,0.5630920815980062,0.6014896533684805,0.6013176182983443,0.6180785881821066,0.6179047172423452,0.6792326254304498,0.6793878431431949,0.5508256354602054,0.550848821317777,0.6286167935701087,0.6285514193819836
24,-1.301356649491936,0.5592680030036717,0.5593256541993469,0.611470191529952,0.6111127441050485,0.5314627930289134,0.5316679633921012,0.6489256373839453,0.6488136726198718,0.5921718856785446,0.5919716024305671,0.6843817496206611,0.6845769676379859,0.528453087923117,0.5284351931419223,0.6592006166698411,0.6591821438865736
25,-1.7881408222019672,0.5681011994834989,0.5681289144791662,0.5999426049180329,0.5995815008878708,0.547301477077417,0.5475243047345429,0.6245455274125561,0.62443436475005,0.614565156889148,0.6143442815169692,0.6708812795346603,0.671122795343399,0.5275175883667543,0.5274586420506239,0.6446902454132214,0.644654406956397
