iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2]
0,-4.5533969178795815,0.5945540558546781,0.5966210760176182,0.5986850097775459,0.5958142712712288,0.5875744245946407,0.5859312698245048
1,-5.037654243409634,0.5881190843880176,0.5927916899323463,0.5972317740321159,0.5917152244597673,0.5747317843139171,0.5707997404038906
2,-5.58787128329277,0.5804787337779999,0.5884889014065265,0.5955829940736294,0.5877518024295568,0.5615729935467243,0.5545450620353222
3,-6.21373076736927,0.5714039601385593,0.5836928248405456,0.5936522655189037,0.5839557353407144,0.5482203125953674,0.5371042847633362
4,-6.925908111035824,0.5606582932174206,0.5784095399081707,0.5913479425013065,0.5803564827889204,0.5348327778279781,0.5184403717517853
5,-7.736911624670029,0.5479873590171337,0.5726713225245476,0.588548643887043,0.5769447613507509,0.5215938672423363,0.498526880890131
6,-8.659383445978165,0.5331759065389633,0.5665151238441467,0.5851173534989357,0.5736564811319113,0.508714447170496,0.47736446037888525
7,-9.702514946460724,0.5161018654704094,0.5600048288702965,0.5809291288256645,0.5703699108213186,0.49643363282084463,0.45500574484467504
8,-10.866902947425842,0.49674191176891325,0.5532403349876404,0.5758675619959831,0.5668670874089002,0.4850033916532993,0.4316225968301296
9,-12.138287499547005,0.47526718527078626,0.5463085532188415,0.5698487147688865,0.56283402107656,0.4746612854301929,0.4075333125889301
10,-13.482711896300316,0.45207915306091306,0.5392959773540497,0.5628539308905601,0.5578964915126562,0.46558565869927404,0.3832248993217945
11,-14.847318530082703,0.4278563395142555,0.5323069974780082,0.554933263361454,0.5516933616250753,0.45781887546181677,0.3593163065612316
12,-16.16928005218506,0.40342083424329755,0.5254032596945762,0.5461925700306892,0.5439927544444799,0.45121791437268255,0.33655147477984426
13,-17.38968452811241,0.3796777561306953,0.5185724034905433,0.536747632920742,0.5348934944719076,0.44540573135018346,0.31561568602919576
14,-18.464420080184937,0.3574628815054893,0.5117926135659218,0.5266911819577217,0.5248579051345587,0.4398860581219196,0.2970723532140255
15,-19.376023799180984,0.33736388236284254,0.5050233885645866,0.5161408618092537,0.514494639262557,0.43418305590748785,0.2811963133513927
16,-20.131871849298477,0.31967435628175733,0.4983642384409904,0.5052620306611061,0.5043677803128958,0.4280060328543186,0.2678841970860958
17,-20.75191980600357,0.30438381284475324,0.49184071868658064,0.4942718282341957,0.49488702081143854,0.4213943429291248,0.2569067500531673
18,-21.2601837515831,0.2912272050976753,0.4856440410017967,0.4834612891077995,0.4861631508916616,0.4145143277943134,0.2478639356791973
19,-21.677759021520615,0.2799073591828346,0.47986636906862257,0.4729896917939186,0.4782680835574865,0.40760416761040685,0.2403044871985912
20,-22.0211324095726,0.27008765786886213,0.4745872303843498,0.4630667850375175,0.47116320990025995,0.4008333183825016,0.23388624414801595
21,-22.304042279720306,0.2614616736769676,0.46981088668107984,0.4537969812750816,0.4647733088582754,0.3943545915186405,0.22835289165377615
22,-22.537826865911484,0.2538199111819267,0.46553747206926344,0.4451670780777931,0.4590293880552053,0.388242120295763,0.22353475019335745
23,-22.731740564107895,0.24699893444776533,0.46165852099657056,0.43721490949392317,0.4538594003766775,0.3824825085699558,0.21927869543433187
24,-22.893102705478668,0.24085758477449415,0.4581888601183891,0.42990675419569013,0.44919776581227777,0.3771094627678394,0.21543999239802358
25,-23.02837747335434,0.23525908440351484,0.45507550090551374,0.42318436354398725,0.44497069381177423,0.3720951028168201,0.21200764402747152
26,-23.14259171485901,0.23017325848340986,0.45222325474023817,0.41698978692293165,0.4411061372607946,0.3674332447350025,0.2088651232421398
27,-23.239193856716156,0.22549772113561628,0.4496342226862907,0.4112856075167656,0.43758102916181085,0.36306744292378423,0.2060553304851055
28,-23.321696996688843,0.22121199816465376,0.44726860374212263,0.40599088221788404,0.43433719538152216,0.3590069808065891,0.2034518443048
29,-23.392451882362366,0.21725688725709913,0.44509917348623274,0.4010824546217918,0.43135255239903925,0.3552291043102741,0.2010630093514919
30,-23.45346862077713,0.21360616236925123,0.44305370599031446,0.3965376153588295,0.42858583889901636,0.35167420879006384,0.19883710369467733
31,-23.50642704963684,0.2102257892489433,0.4412012830376625,0.3922900393605232,0.42599351368844507,0.34837489798665044,0.19683699533343313
32,-23.552696347236633,0.20708985477685926,0.4394465073943138,0.3883144989609718,0.42356907986104486,0.34526350572705267,0.1949553661048412
33,-23.593401044607162,0.20413614660501478,0.43779963105916975,0.38458122164011,0.42129404507577417,0.34233356490731237,0.1932083688676357
34,-23.629018306732178,0.2014028564095497,0.43629212528467176,0.38107059746980665,0.41917986832559107,0.339590261131525,0.19158816561102865
35,-23.66057711839676,0.1988194718956947,0.4348255529999733,0.37779259532690046,0.41718850694596765,0.33697992041707037,0.19011055156588552
36,-23.688666611909866,0.19641958028078077,0.43346564322710035,0.3746904119849205,0.4152559157460928,0.33453274741768835,0.18869717642664907
37,-23.7137493789196,0.19414745122194288,0.43217004686594007,0.37176269143819807,0.41347355805337427,0.3322281040251255,0.1873579643666744
38,-23.73629942536354,0.1920285806059837,0.430933041870594,0.3689808532595634,0.4117824550718069,0.33001954331994054,0.18611149713397024
39,-23.75644138455391,0.19000956267118452,0.42976742833852766,0.36634103804826734,0.41015156768262384,0.3279313541948795,0.18495467528700826
40,-23.774666368961334,0.1880915746092796,0.4286422416567802,0.3638532146811485,0.40860750935971735,0.32594280913472173,0.1838826261460781
41,-23.79117077589035,0.18629158884286878,0.42758324593305586,0.36144631952047346,0.4071462269872427,0.3240585125982761,0.18284592255949972
42,-23.806148022413254,0.1845852270722389,0.4265402093529701,0.3591615840792656,0.40574395321309564,0.3222842313349247,0.18185748383402822
43,-23.819786846637726,0.18296792954206464,0.42553780823945997,0.35699339061975477,0.40438253842294214,0.3205594964325428,0.18095080778002737
44,-23.832246899604797,0.18140286058187483,0.4246204927563667,0.35490026921033857,0.403116163238883,0.318908105045557,0.1800397954881191
45,-23.84367311000824,0.17994916290044782,0.4237034752964973,0.35290945917367933,0.4018854614347219,0.31733533218502996,0.1792059116065502
46,-23.854046493768692,0.17853662222623823,0.42285035401582716,0.35102680176496504,0.4007125165313482,0.3158395983278751,0.1783877186477184
47,-23.863556921482086,0.17720541208982465,0.4220067098736763,0.3492176666855812,0.3995623107999563,0.31438698843121526,0.17760171219706533
48,-23.87245124578476,0.1759010091423988,0.4212428018450737,0.3474594935774803,0.39843570850789545,0.31297909691929815,0.1768930874764919
49,-23.88058426976204,0.1746892765164375,0.42047309726476667,0.3457754984498024,0.3974042352288961,0.31165277436375616,0.17620079442858694
50,-23.88817059993744,0.1735013112425804,0.41974021345376966,0.3441432401537895,0.39638280533254144,0.31038099005818365,0.1755120478570461
51,-23.895172864198685,0.17239308208227155,0.4189916685223579,0.3426050379872322,0.39538488946855066,0.3091388441622257,0.17483093068003652
52,-23.90172377228737,0.17130096107721327,0.4182852491736412,0.3410924062132835,0.39442340694367883,0.30795533433556554,0.1742267183959484
53,-23.90770649909973,0.17026674598455427,0.4176235482096672,0.3396360710263252,0.3934861984103918,0.30680004730820654,0.1736274980008602
54,-23.913408547639847,0.16924908608198164,0.41696995347738264,0.3382332757115364,0.3925946768373251,0.30567617192864416,0.1730706565082073
55,-23.918576180934906,0.16826917082071302,0.41636514514684675,0.3368865385651588,0.391735952720046,0.30461175218224523,0.1725416801869869
56,-23.923403680324554,0.16735923141241071,0.41573078781366346,0.33558629304170606,0.39091556929051874,0.3035757191479206,0.17200826331973074
57,-23.92794355750084,0.1664997026324272,0.4151027038693428,0.3343194708228111,0.39011503420770166,0.3025903947651386,0.17150172814726827
58,-23.93229630589485,0.16563421338796613,0.414542643725872,0.333107291162014,0.38930341266095636,0.3016288824379444,0.17101896032691
59,-23.936283767223358,0.16480406969785688,0.4139713034033775,0.33193315416574476,0.3885503377765417,0.3006897814571857,0.1705580376088619
60,-23.940063774585724,0.16400457769632337,0.4134314343333244,0.3307937666773796,0.387801181897521,0.2998063065111637,0.17011369988322256
61,-23.94354435801506,0.16322553008794782,0.41286775320768354,0.3296835407614708,0.3870680000633001,0.2989459283649921,0.16966921314597128
62,-23.94688442349434,0.16247726827859876,0.41234166771173475,0.32860213369131086,0.38638855181634424,0.29809645786881445,0.16924429163336752
63,-23.950042068958282,0.16174316257238386,0.4118573650717735,0.3275514230132103,0.38568733297288416,0.2972710974514484,0.16885240599513052
64,-23.953050792217255,0.1610397085547447,0.4113642260432243,0.326550780236721,0.3850122507661581,0.2964677460491657,0.1684585981070995
65,-23.95586559176445,0.1603608414530754,0.4108956143260002,0.3255488857626915,0.38437287174165247,0.29568890705704687,0.16807686015963552
66,-23.958460688591003,0.15969748646020887,0.4103962317109108,0.3245674058794975,0.3837644424289465,0.2949576027691364,0.16768628582358358
67,-23.961000978946686,0.15906411260366438,0.4099447712302208,0.3236700728535652,0.3831249292939901,0.2941885836422443,0.1673338137567043
68,-23.963267415761948,0.15844809859991071,0.40948071926832197,0.3227702811360359,0.38250121138989923,0.2934859342873096,0.1669666491448879
69,-23.965559273958206,0.15785963684320448,0.409057779610157,0.3218826338648796,0.3819183226674795,0.29281983748078344,0.1666256360709667
70,-23.967641949653625,0.15728998035192487,0.40861800163984296,0.3210245057940483,0.3813602294772863,0.2921444721519947,0.16634264811873434
71,-23.96965464949608,0.1567430183291435,0.40818300694227216,0.3201965674757957,0.3807636763900518,0.2914877630770206,0.16601753458380697
72,-23.971575409173965,0.15619309097528455,0.40775997787714,0.3193801328539848,0.3802495416253805,0.29086742773652075,0.1657106004655361
73,-23.973416477441788,0.15567265301942823,0.4073562160134315,0.31858874708414076,0.3796926852315664,0.2902247555553913,0.16540569290518758
74,-23.9750155210495,0.155137924849987,0.40700864642858503,0.31782168000936506,0.37917400561273096,0.2896233148872852,0.16510686501860616
75,-23.976790487766266,0.15463057011365888,0.40661188811063764,0.31705799549818037,0.37866954170167444,0.28903997913002966,0.1647986941039562
76,-23.978384405374527,0.15413725227117536,0.40624417215585706,0.3163192257285118,0.3781750913709402,0.2884639747440815,0.1645356886088848
77,-23.979784071445465,0.15367278307676313,0.40588281899690626,0.31560411900281904,0.377674725279212,0.28789747729897497,0.16426408514380453
78,-23.98116421699524,0.15319773405790327,0.40552291125059126,0.31490586549043653,0.37718437276780603,0.28734264746308325,0.16399707123637197
79,-23.982617646455765,0.15275385826826093,0.4051651045680046,0.31420178562402723,0.37670641802251337,0.28678963556885717,0.16374401971697805
80,-23.98394051194191,0.15231381207704542,0.40483532696962354,0.3135372683405876,0.37626202069222925,0.2862640418112278,0.1634891055524349
81,-23.985195457935333,0.15185862630605695,0.404493673145771,0.31287789195775983,0.37578344009816644,0.2857471205294132,0.16327418610453603
82,-23.98637792468071,0.15144035071134565,0.4041552677750587,0.3122295424342155,0.375348087772727,0.285258362442255,0.16300922855734823
