iter,energy,gamma[0],beta[0]
0,-2.7676351442933083,0.5842799911275506,0.5853649083524942
1,-3.410661492496729,0.566385836713016,0.5686633395031094
2,-4.26063109561801,0.5458970921114087,0.5494436690583825
3,-5.397302657365799,0.5223098466172814,0.5271605787798762
4,-6.926037684082985,0.4950569787994027,0.5012210657820105
5,-8.970540061593056,0.4635455565527081,0.47108470033854244
6,-11.63049302995205,0.4273191126063466,0.4365686489269137
7,-14.874383300542831,0.3864329861477017,0.3983938483521342
8,-18.391799122095108,0.34210034776479004,0.3588433800265193
9,-21.59269878268242,0.2972655402496457,0.3219155458733439
10,-23.966287165880203,0.256098966486752,0.29141732435673473
11,-25.424944818019867,0.2220024125650525,0.2689344523474574
12,-26.21246713399887,0.19602655936032531,0.25332435350865123
13,-26.608053743839264,0.17725260127335785,0.24267277996987102
14,-26.800008475780487,0.16414287257939575,0.2352502880617976
15,-26.89193919301033,0.1551093118265271,0.23008739333599804
16,-26.936460494995117,0.14890367854386566,0.22630360107868908
17,-26.95791870355606,0.14468328226357696,0.22359266262501476
18,-26.96837916970253,0.14179619718343017,0.22160998862236736
19,-26.973487317562103,0.13980482090264557,0.22014268618077037
20,-26.976159989833832,0.1384263889864087,0.21906248610466716
21,-26.97742858529091,0.13748463559895752,0.21826993804425
22,-26.978123039007187,0.1368455098941922,0.21770104151219127
23,-26.978452891111374,0.13638491500169037,0.21730268876999614
24,-26.97860500216484,0.1360769825056195,0.21693857889622448
25,-26.978680700063705,0.13583972621709106,0.21670686583966015
26,-26.9787078499794,0.13564739692956207,0.21650197487324474
27,-26.978811115026474,0.13555144835263488,0.2164187220856547
28,-26.97879409790039,0.13547941613942382,0.21631551664322612
29,-26.978814750909805,0.13541206289082763,0.2162727354094386
30,-26.978779137134552,0.1353881465271115,0.21625585239380596
31,-26.978740394115448,0.13537983167916534,0.21622832994908092
32,-26.97879034280777,0.13533350396901367,0.2161886630579829
33,-26.978762954473495,0.13532854188233612,0.21614521127194164
34,-26.97879207134247,0.13531037736684082,0.21612768750637767
35,-26.97880482673645,0.13528589475899933,0.2160993156954646
36,-26.978803515434265,0.1352905290201306,0.216108956746757
37,-26.978789925575256,0.13526726830750702,0.21609456222504375
38,-26.97874027490616,0.13526787925511596,0.21608979385346172
39,-26.978821128606796,0.13527878690510986,0.2160598425194621
40,-26.97879868745804,0.1352653758600354,0.2160767702385783
41,-26.97879073023796,0.13525333572179077,0.21609141808003185
42,-26.978829383850098,0.13525719512253997,0.2160953817889094
43,-26.97881117463112,0.13524461854249237,0.21605395656079052
44,-26.978787541389465,0.13525999654084442,0.21602385621517894
45,-26.97876551747322,0.1352469431236386,0.21604701261967418
46,-26.97872006893158,0.1352561669424176,0.21608748417347667
47,-26.97880455851555,0.13528753388673065,0.21609532218426464
48,-26.978775590658188,0.13531367052346466,0.21606551986187694
49,-26.978781163692474,0.13531021345406768,0.21610199790447948
50,-26.978781551122665,0.13530456591397522,0.21608323734253643
51,-26.978833734989166,0.1352792041376233,0.21611126642674205
52,-26.9787575006485,0.13526892233639953,0.216117718629539
53,-26.978767961263657,0.13527634311467407,0.21607584636658428
54,-26.97880721092224,0.13528966475278137,0.21607517581433056
55,-26.97873768210411,0.13530295658856628,0.21608276050537822
56,-26.97873616218567,0.13529859054833648,0.21612427514046428
57,-26.978888422250748,0.13530112374573944,0.21610760074108837
58,-26.978771090507507,0.1352941947057843,0.2161067811772227
59,-26.97876250743866,0.13530441690236328,0.21609332542866466
60,-26.978773713111877,0.1353089915588498,0.21608046572655437
61,-26.978672355413437,0.13529458213597534,0.21610369663685558
62,-26.978839099407196,0.1352753298357129,0.21609021108597515
63,-26.978825449943542,0.1352607714012265,0.2160859642550349
64,-26.978736400604248,0.13525987733155487,0.2160995243117213
65,-26.978776574134827,0.1352503256872296,0.216096350364387
66,-26.978820949792862,0.13527112770825622,0.21611058097332714
67,-26.978796899318695,0.13527707327157257,0.21610228102654216
68,-26.97877162694931,0.13528999257832763,0.2160990325734019
69,-26.978788644075394,0.13527248371392486,0.21611326318234203
70,-26.9788079559803,0.13528987336903808,0.21611533444374798
71,-26.97880631685257,0.13529064822942016,0.2161235002800822
72,-26.978783667087555,0.13530006576329467,0.21612007301300762
73,-26.978752613067627,0.1352919893339276,0.21611396353691814
74,-26.9787694811821,0.13529389668256042,0.21610009055584667
75,-26.978751301765442,0.1352973388507962,0.21611993890255687
76,-26.9787714779377,0.13530990052968261,0.216129326634109
77,-26.978787004947662,0.13529184032231567,0.21612776201218364
78,-26.978792995214462,0.13528583515435455,0.21613309662789104
