iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4],gamma[5],beta[5],gamma[6],beta[6],gamma[7],beta[7]
0,1.9846649821847855,0.5977834112941544,0.5977811072021012,0.602156484871989,0.6021541304885772,0.5978142064063462,0.5978129453956477,0.6021241987123108,0.6021221721544151,0.5978464860467921,0.5978445507585576,0.602092835493297,0.6020920792594054,0.5978777971117445,0.5978761859237579,0.6020620562135285,0.6020601535215263
1,1.9786345856265584,0.5992922423406778,0.5992916826158584,0.6014156317337046,0.6014154706149707,0.5993692347778813,0.5993664482607975,0.6013699345289755,0.6013668397440582,0.5994387347250315,0.5994379738345325,0.6013202102853977,0.6013182489201302,0.5995029624549678,0.5994999766349184,0.6012631751595773,0.6012595439329264
2,1.9759358391166728,0.5986839897464126,0.5986839478370477,0.6023572747594609,0.6023582589346258,0.5987912094219391,0.598787894146508,0.6022796094416701,0.6022777016274062,0.5988909361417333,0.5988912555854368,0.6021944672334286,0.6021921461447771,0.5989862800574256,0.5989851952995496,0.6021021044812883,0.6020978793035855
3,1.9742418639363528,0.5993206064681779,0.5993202744517937,0.6023471275343669,0.6023479263763022,0.5994616899637836,0.5994579681660669,0.6022383620961408,0.6022369110956237,0.5995926541741164,0.5995939128566187,0.6021171041298304,0.6021153711713211,0.5997171233406687,0.599717334983853,0.601984917558695,0.6019805242772921
4,1.9728560782969033,0.5992394966538569,0.5992396787275375,0.6029238974674572,0.6029259740840475,0.5994082720948678,0.599406356131538,0.6027713747694067,0.602771225757856,0.5995675280223315,0.5995704882312042,0.6026028372812885,0.6026017692870796,0.5997206809929038,0.599720725929333,0.6024174684657945,0.6024146640207687
5,1.9715427905321903,0.5995937810744806,0.5995935719926443,0.6031878883017957,0.6031875956337626,0.5997927816583156,0.5997890738303416,0.6029858862980214,0.602987488172915,0.5999775837639921,0.5999816988128653,0.6027628552634191,0.6027595353312488,0.6001566684803444,0.6001577658113008,0.6025144731625213,0.6025109180715075
6,1.9701902195811485,0.599697925290091,0.5996984538157041,0.6036744559182424,0.6036724868695803,0.5999280283226279,0.5999229533131335,0.6034098392351369,0.603415602259277,0.6001383784691509,0.6001436446327272,0.6031182442325772,0.6031139482744091,0.6003406046888781,0.600342391198457,0.6027935421093241,0.6027904415037463
7,1.9687770158053413,0.5999613182153393,0.599961757333982,0.60407032016652,0.6040685709099943,0.6002186307682232,0.6002128442282552,0.6037328330798996,0.603738838247874,0.6004570807794604,0.6004613075870701,0.6033594642299761,0.6033543896861401,0.6006815320811402,0.600683452701127,0.6029402738436723,0.6029370577540228
8,1.9672812204808134,0.6001412795390632,0.6001401391346047,0.6045681027693987,0.6045635651331124,0.6004265950991842,0.600418657204005,0.6041436506434325,0.6041508628054814,0.6006905745247885,0.6006941196042627,0.6036668006796063,0.6036634900607413,0.6009380518457473,0.6009392590726824,0.6031334711238631,0.6031304357107433
9,1.9656556937846865,0.6003752110060206,0.6003752971533539,0.605059545859535,0.6050550613086462,0.6006941659374968,0.6006850685457644,0.604535158164745,0.6045412406324552,0.60098283006793,0.6009874443058091,0.6039325694087597,0.6039292383008007,0.6012532896360868,0.6012574426363085,0.6032606981695022,0.6032587673049011
10,1.9639021605253184,0.6005835664924152,0.6005803930107126,0.6056186541912655,0.6056130641604877,0.6009356969966436,0.6009256096090326,0.6049722054972081,0.6049801543354182,0.6012500218580444,0.6012550021056785,0.6042211518157822,0.6042190081440694,0.6015426822936648,0.6015485768670631,0.6033802343533389,0.6033808385486846
11,1.9619737416505947,0.6008123980369194,0.600809325138055,0.6062091201541745,0.6062065606470225,0.6012014070524646,0.6011922323609861,0.6054235933347213,0.605429431796004,0.6015464357565142,0.6015511123929907,0.6044899967034189,0.6044886614196926,0.6018627201205508,0.6018687897826126,0.6034448718652289,0.6034456083084544
12,1.9598134439438448,0.6010334213729728,0.6010301007423012,0.6068655833599962,0.6068645698483018,0.6014600856228606,0.6014534087385214,0.6059117181225119,0.6059185568242659,0.6018365427385203,0.6018417465035834,0.6047606409062479,0.6047586127184922,0.6021790736353217,0.6021833868230301,0.6034731375054013,0.6034734269137901
13,1.9573652874679262,0.6012625621165965,0.6012594300787334,0.6075856978071744,0.6075853865127022,0.6017355452290775,0.6017290806862537,0.6064287059938666,0.6064360736868056,0.6021453767548627,0.6021500384901614,0.6050183075946746,0.6050157294609456,0.6025114398448107,0.6025152198503355,0.6034393342212331,0.6034373633097373
14,1.9545104913415337,0.6014908195007479,0.6014857619534891,0.6083849611690088,0.6083862298632662,0.6020121815613414,0.6020041607784731,0.6069895386694139,0.606996725220113,0.6024571304674115,0.6024625083898069,0.6052682131064274,0.6052667860873916,0.6028459420426447,0.6028529909904198,0.6033385818824465,0.6033365127164493
15,1.9511485286057138,0.6017215285915728,0.6017138177063296,0.6092696598728583,0.6092733323107097,0.6023010927251838,0.6022934398146579,0.60759345665558,0.6075993142089465,0.6027825783471431,0.6027903367299815,0.6054989128840643,0.6054986509495303,0.6031975163145958,0.6032068945001371,0.6031509837135557,0.6031489797402695
16,1.9470821134747744,0.6019492034334754,0.6019420550670352,0.610264716576549,0.6102672695645853,0.6025964020750859,0.6025887305381076,0.6082527883349275,0.6082605159840165,0.6031176812479823,0.6031262033153567,0.6057133908850575,0.6057148090564156,0.6035578077658313,0.6035672362427772,0.6028640860691609,0.6028644551057841
17,1.942059509456397,0.602176282228896,0.6021666677202769,0.6113778407682674,0.6113818764218576,0.6029023862443378,0.6028944222720257,0.6089749600737321,0.6089811529031429,0.6034699148962995,0.6034795228857514,0.6059051893187403,0.6059066354297805,0.6039345631375451,0.6039461876730953,0.6024579437449623,0.6024611067492703
18,1.9357580393552922,0.6023984473665037,0.6023908035363458,0.6126343439331211,0.6126346319446953,0.603218708094109,0.6032112991901494,0.6097696203737982,0.6097761112263868,0.6038381635675608,0.6038470972795357,0.6060671574903737,0.606068324204658,0.6043276036157273,0.604339779494332,0.60191284809264,0.6019178700168425
19,1.927727267146187,0.6026181892027117,0.6026114170904552,0.6140522229483475,0.6140525388996189,0.6035453788004194,0.6035383368375266,0.6106445774435044,0.6106539591214041,0.6042217399457671,0.6042312492151195,0.6061942308676557,0.6061955819838386,0.6047363648189205,0.6047489709686346,0.6012055644764994,0.6012115493883169
20,1.9173951987176974,0.6028326411266723,0.6028253893832677,0.6156572661360672,0.6156562037299157,0.6038877394981251,0.6038790816905791,0.6116168344392375,0.6116259646600447,0.6046258817890825,0.6046361240092887,0.6062791656238541,0.6062808976509254,0.6051682963965513,0.605179697414829,0.6003088507800952,0.6003166862298525
21,1.9040674678981304,0.6030420881230846,0.6030351614112398,0.6174701758658646,0.6174692419822777,0.6042468900791639,0.6042374676557442,0.6126912947743063,0.6126999788916118,0.6050525653639548,0.6050616518128672,0.6063142131549722,0.6063149598427614,0.6056205596773211,0.6056323015596291,0.5991966178640292,0.59920407799082
22,1.886913139373057,0.6032433590385983,0.6032359517643396,0.619515404943234,0.6195152580272049,0.6046263211406105,0.6046158742623641,0.613879718258871,0.6138888587242336,0.6055065152698876,0.6055127695668444,0.60629025301908,0.6062902229838686,0.6060954010112677,0.606108321947956,0.597842205688332,0.5978492001537893
23,1.8650587126613223,0.60343887531199,0.6034312054047511,0.6218122513032763,0.6218120578210585,0.6050321561283817,0.6050197516100763,0.6151853431015112,0.6151971657759207,0.6059857701414731,0.6059942782390676,0.6061944907066558,0.6061958874576153,0.606597383878989,0.6066114056389534,0.5962236266583004,0.5962331524585066
24,1.8378232941031545,0.6036339259240894,0.6036254699805875,0.6243689701891603,0.6243668358307045,0.605469371098938,0.605456452490606,0.6166044514626235,0.6166198150253946,0.6064976939464207,0.6065092996228566,0.6060207617936381,0.6060202418826975,0.607130750454859,0.6071440327446073,0.5943353664129732,0.5943434859160802
25,1.804876726120722,0.6038297998253438,0.6038185312876566,0.6271768667733973,0.6271756749134588,0.6059432820415774,0.60593235832623,0.6181243866681952,0.6181386289186023,0.6070448608601738,0.6070566695649319,0.6057633758989908,0.6057630087249374,0.6076932003720757,0.6077065590302609,0.5921827483922087,0.5921916576568612
26,1.7667413242161825,0.6040339587722138,0.6040257263461429,0.6302048218435307,0.6302039503585773,0.6064645190722001,0.6064527422653535,0.6197094138711557,0.6197239541447982,0.6076307391280525,0.6076417506206621,0.6054189169315062,0.6054210103117385,0.6082834465428154,0.6082978482823197,0.5897945076226917,0.5898035174701769
27,1.7248851060867558,0.6042559208814721,0.6042461890260112,0.6333977215922114,0.6333960771095363,0.6070304968393846,0.607021249504616,0.6213159788400003,0.6213304762728341,0.60824161036857,0.6082534134853684,0.6049999279436894,0.6050045079552434,0.6088944910093433,0.6089098352472256,0.5872337747364994,0.5872420749161585
28,1.6818053890019655,0.6045018105303116,0.6044932353774587,0.6366666191256108,0.6366635776590613,0.6076429867185017,0.6076342404352942,0.6228811483830131,0.6228959009982696,0.6088786685372535,0.6088906169403078,0.6045227089432311,0.604527978133477,0.6095176575704372,0.6095321617554234,0.5845864959060917,0.5845934475306637
29,1.6405123248696114,0.6047690945212872,0.6047583484554936,0.6399060002526703,0.6399021345656425,0.6082863387651017,0.6082771426531005,0.6243473993614083,0.6243637929670546,0.6095211991573374,0.609533695178126,0.6040167791304542,0.6040221945383212,0.610131470858947,0.6101462199817774,0.5819585178047421,0.5819636039901838
30,1.6037340089678702,0.6050499497448388,0.6050390323156533,0.6430065407416002,0.6430028371047342,0.6089405910111213,0.6089311937334506,0.6256660962477129,0.6256827543489615,0.6101501957977878,0.610164533974629,0.6035126002041676,0.6035168216564234,0.6107182264327312,0.610732644004717,0.5794541373848748,0.5794585306663663
31,1.5732970014214827,0.6053298159038064,0.6053176728541051,0.6458692512473233,0.6458655289839764,0.6095777050591223,0.6095680097582398,0.6268069179728318,0.6268215532414808,0.6107427479232089,0.6107581813354342,0.6030393169729084,0.603044644836389,0.6112550333141741,0.6112706131767468,0.5771612323820517,0.5771661360283159
32,1.5497698336839685,0.6055952279365194,0.6055836436802745,0.6484228855928408,0.6484183027874338,0.6101728872395306,0.6101630988063967,0.6277577275409799,0.6277711967937915,0.6112811827564989,0.6112981547136115,0.602621670952261,0.6026255161501896,0.6117295533418473,0.6117446042131894,0.5751374423503922,0.5751441974659227
33,1.5326306372883107,0.6058348646855415,0.6058222149962694,0.650632575060975,0.6506282791029318,0.6107063711619997,0.6106962288263017,0.6285302409901795,0.6285432594828538,0.6117548422420663,0.6117718700785423,0.6022662633566248,0.602271412406164,0.6121352337300426,0.6121504671406192,0.5734097085893236,0.5734166462440667
34,1.5207544118169238,0.6060445761775307,0.6060311963314761,0.6524927019139811,0.6524876236449467,0.6111697525716732,0.6111581722738862,0.6291432673111067,0.6291580813937644,0.612158976634804,0.6121761162299074,0.6019744986204404,0.6019817189313995,0.6124713443219331,0.6124865777325049,0.571973385661844,0.5719811652321672
35,1.5129003375768875,0.6062178245281092,0.6062037443275047,0.6540215312500955,0.6540179356466115,0.6115577713585804,0.6115462432148026,0.6296230548992244,0.6296383234671913,0.6124935598576681,0.6125119660514183,0.6017433890609089,0.601748739276171,0.6127430744469261,0.6127589486073973,0.5708052985370257,0.5708138529677825
36,1.5078707039355894,0.606362403044589,0.6063476373905553,0.6552532165308999,0.655250112665725,0.6118789658881084,0.6118664915206246,0.6299928868188732,0.6300074997357697,0.6127662809098121,0.6127839643972169,0.6015611255077694,0.6015666396358065,0.612959461659231,0.6129773996305085,0.5698724336922169,0.5698810477276318
37,1.5047133192421658,0.6064760691021703,0.6064594296270983,0.656234446819646,0.6562330416868415,0.6121354223228413,0.6121235477270969,0.6302800396456789,0.6302928755990811,0.612982325395386,0.6130008582489793,0.6014207044152614,0.6014277496376221,0.6131294764578731,0.6131472207140386,0.5691356159746478,0.5691448893864425
38,1.5027980580925773,0.6065660795663755,0.6065502671057644,0.6570055297573095,0.6570035658309609,0.6123398103750647,0.6123286286832651,0.6304974364116396,0.6305096800438494,0.6131542475426458,0.6131745759861328,0.6013133937029315,0.6013184123674178,0.6132616534830029,0.6132801800500695,0.5685600697993752,0.5685697492678542
39,1.5016528293491724,0.6066353885923773,0.6066204217726666,0.6576050668020744,0.6576031475792123,0.6124996253288634,0.6124880450310045,0.6306637035682356,0.6306750345043197,0.613286614557521,0.6133073900358473,0.60122969015521,0.6012355060318046,0.6133640952409087,0.613382174773151,0.5681145399808504,0.5681244913955167
40,1.5009607672691416,0.6066906011198553,0.6066743192726941,0.6580677888353367,0.6580667487809762,0.6126262479461898,0.6126107784452167,0.6307886013760722,0.6308014000765267,0.6133915559852153,0.6134115268008683,0.601166751375653,0.6011733495631482,0.6134423412382843,0.6134611770045141,0.5677710644900472,0.567781652929335
41,1.500562161207192,0.6067315644119932,0.6067167056256918,0.6584239712913501,0.6584228083024455,0.6127231278456945,0.6127056317868006,0.6308837080374107,0.6308964396826409,0.6134693288707648,0.6134899851398442,0.6011196674315974,0.6011255503633042,0.6135015062987592,0.6135200030636206,0.5675089381634978,0.5675206665416365
42,1.500322043895892,0.6067624135409259,0.6067486276382789,0.6586982718666207,0.6586943670640306,0.61279635587709,0.6127794446887503,0.6309559488668838,0.6309686358086162,0.6135311984920345,0.6135509197132455,0.6010829919486215,0.6010895417072526,0.6135479681193599,0.6135659470688876,0.5673075042665007,0.5673198175151967
43,1.5001886636020005,0.6067874288652365,0.6067734306210683,0.658906202669909,0.6589029311666545,0.612852265033884,0.6128361510576842,0.6310097495093786,0.631023289542584,0.6135784687007436,0.6135968860701982,0.6010555849879763,0.6010622390545939,0.6135841891169522,0.613600815786067,0.5671546630561247,0.5671664994677122
44,1.5001010075211187,0.6068054592702562,0.6067906489128029,0.6590645349581702,0.6590616732368699,0.6128947109915944,0.6128801839889836,0.631050988473015,0.631063068192363,0.6136135944630016,0.6136327457146139,0.6010344290643722,0.6010421187616937,0.6136109143495978,0.6136280215811593,0.5670395776629445,0.567049789847914
45,1.5000599473714455,0.6068187660072187,0.6068061535710366,0.6591849624176432,0.6591826930175284,0.6129252397455486,0.6129127318502546,0.6310832830146346,0.6310948188415901,0.6136416794265479,0.613658461393569,0.6010181830734015,0.6010273777879782,0.6136311240494385,0.6136494829785616,0.5669507481157862,0.5669609081466692
46,1.5000369623304621,0.6068288578186506,0.6068185178095195,0.659276652987762,0.6592739067505002,0.6129501619376315,0.6129388498605363,0.6311065474525636,0.6311196031979467,0.6136629284824312,0.6136798669116378,0.6010055059105331,0.6010149837471979,0.6136456713080607,0.613665524078589,0.5668833054602281,0.5668936368544623
47,1.5000238865615358,0.6068358539138196,0.606825037067544,0.659347355272292,0.6593427761922284,0.6129678458907769,0.6129569100679192,0.6311256768182391,0.63113738028329,0.6136771218384683,0.6136948798314962,0.6009971612602752,0.6010055513121639,0.6136570818722422,0.6136771656107664,0.5668326079845528,0.5668417957146227
48,1.50000786036256,0.6068448244129115,0.6068316122048675,0.659400116558846,0.659394427342229,0.6129832536914218,0.612973729753551,0.6311386557296311,0.6311500648967705,0.6136884727980291,0.6137067933098929,0.6009901204616485,0.600998070929182,0.6136669799686096,0.6136854953598222,0.5667942933738349,0.5668039095122553
49,1.5000086724758432,0.6068501366768838,0.606836630170911,0.6594410574992186,0.6594343885312721,0.6129922241904454,0.6129837917626427,0.6311491088942126,0.6311611476354146,0.613697216054388,0.6137161363379641,0.600986167928652,0.6009917044080564,0.6136720389128514,0.6136914670001724,0.5667642749846126,0.5667743307073051
50,1.5000138431787349,0.6068540743087222,0.6068404076152142,0.6594706586559426,0.6594643137882228,0.6130013995804363,0.6129914807618188,0.631155091710455,0.6311693879775797,0.6137041599955096,0.6137223612980519,0.6009807476312775,0.6009867572225471,0.6136769562959539,0.6136965333949765,0.566740440577283,0.5667531151790678
51,1.5000084489584502,0.6068570768927063,0.6068426949434752,0.6594940832813215,0.6594872429499884,0.6130066596903413,0.6129970947743145,0.6311594763771048,0.6311762909405121,0.6137084291782059,0.6137274835722003,0.6009767019660063,0.6009831958450405,0.6136810280382252,0.6136998079250814,0.5667236395180298,0.5667359304148935
52,1.5000000223517702,0.6068579560612185,0.6068433356934154,0.6595106496472855,0.659503664029624,0.6130083546974822,0.6130003432273784,0.6311639728025217,0.6311812791042262,0.6137118340935565,0.6137313578741462,0.6009740495593,0.6009818361140917,0.613682346791006,0.6137022554407879,0.5667124710976813,0.5667243894656057
53,1.4999986812472716,0.6068628361915095,0.6068465170913356,0.6595220788379069,0.659514385415103,0.6130116664805557,0.6130026231050357,0.6311641478911444,0.6311833652667826,0.6137163528706956,0.6137365956323165,0.6009724849374066,0.600979377422433,0.6136847756803339,0.6137050270567869,0.5667025506496449,0.5667139996309704
54,1.4999964535237424,0.6068609176670153,0.6068479401522261,0.6595319732089356,0.6595233894417704,0.6130136148073694,0.6130055474579191,0.631168901361559,0.6311880330555275,0.6137170234229657,0.6137366626875526,0.6009723582775365,0.6009795115328811,0.6136857032776111,0.6137053921352312,0.5666949957609037,0.5667075995822412
55,1.4999963566660917,0.6068629963790196,0.6068496388845978,0.6595397851426471,0.6595316782127175,0.6130161815324303,0.613007082277555,0.6311683649197654,0.6311894076876459,0.6137189233210322,0.6137372550087224,0.600969407847676,0.600978285912372,0.6136871077120643,0.6137073479125615,0.5666882902383433,0.5667011846323126
56,1.500011354684876,0.6068634396885669,0.6068491471462801,0.6595463081259526,0.6595377429853296,0.6130174816587862,0.613007499510056,0.6311699220911177,0.631190633308143,0.6137190052774183,0.6137391362803041,0.6009690017910344,0.6009771981276448,0.6136865898967145,0.6137083760926813,0.5666821211576295,0.566696822317381
57,1.5000059902667768,0.6068640878890753,0.6068519820922346,0.6595492287535395,0.6595422617624617,0.6130181633869184,0.6130092466711993,0.6311701977625411,0.6311915944330866,0.613719463488125,0.6137407903092179,0.6009672024758103,0.6009756558574595,0.6136887654662471,0.6137096724937566,0.5666791036725055,0.5666941289324917
58,1.5000090897083194,0.6068635924254778,0.6068505478554694,0.6595537289042356,0.6595466911326197,0.6130194635131979,0.6130094999909255,0.6311716655268828,0.631191441696191,0.6137181596365219,0.6137411255853448,0.6009664015383792,0.60097468355668,0.6136891193688316,0.613708491576732,0.5666760489344768,0.5666927393992006
