iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4]
0,-3.6687003672122955,0.6191384851932525,0.6066994801163673,0.5861010406166315,0.5928950276225805,0.5972488135099411,0.5978416878730058,0.5965133629739284,0.5936023633927107,0.5861637949943542,0.5848606269806623
1,-4.858511507511139,0.6404854416847229,0.6109100267291069,0.5723748061805963,0.585603729262948,0.5956909418106079,0.5960586782544851,0.5935767911374569,0.5860486816614866,0.5721867367625236,0.5697217997163534
2,-5.908484745770693,0.6623540207743644,0.6113102681934833,0.5607875328511,0.5793446529656648,0.5953822828829288,0.5943917188793421,0.59135672301054,0.5780194368213415,0.5590822495520115,0.5552074465900659
3,-6.734727518633008,0.6829171855002641,0.6075514782220125,0.5528906531631946,0.575182631984353,0.5959631841629743,0.5925360567867756,0.5898839369416237,0.5704160187393427,0.5479101691395044,0.5417428970336914
4,-7.358197592198849,0.7010153023526072,0.6005571655929088,0.5490516865625977,0.5734498206526041,0.5968497706577182,0.5904080340638757,0.5890159098431468,0.5639006378129124,0.5392716223374009,0.529403631016612
5,-7.829753678292036,0.7162686580792069,0.5919605199247598,0.5486451400443911,0.5737876169383526,0.5975986080244183,0.5881998030468821,0.5885005252435803,0.5586988100782037,0.5331405414268374,0.5180669710040092
6,-8.184345103800297,0.7287267552688718,0.5833490271121263,0.5506511809304356,0.5755383990705013,0.5980301605537534,0.5862240673974156,0.5881202885881066,0.5547145972028374,0.5290977278724313,0.5076375793665647
7,-8.444618752226233,0.7386547163128853,0.5758369075134396,0.5540997417643666,0.5780615270137787,0.598175268061459,0.5847161509096622,0.5877388915047049,0.5517153138294816,0.5266150668263435,0.4981040958315134
8,-8.63137929327786,0.7464530918747186,0.5699686327949166,0.5582086214795708,0.5808468976989388,0.5981499863788485,0.5837623024359345,0.587300880253315,0.5494446739554405,0.5252042584121227,0.48946992997080085
9,-8.764743614941835,0.7525998283177614,0.5658166421577334,0.5624420432373881,0.583599241822958,0.5980575339868665,0.5833135502412915,0.5868174819275737,0.5477109760046005,0.5244901454076171,0.48171915803104637
10,-8.861206946894526,0.757535626552999,0.5631719961762428,0.5664895217865705,0.5861538698896765,0.5979712329804897,0.583281422406435,0.5863173365592956,0.5463582430034876,0.5242226844653487,0.47482109200209377
11,-8.932711822912097,0.761628033965826,0.5617339074611664,0.5701802162453532,0.5884642949327826,0.5979350632056594,0.5835505429655313,0.585828623175621,0.5453120743855834,0.524229510128498,0.4687041699886322
12,-8.987497916445136,0.7651597348973155,0.561214299313724,0.5734661309048533,0.5905382506549358,0.597976578772068,0.5840222913771868,0.5853741452097893,0.5445039108395576,0.5244215246289968,0.46329581588506696
13,-9.030857883393764,0.7683278372511267,0.5613696290180087,0.5763601822778582,0.592405847646296,0.5981008442118764,0.584618810005486,0.584985644929111,0.5439115906134248,0.5247332001104951,0.4585185222327709
