iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2]
1,-9.424149051308632,3.313695545674451,0.4032658059964796,0.4032658059964796,0.4032658059964796,0.4032658059964796,0.4032658059964796
2,-9.577227868139744,3.4886032680725236,0.3661775935695697,0.3593604882548561,0.3964630116286492,0.46212243687401533,0.3488156534374945
3,-11.034209221601486,3.326122402237246,0.32187474186465,0.29154418157603135,0.4279597178483082,0.6223694880769846,0.2808820601051316
4,-12.642674952745438,3.320571748231035,0.3189774673829501,0.27786065503111596,0.45847414351317595,0.5367827055906219,0.30629184114470687
5,-12.82841295003891,3.335834253964103,0.3016279930268849,0.2718206171377577,0.46857205271537034,0.49820604770785054,0.2994262611898599
6,-13.000753164291382,3.31633622720546,0.26815313569450855,0.2504700086593171,0.4761466198603749,0.49724813408000207,0.2828200413511654
7,-13.27184972167015,3.247256613486223,0.15167173289027608,0.2266456583137017,0.46467621533455555,0.4891504263140924,0.2372250058734323
8,-13.305244088172913,3.2369927618464662,0.1558511305303804,0.21128102424724882,0.46450122605890615,0.4835923303317251,0.23098866483997615
9,-13.329081952571869,3.2191221158241827,0.1325126145797375,0.19940156313617338,0.4646513291339024,0.4658641054856519,0.21740930324553073
10,-13.347988426685333,3.22973531035879,0.13114331849284738,0.2001932158259404,0.4731423017246989,0.4588275974346032,0.20688102463068533
11,-13.350971579551697,3.2340162624892344,0.11800085909496846,0.1934093617005806,0.4860282712541165,0.4519547920462753,0.19117988606689232
12,-13.353754818439484,3.2459369830816573,0.11342632082262002,0.19223499030913685,0.5086264085688826,0.45396304808468035,0.18259043637016809
13,-13.363434970378876,3.250404159019377,0.10817539404157454,0.1886103233411671,0.5269547623064835,0.4604519391933913,0.17600823219615988
14,-13.363832414150238,3.251490653340127,0.10620857595684513,0.18765114936636462,0.5319837006949798,0.46135435163674493,0.17352586042894388
15,-13.378899425268173,3.241586558373558,0.09318404286893012,0.181575587416555,0.5423886604824981,0.4621118512193748,0.16564256723258514
16,-13.384873986244202,3.221732598285281,0.08947042515108679,0.19264258864623762,0.5404021038366653,0.4671694791723548,0.1724659460055427
17,-13.395305186510086,3.223347382220058,0.08957043753957479,0.1939772914410677,0.5397158043702266,0.46303091702320726,0.1775908425829811
18,-13.396917998790741,3.224234021284002,0.09179528178472587,0.19543835196899167,0.5374780217224175,0.45983804672940937,0.1810552027347666
19,-13.39740452170372,3.219243153116916,0.08947966292653546,0.19855356770484303,0.5383215833233564,0.4583441145425036,0.18506525077458688
20,-13.39847645163536,3.2177238121428364,0.09445865552988876,0.19820210940342986,0.537882260446592,0.45561651347197196,0.1886530542681797
21,-13.398616701364517,3.2177533477320135,0.09400914402509493,0.1986192468403451,0.5374774633343372,0.456097999701985,0.18811263025017902
22,-13.398868292570114,3.2176873641356214,0.09424293236108851,0.19889831185832638,0.537577259811026,0.45604973955916117,0.18798480529031358
23,-13.39892292022705,3.217683900950377,0.09425512110008197,0.1989000240415212,0.5375683832300729,0.4560496677220954,0.18799591193894605
24,-13.41344329714775,3.217567090077412,0.09712532829039353,0.21407111919031085,0.5571131274306763,0.4497172036458066,0.1853855003037643
25,-13.436387121677399,3.215043091107021,0.10520104017917324,0.2314662817505883,0.5930942241529086,0.4436868271865819,0.1872542582414531
26,-13.44095003604889,3.2122272828930725,0.11138748361542998,0.23615818669595687,0.6026784008275665,0.446230827683874,0.1822576942221078
27,-13.44095003604889,3.2122272828928895,0.11138748361584365,0.23615818669632577,0.6026784008282962,0.44623082768400485,0.18225769422196883
